,Year,Mon,tmax,tmin
3257,1980,1,10.2,5.1
3258,1980,1,10.1,6.7
3259,1980,1,10.0,4.4
3260,1980,1,5.6,-0.3
3261,1980,1,4.4,-3.5
3262,1980,1,8.1,0.5
3263,1980,1,1.8,-5.6
3264,1980,1,5.7,-6.1
3265,1980,1,9.1,2.6
3266,1980,1,5.0,-2.4
3267,1980,1,5.5,-3.7
3268,1980,1,3.3,-2.7
3269,1980,1,5.2,0.1
3270,1980,1,5.6,-2.2
3271,1980,1,4.8,-0.3
3272,1980,1,7.4,-2.7
3273,1980,1,6.8,-5.7
3274,1980,1,3.0,-6.0
3275,1980,1,4.4,-5.0
3276,1980,1,2.7,-0.8
3277,1980,1,1.4,-1.8
3278,1980,1,1.9,-4.0
3279,1980,1,9.0,-4.7
3280,1980,1,8.5,-1.2
3281,1980,1,9.1,-2.2
3282,1980,1,10.0,-0.3
3283,1980,1,10.7,6.3
3284,1980,1,10.5,8.5
3285,1980,1,8.5,3.7
3286,1980,1,3.7,-6.2
3287,1980,1,-1.1,-5.9
3288,1980,2,0.4,-4.3
3289,1980,2,2.9,-2.5
3290,1980,2,3.5,-1.0
3291,1980,2,0.5,-2.7
3292,1980,2,-2.2,-7.0
3293,1980,2,0.3,-6.4
3294,1980,2,-0.3,-7.3
3295,1980,2,-0.4,-6.8
3296,1980,2,0.4,-6.3
3297,1980,2,4.6,-2.2
3298,1980,2,6.7,-2.9
3299,1980,2,5.5,-2.1
3300,1980,2,5.4,-2.6
3301,1980,2,4.7,-4.0
3302,1980,2,4.7,-4.4
3303,1980,2,5.8,-2.6
3304,1980,2,8.1,-3.2
3305,1980,2,4.6,-0.4
3306,1980,2,7.9,0.4
3307,1980,2,11.6,-0.1
3308,1980,2,9.5,-0.5
3309,1980,2,10.1,-2.1
3310,1980,2,11.3,-1.3
3311,1980,2,14.4,1.7
3312,1980,2,12.4,2.0
3313,1980,2,13.5,3.8
3314,1980,2,7.6,1.0
3315,1980,2,11.0,0.8
3316,1980,2,11.8,0.3
3317,1980,3,10.0,2.0
3318,1980,3,11.3,0.6
3319,1980,3,10.7,2.9
3320,1980,3,11.2,5.9
3321,1980,3,8.6,3.9
3322,1980,3,11.7,3.9
3323,1980,3,14.3,5.9
3324,1980,3,12.3,4.7
3325,1980,3,10.9,5.2
3326,1980,3,11.5,4.0
3327,1980,3,8.7,1.5
3328,1980,3,11.5,-0.7
3329,1980,3,10.7,3.4
3330,1980,3,9.0,1.2
3331,1980,3,10.3,-0.2
3332,1980,3,11.2,0.8
3333,1980,3,15.1,3.0
3334,1980,3,11.6,4.7
3335,1980,3,12.8,2.9
3336,1980,3,13.1,2.9
3337,1980,3,10.0,4.8
3338,1980,3,8.3,1.8
3339,1980,3,6.5,0.9
3340,1980,3,8.9,0.4
3341,1980,3,10.8,-0.8
3342,1980,3,12.1,1.7
3343,1980,3,14.1,0.7
3344,1980,3,12.9,1.8
3345,1980,3,11.9,6.9
3346,1980,3,18.2,5.5
3347,1980,3,10.5,6.5
3348,1980,4,13.3,5.3
3349,1980,4,13.3,4.6
3350,1980,4,15.7,3.3
3351,1980,4,18.7,7.9
3352,1980,4,19.8,14.9
3353,1980,4,19.3,5.4
3354,1980,4,13.6,3.3
3355,1980,4,16.1,8.9
3356,1980,4,19.8,10.9
3357,1980,4,12.7,8.3
3358,1980,4,15.5,8.9
3359,1980,4,15.3,13.2
3360,1980,4,14.8,6.3
3361,1980,4,10.2,3.7
3362,1980,4,11.4,1.5
3363,1980,4,10.8,4.2
3364,1980,4,13.0,3.2
3365,1980,4,17.5,5.5
3366,1980,4,18.4,13.7
3367,1980,4,18.8,9.2
3368,1980,4,18.2,5.5
3369,1980,4,17.5,7.4
3370,1980,4,16.7,7.2
3371,1980,4,14.5,4.7
3372,1980,4,17.9,6.9
3373,1980,4,16.8,5.7
3374,1980,4,16.7,8.9
3375,1980,4,16.9,7.9
3376,1980,4,16.7,7.4
3377,1980,4,23.0,10.3
3378,1980,5,20.7,6.2
3379,1980,5,18.6,7.9
3380,1980,5,18.5,13.2
3381,1980,5,23.9,14.9
3382,1980,5,23.3,10.5
3383,1980,5,19.7,10.4
3384,1980,5,17.5,11.3
3385,1980,5,13.4,10.0
3386,1980,5,19.4,10.5
3387,1980,5,21.8,8.5
3388,1980,5,26.2,10.2
3389,1980,5,18.2,13.9
3390,1980,5,21.3,13.9
3391,1980,5,19.2,11.5
3392,1980,5,23.3,12.8
3393,1980,5,18.8,8.3
3394,1980,5,21.0,7.2
3395,1980,5,21.4,8.9
3396,1980,5,19.4,11.8
3397,1980,5,16.7,12.8
3398,1980,5,25.5,13.8
3399,1980,5,25.1,11.9
3400,1980,5,20.8,12.4
3401,1980,5,21.5,13.2
3402,1980,5,21.5,17.1
3403,1980,5,18.8,12.8
3404,1980,5,20.6,11.8
3405,1980,5,22.1,13.0
3406,1980,5,21.9,13.3
3407,1980,5,28.1,16.9
3408,1980,5,24.2,16.4
3409,1980,6,20.7,16.4
3410,1980,6,19.4,15.0
3411,1980,6,21.9,13.4
3412,1980,6,26.1,16.4
3413,1980,6,27.7,13.5
3414,1980,6,26.4,13.6
3415,1980,6,23.2,15.4
3416,1980,6,22.8,16.6
3417,1980,6,24.4,15.4
3418,1980,6,23.3,17.3
3419,1980,6,27.6,17.0
3420,1980,6,24.0,18.0
3421,1980,6,27.1,16.9
3422,1980,6,21.6,18.8
3423,1980,6,27.0,18.9
3424,1980,6,27.2,19.0
3425,1980,6,23.3,18.1
3426,1980,6,25.0,17.8
3427,1980,6,21.1,16.9
3428,1980,6,19.8,16.5
3429,1980,6,24.6,16.4
3430,1980,6,25.1,17.4
3431,1980,6,22.9,18.9
3432,1980,6,23.3,19.4
3433,1980,6,24.1,18.9
3434,1980,6,24.3,18.5
3435,1980,6,27.0,18.8
3436,1980,6,26.2,18.9
3437,1980,6,26.1,19.4
3438,1980,6,20.2,17.9
3439,1980,7,21.0,18.2
3440,1980,7,24.0,19.1
3441,1980,7,21.9,18.7
3442,1980,7,21.9,17.4
3443,1980,7,23.6,18.4
3444,1980,7,23.7,18.8
3445,1980,7,26.8,17.4
3446,1980,7,25.5,19.4
3447,1980,7,23.1,20.0
3448,1980,7,22.2,20.3
3449,1980,7,25.3,18.7
3450,1980,7,24.2,18.9
3451,1980,7,21.6,19.4
3452,1980,7,25.5,19.6
3453,1980,7,27.7,19.6
3454,1980,7,23.5,19.6
3455,1980,7,20.5,18.9
3456,1980,7,24.0,19.9
3457,1980,7,25.2,21.4
3458,1980,7,28.0,23.3
3459,1980,7,30.4,21.8
3460,1980,7,29.5,24.2
3461,1980,7,27.0,19.8
3462,1980,7,30.8,17.6
3463,1980,7,25.1,20.2
3464,1980,7,27.8,21.8
3465,1980,7,26.4,20.1
3466,1980,7,25.6,22.3
3467,1980,7,23.5,21.8
3468,1980,7,24.5,20.4
3469,1980,7,24.3,19.8
3470,1980,8,24.9,19.1
3471,1980,8,26.2,17.4
3472,1980,8,26.6,18.7
3473,1980,8,26.6,18.7
3474,1980,8,23.5,19.6
3475,1980,8,23.4,19.6
3476,1980,8,21.4,20.0
3477,1980,8,25.0,20.4
3478,1980,8,26.4,19.0
3479,1980,8,27.3,19.4
3480,1980,8,26.5,19.4
3481,1980,8,24.8,20.4
3482,1980,8,25.4,22.6
3483,1980,8,24.8,21.4
3484,1980,8,23.4,20.6
3485,1980,8,25.4,20.8
3486,1980,8,23.4,21.6
3487,1980,8,25.3,20.6
3488,1980,8,27.1,20.5
3489,1980,8,27.2,22.0
3490,1980,8,27.3,21.7
