,Year,Mon,tmax,tmin
2922,1980,1,4.6,0.0
2923,1980,1,5.8,1.9
2924,1980,1,8.3,2.9
2925,1980,1,6.2,-7.0
2926,1980,1,4.4,-7.6
2927,1980,1,3.4,-7.3
2928,1980,1,-3.0,-11.0
2929,1980,1,3.8,-14.0
2930,1980,1,6.0,-3.0
2931,1980,1,2.3,-8.0
2932,1980,1,2.0,-11.2
2933,1980,1,5.0,-12.2
2934,1980,1,4.2,-4.3
2935,1980,1,2.4,-8.3
2936,1980,1,1.2,-10.5
2937,1980,1,3.4,-6.5
2938,1980,1,2.9,-12.1
2939,1980,1,3.0,-14.5
2940,1980,1,-0.2,-8.6
2941,1980,1,0.0,-3.6
2942,1980,1,-1.2,-7.0
2943,1980,1,1.0,-10.9
2944,1980,1,6.0,-12.4
2945,1980,1,7.9,-7.6
2946,1980,1,9.8,-10.2
2947,1980,1,9.1,-8.8
2948,1980,1,14.7,-1.0
2949,1980,1,13.7,2.0
2950,1980,1,5.1,1.2
2951,1980,1,1.2,-9.9
2952,1980,1,-3.9,-10.2
2953,1980,2,-1.0,-8.0
2954,1980,2,0.1,-5.0
2955,1980,2,-0.2,-4.4
2956,1980,2,-2.2,-7.5
2957,1980,2,-4.2,-10.9
2958,1980,2,-2.5,-13.1
2959,1980,2,-2.6,-13.5
2960,1980,2,-2.9,-11.7
2961,1980,2,-0.8,-12.1
2962,1980,2,3.4,-12.6
2963,1980,2,4.2,-7.5
2964,1980,2,4.6,-9.1
2965,1980,2,2.9,-6.1
2966,1980,2,1.9,-8.0
2967,1980,2,2.0,-6.7
2968,1980,2,6.8,-8.2
2969,1980,2,7.3,-11.0
2970,1980,2,4.4,-8.7
2971,1980,2,5.9,-2.4
2972,1980,2,9.9,-5.8
2973,1980,2,10.0,-4.3
2974,1980,2,9.4,-8.7
2975,1980,2,10.4,-5.4
2976,1980,2,12.2,-5.5
2977,1980,2,11.5,-4.4
2978,1980,2,13.2,1.6
2979,1980,2,9.4,-0.4
2980,1980,2,10.0,-1.5
2981,1980,2,12.7,-5.4
2982,1980,3,9.5,-0.8
2983,1980,3,11.5,-5.1
2984,1980,3,12.5,-2.1
2985,1980,3,7.6,-0.1
2986,1980,3,10.6,-0.2
2987,1980,3,13.0,-2.2
2988,1980,3,14.7,2.9
2989,1980,3,12.4,-1.5
2990,1980,3,7.1,4.4
2991,1980,3,11.4,-0.1
2992,1980,3,9.7,-1.0
2993,1980,3,11.3,-4.4
2994,1980,3,14.0,-2.1
2995,1980,3,7.7,-0.3
2996,1980,3,8.9,-4.3
2997,1980,3,13.2,-1.8
2998,1980,3,16.1,-1.5
2999,1980,3,11.5,-1.0
3000,1980,3,16.0,-0.5
3001,1980,3,16.4,-0.9
3002,1980,3,11.5,0.4
3003,1980,3,5.7,0.3
3004,1980,3,5.0,-1.2
3005,1980,3,7.2,-4.0
3006,1980,3,10.5,-3.9
3007,1980,3,11.4,-0.2
3008,1980,3,14.8,-3.6
3009,1980,3,17.1,-2.4
3010,1980,3,9.1,3.1
3011,1980,3,21.0,0.6
3012,1980,3,13.5,6.9
3013,1980,4,12.7,3.0
3014,1980,4,15.7,1.7
3015,1980,4,18.1,-2.2
3016,1980,4,21.2,-0.9
3017,1980,4,16.3,13.8
3018,1980,4,18.5,5.9
3019,1980,4,15.1,2.4
3020,1980,4,18.7,2.9
3021,1980,4,19.9,7.9
3022,1980,4,15.3,5.8
3023,1980,4,19.1,1.2
3024,1980,4,13.7,10.1
3025,1980,4,16.1,9.5
3026,1980,4,9.2,3.8
3027,1980,4,9.0,2.4
3028,1980,4,7.9,2.4
3029,1980,4,13.4,1.4
3030,1980,4,16.7,1.3
3031,1980,4,20.1,11.5
3032,1980,4,19.8,7.7
3033,1980,4,17.0,3.8
3034,1980,4,18.9,1.8
3035,1980,4,14.0,3.1
3036,1980,4,13.7,-0.3
3037,1980,4,17.0,2.0
3038,1980,4,20.6,1.6
3039,1980,4,12.4,7.9
3040,1980,4,19.7,5.7
3041,1980,4,20.4,3.3
3042,1980,4,23.1,9.3
3043,1980,5,22.7,5.5
3044,1980,5,25.5,3.6
3045,1980,5,19.9,6.3
3046,1980,5,24.8,12.7
3047,1980,5,24.8,4.8
3048,1980,5,19.6,8.0
3049,1980,5,19.9,4.5
3050,1980,5,11.8,5.7
3051,1980,5,20.4,4.8
3052,1980,5,27.2,2.0
3053,1980,5,29.3,5.5
3054,1980,5,16.8,11.8
3055,1980,5,27.3,15.5
3056,1980,5,24.2,13.5
3057,1980,5,24.3,12.8
3058,1980,5,17.9,7.9
3059,1980,5,19.9,1.7
3060,1980,5,23.5,4.3
3061,1980,5,22.6,10.4
3062,1980,5,16.3,11.5
3063,1980,5,26.9,10.9
3064,1980,5,29.3,8.9
3065,1980,5,26.4,11.9
3066,1980,5,25.1,9.7
3067,1980,5,24.4,14.3
3068,1980,5,21.3,10.5
3069,1980,5,23.3,6.2
3070,1980,5,27.1,9.7
3071,1980,5,27.7,8.4
3072,1980,5,29.6,13.9
3073,1980,5,27.3,13.7
3074,1980,6,21.0,16.5
3075,1980,6,22.8,14.9
3076,1980,6,24.1,13.0
3077,1980,6,24.4,11.8
3078,1980,6,30.4,7.6
3079,1980,6,30.7,10.9
3080,1980,6,28.1,9.8
3081,1980,6,25.5,18.0
3082,1980,6,26.7,15.7
3083,1980,6,28.9,16.2
