,강릉,강화,거제,거창,고흥,광주,구미,군산,금산,남원,남해,대관령,대구,대전,목포,문경,밀양,보령,보은,부산,부안,부여,산청,서귀포,서산,서울,성산,속초,수원,양평,여수,영덕,영주,영천,완도,울산,울진,원주,의성,이천,인제,인천,임실,장흥,전주,정읍,제주,제천,진주,천안,청주,추풍령,춘천,충주,통영,포항,합천,해남,홍천
1981,70.9,97.23,53.1,96.78,89.6,57.79,96.84,60.92,96.83,96.74,49.72,94.43,50.28,85.62,31.87,96.98,96.66,91.42,96.9,5.34,95.18,96.88,96.88,0.0,97.16,62.48,17.84,87.34,94.6,96.9,5.86,91.7,96.91,96.8,24.0,47.67,86.18,96.98,96.54,96.97,96.93,60.92,96.84,96.92,80.67,92.58,0.0,96.84,96.78,96.98,94.2,97.06,97.0,96.94,15.4,29.44,96.7,89.16,96.79
1982,63.44,97.1,50.36,96.66,79.74,43.02,96.78,46.7,96.71,96.6,36.26,97.21,47.48,75.56,19.17,96.94,93.38,83.42,96.75,8.24,84.22,96.74,91.72,0.0,94.06,53.2,9.39,81.52,84.26,96.74,0.2,86.24,96.88,96.74,11.34,45.35,80.78,96.82,96.51,96.82,96.93,51.74,96.74,89.88,64.39,80.12,0.0,96.83,91.31,96.83,83.82,97.02,96.85,96.78,12.62,27.6,95.64,78.46,96.65
1983,63.83,97.24,46.84,96.78,76.1,40.4,96.04,46.44,96.82,96.72,35.02,97.23,43.92,77.72,18.03,96.98,91.8,85.88,96.9,5.26,83.54,96.86,90.31,0.0,94.64,55.12,11.95,81.21,86.96,96.91,0.0,85.73,96.92,96.8,10.41,42.68,80.56,96.98,96.56,96.98,96.96,53.34,96.84,87.26,62.48,78.38,0.0,96.86,89.38,96.98,86.62,97.06,97.0,96.94,10.33,24.64,94.07,75.33,96.81
1984,49.0,97.15,35.16,96.74,81.78,45.06,93.44,49.34,96.78,96.68,38.12,97.23,31.69,75.34,21.22,96.9,87.93,83.1,96.81,0.0,87.46,96.82,94.24,0.0,96.71,53.88,2.45,70.46,85.22,96.8,0.0,83.6,96.84,96.74,13.26,30.5,73.03,96.88,96.48,96.88,96.9,52.76,96.8,91.81,67.5,82.64,0.0,96.8,79.9,96.88,83.28,97.0,96.9,96.83,2.38,12.8,91.61,80.37,96.7
1985,27.6,93.76,13.42,96.54,42.39,8.78,72.44,16.92,96.62,84.7,4.08,97.28,9.04,48.27,0.0,93.58,63.44,56.31,96.76,0.0,50.99,74.63,63.86,0.0,70.32,26.7,0.0,49.92,57.58,96.86,0.0,62.0,96.78,87.0,0.0,9.08,52.81,92.46,96.4,91.98,96.85,28.14,96.67,58.66,28.34,44.97,0.0,96.76,55.82,88.34,55.18,90.22,93.86,92.68,0.0,0.0,67.13,41.19,96.64
1986,55.02,97.15,36.57,96.73,77.31,42.1,94.75,46.76,96.78,96.68,35.64,97.25,32.89,78.46,18.23,96.94,88.08,86.7,96.8,0.0,84.56,96.82,93.4,0.0,94.71,55.16,6.38,74.92,87.62,96.8,0.0,83.72,96.88,96.77,10.6,31.62,77.03,96.87,96.52,96.86,96.94,53.48,96.8,91.15,63.54,79.44,0.0,96.84,80.26,96.87,86.28,97.02,96.9,96.82,2.6,13.92,92.3,76.47,96.69
1987,73.61,97.18,59.62,96.74,90.42,63.41,96.82,66.16,96.78,96.7,54.14,97.15,57.48,88.54,35.06,96.92,96.65,90.1,96.83,11.24,96.03,96.84,96.83,0.0,97.09,63.55,24.98,86.7,96.74,96.84,9.65,91.68,96.86,96.79,27.76,55.56,86.06,96.92,96.48,96.92,96.9,60.45,96.8,96.86,86.32,93.44,0.0,96.8,96.76,96.92,95.43,97.05,96.95,96.88,21.5,36.96,96.68,90.04,96.74
1988,21.64,85.34,8.05,96.48,39.42,4.94,67.81,12.42,96.62,81.05,1.52,97.27,3.36,39.52,0.0,89.44,58.94,47.91,96.69,0.0,46.13,70.24,61.14,0.0,62.32,18.62,0.0,44.36,49.02,92.7,0.0,57.77,96.71,81.81,0.0,3.28,47.62,85.4,96.33,83.82,96.8,19.78,96.62,55.18,24.1,40.68,0.0,96.71,50.84,79.1,46.41,84.7,88.48,85.13,0.0,0.0,62.48,37.58,96.57
1989,54.96,97.15,35.3,96.66,58.54,24.94,91.45,29.3,96.7,95.16,17.62,97.24,31.35,54.84,4.7,96.96,87.35,63.2,96.8,0.0,64.88,89.89,80.39,0.0,77.16,33.52,5.93,74.13,63.86,96.77,0.0,81.81,96.9,96.75,2.56,30.3,76.73,96.85,96.54,96.84,96.94,33.5,96.74,76.02,44.54,60.94,0.0,96.85,79.35,94.46,61.68,96.88,96.87,96.8,3.22,12.54,89.46,57.98,96.68
1990,19.11,83.79,11.84,96.5,36.05,2.01,71.68,10.18,95.99,78.34,-1.1,97.3,7.18,38.34,0.0,87.3,62.88,46.12,96.75,0.0,43.8,67.01,57.74,0.0,59.9,17.58,0.0,41.82,48.06,91.5,0.0,54.98,96.74,85.87,0.0,7.4,45.1,85.58,96.37,84.05,96.83,19.12,96.62,52.02,21.49,38.44,0.0,96.74,54.56,78.18,45.32,87.97,89.06,85.86,0.0,0.0,65.86,34.71,96.63
