"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",3135,1980,8,1,28.3,16.9,0,5.1
"2",3136,1980,8,2,27.8,16.8,0,5.2
"3",3137,1980,8,3,26.7,18.8,0,3.2
"4",3138,1980,8,4,22.6,17.7,0,4.3
"5",3139,1980,8,5,21.9,18.9,0.100000000000001,3.1
"6",3140,1980,8,6,24.9,18.7,0,3.3
"7",3141,1980,8,7,20.2,17.5,1.8,4.5
"8",3142,1980,8,8,22.6,17.8,0,4.2
"9",3143,1980,8,9,25.4,18.4,0,3.6
"10",3144,1980,8,10,28.9,18.7,0,3.3
"11",3145,1980,8,11,29.6,20.8,0,1.2
"12",3146,1980,8,12,26.7,21.2,0,0.800000000000001
"13",3147,1980,8,13,23.8,20.3,0,1.7
"14",3148,1980,8,14,27.1,19.4,0,2.6
"15",3149,1980,8,15,22.4,20.4,0,1.6
"16",3150,1980,8,16,23.6,19.9,0,2.1
"17",3151,1980,8,17,23.9,19.7,0,2.3
"18",3152,1980,8,18,25.9,19.3,0,2.7
"19",3153,1980,8,19,29,19.8,0,2.2
"20",3154,1980,8,20,30,21.4,0,0.600000000000001
"21",3155,1980,8,21,28.1,21,0,1
"22",3156,1980,8,22,26.6,20.1,0,1.9
"23",3157,1980,8,23,30.3,18.8,0.300000000000001,3.2
"24",3158,1980,8,24,29.2,18.4,0,3.6
"25",3159,1980,8,25,22.3,19.4,0,2.6
"26",3160,1980,8,26,29.3,20.2,0,1.8
"27",3161,1980,8,27,27.8,19.8,0,2.2
"28",3162,1980,8,28,23.4,18.8,0,3.2
"29",3163,1980,8,29,21.3,18.4,0.699999999999999,3.6
"30",3164,1980,8,30,20.8,19.8,1.2,2.2
"31",3165,1980,8,31,27.8,19.4,0,2.6
"32",3166,1980,9,1,29.6,18.4,0,3.6
"33",3167,1980,9,2,28.6,18.8,0,3.2
"34",3168,1980,9,3,30.2,19,0.199999999999999,3
"35",3169,1980,9,4,29.1,17.2,0,4.8
"36",3170,1980,9,5,27.5,19.1,0,2.9
