"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",2769,1980,8,1,27.78004,16.4188,0,5.5812
"2",2770,1980,8,2,26.15042,15.7096,0,6.2904
"3",2771,1980,8,3,24.80838,19.16695,0,2.83305
"4",2772,1980,8,4,23.65806,20.40805,0,1.59195
"5",2773,1980,8,5,22.1243,19.4329,0,2.5671
"6",2774,1980,8,6,23.0829,17.6599,0,4.3401
"7",2775,1980,8,7,21.35742,17.4826,0.642579999999999,4.5174
"8",2776,1980,8,8,21.54914,17.6599,0.450859999999999,4.3401
"9",2777,1980,8,9,21.1657,18.98965,0.834299999999999,3.01035
"10",2778,1980,8,10,26.62972,19.6102,0,2.3898
"11",2779,1980,8,11,27.20488,19.69885,0,2.30115
"12",2780,1980,8,12,28.06762,18.98965,0,3.01035
"13",2781,1980,8,13,24.61666,20.93995,0,1.06005
"14",2782,1980,8,14,25.9587,21.5605,0,0.439499999999999
"15",2783,1980,8,15,25.38354,20.93995,0,1.06005
"16",2784,1980,8,16,25.19182,20.58535,0,1.41465
"17",2785,1980,8,17,25.0001,19.0783,0,2.9217
"18",2786,1980,8,18,25.38354,20.05345,0,1.94655
"19",2787,1980,8,19,28.16348,19.7875,0,2.2125
"20",2788,1980,8,20,26.34214,20.93995,0,1.06005
"21",2789,1980,8,21,23.27462,20.76265,0,1.23735
"22",2790,1980,8,22,27.49246,20.40805,0,1.59195
"23",2791,1980,8,23,29.21794,18.98965,0,3.01035
"24",2792,1980,8,24,28.16348,18.0145,0,3.9855
"25",2793,1980,8,25,21.54914,20.1421,0.450859999999999,1.8579
"26",2794,1980,8,26,25.76698,20.1421,0,1.8579
"27",2795,1980,8,27,25.4794,20.58535,0,1.41465
"28",2796,1980,8,28,24.23322,19.16695,0,2.83305
"29",2797,1980,8,29,22.31602,18.98965,0,3.01035
"30",2798,1980,8,30,22.41188,20.05345,0,1.94655
"31",2799,1980,8,31,27.97176,19.6102,0,2.3898
"32",2800,1980,9,1,28.74746,19.23428,0,2.76572
"33",2801,1980,9,2,27.61634,19.1532,0,2.8468
"34",2802,1980,9,3,28.93598,19.47752,0,2.52248
"35",2803,1980,9,4,27.42782,19.1532,0,2.8468
"36",2804,1980,9,5,26.20244,18.18024,0,3.81976
"37",2805,1980,9,6,22.80908,15.58568,0,6.41432
"38",2806,1980,9,7,26.57948,15.42352,0,6.57648
"39",2807,1980,9,8,27.2393,14.93704,0,7.06296
"40",2808,1980,9,9,25.25984,14.2884,0,7.7116
"41",2809,1980,9,10,18.85016,14.45056,3.14984,7.54944
"42",2810,1980,9,11,18.66164,16.07216,3.33836,5.92784
"43",2811,1980,9,12,24.78854,13.31544,0,8.68456
"44",2812,1980,9,13,25.25984,11.93708,0,10.06292
"45",2813,1980,9,14,26.768,11.53168,0,10.46832
"46",2814,1980,9,15,27.61634,12.58572,0,9.41428
"47",2815,1980,9,16,25.63688,14.36948,0,7.63052
"48",2816,1980,9,17,23.75168,12.09924,0,9.90076
"49",2817,1980,9,18,24.50576,10.96412,0,11.03588
"50",2818,1980,9,19,24.12872,12.6668,0,9.3332
"51",2819,1980,9,20,27.14504,13.31544,0,8.68456
"52",2820,1980,9,21,22.9976,15.66676,0,6.33324
"53",2821,1980,9,22,19.79276,11.4506,2.20724,10.5494
"54",2822,1980,9,23,20.1698,6.9912,1.8302,15.0088
"55",2823,1980,9,24,22.90334,9.74792,0,12.25208
"56",2824,1980,9,25,23.56316,9.829,0,12.171
"57",2825,1980,9,26,24.8828,7.96416,0,14.03584
"58",2826,1980,9,27,24.78854,11.93708,0,10.06292
"59",2827,1980,9,28,25.44836,9.34252,0,12.65748
"60",2828,1980,9,29,23.56316,9.58576,0,12.41424
"61",2829,1980,9,30,22.80908,9.26144,0,12.73856
"62",3134,1981,8,1,32.57304,26.08165,2.57304,0
