"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",3470,1980,8,1,24.9,19.1,0,2.9
"2",3471,1980,8,2,26.2,17.4,0,4.6
"3",3472,1980,8,3,26.6,18.7,0,3.3
"4",3473,1980,8,4,26.6,18.7,0,3.3
"5",3474,1980,8,5,23.5,19.6,0,2.4
"6",3475,1980,8,6,23.4,19.6,0,2.4
"7",3476,1980,8,7,21.4,20,0.600000000000001,2
"8",3477,1980,8,8,25,20.4,0,1.6
"9",3478,1980,8,9,26.4,19,0,3
"10",3479,1980,8,10,27.3,19.4,0,2.6
"11",3480,1980,8,11,26.5,19.4,0,2.6
"12",3481,1980,8,12,24.8,20.4,0,1.6
"13",3482,1980,8,13,25.4,22.6,0,0
"14",3483,1980,8,14,24.8,21.4,0,0.600000000000001
"15",3484,1980,8,15,23.4,20.6,0,1.4
"16",3485,1980,8,16,25.4,20.8,0,1.2
"17",3486,1980,8,17,23.4,21.6,0,0.399999999999999
"18",3487,1980,8,18,25.3,20.6,0,1.4
"19",3488,1980,8,19,27.1,20.5,0,1.5
"20",3489,1980,8,20,27.2,22,0,0
"21",3490,1980,8,21,27.3,21.7,0,0.300000000000001
"22",3491,1980,8,22,26.2,21.4,0,0.600000000000001
"23",3492,1980,8,23,29.1,20.2,0,1.8
"24",3493,1980,8,24,26.5,20.8,0,1.2
"25",3494,1980,8,25,25.9,20.5,0,1.5
"26",3495,1980,8,26,27,21.5,0,0.5
"27",3496,1980,8,27,26.4,20.6,0,1.4
"28",3497,1980,8,28,23.9,20.3,0,1.7
"29",3498,1980,8,29,22.8,20.5,0,1.5
"30",3499,1980,8,30,26.7,20.8,0,1.2
"31",3500,1980,8,31,27.7,20.5,0,1.5
"32",3501,1980,9,1,27.9,20,0,2
"33",3502,1980,9,2,27.8,22.4,0,0
"34",3503,1980,9,3,29.8,18.6,0,3.4
"35",3504,1980,9,4,27.1,18.4,0,3.6
"36",3505,1980,9,5,27,19.4,0,2.6
"37",3506,1980,9,6,24.4,18.2,0,3.8
"38",3507,1980,9,7,25.7,17.2,0,4.8
"39",3508,1980,9,8,26.4,17.9,0,4.1
"40",3509,1980,9,9,26,19.9,0,2.1
"41",3510,1980,9,10,22.5,19.1,0,2.9
"42",3511,1980,9,11,23.8,17.3,0,4.7
"43",3512,1980,9,12,26.8,18.4,0,3.6
"44",3513,1980,9,13,27,17.4,0,4.6
"45",3514,1980,9,14,26,15.9,0,6.1
"46",3515,1980,9,15,26.7,16.1,0,5.9
"47",3516,1980,9,16,27,18.3,0,3.7
"48",3517,1980,9,17,25.2,16.1,0,5.9
"49",3518,1980,9,18,25.8,15.4,0,6.6
"50",3519,1980,9,19,22.4,16.4,0,5.6
"51",3520,1980,9,20,26.3,17.8,0,4.2
"52",3521,1980,9,21,21.5,17.9,0.5,4.1
"53",3522,1980,9,22,20.2,14.7,1.8,7.3
"54",3523,1980,9,23,21.6,13.9,0.399999999999999,8.1
"55",3524,1980,9,24,21,13.8,1,8.2
"56",3525,1980,9,25,22.9,13.1,0,8.9
