"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",3500,1980,8,1,22.8,15.7,0,6.3
"2",3501,1980,8,2,22.9,18,0,4
"3",3502,1980,8,3,21.9,19.5,0.100000000000001,2.5
"4",3503,1980,8,4,21.1,18.4,0.899999999999999,3.6
"5",3504,1980,8,5,22,18.4,0,3.6
"6",3505,1980,8,6,21.7,16.9,0.300000000000001,5.1
"7",3506,1980,8,7,20.2,16.9,1.8,5.1
"8",3507,1980,8,8,18.4,15.6,3.6,6.4
"9",3508,1980,8,9,19.6,17.3,2.4,4.7
"10",3509,1980,8,10,22.7,17.6,0,4.4
"11",3510,1980,8,11,23,17.5,0,4.5
"12",3511,1980,8,12,22.5,17.5,0,4.5
"13",3512,1980,8,13,22.8,19.5,0,2.5
"14",3513,1980,8,14,28.6,21,0,1
"15",3514,1980,8,15,24.4,21.5,0,0.5
"16",3515,1980,8,16,22.8,18.9,0,3.1
"17",3516,1980,8,17,22.8,18.6,0,3.4
"18",3517,1980,8,18,23.4,17.8,0,4.2
"19",3518,1980,8,19,24.6,19,0,3
"20",3519,1980,8,20,23.9,19.6,0,2.4
"21",3520,1980,8,21,23.1,19.9,0,2.1
"22",3521,1980,8,22,23.2,19.7,0,2.3
"23",3522,1980,8,23,23.9,18.6,0,3.4
"24",3523,1980,8,24,28.3,19,0,3
"25",3524,1980,8,25,23.9,18.2,0,3.8
"26",3525,1980,8,26,23.5,19,0,3
"27",3526,1980,8,27,21.6,18.6,0.399999999999999,3.4
"28",3527,1980,8,28,22,18.5,0,3.5
"29",3528,1980,8,29,21.6,17.8,0.399999999999999,4.2
"30",3529,1980,8,30,21.5,18.6,0.5,3.4
"31",3530,1980,8,31,23.3,19,0,3
"32",3531,1980,9,1,25.1,18.9,0,3.1
"33",3532,1980,9,2,24.9,18.5,0,3.5
"34",3533,1980,9,3,22.1,17.1,0,4.9
"35",3534,1980,9,4,23.9,16.9,0,5.1
"36",3535,1980,9,5,22.9,17.5,0,4.5
"37",3536,1980,9,6,25.2,18.7,0,3.3
"38",3537,1980,9,7,26.1,16.4,0,5.6
"39",3538,1980,9,8,22.8,15.4,0,6.6
"40",3539,1980,9,9,22.1,15.6,0,6.4
"41",3540,1980,9,10,18.8,15.2,3.2,6.8
"42",3541,1980,9,11,17.5,15.6,4.5,6.4
"43",3542,1980,9,12,25.9,17,0,5
"44",3543,1980,9,13,23.6,17.1,0,4.9
"45",3544,1980,9,14,26.2,15.9,0,6.1
"46",3545,1980,9,15,25.1,15.4,0,6.6
"47",3546,1980,9,16,25.8,16.9,0,5.1
"48",3547,1980,9,17,21.3,13.9,0.699999999999999,8.1
"49",3548,1980,9,18,21.7,12.8,0.300000000000001,9.2
"50",3549,1980,9,19,22,14,0,8
"51",3550,1980,9,20,22.9,13.4,0,8.6
"52",3551,1980,9,21,23,16.4,0,5.6
"53",3552,1980,9,22,20.2,12.9,1.8,9.1
"54",3553,1980,9,23,19.6,8.5,2.4,13.5
"55",3554,1980,9,24,21.6,10.5,0.399999999999999,11.5
"56",3555,1980,9,25,23.2,12.3,0,9.7
"57",3556,1980,9,26,21.9,11.9,0.100000000000001,10.1
"58",3557,1980,9,27,21.4,12.9,0.600000000000001,9.1
"59",3558,1980,9,28,21.3,11,0.699999999999999,11
"60",3559,1980,9,29,21.4,11.9,0.600000000000001,10.1
"61",3560,1980,9,30,19.8,11,2.2,11
"62",3865,1981,8,1,25.6,22,0,0
"63",3866,1981,8,2,33.2,20,3.2,2
"64",3867,1981,8,3,34.7,26.7,4.7,0
"65",3868,1981,8,4,27.6,20,0,2
"66",3869,1981,8,5,23.6,17.3,0,4.7
"67",3870,1981,8,6,24.4,16.5,0,5.5
"68",3871,1981,8,7,28.5,19.3,0,2.7
"69",3872,1981,8,8,26.2,20.3,0,1.7
"70",3873,1981,8,9,31.7,23,1.7,0
"71",3874,1981,8,10,28.2,19.8,0,2.2
"72",3875,1981,8,11,25.7,18.3,0,3.7
"73",3876,1981,8,12,24.9,18.5,0,3.5
"74",3877,1981,8,13,25.6,18.5,0,3.5
"75",3878,1981,8,14,25.5,17,0,5
"76",3879,1981,8,15,25.4,16.1,0,5.9
"77",3880,1981,8,16,25.3,15.9,0,6.1
"78",3881,1981,8,17,30.1,18.6,0.100000000000001,3.4
"79",3882,1981,8,18,26.4,21,0,1
"80",3883,1981,8,19,25.3,18.9,0,3.1
"81",3884,1981,8,20,24,18.7,0,3.3
"82",3885,1981,8,21,24.5,20.4,0,1.6
"83",3886,1981,8,22,24.5,19.5,0,2.5
"84",3887,1981,8,23,25.6,17.3,0,4.7
"85",3888,1981,8,24,26.9,18,0,4
"86",3889,1981,8,25,25.5,21.4,0,0.600000000000001
"87",3890,1981,8,26,25,19.9,0,2.1
"88",3891,1981,8,27,25.7,16.6,0,5.4
"89",3892,1981,8,28,24.9,16.2,0,5.8
"90",3893,1981,8,29,23.5,16.6,0,5.4
"91",3894,1981,8,30,23.1,19.3,0,2.7
"92",3895,1981,8,31,22.6,19,0,3
"93",3896,1981,9,1,19.9,18.5,2.1,3.5
"94",3897,1981,9,2,21.3,18.7,0.699999999999999,3.3
"95",3898,1981,9,3,21,17.1,1,4.9
"96",3899,1981,9,4,21.5,14.8,0.5,7.2
"97",3900,1981,9,5,22.7,12.4,0,9.6
"98",3901,1981,9,6,21.3,13.7,0.699999999999999,8.3
"99",3902,1981,9,7,21.3,13.1,0.699999999999999,8.9
"100",3903,1981,9,8,22.2,14.8,0,7.2
"101",3904,1981,9,9,26.7,17.9,0,4.1
"102",3905,1981,9,10,21.3,14.8,0.699999999999999,7.2
"103",3906,1981,9,11,22.1,14.5,0,7.5
"104",3907,1981,9,12,25.5,14.3,0,7.7
"105",3908,1981,9,13,20.9,12.5,1.1,9.5
"106",3909,1981,9,14,20,10.7,2,11.3
"107",3910,1981,9,15,20.6,10.1,1.4,11.9
"108",3911,1981,9,16,21.7,12.7,0.300000000000001,9.3
"109",3912,1981,9,17,22.2,12,0,10
"110",3913,1981,9,18,22.7,15.1,0,6.9
"111",3914,1981,9,19,23.7,14.6,0,7.4
"112",3915,1981,9,20,21.5,13.7,0.5,8.3
"113",3916,1981,9,21,22.1,13.4,0,8.6
"114",3917,1981,9,22,22.8,13.9,0,8.1
"115",3918,1981,9,23,24.2,15.5,0,6.5
"116",3919,1981,9,24,22.9,15.4,0,6.6
"117",3920,1981,9,25,20,15,2,7
"118",3921,1981,9,26,21.5,13.3,0.5,8.7
"119",3922,1981,9,27,21.5,13,0.5,9
"120",3923,1981,9,28,17.6,12,4.4,10
"121",3924,1981,9,29,17.3,10,4.7,12
"122",3925,1981,9,30,20.2,11.8,1.8,10.2
"123",4230,1982,8,1,25.1,19.9,0,2.1
"124",4231,1982,8,2,24.3,20.8,0,1.2
"125",4232,1982,8,3,29.3,20.7,0,1.3
"126",4233,1982,8,4,28.4,21.6,0,0.399999999999999
"127",4234,1982,8,5,29.1,22.3,0,0
"128",4235,1982,8,6,33.3,26.8,3.3,0
"129",4236,1982,8,7,31.8,25.5,1.8,0
"130",4237,1982,8,8,30.4,23.8,0.399999999999999,0
"131",4238,1982,8,9,30.9,24,0.899999999999999,0
"132",4239,1982,8,10,31.7,24,1.7,0
"133",4240,1982,8,11,29.4,22.9,0,0
"134",4241,1982,8,12,28.2,23.9,0,0
"135",4242,1982,8,13,27,22.6,0,0
"136",4243,1982,8,14,25.5,23.1,0,0
"137",4244,1982,8,15,29.2,21.7,0,0.300000000000001
"138",4245,1982,8,16,27.4,22.5,0,0
"139",4246,1982,8,17,26.4,22.1,0,0
"140",4247,1982,8,18,26.8,22.1,0,0
"141",4248,1982,8,19,27.9,21.5,0,0.5
"142",4249,1982,8,20,29.5,22.7,0,0
"143",4250,1982,8,21,23.2,20.5,0,1.5
"144",4251,1982,8,22,23,19.1,0,2.9
"145",4252,1982,8,23,22.5,18.6,0,3.4
"146",4253,1982,8,24,24.1,17.7,0,4.3
"147",4254,1982,8,25,22.2,19.9,0,2.1
