"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",3492,1980,8,1,28.7,19.4,0,2.6
"2",3493,1980,8,2,28.5,16.4,0,5.6
"3",3494,1980,8,3,28.5,16.5,0,5.5
"4",3495,1980,8,4,26.9,16.3,0,5.7
"5",3496,1980,8,5,23.7,20.1,0,1.9
"6",3497,1980,8,6,25.3,18.7,0,3.3
"7",3498,1980,8,7,22.5,19.5,0,2.5
"8",3499,1980,8,8,25.9,19.1,0,2.9
"9",3500,1980,8,9,29.5,17.9,0,4.1
"10",3501,1980,8,10,29.5,18.9,0,3.1
"11",3502,1980,8,11,30,17.8,0,4.2
"12",3503,1980,8,12,26.8,19.4,0,2.6
"13",3504,1980,8,13,24.5,21.5,0,0.5
"14",3505,1980,8,14,26,20.4,0,1.6
"15",3506,1980,8,15,23,20.3,0,1.7
"16",3507,1980,8,16,26.8,20.7,0,1.3
"17",3508,1980,8,17,25.1,20.4,0,1.6
"18",3509,1980,8,18,27.1,19.9,0,2.1
"19",3510,1980,8,19,28.7,20.6,0,1.4
"20",3511,1980,8,20,29.9,21.1,0,0.899999999999999
"21",3512,1980,8,21,30.3,20.3,0.300000000000001,1.7
"22",3513,1980,8,22,29.8,19.4,0,2.6
"23",3514,1980,8,23,30.5,19.5,0.5,2.5
"24",3515,1980,8,24,28.3,19.3,0,2.7
"25",3516,1980,8,25,23.5,18.4,0,3.6
"26",3517,1980,8,26,27.8,20.8,0,1.2
"27",3518,1980,8,27,29.2,18.8,0,3.2
"28",3519,1980,8,28,23,19.8,0,2.2
"29",3520,1980,8,29,23.3,19.6,0,2.4
"30",3521,1980,8,30,22.5,20.3,0,1.7
"31",3522,1980,8,31,29.5,20.1,0,1.9
"32",3523,1980,9,1,31,18.9,1,3.1
"33",3524,1980,9,2,29.3,20,0,2
"34",3525,1980,9,3,30.9,18,0.899999999999999,4
"35",3526,1980,9,4,28.5,16.1,0,5.9
"36",3527,1980,9,5,26.3,18.2,0,3.8
"37",3528,1980,9,6,24.4,16.9,0,5.1
"38",3529,1980,9,7,26.9,15.7,0,6.3
"39",3530,1980,9,8,28.5,13.2,0,8.8
"40",3531,1980,9,9,26.5,15.3,0,6.7
"41",3532,1980,9,10,26.1,18,0,4
"42",3533,1980,9,11,23.8,15.8,0,6.2
"43",3534,1980,9,12,26.1,13.7,0,8.3
"44",3535,1980,9,13,27.7,11.6,0,10.4
"45",3536,1980,9,14,28.7,10.8,0,11.2
"46",3537,1980,9,15,29.5,11.8,0,10.2
"47",3538,1980,9,16,26.7,14.4,0,7.6
"48",3539,1980,9,17,25.3,12,0,10
"49",3540,1980,9,18,26.3,10.1,0,11.9
"50",3541,1980,9,19,25.5,10.8,0,11.2
"51",3542,1980,9,20,26.5,14.7,0,7.3
"52",3543,1980,9,21,22.8,16.2,0,5.8
"53",3544,1980,9,22,19.4,12.6,2.6,9.4
"54",3545,1980,9,23,23.2,8.8,0,13.2
"55",3546,1980,9,24,21.4,10.8,0.600000000000001,11.2
"56",3547,1980,9,25,24.6,9.2,0,12.8
"57",3548,1980,9,26,25.8,6,0,16
"58",3549,1980,9,27,27,8.4,0,13.6
"59",3550,1980,9,28,26.6,10.8,0,11.2
"60",3551,1980,9,29,25.3,9,0,13
"61",3552,1980,9,30,24.1,8.8,0,13.2
"62",3857,1981,8,1,30.2,22,0.199999999999999,0
"63",3858,1981,8,2,30.3,24.3,0.300000000000001,0
"64",3859,1981,8,3,32.5,23.3,2.5,0
"65",3860,1981,8,4,29.3,21.6,0,0.399999999999999
"66",3861,1981,8,5,29,20,0,2
"67",3862,1981,8,6,26.7,18.7,0,3.3
"68",3863,1981,8,7,31.5,20.1,1.5,1.9
"69",3864,1981,8,8,32.8,20.3,2.8,1.7
"70",3865,1981,8,9,35.3,24.3,5.3,0
"71",3866,1981,8,10,28,21.5,0,0.5
"72",3867,1981,8,11,31.8,21.8,1.8,0.199999999999999
"73",3868,1981,8,12,32.4,19.9,2.4,2.1
"74",3869,1981,8,13,30.3,19.5,0.300000000000001,2.5
"75",3870,1981,8,14,31.9,19.5,1.9,2.5
"76",3871,1981,8,15,31.3,17.9,1.3,4.1
"77",3872,1981,8,16,31.1,19.3,1.1,2.7
"78",3873,1981,8,17,30.7,23.6,0.699999999999999,0
"79",3874,1981,8,18,32.3,23.2,2.3,0
"80",3875,1981,8,19,28.9,20.5,0,1.5
"81",3876,1981,8,20,30.5,22.8,0.5,0
"82",3877,1981,8,21,32.8,20.6,2.8,1.4
"83",3878,1981,8,22,32,19.5,2,2.5
"84",3879,1981,8,23,32.1,17.6,2.1,4.4
"85",3880,1981,8,24,32.5,16.9,2.5,5.1
"86",3881,1981,8,25,27.1,20.5,0,1.5
"87",3882,1981,8,26,29.1,20.8,0,1.2
"88",3883,1981,8,27,30.3,17.3,0.300000000000001,4.7
"89",3884,1981,8,28,29.2,17.1,0,4.9
"90",3885,1981,8,29,29.9,22.5,0,0
"91",3886,1981,8,30,31.5,25.2,1.5,0
"92",3887,1981,8,31,29.7,25.3,0,0
"93",3888,1981,9,1,28.1,24.5,0,0
"94",3889,1981,9,2,26.7,22.1,0,0
"95",3890,1981,9,3,26.9,19.8,0,2.2
"96",3891,1981,9,4,28.7,17.1,0,4.9
"97",3892,1981,9,5,28.6,16.5,0,5.5
"98",3893,1981,9,6,27.4,14.4,0,7.6
"99",3894,1981,9,7,29.1,14.1,0,7.9
"100",3895,1981,9,8,28.4,15.4,0,6.6
"101",3896,1981,9,9,25.9,14.9,0,7.1
"102",3897,1981,9,10,27.3,16.5,0,5.5
"103",3898,1981,9,11,25.1,16.1,0,5.9
"104",3899,1981,9,12,25.2,12.8,0,9.2
"105",3900,1981,9,13,25.7,11.6,0,10.4
"106",3901,1981,9,14,23.9,9,0,13
"107",3902,1981,9,15,25.7,9.8,0,12.2
"108",3903,1981,9,16,26.9,8.6,0,13.4
"109",3904,1981,9,17,28.5,9,0,13
"110",3905,1981,9,18,24.4,13.4,0,8.6
