"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",851,1980,5,1,22.26402,5.6876,0,14.3124
"2",852,1980,5,2,25.6851,5.378,0,14.622
"3",853,1980,5,3,23.87953,11.7764,0,8.2236
"4",854,1980,5,4,21.69384,11.6732,0,8.3268
"5",855,1980,5,5,25.11492,5.1716,0,14.8284
"6",856,1980,5,6,18.84294,3.9332,1.15706,16.0668
"7",857,1980,5,7,21.8839,5.5844,0,14.4156
"8",858,1980,5,8,15.61192,8.7836,4.38808,11.2164
"9",859,1980,5,9,18.84294,6.6164,1.15706,13.3836
"10",860,1980,5,10,23.02426,5.5844,0,14.4156
"11",861,1980,5,11,28.63103,8.474,0,11.526
"12",862,1980,5,12,19.41312,13.4276,0.586880000000001,6.5724
"13",863,1980,5,13,20.9336,13.7372,0,6.2628
"14",864,1980,5,14,25.49504,13.0148,0,6.9852
"15",865,1980,5,15,22.64414,9.4028,0,10.5972
"16",866,1980,5,16,17.89264,7.3388,2.10736,12.6612
"17",867,1980,5,17,20.17336,3.9332,0,16.0668
"18",868,1980,5,18,24.16462,5.378,0,14.622
"19",869,1980,5,19,22.64414,11.57,0,8.43
"20",870,1980,5,20,18.0827,12.1892,1.9173,7.8108
"21",871,1980,5,21,23.21432,9.7124,0,10.2876
"22",872,1980,5,22,26.25528,7.442,0,12.558
"23",873,1980,5,23,26.82546,11.1572,0,8.8428
"24",874,1980,5,24,27.96582,10.6412,0,9.3588
"25",875,1980,5,25,23.40438,16.5236,0,3.4764
"26",876,1980,5,26,18.74791,9.9188,1.25209,10.0812
"27",877,1980,5,27,23.87953,8.0612,0,11.9388
"28",878,1980,5,28,26.44534,12.9116,0,7.0884
"29",879,1980,5,29,26.06522,9.9188,0,10.0812
"30",880,1980,5,30,28.72606,15.182,0,4.818
"31",881,1980,5,31,28.536,13.8404,0,6.1596
"32",882,1980,6,1,27.9015,17.0656,0,2.9344
"33",883,1980,6,2,21.409,13.4956,0,6.5044
"34",884,1980,6,3,24.9335,9.9256,0,10.0744
"35",885,1980,6,4,26.232,11.8636,0,8.1364
"36",886,1980,6,5,27.99425,9.9256,0,10.0744
"37",887,1980,6,6,31.6115,12.3736,1.6115,7.6264
