"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",4138,1980,5,1,22,7.3,0,12.7
"2",4139,1980,5,2,25.3,7,0,13
"3",4140,1980,5,3,23.6,10,0,10
"4",4141,1980,5,4,23.3,14.6,0,5.4
"5",4142,1980,5,5,22.8,7.4,0,12.6
"6",4143,1980,5,6,20,7.2,0,12.8
"7",4144,1980,5,7,21.6,7.1,0,12.9
"8",4145,1980,5,8,17,9.6,3,10.4
"9",4146,1980,5,9,16.5,6.4,3.5,13.6
"10",4147,1980,5,10,23.4,6.4,0,13.6
"11",4148,1980,5,11,29,9.9,0,10.1
"12",4149,1980,5,12,19,12.4,1,7.6
"13",4150,1980,5,13,22.4,14.8,0,5.2
"14",4151,1980,5,14,25.7,14.4,0,5.6
"15",4152,1980,5,15,23.9,11.7,0,8.3
"16",4153,1980,5,16,18.4,9.8,1.6,10.2
"17",4154,1980,5,17,21,4.2,0,15.8
"18",4155,1980,5,18,24.5,6.2,0,13.8
"19",4156,1980,5,19,22.6,12.3,0,7.7
"20",4157,1980,5,20,20,12.2,0,7.8
"21",4158,1980,5,21,26.7,9.9,0,10.1
"22",4159,1980,5,22,29,10.7,0,9.3
"23",4160,1980,5,23,26.9,12.4,0,7.6
"24",4161,1980,5,24,27.2,12,0,8
"25",4162,1980,5,25,23.5,15.8,0,4.2
"26",4163,1980,5,26,18.2,10.5,1.8,9.5
"27",4164,1980,5,27,22.7,8.8,0,11.2
"28",4165,1980,5,28,26.1,16.5,0,3.5
"29",4166,1980,5,29,27.2,11,0,9
"30",4167,1980,5,30,30.1,14.3,0.100000000000001,5.7
"31",4168,1980,5,31,29.4,15.7,0,4.3
"32",4169,1980,6,1,24,17.9,0,2.1
"33",4170,1980,6,2,19.3,13.9,0.699999999999999,6.1
"34",4171,1980,6,3,23,12.2,0,7.8
"35",4172,1980,6,4,24.9,15.3,0,4.7
"36",4173,1980,6,5,27.7,13.3,0,6.7
"37",4174,1980,6,6,31.1,13.2,1.1,6.8
"38",4175,1980,6,7,30.7,14.4,0.699999999999999,5.6
"39",4176,1980,6,8,23.1,18.6,0,1.4
"40",4177,1980,6,9,22.1,15.6,0,4.4
"41",4178,1980,6,10,27.9,17.5,0,2.5
"42",4179,1980,6,11,30.8,18.2,0.800000000000001,1.8
"43",4180,1980,6,12,26.6,17.7,0,2.3
"44",4181,1980,6,13,32,16.4,2,3.6
"45",4182,1980,6,14,32.3,19.2,2.3,0.800000000000001
"46",4183,1980,6,15,29.3,20,0,0
"47",4184,1980,6,16,28.3,20.9,0,0
"48",4185,1980,6,17,24.1,20.4,0,0
"49",4186,1980,6,18,27.2,18.1,0,1.9
"50",4187,1980,6,19,25.8,19.4,0,0.600000000000001
"51",4188,1980,6,20,25.2,18.6,0,1.4
"52",4189,1980,6,21,28,15.5,0,4.5
"53",4190,1980,6,22,28.9,18.2,0,1.8
"54",4191,1980,6,23,29.6,18.5,0,1.5
"55",4192,1980,6,24,31,18.9,1,1.1
"56",4193,1980,6,25,24.2,20.3,0,0
