"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",3342,1980,5,1,19.3,9.3,0.699999999999999,10.7
"2",3343,1980,5,2,20.7,6.6,0,13.4
"3",3344,1980,5,3,18.9,14.1,1.1,5.9
"4",3345,1980,5,4,21.6,16.7,0,3.3
"5",3346,1980,5,5,24,11.2,0,8.8
"6",3347,1980,5,6,18.3,9.8,1.7,10.2
"7",3348,1980,5,7,18.5,11,1.5,9
"8",3349,1980,5,8,15,12.7,5,7.3
"9",3350,1980,5,9,18,11,2,9
"10",3351,1980,5,10,24.9,5.4,0,14.6
"11",3352,1980,5,11,22.5,8.1,0,11.9
"12",3353,1980,5,12,21.9,15.8,0,4.2
"13",3354,1980,5,13,22.8,14.8,0,5.2
"14",3355,1980,5,14,21.6,13.6,0,6.4
"15",3356,1980,5,15,20.8,15,0,5
"16",3357,1980,5,16,17.5,10.1,2.5,9.9
"17",3358,1980,5,17,18.7,9,1.3,11
"18",3359,1980,5,18,19.3,9.2,0.699999999999999,10.8
"19",3360,1980,5,19,21,9.2,0,10.8
"20",3361,1980,5,20,16.1,13.6,3.9,6.4
"21",3362,1980,5,21,22.4,14.5,0,5.5
"22",3363,1980,5,22,22.7,9.7,0,10.3
"23",3364,1980,5,23,21.9,11,0,9
"24",3365,1980,5,24,23.3,11.5,0,8.5
"25",3366,1980,5,25,23,19,0,1
"26",3367,1980,5,26,20.9,11.8,0,8.2
"27",3368,1980,5,27,21.9,7,0,13
"28",3369,1980,5,28,21.7,14.1,0,5.9
"29",3370,1980,5,29,22.5,14.7,0,5.3
"30",3371,1980,5,30,25,16.2,0,3.8
"31",3372,1980,5,31,24,13.6,0,6.4
"32",3373,1980,6,1,23.3,17.2,0,2.8
"33",3374,1980,6,2,23.7,16.3,0,3.7
"34",3375,1980,6,3,24,12.1,0,7.9
"35",3376,1980,6,4,26.9,13.8,0,6.2
"36",3377,1980,6,5,24.7,11.2,0,8.8
"37",3378,1980,6,6,27,10.6,0,9.4
"38",3379,1980,6,7,25.8,19.2,0,0.800000000000001
"39",3380,1980,6,8,24.5,20.4,0,0
"40",3381,1980,6,9,25.1,15.8,0,4.2
"41",3382,1980,6,10,21.3,17.2,0,2.8
"42",3383,1980,6,11,26.1,17.1,0,2.9
"43",3384,1980,6,12,24.1,19.1,0,0.899999999999999
"44",3385,1980,6,13,25,17.3,0,2.7
"45",3386,1980,6,14,25.8,20.2,0,0
"46",3387,1980,6,15,25.5,20.2,0,0
"47",3388,1980,6,16,28.4,21.1,0,0
"48",3389,1980,6,17,24.6,22.8,0,0
"49",3390,1980,6,18,25.7,19.2,0,0.800000000000001
"50",3391,1980,6,19,22.1,18.6,0,1.4
"51",3392,1980,6,20,19.1,16.8,0.899999999999999,3.2
"52",3393,1980,6,21,22.5,16.9,0,3.1
"53",3394,1980,6,22,23.1,16.5,0,3.5
"54",3395,1980,6,23,22.7,20.3,0,0
"55",3396,1980,6,24,24.2,19.7,0,0.300000000000001
"56",3397,1980,6,25,25.6,20.4,0,0
"57",3398,1980,6,26,27.9,20.2,0,0
"58",3399,1980,6,27,26.1,20.9,0,0
"59",3400,1980,6,28,26.5,20.5,0,0
"60",3401,1980,6,29,26.6,20,0,0
"61",3402,1980,6,30,23.6,21,0,0
"62",3403,1980,7,1,24.5,19.9,0,0.100000000000001
"63",3404,1980,7,2,23,20.3,0,0
"64",3405,1980,7,3,23.8,19,0,1
"65",3406,1980,7,4,25.3,18.2,0,1.8
"66",3407,1980,7,5,22.7,19.3,0,0.699999999999999
"67",3408,1980,7,6,22.5,20,0,0
"68",3409,1980,7,7,25.8,18.1,0,1.9
"69",3410,1980,7,8,26,17.9,0,2.1
"70",3411,1980,7,9,22.9,20.4,0,0
"71",3412,1980,7,10,25.3,22.4,0,0
"72",3413,1980,7,11,29.3,20.8,0,0
"73",3414,1980,7,12,23,20.5,0,0
"74",3415,1980,7,13,25.9,20.6,0,0
"75",3416,1980,7,14,28.7,19.9,0,0.100000000000001
"76",3417,1980,7,15,25.9,19.3,0,0.699999999999999
"77",3418,1980,7,16,24.7,20.5,0,0
"78",3419,1980,7,17,25.8,22,0,0
"79",3420,1980,7,18,29,21.5,0,0
"80",3421,1980,7,19,29.8,24.5,0,0
"81",3422,1980,7,20,30,23,0,0
"82",3423,1980,7,21,30.1,24,0.100000000000001,0
"83",3424,1980,7,22,30,26.3,0,0
"84",3425,1980,7,23,30.8,25.4,0.800000000000001,0
"85",3426,1980,7,24,30.9,21,0.899999999999999,0
"86",3427,1980,7,25,28.2,18.9,0,1.1
"87",3428,1980,7,26,30.6,23.3,0.600000000000001,0
"88",3429,1980,7,27,28.7,21.4,0,0
"89",3430,1980,7,28,30.4,25,0.399999999999999,0
"90",3431,1980,7,29,31.1,24.5,1.1,0
"91",3432,1980,7,30,26.3,22.1,0,0
"92",3433,1980,7,31,24.7,22,0,0
"93",3434,1980,8,1,25.7,21.6,0,0
"94",3435,1980,8,2,25.4,21.5,0,0
"95",3436,1980,8,3,25.3,22.2,0,0
"96",3437,1980,8,4,24.6,22.4,0,0
"97",3438,1980,8,5,23.6,20.5,0,0
"98",3439,1980,8,6,23,21.4,0,0
"99",3440,1980,8,7,22.5,21.1,0,0
"100",3441,1980,8,8,23.7,19.4,0,0.600000000000001
"101",3442,1980,8,9,26.4,17.3,0,2.7
"102",3443,1980,8,10,26.7,18.8,0,1.2
"103",3444,1980,8,11,27.1,18.7,0,1.3
"104",3445,1980,8,12,26.3,20.6,0,0
"105",3446,1980,8,13,26.9,22.3,0,0
"106",3447,1980,8,14,27.3,20.4,0,0
"107",3448,1980,8,15,26.3,22.2,0,0
"108",3449,1980,8,16,26.1,21.8,0,0
"109",3450,1980,8,17,24.4,22,0,0
"110",3451,1980,8,18,24.5,22.1,0,0
"111",3452,1980,8,19,26.1,21.3,0,0
"112",3453,1980,8,20,27.3,22.2,0,0
"113",3454,1980,8,21,27.1,22,0,0
"114",3455,1980,8,22,26,21.7,0,0
"115",3456,1980,8,23,28.3,19.4,0,0.600000000000001
"116",3457,1980,8,24,26.6,19.1,0,0.899999999999999
"117",3458,1980,8,25,29.2,23,0,0
"118",3459,1980,8,26,28.2,22.3,0,0
"119",3460,1980,8,27,27,19.6,0,0.399999999999999
"120",3461,1980,8,28,25.7,23.3,0,0
"121",3462,1980,8,29,29.9,23.5,0,0
"122",3463,1980,8,30,29.2,24.5,0,0
"123",3464,1980,8,31,25.9,21.9,0,0
"124",3707,1981,5,1,21.7,6,0,14
"125",3708,1981,5,2,22.2,11,0,9
"126",3709,1981,5,3,16.5,8.4,3.5,11.6
"127",3710,1981,5,4,21.1,6.6,0,13.4
"128",3711,1981,5,5,21.4,8.6,0,11.4
"129",3712,1981,5,6,19.6,14,0.399999999999999,6
"130",3713,1981,5,7,19.9,10.2,0.100000000000001,9.8
"131",3714,1981,5,8,22.3,13,0,7
"132",3715,1981,5,9,26,18.5,0,1.5
"133",3716,1981,5,10,25.1,17.6,0,2.4
"134",3717,1981,5,11,21.5,10.8,0,9.2
"135",3718,1981,5,12,21.5,7.6,0,12.4
"136",3719,1981,5,13,19.9,9.9,0.100000000000001,10.1
