"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",3406,1980,5,1,21.2,5.2,0,14.8
"2",3407,1980,5,2,23.8,5,0,15
"3",3408,1980,5,3,21.2,7.8,0,12.2
"4",3409,1980,5,4,21.8,8.6,0,11.4
"5",3410,1980,5,5,20.9,4.4,0,15.6
"6",3411,1980,5,6,19.2,8.4,0.800000000000001,11.6
"7",3412,1980,5,7,22.1,5.6,0,14.4
"8",3413,1980,5,8,21,7.6,0,12.4
"9",3414,1980,5,9,19,8.2,1,11.8
"10",3415,1980,5,10,24,6.8,0,13.2
"11",3416,1980,5,11,27.4,8.6,0,11.4
"12",3417,1980,5,12,16.2,12.9,3.8,7.1
"13",3418,1980,5,13,19.2,14.4,0.800000000000001,5.6
"14",3419,1980,5,14,21.6,12.2,0,7.8
"15",3420,1980,5,15,24,14.2,0,5.8
"16",3421,1980,5,16,17.4,9.8,2.6,10.2
"17",3422,1980,5,17,21.3,4,0,16
"18",3423,1980,5,18,23.8,5.6,0,14.4
"19",3424,1980,5,19,18.2,10.8,1.8,9.2
"20",3425,1980,5,20,23,11.6,0,8.4
"21",3426,1980,5,21,26.8,9.8,0,10.2
"22",3427,1980,5,22,27.2,10.4,0,9.6
"23",3428,1980,5,23,26.4,12.8,0,7.2
"24",3429,1980,5,24,26.8,11,0,9
"25",3430,1980,5,25,19.2,16.8,0.800000000000001,3.2
"26",3431,1980,5,26,17.6,10,2.4,10
"27",3432,1980,5,27,23.4,7.2,0,12.8
"28",3433,1980,5,28,26.4,12.2,0,7.8
"29",3434,1980,5,29,27,10.6,0,9.4
"30",3435,1980,5,30,30.4,14,0.399999999999999,6
"31",3436,1980,5,31,30.5,16.2,0.5,3.8
"32",3437,1980,6,1,24.8,19,0,1
"33",3438,1980,6,2,19.6,11.8,0.399999999999999,8.2
"34",3439,1980,6,3,22.8,12,0,8
"35",3440,1980,6,4,26.8,14.6,0,5.4
"36",3441,1980,6,5,27.6,14.4,0,5.6
"37",3442,1980,6,6,29.8,14,0,6
"38",3443,1980,6,7,28.9,15.6,0,4.4
"39",3444,1980,6,8,24,17,0,3
"40",3445,1980,6,9,21.6,16.2,0,3.8
"41",3446,1980,6,10,26.2,17,0,3
"42",3447,1980,6,11,27.4,16.4,0,3.6
"43",3448,1980,6,12,26.8,16.8,0,3.2
"44",3449,1980,6,13,30.4,18.8,0.399999999999999,1.2
"45",3450,1980,6,14,32.4,19.2,2.4,0.800000000000001
"46",3451,1980,6,15,29.8,18.6,0,1.4
"47",3452,1980,6,16,26,21.4,0,0
"48",3453,1980,6,17,28.2,18.2,0,1.8
"49",3454,1980,6,18,27.4,17,0,3
"50",3455,1980,6,19,27.2,18.8,0,1.2
"51",3456,1980,6,20,25.8,18.6,0,1.4
"52",3457,1980,6,21,27.4,15.6,0,4.4
"53",3458,1980,6,22,28.6,15.6,0,4.4
"54",3459,1980,6,23,28.4,18,0,2
"55",3460,1980,6,24,30,17.4,0,2.6
"56",3461,1980,6,25,22.8,18.3,0,1.7
"57",3462,1980,6,26,19.6,18.2,0.399999999999999,1.8
"58",3463,1980,6,27,23,17.8,0,2.2
"59",3464,1980,6,28,26.2,18.2,0,1.8
"60",3465,1980,6,29,30.5,18.5,0.5,1.5
"61",3466,1980,6,30,24.4,17.8,0,2.2
"62",3467,1980,7,1,21.4,16.8,0,3.2
"63",3468,1980,7,2,23.8,17.4,0,2.6
"64",3469,1980,7,3,27.4,17.8,0,2.2
"65",3470,1980,7,4,23.8,18.9,0,1.1
"66",3471,1980,7,5,23.2,18.8,0,1.2
"67",3472,1980,7,6,28.2,17.4,0,2.6
"68",3473,1980,7,7,28.6,18.4,0,1.6
"69",3474,1980,7,8,27.4,17.2,0,2.8
"70",3475,1980,7,9,30.4,19.6,0.399999999999999,0.399999999999999
"71",3476,1980,7,10,28.2,20,0,0
"72",3477,1980,7,11,27.4,21,0,0
"73",3478,1980,7,12,29.8,18.4,0,1.6
"74",3479,1980,7,13,28.8,18.6,0,1.4
"75",3480,1980,7,14,22,18,0,2
"76",3481,1980,7,15,27.8,18.8,0,1.2
"77",3482,1980,7,16,29.6,18.4,0,1.6
"78",3483,1980,7,17,28.4,19.5,0,0.5
"79",3484,1980,7,18,23.1,19.6,0,0.399999999999999
"80",3485,1980,7,19,29.2,20.6,0,0
"81",3486,1980,7,20,29.3,21.3,0,0
"82",3487,1980,7,21,26.4,21.8,0,0
"83",3488,1980,7,22,26.4,22.4,0,0
"84",3489,1980,7,23,29.3,20.2,0,0
"85",3490,1980,7,24,29.7,19.2,0,0.800000000000001
"86",3491,1980,7,25,23.8,19.2,0,0.800000000000001
"87",3492,1980,7,26,29.1,20.8,0,0
"88",3493,1980,7,27,28.5,22,0,0
"89",3494,1980,7,28,24.6,21.5,0,0
"90",3495,1980,7,29,24,19.8,0,0.199999999999999
"91",3496,1980,7,30,28,18.6,0,1.4
"92",3497,1980,7,31,27.9,15.6,0,4.4
"93",3498,1980,8,1,28.9,15.2,0,4.8
"94",3499,1980,8,2,28.9,15.4,0,4.6
"95",3500,1980,8,3,27.5,15.2,0,4.8
"96",3501,1980,8,4,28.1,20,0,0
"97",3502,1980,8,5,27.9,19.8,0,0.199999999999999
"98",3503,1980,8,6,27.5,18.5,0,1.5
"99",3504,1980,8,7,22.2,17,0,3
"100",3505,1980,8,8,21.6,17.2,0,2.8
"101",3506,1980,8,9,26.4,18.8,0,1.2
"102",3507,1980,8,10,27.5,19.4,0,0.600000000000001
