"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",3400,1980,5,1,24.1,6.2,0,13.8
"2",3401,1980,5,2,22.3,4,0,16
"3",3402,1980,5,3,19.7,11,0.300000000000001,9
"4",3403,1980,5,4,24.4,12.2,0,7.8
"5",3404,1980,5,5,26.3,7,0,13
"6",3405,1980,5,6,20,8.3,0,11.7
"7",3406,1980,5,7,20.1,6.7,0,13.3
"8",3407,1980,5,8,12.7,8,7.3,12
"9",3408,1980,5,9,19.1,7.6,0.899999999999999,12.4
"10",3409,1980,5,10,24.3,4.2,0,15.8
"11",3410,1980,5,11,29.2,7.1,0,12.9
"12",3411,1980,5,12,18.4,14.1,1.6,5.9
"13",3412,1980,5,13,24.1,14.6,0,5.4
"14",3413,1980,5,14,20.1,13.5,0,6.5
"15",3414,1980,5,15,25.5,13.4,0,6.6
"16",3415,1980,5,16,17.9,6.8,2.1,13.2
"17",3416,1980,5,17,20.9,3.1,0,16.9
"18",3417,1980,5,18,24,4.7,0,15.3
"19",3418,1980,5,19,22.5,10,0,10
"20",3419,1980,5,20,17.9,12,2.1,8
"21",3420,1980,5,21,26.7,11.6,0,8.4
"22",3421,1980,5,22,28.4,8.2,0,11.8
"23",3422,1980,5,23,24.2,11.8,0,8.2
"24",3423,1980,5,24,24.7,9.6,0,10.4
"25",3424,1980,5,25,23.3,16.9,0,3.1
"26",3425,1980,5,26,19.4,11.7,0.600000000000001,8.3
"27",3426,1980,5,27,21.7,5.7,0,14.3
"28",3427,1980,5,28,24.4,9.6,0,10.4
"29",3428,1980,5,29,26.6,11.3,0,8.7
"30",3429,1980,5,30,31.4,16.5,1.4,3.5
"31",3430,1980,5,31,27.9,15.5,0,4.5
"32",3431,1980,6,1,21.7,17.4,0,2.6
"33",3432,1980,6,2,18.9,14.8,1.1,5.2
"34",3433,1980,6,3,23.7,10.2,0,9.8
"35",3434,1980,6,4,29.1,11.8,0,8.2
"36",3435,1980,6,5,30.3,9.1,0.300000000000001,10.9
"37",3436,1980,6,6,30.6,11,0.600000000000001,9
"38",3437,1980,6,7,25.7,12.1,0,7.9
"39",3438,1980,6,8,23.7,18.2,0,1.8
"40",3439,1980,6,9,24.5,16.7,0,3.3
"41",3440,1980,6,10,26.3,17.1,0,2.9
"42",3441,1980,6,11,30.3,16.4,0.300000000000001,3.6
"43",3442,1980,6,12,26.2,17.3,0,2.7
"44",3443,1980,6,13,31.2,15.5,1.2,4.5
"45",3444,1980,6,14,23.5,18.5,0,1.5
"46",3445,1980,6,15,29,19.8,0,0.199999999999999
"47",3446,1980,6,16,28.4,19.6,0,0.399999999999999
"48",3447,1980,6,17,24.3,20.1,0,0
"49",3448,1980,6,18,28.9,18.9,0,1.1
"50",3449,1980,6,19,22.9,17.2,0,2.8
"51",3450,1980,6,20,22.1,16.4,0,3.6
