"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",3405,1980,5,1,22.7,6.4,0,13.6
"2",3406,1980,5,2,24.8,6.7,0,13.3
"3",3407,1980,5,3,21,11.6,0,8.4
"4",3408,1980,5,4,27.4,15.9,0,4.1
"5",3409,1980,5,5,26.1,9.2,0,10.8
"6",3410,1980,5,6,21.9,9.3,0,10.7
"7",3411,1980,5,7,21.8,6.7,0,13.3
"8",3412,1980,5,8,12.8,7.3,7.2,12.7
"9",3413,1980,5,9,22.3,7.3,0,12.7
"10",3414,1980,5,10,26.9,5.5,0,14.5
"11",3415,1980,5,11,30.8,7.8,0.800000000000001,12.2
"12",3416,1980,5,12,17,13.6,3,6.4
"13",3417,1980,5,13,27.9,16.3,0,3.7
"14",3418,1980,5,14,24.7,14.2,0,5.8
"15",3419,1980,5,15,25.2,16.2,0,3.8
"16",3420,1980,5,16,20.3,10.6,0,9.4
"17",3421,1980,5,17,20.9,4.5,0,15.5
"18",3422,1980,5,18,24.6,6.7,0,13.3
"19",3423,1980,5,19,23.8,11.8,0,8.2
"20",3424,1980,5,20,16.1,13,3.9,7
"21",3425,1980,5,21,27.3,13.3,0,6.7
"22",3426,1980,5,22,30.4,12.4,0.399999999999999,7.6
"23",3427,1980,5,23,27.4,14.2,0,5.8
"24",3428,1980,5,24,26,11.8,0,8.2
"25",3429,1980,5,25,23.1,17,0,3
"26",3430,1980,5,26,22.7,11.6,0,8.4
"27",3431,1980,5,27,25,8.4,0,11.6
"28",3432,1980,5,28,26.4,10.4,0,9.6
"29",3433,1980,5,29,28.6,9.4,0,10.6
"30",3434,1980,5,30,31.2,16.6,1.2,3.4
"31",3435,1980,5,31,29,16.5,0,3.5
"32",3436,1980,6,1,23.6,18,0,2
"33",3437,1980,6,2,24.4,17.2,0,2.8
"34",3438,1980,6,3,25.1,14.1,0,5.9
"35",3439,1980,6,4,24.9,14.4,0,5.6
"36",3440,1980,6,5,32.7,10.3,2.7,9.7
"37",3441,1980,6,6,32.3,14.1,2.3,5.9
"38",3442,1980,6,7,30.2,12.1,0.199999999999999,7.9
"39",3443,1980,6,8,24.1,19.8,0,0.199999999999999
"40",3444,1980,6,9,27.8,16.7,0,3.3
"41",3445,1980,6,10,29,18.3,0,1.7
"42",3446,1980,6,11,31.7,17.3,1.7,2.7
"43",3447,1980,6,12,29.7,19.7,0,0.300000000000001
"44",3448,1980,6,13,32.7,17.3,2.7,2.7
"45",3449,1980,6,14,30.1,18.1,0.100000000000001,1.9
"46",3450,1980,6,15,32.1,19.1,2.1,0.899999999999999
"47",3451,1980,6,16,29.7,21.7,0,0
"48",3452,1980,6,17,27.9,23.4,0,0
"49",3453,1980,6,18,31.5,20.9,1.5,0
"50",3454,1980,6,19,23.2,17.4,0,2.6
"51",3455,1980,6,20,27.2,17.2,0,2.8
"52",3456,1980,6,21,29.8,17.3,0,2.7
"53",3457,1980,6,22,30.9,19.5,0.899999999999999,0.5
"54",3458,1980,6,23,29.1,18.6,0,1.4
"55",3459,1980,6,24,31.6,20.7,1.6,0
"56",3460,1980,6,25,24.6,20.5,0,0
"57",3461,1980,6,26,26.2,20,0,0
"58",3462,1980,6,27,30.9,17.9,0.899999999999999,2.1
"59",3463,1980,6,28,28,19.1,0,0.899999999999999
"60",3464,1980,6,29,31.1,19.8,1.1,0.199999999999999
"61",3465,1980,6,30,23.2,18.3,0,1.7
"62",3466,1980,7,1,21.2,17.9,0,2.1
"63",3467,1980,7,2,24.6,19.1,0,0.899999999999999
"64",3468,1980,7,3,25,18.5,0,1.5
"65",3469,1980,7,4,24.4,19.4,0,0.600000000000001
"66",3470,1980,7,5,26.4,20.3,0,0
"67",3471,1980,7,6,25.2,19.8,0,0.199999999999999
"68",3472,1980,7,7,30.4,18.5,0.399999999999999,1.5
"69",3473,1980,7,8,29.9,20.3,0,0
"70",3474,1980,7,9,29.8,20.7,0,0
"71",3475,1980,7,10,26.8,19.7,0,0.300000000000001
"72",3476,1980,7,11,23.4,19.8,0,0.199999999999999
"73",3477,1980,7,12,28.3,17.9,0,2.1
"74",3478,1980,7,13,26.7,19.9,0,0.100000000000001
"75",3479,1980,7,14,28.5,19.9,0,0.100000000000001
"76",3480,1980,7,15,27.9,22.3,0,0
"77",3481,1980,7,16,25.9,19.9,0,0.100000000000001
"78",3482,1980,7,17,24.1,19.6,0,0.399999999999999
"79",3483,1980,7,18,24.2,19.5,0,0.5
"80",3484,1980,7,19,26,21.7,0,0
"81",3485,1980,7,20,30.6,23.4,0.600000000000001,0
"82",3486,1980,7,21,31.6,22.6,1.6,0
"83",3487,1980,7,22,30.9,23.6,0.899999999999999,0
"84",3488,1980,7,23,29.3,22.1,0,0
"85",3489,1980,7,24,32,18.3,2,1.7
"86",3490,1980,7,25,25.3,20.3,0,0
"87",3491,1980,7,26,30.3,20.3,0.300000000000001,0
"88",3492,1980,7,27,30,22.6,0,0
"89",3493,1980,7,28,26.6,22.4,0,0
"90",3494,1980,7,29,23.2,20.1,0,0
"91",3495,1980,7,30,23.2,19.2,0,0.800000000000001
"92",3496,1980,7,31,26.4,17.3,0,2.7
"93",3497,1980,8,1,25.7,16.7,0,3.3
"94",3498,1980,8,2,26.4,16.7,0,3.3
"95",3499,1980,8,3,25.1,18.2,0,1.8
"96",3500,1980,8,4,23,17.9,0,2.1
"97",3501,1980,8,5,22,19.1,0,0.899999999999999
"98",3502,1980,8,6,23.5,19.3,0,0.699999999999999
"99",3503,1980,8,7,20.9,17.5,0,2.5
"100",3504,1980,8,8,20.7,18.1,0,1.9
"101",3505,1980,8,9,23.9,18.5,0,1.5
"102",3506,1980,8,10,28.4,19.5,0,0.5
"103",3507,1980,8,11,29,21.3,0,0
"104",3508,1980,8,12,26.5,21.3,0,0
"105",3509,1980,8,13,24.6,20.3,0,0
"106",3510,1980,8,14,27.4,19.9,0,0.100000000000001
"107",3511,1980,8,15,22.5,20.5,0,0
"108",3512,1980,8,16,24.7,20.3,0,0
"109",3513,1980,8,17,24.3,19.9,0,0.100000000000001
"110",3514,1980,8,18,25.2,19.5,0,0.5
"111",3515,1980,8,19,28.7,20.3,0,0
"112",3516,1980,8,20,29.6,21.2,0,0
"113",3517,1980,8,21,25.7,21.2,0,0
"114",3518,1980,8,22,26.7,20.8,0,0
"115",3519,1980,8,23,30.2,20.5,0.199999999999999,0
"116",3520,1980,8,24,29.6,19.1,0,0.899999999999999
"117",3521,1980,8,25,22.2,19.5,0,0.5
"118",3522,1980,8,26,26.3,19.8,0,0.199999999999999
"119",3523,1980,8,27,26.6,21.5,0,0
"120",3524,1980,8,28,23.5,18.5,0,1.5
"121",3525,1980,8,29,21,18.5,0,1.5
"122",3526,1980,8,30,21,19.4,0,0.600000000000001
"123",3527,1980,8,31,27.4,19.5,0,0.5
