"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",7091,1980,6,1,22.1,15.7,0,4.3
"2",7092,1980,6,2,24.2,15,0,5
"3",7093,1980,6,3,25.9,15.4,0,4.6
"4",7094,1980,6,4,31.1,19,1.1,1
"5",7095,1980,6,5,32.8,21.6,2.8,0
"6",7096,1980,6,6,32.5,21.5,2.5,0
"7",7097,1980,6,7,32.2,19.7,2.2,0.300000000000001
"8",7098,1980,6,8,24,16,0,4
"9",7099,1980,6,9,22.9,14.7,0,5.3
"10",7100,1980,6,10,30.1,17.2,0.100000000000001,2.8
"11",7101,1980,6,11,30.4,20.3,0.399999999999999,0
"12",7102,1980,6,12,32.8,22.6,2.8,0
"13",7103,1980,6,13,32.8,22,2.8,0
"14",7104,1980,6,14,34.4,22.5,4.4,0
"15",7105,1980,6,15,33.9,20.8,3.9,0
"16",7106,1980,6,16,30.4,22.7,0.399999999999999,0
"17",7107,1980,6,17,29.2,19.5,0,0.5
"18",7108,1980,6,18,28.9,18.8,0,1.2
"19",7109,1980,6,19,23.8,17.3,0,2.7
"20",7110,1980,6,20,25.6,16.8,0,3.2
"21",7111,1980,6,21,30.8,16.5,0.800000000000001,3.5
"22",7112,1980,6,22,34.7,22.4,4.7,0
"23",7113,1980,6,23,34,23.9,4,0
"24",7114,1980,6,24,32.6,22.5,2.6,0
"25",7115,1980,6,25,22.5,18.7,0,1.3
"26",7116,1980,6,26,24.2,18.8,0,1.2
"27",7117,1980,6,27,30.9,18.8,0.899999999999999,1.2
"28",7118,1980,6,28,29.9,20.8,0,0
"29",7119,1980,6,29,24.5,18.9,0,1.1
"30",7120,1980,6,30,24,18.3,0,1.7
"31",7121,1980,7,1,18.6,15.4,1.4,4.6
"32",7122,1980,7,2,18,15.5,2,4.5
"33",7123,1980,7,3,21.5,16.2,0,3.8
"34",7124,1980,7,4,26.2,16.5,0,3.5
"35",7125,1980,7,5,28.3,22.2,0,0
"36",7126,1980,7,6,30.4,20.8,0.399999999999999,0
"37",7127,1980,7,7,31.7,22.4,1.7,0
"38",7128,1980,7,8,26.9,19.8,0,0.199999999999999
"39",7129,1980,7,9,26.2,19.4,0,0.600000000000001
"40",7130,1980,7,10,27,19.4,0,0.600000000000001
"41",7131,1980,7,11,27.2,20,0,0
"42",7132,1980,7,12,29.8,19.8,0,0.199999999999999
"43",7133,1980,7,13,25.5,20.2,0,0
"44",7134,1980,7,14,20.4,18.3,0,1.7
"45",7135,1980,7,15,23.1,18.3,0,1.7
"46",7136,1980,7,16,24.2,17.1,0,2.9
"47",7137,1980,7,17,23.4,16.6,0,3.4
"48",7138,1980,7,18,21.2,16.8,0,3.2
"49",7139,1980,7,19,26.6,18.4,0,1.6
"50",7140,1980,7,20,27.1,20.5,0,0
"51",7141,1980,7,21,28.2,22,0,0
"52",7142,1980,7,22,30.4,20.7,0.399999999999999,0
"53",7143,1980,7,23,30.3,21,0.300000000000001,0
"54",7144,1980,7,24,33.2,21.5,3.2,0
"55",7145,1980,7,25,26.6,20.4,0,0
"56",7146,1980,7,26,25,20.8,0,0
"57",7147,1980,7,27,23.7,20.2,0,0
"58",7148,1980,7,28,22.6,19.8,0,0.199999999999999
"59",7149,1980,7,29,21.7,18.7,0,1.3
"60",7150,1980,7,30,22.6,17.8,0,2.2
"61",7151,1980,7,31,23.2,15.8,0,4.2
"62",7456,1981,6,1,17.8,6.2,2.2,13.8
"63",7457,1981,6,2,26.8,10.6,0,9.4
"64",7458,1981,6,3,28.3,17.6,0,2.4
"65",7459,1981,6,4,26.7,14.5,0,5.5
"66",7460,1981,6,5,26.8,13.4,0,6.6
"67",7461,1981,6,6,22.3,13.2,0,6.8
"68",7462,1981,6,7,21.8,12.3,0,7.7
"69",7463,1981,6,8,18.6,10.9,1.4,9.1
"70",7464,1981,6,9,28,15.7,0,4.3
"71",7465,1981,6,10,21.4,16.2,0,3.8
"72",7466,1981,6,11,21.1,15.6,0,4.4
"73",7467,1981,6,12,18.9,14.2,1.1,5.8
"74",7468,1981,6,13,19.9,13.9,0.100000000000001,6.1
"75",7469,1981,6,14,22.5,14.2,0,5.8
"76",7470,1981,6,15,23.1,15.4,0,4.6
"77",7471,1981,6,16,31.4,14.8,1.4,5.2
"78",7472,1981,6,17,32.7,22.4,2.7,0
"79",7473,1981,6,18,25.4,15.7,0,4.3
"80",7474,1981,6,19,16.8,14.6,3.2,5.4
"81",7475,1981,6,20,18.6,14.4,1.4,5.6
"82",7476,1981,6,21,17.5,15.4,2.5,4.6
"83",7477,1981,6,22,23.9,15.8,0,4.2
"84",7478,1981,6,23,28.5,13.4,0,6.6
"85",7479,1981,6,24,29.4,21.4,0,0
"86",7480,1981,6,25,27.3,17.6,0,2.4
"87",7481,1981,6,26,27,16.4,0,3.6
"88",7482,1981,6,27,23.6,15.7,0,4.3
"89",7483,1981,6,28,22.3,17,0,3
"90",7484,1981,6,29,22.5,16.9,0,3.1
"91",7485,1981,6,30,22.8,16.8,0,3.2
"92",7486,1981,7,1,21.2,17.9,0,2.1
"93",7487,1981,7,2,19.1,17.6,0.899999999999999,2.4
"94",7488,1981,7,3,18,15.4,2,4.6
"95",7489,1981,7,4,17.8,14.9,2.2,5.1
"96",7490,1981,7,5,31,15.6,1,4.4
"97",7491,1981,7,6,32.1,19.7,2.1,0.300000000000001
"98",7492,1981,7,7,28.7,19.7,0,0.300000000000001
"99",7493,1981,7,8,32.2,23.8,2.2,0
"100",7494,1981,7,9,27.7,24,0,0
