"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",3074,1980,6,1,20.9,17.3,0,2.7
"2",3075,1980,6,2,21.4,15.7,0,4.3
"3",3076,1980,6,3,25.2,12.2,0,7.8
"4",3077,1980,6,4,30.2,13.3,0.199999999999999,6.7
"5",3078,1980,6,5,30.7,10.2,0.699999999999999,9.8
"6",3079,1980,6,6,32.1,11.6,2.1,8.4
"7",3080,1980,6,7,27.8,11.6,0,8.4
"8",3081,1980,6,8,24.1,19.2,0,0.800000000000001
"9",3082,1980,6,9,25.5,16.9,0,3.1
"10",3083,1980,6,10,26.8,18,0,2
"11",3084,1980,6,11,30.8,16.2,0.800000000000001,3.8
"12",3085,1980,6,12,27.8,18.4,0,1.6
"13",3086,1980,6,13,30.6,15.8,0.600000000000001,4.2
"14",3087,1980,6,14,23,19,0,1
"15",3088,1980,6,15,30.3,19.7,0.300000000000001,0.300000000000001
"16",3089,1980,6,16,28.5,19.2,0,0.800000000000001
"17",3090,1980,6,17,23.2,20.2,0,0
"18",3091,1980,6,18,28.3,19.6,0,0.399999999999999
"19",3092,1980,6,19,20.9,16.9,0,3.1
"20",3093,1980,6,20,21.9,16.9,0,3.1
"21",3094,1980,6,21,28.2,16.4,0,3.6
"22",3095,1980,6,22,28.6,17,0,3
"23",3096,1980,6,23,25.3,17.6,0,2.4
"24",3097,1980,6,24,26.6,17.5,0,2.5
"25",3098,1980,6,25,24.8,20.8,0,0
"26",3099,1980,6,26,24.5,19.3,0,0.699999999999999
"27",3100,1980,6,27,30.7,19,0.699999999999999,1
"28",3101,1980,6,28,27.9,19.7,0,0.300000000000001
"29",3102,1980,6,29,29.9,18.1,0,1.9
"30",3103,1980,6,30,21.4,18.8,0,1.2
"31",3104,1980,7,1,26.3,18.6,0,1.4
"32",3105,1980,7,2,27.3,19.9,0,0.100000000000001
"33",3106,1980,7,3,22,18.5,0,1.5
"34",3107,1980,7,4,24.9,18.6,0,1.4
"35",3108,1980,7,5,26.3,18.5,0,1.5
"36",3109,1980,7,6,24.7,19.2,0,0.800000000000001
"37",3110,1980,7,7,30.5,17.8,0.5,2.2
"38",3111,1980,7,8,29.8,19.4,0,0.600000000000001
"39",3112,1980,7,9,27.5,21.1,0,0
"40",3113,1980,7,10,24.9,19.9,0,0.100000000000001
"41",3114,1980,7,11,25.1,20.1,0,0
"42",3115,1980,7,12,25.9,19.8,0,0.199999999999999
"43",3116,1980,7,13,24.1,19.7,0,0.300000000000001
"44",3117,1980,7,14,26.4,20.2,0,0
"45",3118,1980,7,15,29.3,19.1,0,0.899999999999999
"46",3119,1980,7,16,25.9,20.6,0,0
"47",3120,1980,7,17,21.4,18.3,0,1.7
"48",3121,1980,7,18,23.6,19.6,0,0.399999999999999
"49",3122,1980,7,19,29,21.9,0,0
"50",3123,1980,7,20,32.2,23.1,2.2,0
"51",3124,1980,7,21,32.8,22.8,2.8,0
"52",3125,1980,7,22,31.1,22.7,1.1,0
"53",3126,1980,7,23,28.5,21.1,0,0
"54",3127,1980,7,24,31.9,17.2,1.9,2.8
"55",3128,1980,7,25,27.3,19.5,0,0.5
"56",3129,1980,7,26,30.7,21.8,0.699999999999999,0
"57",3130,1980,7,27,30.8,20.5,0.800000000000001,0
