"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",3074,1980,6,1,21.2,16.7,0,3.3
"2",3075,1980,6,2,21.6,16.8,0,3.2
"3",3076,1980,6,3,23.1,15,0,5
"4",3077,1980,6,4,27.9,15.2,0,4.8
"5",3078,1980,6,5,29.9,12.1,0,7.9
"6",3079,1980,6,6,30.5,12.1,0.5,7.9
"7",3080,1980,6,7,27.5,12.2,0,7.8
"8",3081,1980,6,8,22.7,19,0,1
"9",3082,1980,6,9,25.9,18.1,0,1.9
"10",3083,1980,6,10,26.1,19,0,1
"11",3084,1980,6,11,28.9,16.8,0,3.2
"12",3085,1980,6,12,28.7,19,0,1
"13",3086,1980,6,13,30.3,17.3,0.300000000000001,2.7
"14",3087,1980,6,14,25.7,18.9,0,1.1
"15",3088,1980,6,15,28,20.3,0,0
"16",3089,1980,6,16,27.6,17.9,0,2.1
"17",3090,1980,6,17,24.1,21.5,0,0
"18",3091,1980,6,18,29.1,20.2,0,0
"19",3092,1980,6,19,23,17.3,0,2.7
"20",3093,1980,6,20,22.6,16.7,0,3.3
"21",3094,1980,6,21,27.4,16.6,0,3.4
"22",3095,1980,6,22,26.9,19.7,0,0.300000000000001
"23",3096,1980,6,23,26.3,19.1,0,0.899999999999999
"24",3097,1980,6,24,25.9,20.3,0,0
"25",3098,1980,6,25,25.3,20.8,0,0
"26",3099,1980,6,26,25,20.4,0,0
"27",3100,1980,6,27,28.4,19.9,0,0.100000000000001
"28",3101,1980,6,28,24.3,20.3,0,0
"29",3102,1980,6,29,26.8,19,0,1
"30",3103,1980,6,30,22.2,18.4,0,1.6
"31",3104,1980,7,1,23.6,18,0,2
"32",3105,1980,7,2,25.8,19.6,0,0.399999999999999
"33",3106,1980,7,3,23.2,19.1,0,0.899999999999999
"34",3107,1980,7,4,24,18.3,0,1.7
"35",3108,1980,7,5,23.5,18.3,0,1.7
"36",3109,1980,7,6,24.1,20,0,0
"37",3110,1980,7,7,28.1,18.3,0,1.7
"38",3111,1980,7,8,28.6,20.2,0,0
"39",3112,1980,7,9,25.3,21.4,0,0
"40",3113,1980,7,10,24.5,20.9,0,0
"41",3114,1980,7,11,24.7,20.2,0,0
"42",3115,1980,7,12,25.4,19.2,0,0.800000000000001
"43",3116,1980,7,13,24.5,20,0,0
"44",3117,1980,7,14,27.2,19.8,0,0.199999999999999
"45",3118,1980,7,15,28.6,20.6,0,0
"46",3119,1980,7,16,27.1,20.8,0,0
"47",3120,1980,7,17,21.8,19,0,1
"48",3121,1980,7,18,23.9,19.5,0,0.5
"49",3122,1980,7,19,28.9,21.9,0,0
"50",3123,1980,7,20,30,23,0,0
"51",3124,1980,7,21,30.7,24.7,0.699999999999999,0
"52",3125,1980,7,22,30.1,25.4,0.100000000000001,0
"53",3126,1980,7,23,27.8,23.6,0,0
"54",3127,1980,7,24,30,18.7,0,1.3
"55",3128,1980,7,25,26.9,20.8,0,0
"56",3129,1980,7,26,30.2,21.4,0.199999999999999,0
"57",3130,1980,7,27,29.4,20.9,0,0
"58",3131,1980,7,28,26.5,20.9,0,0
"59",3132,1980,7,29,24,21.6,0,0
"60",3133,1980,7,30,22.2,20.8,0,0
"61",3134,1980,7,31,26.1,18,0,2
"62",3439,1981,6,1,21.3,11.4,0,8.6
"63",3440,1981,6,2,26,10.8,0,9.2
"64",3441,1981,6,3,26.6,11,0,9
"65",3442,1981,6,4,28.7,12,0,8
"66",3443,1981,6,5,30.5,13.9,0.5,6.1
"67",3444,1981,6,6,31.2,13.1,1.2,6.9
"68",3445,1981,6,7,31.6,13.6,1.6,6.4
"69",3446,1981,6,8,31.8,14,1.8,6
"70",3447,1981,6,9,25.2,17.4,0,2.6
"71",3448,1981,6,10,21.5,17.3,0,2.7
"72",3449,1981,6,11,22.5,17.3,0,2.7
"73",3450,1981,6,12,20.7,17.3,0,2.7
"74",3451,1981,6,13,24.9,15.5,0,4.5
"75",3452,1981,6,14,23.8,15.7,0,4.3
"76",3453,1981,6,15,27.1,15.7,0,4.3
"77",3454,1981,6,16,28.2,16.1,0,3.9
"78",3455,1981,6,17,31.5,17.3,1.5,2.7
"79",3456,1981,6,18,32.5,21.3,2.5,0
"80",3457,1981,6,19,23.8,19.7,0,0.300000000000001
"81",3458,1981,6,20,27,19.3,0,0.699999999999999
"82",3459,1981,6,21,27.3,21,0,0
"83",3460,1981,6,22,26.3,21.3,0,0
"84",3461,1981,6,23,28.3,18.5,0,1.5
"85",3462,1981,6,24,25.8,16.9,0,3.1
"86",3463,1981,6,25,18.7,16.9,1.3,3.1
"87",3464,1981,6,26,25.2,18.3,0,1.7
"88",3465,1981,6,27,26.2,20.5,0,0
"89",3466,1981,6,28,23.5,20.1,0,0
"90",3467,1981,6,29,24.8,19.9,0,0.100000000000001
"91",3468,1981,6,30,23.3,20.5,0,0
"92",3469,1981,7,1,25.5,21.4,0,0
"93",3470,1981,7,2,25.7,23.3,0,0
"94",3471,1981,7,3,26.8,22.8,0,0
"95",3472,1981,7,4,26.2,20.3,0,0
"96",3473,1981,7,5,27,21.7,0,0
"97",3474,1981,7,6,25.2,23.1,0,0
"98",3475,1981,7,7,30.1,20.6,0.100000000000001,0
"99",3476,1981,7,8,30,21,0,0
"100",3477,1981,7,9,26.9,22.7,0,0
"101",3478,1981,7,10,25.2,20.7,0,0
"102",3479,1981,7,11,25.2,19.2,0,0.800000000000001
"103",3480,1981,7,12,29.4,23.4,0,0
"104",3481,1981,7,13,30.9,24.4,0.899999999999999,0
"105",3482,1981,7,14,30.7,25,0.699999999999999,0
"106",3483,1981,7,15,32.3,23.7,2.3,0
"107",3484,1981,7,16,30.7,24.7,0.699999999999999,0
"108",3485,1981,7,17,32.8,24.7,2.8,0
"109",3486,1981,7,18,33.3,24.2,3.3,0
"110",3487,1981,7,19,34.4,22.9,4.4,0
"111",3488,1981,7,20,33.2,24.5,3.2,0
"112",3489,1981,7,21,33.2,24,3.2,0
"113",3490,1981,7,22,33.6,23.9,3.6,0
