"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",3257,1980,6,1,19.4,9.5,0.600000000000001,10.5
"2",3258,1980,6,2,21.3,8.9,0,11.1
"3",3259,1980,6,3,18.7,8.1,1.3,11.9
"4",3260,1980,6,4,23.3,10.7,0,9.3
"5",3261,1980,6,5,24.2,12.3,0,7.7
"6",3262,1980,6,6,27.8,12.4,0,7.6
"7",3263,1980,6,7,27,6.9,0,13.1
"8",3264,1980,6,8,21.3,12.1,0,7.9
"9",3265,1980,6,9,20.6,11.7,0,8.3
"10",3266,1980,6,10,23.4,14,0,6
"11",3267,1980,6,11,25.5,10.4,0,9.6
"12",3268,1980,6,12,25,14.9,0,5.1
"13",3269,1980,6,13,27,13.9,0,6.1
"14",3270,1980,6,14,28.8,10.7,0,9.3
"15",3271,1980,6,15,29.4,11.6,0,8.4
"16",3272,1980,6,16,21.7,18,0,2
"17",3273,1980,6,17,26.6,17,0,3
"18",3274,1980,6,18,21.5,13.5,0,6.5
"19",3275,1980,6,19,18.9,11.8,1.1,8.2
"20",3276,1980,6,20,22.9,12.5,0,7.5
"21",3277,1980,6,21,25.5,11.2,0,8.8
"22",3278,1980,6,22,26,14.5,0,5.5
"23",3279,1980,6,23,28,14.5,0,5.5
"24",3280,1980,6,24,27.7,12.8,0,7.2
"25",3281,1980,6,25,20.2,14,0,6
"26",3282,1980,6,26,19.7,15.1,0.300000000000001,4.9
"27",3283,1980,6,27,21.8,15.2,0,4.8
"28",3284,1980,6,28,23.6,13.7,0,6.3
"29",3285,1980,6,29,20.5,13.1,0,6.9
"30",3286,1980,6,30,17.1,13.7,2.9,6.3
"31",3287,1980,7,1,14.4,11,5.6,9
"32",3288,1980,7,2,15.2,11.9,4.8,8.1
"33",3289,1980,7,3,16.9,11.9,3.1,8.1
"34",3290,1980,7,4,21.8,13.5,0,6.5
"35",3291,1980,7,5,20.6,15.4,0,4.6
"36",3292,1980,7,6,26.8,13.5,0,6.5
"37",3293,1980,7,7,24.9,16.2,0,3.8
"38",3294,1980,7,8,23.7,14.5,0,5.5
"39",3295,1980,7,9,24.5,11.4,0,8.6
"40",3296,1980,7,10,26.1,15.6,0,4.4
"41",3297,1980,7,11,21.9,15.6,0,4.4
"42",3298,1980,7,12,23.6,14.6,0,5.4
"43",3299,1980,7,13,20.5,13.1,0,6.9
"44",3300,1980,7,14,18,14.2,2,5.8
"45",3301,1980,7,15,18.6,11.4,1.4,8.6
"46",3302,1980,7,16,20.9,8.8,0,11.2
"47",3303,1980,7,17,19.7,8.7,0.300000000000001,11.3
"48",3304,1980,7,18,18.9,13.6,1.1,6.4
"49",3305,1980,7,19,26.9,16.6,0,3.4
"50",3306,1980,7,20,25.4,18.8,0,1.2
"51",3307,1980,7,21,24.2,19,0,1
"52",3308,1980,7,22,22.8,17.3,0,2.7
"53",3309,1980,7,23,25.3,16.8,0,3.2
"54",3310,1980,7,24,26.2,13.8,0,6.2
"55",3311,1980,7,25,22.1,15.7,0,4.3
"56",3312,1980,7,26,19.9,16.2,0.100000000000001,3.8
"57",3313,1980,7,27,22,16.3,0,3.7
"58",3314,1980,7,28,18.9,15.7,1.1,4.3
"59",3315,1980,7,29,17.7,13.5,2.3,6.5
"60",3316,1980,7,30,16.5,12.1,3.5,7.9
"61",3317,1980,7,31,17.8,9.1,2.2,10.9
"62",3622,1981,6,1,15.2,2.3,4.8,17.7
"63",3623,1981,6,2,21,2.3,0,17.7
"64",3624,1981,6,3,22.9,4.2,0,15.8
"65",3625,1981,6,4,18.8,10.9,1.2,9.1
"66",3626,1981,6,5,22,6.6,0,13.4
"67",3627,1981,6,6,22.2,11.5,0,8.5
"68",3628,1981,6,7,24.6,13.3,0,6.7
"69",3629,1981,6,8,24.8,13.4,0,6.6
"70",3630,1981,6,9,24.4,12.8,0,7.2
"71",3631,1981,6,10,18.4,11.7,1.6,8.3
"72",3632,1981,6,11,18.2,9.9,1.8,10.1
"73",3633,1981,6,12,17.6,8.6,2.4,11.4
"74",3634,1981,6,13,20.8,7.2,0,12.8
"75",3635,1981,6,14,24.2,9.4,0,10.6
"76",3636,1981,6,15,23,7.7,0,12.3
"77",3637,1981,6,16,27.2,11.6,0,8.4
"78",3638,1981,6,17,25.7,16.6,0,3.4
"79",3639,1981,6,18,23.6,12.8,0,7.2
"80",3640,1981,6,19,22.8,10.8,0,9.2
"81",3641,1981,6,20,23.8,15.4,0,4.6
"82",3642,1981,6,21,23,13.3,0,6.7
"83",3643,1981,6,22,22.9,11.7,0,8.3
"84",3644,1981,6,23,23.9,8.9,0,11.1
"85",3645,1981,6,24,21.8,12.7,0,7.3
"86",3646,1981,6,25,22.8,9.4,0,10.6
"87",3647,1981,6,26,25.8,7.2,0,12.8
"88",3648,1981,6,27,24,15.8,0,4.2
"89",3649,1981,6,28,22,14.4,0,5.6
"90",3650,1981,6,29,22.7,13.2,0,6.8
"91",3651,1981,6,30,24,12.4,0,7.6
"92",3652,1981,7,1,22.4,16.2,0,3.8
"93",3653,1981,7,2,22.4,15.3,0,4.7
"94",3654,1981,7,3,19.6,11.4,0.399999999999999,8.6
"95",3655,1981,7,4,22.2,11.1,0,8.9
"96",3656,1981,7,5,22.6,19.6,0,0.399999999999999
"97",3657,1981,7,6,24.8,18.1,0,1.9
"98",3658,1981,7,7,25.9,16.9,0,3.1
"99",3659,1981,7,8,25,16.5,0,3.5
"100",3660,1981,7,9,23.9,17.2,0,2.8
"101",3661,1981,7,10,22.8,16,0,4
"102",3662,1981,7,11,20.9,15.3,0,4.7
"103",3663,1981,7,12,23.4,14.9,0,5.1
"104",3664,1981,7,13,25.8,15.5,0,4.5
"105",3665,1981,7,14,25.7,18.8,0,1.2
"106",3666,1981,7,15,27.2,19.6,0,0.399999999999999
"107",3667,1981,7,16,28,20,0,0
"108",3668,1981,7,17,27.9,21.3,0,0
"109",3669,1981,7,18,28.2,20,0,0
"110",3670,1981,7,19,28.9,19.5,0,0.5
"111",3671,1981,7,20,28.8,20.5,0,0
"112",3672,1981,7,21,30.1,20.5,0.100000000000001,0
"113",3673,1981,7,22,25.6,16.6,0,3.4
"114",3674,1981,7,23,25.6,15,0,5
"115",3675,1981,7,24,27.2,18.5,0,1.5
"116",3676,1981,7,25,28.1,19.4,0,0.600000000000001
"117",3677,1981,7,26,28,17.6,0,2.4
"118",3678,1981,7,27,21.2,18.4,0,1.6
"119",3679,1981,7,28,27.4,18.2,0,1.8
"120",3680,1981,7,29,27.6,19.9,0,0.100000000000001
"121",3681,1981,7,30,28.8,17.8,0,2.2
"122",3682,1981,7,31,25.4,15.4,0,4.6
"123",3987,1982,6,1,8.6,6.4,11.4,13.6
"124",3988,1982,6,2,12.8,6.6,7.2,13.4
"125",3989,1982,6,3,23.1,6.8,0,13.2
"126",3990,1982,6,4,25.1,8,0,12
"127",3991,1982,6,5,21.4,6,0,14
"128",3992,1982,6,6,26.1,6.8,0,13.2
"129",3993,1982,6,7,24.2,10,0,10
"130",3994,1982,6,8,21.8,6.5,0,13.5
"131",3995,1982,6,9,24.6,5.4,0,14.6
"132",3996,1982,6,10,25.4,9.9,0,10.1
"133",3997,1982,6,11,25.4,10.6,0,9.4
"134",3998,1982,6,12,25.9,11.5,0,8.5
"135",3999,1982,6,13,16.6,11.3,3.4,8.7
"136",4000,1982,6,14,18.4,8.8,1.6,11.2
"137",4001,1982,6,15,24,7.4,0,12.6
"138",4002,1982,6,16,23.9,11.7,0,8.3
"139",4003,1982,6,17,20.5,6.5,0,13.5
"140",4004,1982,6,18,19,11.4,1,8.6
"141",4005,1982,6,19,20.6,12.6,0,7.4
"142",4006,1982,6,20,21.7,13.7,0,6.3
"143",4007,1982,6,21,19.8,10.5,0.199999999999999,9.5
"144",4008,1982,6,22,21.4,14.7,0,5.3
