"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",3074,1980,6,1,22.9,16.8,0,3.2
"2",3075,1980,6,2,22.8,15.3,0,4.7
"3",3076,1980,6,3,24.6,13.1,0,6.9
"4",3077,1980,6,4,24.3,11.8,0,8.2
"5",3078,1980,6,5,30.2,9.4,0.199999999999999,10.6
"6",3079,1980,6,6,31.7,12,1.7,8
"7",3080,1980,6,7,29.1,10.7,0,9.3
"8",3081,1980,6,8,24.5,18.3,0,1.7
"9",3082,1980,6,9,26.5,15.3,0,4.7
"10",3083,1980,6,10,28.4,17.5,0,2.5
"11",3084,1980,6,11,31.5,16.6,1.5,3.4
"12",3085,1980,6,12,29.3,18,0,2
"13",3086,1980,6,13,32.3,16.2,2.3,3.8
"14",3087,1980,6,14,28.6,17.8,0,2.2
"15",3088,1980,6,15,31.4,18,1.4,2
"16",3089,1980,6,16,29.1,21,0,0
"17",3090,1980,6,17,27.8,22.1,0,0
"18",3091,1980,6,18,30.9,20,0.899999999999999,0
"19",3092,1980,6,19,24.3,17.7,0,2.3
"20",3093,1980,6,20,25.7,16.8,0,3.2
"21",3094,1980,6,21,28.9,16.6,0,3.4
"22",3095,1980,6,22,29.7,18.2,0,1.8
"23",3096,1980,6,23,28.8,17.8,0,2.2
"24",3097,1980,6,24,30.3,19.5,0.300000000000001,0.5
"25",3098,1980,6,25,24.9,20.4,0,0
"26",3099,1980,6,26,27.3,18.7,0,1.3
"27",3100,1980,6,27,30.4,16.6,0.399999999999999,3.4
"28",3101,1980,6,28,28.8,18,0,2
"29",3102,1980,6,29,30.6,17.8,0.600000000000001,2.2
"30",3103,1980,6,30,23,18.1,0,1.9
"31",3104,1980,7,1,21.8,17.4,0,2.6
"32",3105,1980,7,2,24.2,18.4,0,1.6
"33",3106,1980,7,3,24.7,18.8,0,1.2
"34",3107,1980,7,4,23.7,18.3,0,1.7
"35",3108,1980,7,5,27.2,19.6,0,0.399999999999999
"36",3109,1980,7,6,24.8,19.7,0,0.300000000000001
"37",3110,1980,7,7,29.4,17.5,0,2.5
"38",3111,1980,7,8,30.1,19.4,0.100000000000001,0.600000000000001
"39",3112,1980,7,9,29,20,0,0
"40",3113,1980,7,10,26.7,19.6,0,0.399999999999999
"41",3114,1980,7,11,22.3,18.4,0,1.6
"42",3115,1980,7,12,29.3,17.3,0,2.7
"43",3116,1980,7,13,27.8,19.7,0,0.300000000000001
"44",3117,1980,7,14,29.5,19.5,0,0.5
"45",3118,1980,7,15,27.3,21.8,0,0
"46",3119,1980,7,16,25.7,19.6,0,0.399999999999999
"47",3120,1980,7,17,23.7,19,0,1
"48",3121,1980,7,18,23.2,18.7,0,1.3
"49",3122,1980,7,19,27,21.2,0,0
"50",3123,1980,7,20,31.2,22.8,1.2,0
"51",3124,1980,7,21,31.3,20.9,1.3,0
"52",3125,1980,7,22,31.6,22.2,1.6,0
"53",3126,1980,7,23,29.9,20.5,0,0
"54",3127,1980,7,24,32,16.5,2,3.5
"55",3128,1980,7,25,23.7,19.6,0,0.399999999999999
"56",3129,1980,7,26,32.5,19.8,2.5,0.199999999999999
"57",3130,1980,7,27,29.9,21.3,0,0
"58",3131,1980,7,28,26.6,22.7,0,0
"59",3132,1980,7,29,23.1,20.9,0,0
"60",3133,1980,7,30,23.3,18.7,0,1.3
"61",3134,1980,7,31,27.8,16.3,0,3.7
"62",3439,1981,6,1,25.4,8.5,0,11.5
"63",3440,1981,6,2,27.8,10.2,0,9.8
"64",3441,1981,6,3,27.4,9.9,0,10.1
"65",3442,1981,6,4,28.6,11.1,0,8.9
"66",3443,1981,6,5,30.8,9.7,0.800000000000001,10.3
"67",3444,1981,6,6,32.2,11.3,2.2,8.7
"68",3445,1981,6,7,34,12.5,4,7.5
"69",3446,1981,6,8,32.2,13.2,2.2,6.8
"70",3447,1981,6,9,26,17.5,0,2.5
"71",3448,1981,6,10,21,16.4,0,3.6
"72",3449,1981,6,11,22.8,16.4,0,3.6
"73",3450,1981,6,12,22.4,16,0,4
"74",3451,1981,6,13,28.6,14.3,0,5.7
"75",3452,1981,6,14,27.7,17.4,0,2.6
"76",3453,1981,6,15,31.4,16.8,1.4,3.2
"77",3454,1981,6,16,31.7,17.9,1.7,2.1
"78",3455,1981,6,17,33.1,18.1,3.1,1.9
"79",3456,1981,6,18,33.5,22.1,3.5,0
"80",3457,1981,6,19,25.8,20.2,0,0
"81",3458,1981,6,20,29.8,19.7,0,0.300000000000001
"82",3459,1981,6,21,28.7,21.5,0,0
"83",3460,1981,6,22,26,21.7,0,0
"84",3461,1981,6,23,29.7,19.7,0,0.300000000000001
"85",3462,1981,6,24,25.6,17.5,0,2.5
"86",3463,1981,6,25,20.3,16.5,0,3.5
"87",3464,1981,6,26,25.2,18.2,0,1.8
"88",3465,1981,6,27,28,20.4,0,0
"89",3466,1981,6,28,23.2,19.7,0,0.300000000000001
"90",3467,1981,6,29,27.6,19,0,1
"91",3468,1981,6,30,25.3,20.4,0,0
"92",3469,1981,7,1,25.3,21.1,0,0
"93",3470,1981,7,2,27.5,23.2,0,0
"94",3471,1981,7,3,26.8,23,0,0
"95",3472,1981,7,4,26.1,21.4,0,0
"96",3473,1981,7,5,30.6,20.6,0.600000000000001,0
"97",3474,1981,7,6,26.9,20.4,0,0
"98",3475,1981,7,7,31.4,18.1,1.4,1.9
"99",3476,1981,7,8,32.1,19.8,2.1,0.199999999999999
"100",3477,1981,7,9,26,20,0,0
"101",3478,1981,7,10,27.4,18.9,0,1.1
"102",3479,1981,7,11,22.5,20.1,0,0
"103",3480,1981,7,12,28.1,20.8,0,0
"104",3481,1981,7,13,29.5,23.9,0,0
"105",3482,1981,7,14,30.8,23.4,0.800000000000001,0
"106",3483,1981,7,15,30.8,23.4,0.800000000000001,0
"107",3484,1981,7,16,31.1,22.3,1.1,0
"108",3485,1981,7,17,32.3,23.4,2.3,0
"109",3486,1981,7,18,34.8,23,4.8,0
"110",3487,1981,7,19,36.2,22.4,6.2,0
"111",3488,1981,7,20,36.1,22.2,6.1,0
"112",3489,1981,7,21,35.3,21.6,5.3,0
"113",3490,1981,7,22,34.9,23.3,4.9,0
"114",3491,1981,7,23,31.7,24.3,1.7,0
"115",3492,1981,7,24,32.5,24.7,2.5,0
"116",3493,1981,7,25,33.5,23.3,3.5,0
"117",3494,1981,7,26,33.7,22.9,3.7,0
"118",3495,1981,7,27,27.9,24.2,0,0
"119",3496,1981,7,28,30,24.1,0,0
"120",3497,1981,7,29,32.2,25,2.2,0
"121",3498,1981,7,30,34.9,22.2,4.9,0
"122",3499,1981,7,31,32.1,22.4,2.1,0
"123",3804,1982,6,1,18,14.2,2,5.8
"124",3805,1982,6,2,23.8,12.3,0,7.7
"125",3806,1982,6,3,27.6,12.2,0,7.8
"126",3807,1982,6,4,32.7,13.4,2.7,6.6
"127",3808,1982,6,5,31.5,15.4,1.5,4.6
"128",3809,1982,6,6,28,14.3,0,5.7
"129",3810,1982,6,7,32.3,15.1,2.3,4.9
"130",3811,1982,6,8,32.9,13.9,2.9,6.1
"131",3812,1982,6,9,32.1,14.5,2.1,5.5
"132",3813,1982,6,10,33.1,15.7,3.1,4.3
"133",3814,1982,6,11,34,16.2,4,3.8
"134",3815,1982,6,12,31.6,14.3,1.6,5.7
"135",3816,1982,6,13,21.8,16.9,0,3.1
"136",3817,1982,6,14,28.1,16.8,0,3.2
"137",3818,1982,6,15,28.3,14.5,0,5.5
"138",3819,1982,6,16,28.9,15.5,0,4.5
"139",3820,1982,6,17,30.1,15.2,0.100000000000001,4.8
"140",3821,1982,6,18,30.2,17,0.199999999999999,3
"141",3822,1982,6,19,29.3,15.3,0,4.7
"142",3823,1982,6,20,30.7,17.8,0.699999999999999,2.2
"143",3824,1982,6,21,28.5,19.5,0,0.5
"144",3825,1982,6,22,27.4,18.8,0,1.2
"145",3826,1982,6,23,29.9,18.6,0,1.4
"146",3827,1982,6,24,29,16.3,0,3.7
"147",3828,1982,6,25,28.4,19.3,0,0.699999999999999
"148",3829,1982,6,26,28.3,17.9,0,2.1
"149",3830,1982,6,27,29.2,15.8,0,4.2
"150",3831,1982,6,28,30.9,15.3,0.899999999999999,4.7
"151",3832,1982,6,29,28.7,18.6,0,1.4
"152",3833,1982,6,30,32.3,14.2,2.3,5.8
"153",3834,1982,7,1,30.5,19.5,0.5,0.5
"154",3835,1982,7,2,32,15.6,2,4.4
"155",3836,1982,7,3,31.7,15.8,1.7,4.2
"156",3837,1982,7,4,32.1,19.1,2.1,0.899999999999999
"157",3838,1982,7,5,30.3,18.1,0.300000000000001,1.9
"158",3839,1982,7,6,30.7,20.2,0.699999999999999,0
"159",3840,1982,7,7,33,19.8,3,0.199999999999999
"160",3841,1982,7,8,35.3,18.6,5.3,1.4
"161",3842,1982,7,9,34.2,18.9,4.2,1.1
"162",3843,1982,7,10,29.9,21.4,0,0
"163",3844,1982,7,11,30.9,21.3,0.899999999999999,0
"164",3845,1982,7,12,34.2,16.7,4.2,3.3
"165",3846,1982,7,13,23.8,19.1,0,0.899999999999999
"166",3847,1982,7,14,23.4,18.4,0,1.6
"167",3848,1982,7,15,26.4,20,0,0
"168",3849,1982,7,16,32.6,21.7,2.6,0
"169",3850,1982,7,17,32.1,17.2,2.1,2.8
"170",3851,1982,7,18,28.8,18,0,2
"171",3852,1982,7,19,33.2,17.3,3.2,2.7
"172",3853,1982,7,20,31.4,18.9,1.4,1.1
"173",3854,1982,7,21,36.1,18.3,6.1,1.7
"174",3855,1982,7,22,30.1,20.8,0.100000000000001,0
"175",3856,1982,7,23,22.9,19.1,0,0.899999999999999
"176",3857,1982,7,24,23.7,20.4,0,0
"177",3858,1982,7,25,25.9,21.4,0,0
"178",3859,1982,7,26,30.5,21.4,0.5,0
"179",3860,1982,7,27,31.1,20.1,1.1,0
"180",3861,1982,7,28,29.7,24.4,0,0
"181",3862,1982,7,29,25,20.3,0,0
"182",3863,1982,7,30,33.7,19.6,3.7,0.399999999999999
"183",3864,1982,7,31,32.6,21.3,2.6,0
"184",4169,1983,6,1,33.6,16.3,3.6,3.7
"185",4170,1983,6,2,32.5,13.4,2.5,6.6
"186",4171,1983,6,3,28.8,16.9,0,3.1
"187",4172,1983,6,4,28.9,13.2,0,6.8
"188",4173,1983,6,5,30.3,11.9,0.300000000000001,8.1
"189",4174,1983,6,6,29.8,17.6,0,2.4
"190",4175,1983,6,7,30.7,8.6,0.699999999999999,11.4
"191",4176,1983,6,8,29.4,12.8,0,7.2
"192",4177,1983,6,9,31.7,11.7,1.7,8.3
"193",4178,1983,6,10,34.1,13.8,4.1,6.2
"194",4179,1983,6,11,27.5,18,0,2
"195",4180,1983,6,12,18.1,14.8,1.9,5.2
"196",4181,1983,6,13,27.8,15.7,0,4.3
"197",4182,1983,6,14,33.3,11.5,3.3,8.5
"198",4183,1983,6,15,25.6,15.8,0,4.2
"199",4184,1983,6,16,28.5,16.8,0,3.2
"200",4185,1983,6,17,30.3,13.4,0.300000000000001,6.6
"201",4186,1983,6,18,31.1,16.3,1.1,3.7
"202",4187,1983,6,19,30.1,17.6,0.100000000000001,2.4
"203",4188,1983,6,20,22,18.8,0,1.2
"204",4189,1983,6,21,28.1,18.1,0,1.9
"205",4190,1983,6,22,29.3,16.7,0,3.3
"206",4191,1983,6,23,25.5,18.4,0,1.6
"207",4192,1983,6,24,32.5,16.8,2.5,3.2
"208",4193,1983,6,25,25,20,0,0
"209",4194,1983,6,26,28.9,18.2,0,1.8
"210",4195,1983,6,27,29.5,18.5,0,1.5
"211",4196,1983,6,28,28.5,17.7,0,2.3
"212",4197,1983,6,29,28.4,19.9,0,0.100000000000001
"213",4198,1983,6,30,29.9,19.9,0,0.100000000000001
"214",4199,1983,7,1,30.2,18.7,0.199999999999999,1.3
"215",4200,1983,7,2,25.8,20.7,0,0
"216",4201,1983,7,3,31.7,19.9,1.7,0.100000000000001
"217",4202,1983,7,4,31.5,19.9,1.5,0.100000000000001
"218",4203,1983,7,5,32.9,18.9,2.9,1.1
"219",4204,1983,7,6,28.9,19.9,0,0.100000000000001
"220",4205,1983,7,7,21.9,18.9,0,1.1
"221",4206,1983,7,8,23.7,17.9,0,2.1
"222",4207,1983,7,9,28.5,18.9,0,1.1
"223",4208,1983,7,10,28.1,19.4,0,0.600000000000001
"224",4209,1983,7,11,29.3,17.6,0,2.4
"225",4210,1983,7,12,29.4,16.5,0,3.5
"226",4211,1983,7,13,28.4,17.6,0,2.4
"227",4212,1983,7,14,23.4,19.2,0,0.800000000000001
"228",4213,1983,7,15,32.7,20.7,2.7,0
"229",4214,1983,7,16,28.1,19.8,0,0.199999999999999
"230",4215,1983,7,17,26.6,17.8,0,2.2
"231",4216,1983,7,18,32.9,14.9,2.9,5.1
"232",4217,1983,7,19,23.7,18.8,0,1.2
"233",4218,1983,7,20,26.8,19.6,0,0.399999999999999
"234",4219,1983,7,21,23.8,18.7,0,1.3
"235",4220,1983,7,22,25.2,20.2,0,0
"236",4221,1983,7,23,23.1,19.8,0,0.199999999999999
"237",4222,1983,7,24,30.5,21.4,0.5,0
"238",4223,1983,7,25,33.2,22,3.2,0
"239",4224,1983,7,26,35.1,21.9,5.1,0
"240",4225,1983,7,27,34.6,22.3,4.6,0
"241",4226,1983,7,28,34.9,23.1,4.9,0
