"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",4535,1980,6,1,19.1,14.7,0.899999999999999,5.3
"2",4536,1980,6,2,20,14.5,0,5.5
"3",4537,1980,6,3,27,16.1,0,3.9
"4",4538,1980,6,4,30,16.5,0,3.5
"5",4539,1980,6,5,32.8,22.6,2.8,0
"6",4540,1980,6,6,28.2,18.7,0,1.3
"7",4541,1980,6,7,28.1,17.3,0,2.7
"8",4542,1980,6,8,18.8,14.4,1.2,5.6
"9",4543,1980,6,9,20.1,14.4,0,5.6
"10",4544,1980,6,10,24.8,15.9,0,4.1
"11",4545,1980,6,11,26.6,17.4,0,2.6
"12",4546,1980,6,12,31.8,23.3,1.8,0
"13",4547,1980,6,13,29.9,22,0,0
"14",4548,1980,6,14,28.3,20.5,0,0
"15",4549,1980,6,15,26.4,18.9,0,1.1
"16",4550,1980,6,16,24.6,17.4,0,2.6
"17",4551,1980,6,17,25.1,18.6,0,1.4
"18",4552,1980,6,18,27.7,18.3,0,1.7
"19",4553,1980,6,19,20.5,17.1,0,2.9
"20",4554,1980,6,20,20.7,16.8,0,3.2
"21",4555,1980,6,21,24.8,16.6,0,3.4
"22",4556,1980,6,22,27,19.4,0,0.600000000000001
"23",4557,1980,6,23,28,20.7,0,0
"24",4558,1980,6,24,30,21.8,0,0
"25",4559,1980,6,25,21.8,18.7,0,1.3
"26",4560,1980,6,26,22.3,18.6,0,1.4
"27",4561,1980,6,27,26.3,18.5,0,1.5
"28",4562,1980,6,28,27.2,20.1,0,0
"29",4563,1980,6,29,23.2,19.1,0,0.899999999999999
"30",4564,1980,6,30,20.8,18.2,0,1.8
"31",4565,1980,7,1,18.6,15.9,1.4,4.1
"32",4566,1980,7,2,18,15.4,2,4.6
"33",4567,1980,7,3,19.2,16.1,0.800000000000001,3.9
"34",4568,1980,7,4,21.5,16.6,0,3.4
"35",4569,1980,7,5,26.4,19.8,0,0.199999999999999
"36",4570,1980,7,6,27,20.3,0,0
"37",4571,1980,7,7,30.6,21,0.600000000000001,0
"38",4572,1980,7,8,24.3,18.6,0,1.4
"39",4573,1980,7,9,22.2,19.3,0,0.699999999999999
"40",4574,1980,7,10,23,19.6,0,0.399999999999999
