"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",3431,1980,6,1,21.7,17.4,0,2.6
"2",3432,1980,6,2,18.9,14.8,1.1,5.2
"3",3433,1980,6,3,23.7,10.2,0,9.8
"4",3434,1980,6,4,29.1,11.8,0,8.2
"5",3435,1980,6,5,30.3,9.1,0.300000000000001,10.9
"6",3436,1980,6,6,30.6,11,0.600000000000001,9
"7",3437,1980,6,7,25.7,12.1,0,7.9
"8",3438,1980,6,8,23.7,18.2,0,1.8
"9",3439,1980,6,9,24.5,16.7,0,3.3
"10",3440,1980,6,10,26.3,17.1,0,2.9
"11",3441,1980,6,11,30.3,16.4,0.300000000000001,3.6
"12",3442,1980,6,12,26.2,17.3,0,2.7
"13",3443,1980,6,13,31.2,15.5,1.2,4.5
"14",3444,1980,6,14,23.5,18.5,0,1.5
"15",3445,1980,6,15,29,19.8,0,0.199999999999999
"16",3446,1980,6,16,28.4,19.6,0,0.399999999999999
"17",3447,1980,6,17,24.3,20.1,0,0
"18",3448,1980,6,18,28.9,18.9,0,1.1
"19",3449,1980,6,19,22.9,17.2,0,2.8
"20",3450,1980,6,20,22.1,16.4,0,3.6
"21",3451,1980,6,21,28.1,16.7,0,3.3
"22",3452,1980,6,22,29,18.1,0,1.9
"23",3453,1980,6,23,27.1,19.5,0,0.5
"24",3454,1980,6,24,28.5,20.3,0,0
"25",3455,1980,6,25,24.6,20.5,0,0
"26",3456,1980,6,26,22.8,19,0,1
"27",3457,1980,6,27,29.5,18.7,0,1.3
"28",3458,1980,6,28,28.6,19.9,0,0.100000000000001
"29",3459,1980,6,29,30.5,18.2,0.5,1.8
"30",3460,1980,6,30,21.7,17.8,0,2.2
"31",3461,1980,7,1,24.4,17.8,0,2.2
"32",3462,1980,7,2,25.1,19.3,0,0.699999999999999
"33",3463,1980,7,3,23.5,19,0,1
"34",3464,1980,7,4,24.6,17.4,0,2.6
"35",3465,1980,7,5,26,18.4,0,1.6
"36",3466,1980,7,6,24.6,19.2,0,0.800000000000001
"37",3467,1980,7,7,29.7,18.3,0,1.7
"38",3468,1980,7,8,28.9,18.9,0,1.1
"39",3469,1980,7,9,26.3,20.6,0,0
"40",3470,1980,7,10,25.9,20.7,0,0
"41",3471,1980,7,11,26,20.4,0,0
