"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",5265,1980,6,1,29.7,16.7,0,3.3
"2",5266,1980,6,2,20.5,12.7,0,7.3
"3",5267,1980,6,3,24.1,12.4,0,7.6
"4",5268,1980,6,4,27.4,13.9,0,6.1
"5",5269,1980,6,5,28.4,12.6,0,7.4
"6",5270,1980,6,6,30.3,12.5,0.300000000000001,7.5
"7",5271,1980,6,7,29.3,14.2,0,5.8
"8",5272,1980,6,8,22,17,0,3
"9",5273,1980,6,9,24.3,16.8,0,3.2
"10",5274,1980,6,10,25.9,17.5,0,2.5
"11",5275,1980,6,11,28.5,16,0,4
"12",5276,1980,6,12,28.9,16.2,0,3.8
"13",5277,1980,6,13,31.7,18.7,1.7,1.3
"14",5278,1980,6,14,33,17.9,3,2.1
"15",5279,1980,6,15,32.2,17.5,2.2,2.5
"16",5280,1980,6,16,26.2,20.4,0,0
"17",5281,1980,6,17,30.5,21.3,0.5,0
"18",5282,1980,6,18,29.3,19.4,0,0.600000000000001
"19",5283,1980,6,19,27.5,17.3,0,2.7
"20",5284,1980,6,20,26.9,19.5,0,0.5
"21",5285,1980,6,21,28.7,17.4,0,2.6
"22",5286,1980,6,22,30.2,15.8,0.199999999999999,4.2
"23",5287,1980,6,23,29.3,17,0,3
"24",5288,1980,6,24,33.2,17.4,3.2,2.6
"25",5289,1980,6,25,23.2,18.1,0,1.9
"26",5290,1980,6,26,24.1,18.4,0,1.6
"27",5291,1980,6,27,23.3,19.1,0,0.899999999999999
"28",5292,1980,6,28,28.3,18.7,0,1.3
"29",5293,1980,6,29,31.5,18.9,1.5,1.1
"30",5294,1980,6,30,24.6,18.6,0,1.4
"31",5295,1980,7,1,20.8,16.7,0,3.3
"32",5296,1980,7,2,22.2,16.4,0,3.6
"33",5297,1980,7,3,28.7,15.6,0,4.4
"34",5298,1980,7,4,24.8,20,0,0
"35",5299,1980,7,5,24.4,19,0,1
"36",5300,1980,7,6,29.6,18.5,0,1.5
"37",5301,1980,7,7,29.9,20.5,0,0
"38",5302,1980,7,8,28.8,20.6,0,0
"39",5303,1980,7,9,32.6,20.2,2.6,0
"40",5304,1980,7,10,31.1,21.6,1.1,0
"41",5305,1980,7,11,26.5,20.8,0,0
"42",5306,1980,7,12,30.3,18.6,0.300000000000001,1.4
"43",5307,1980,7,13,28.8,19.2,0,0.800000000000001
"44",5308,1980,7,14,22.9,18.4,0,1.6
"45",5309,1980,7,15,27.5,19.2,0,0.800000000000001
"46",5310,1980,7,16,29.5,17.4,0,2.6
"47",5311,1980,7,17,28.3,18.7,0,1.3
"48",5312,1980,7,18,23.7,18.7,0,1.3
"49",5313,1980,7,19,30.8,20.8,0.800000000000001,0
"50",5314,1980,7,20,26.1,21.6,0,0
"51",5315,1980,7,21,27.5,21.4,0,0
"52",5316,1980,7,22,28.4,22.4,0,0
"53",5317,1980,7,23,29.1,19.9,0,0.100000000000001
"54",5318,1980,7,24,30.4,19.2,0.399999999999999,0.800000000000001
"55",5319,1980,7,25,25.5,21,0,0
"56",5320,1980,7,26,30.1,21.4,0.100000000000001,0
"57",5321,1980,7,27,29.1,20.3,0,0
"58",5322,1980,7,28,24.5,21.2,0,0
"59",5323,1980,7,29,26.1,19.7,0,0.300000000000001
"60",5324,1980,7,30,27.5,18.2,0,1.8
