"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",7091,1980,6,1,21.4,14.7,0,5.3
"2",7092,1980,6,2,28.7,15.6,0,4.4
"3",7093,1980,6,3,25.7,14.9,0,5.1
"4",7094,1980,6,4,29.7,16.3,0,3.7
"5",7095,1980,6,5,32.7,17.6,2.7,2.4
"6",7096,1980,6,6,33.2,21,3.2,0
"7",7097,1980,6,7,29.7,15.8,0,4.2
"8",7098,1980,6,8,24.7,16.4,0,3.6
"9",7099,1980,6,9,20.8,15.4,0,4.6
"10",7100,1980,6,10,27.7,16.7,0,3.3
"11",7101,1980,6,11,27.7,20.2,0,0
"12",7102,1980,6,12,30.9,22.2,0.899999999999999,0
"13",7103,1980,6,13,30.5,20.9,0.5,0
"14",7104,1980,6,14,32.9,19.8,2.9,0.199999999999999
"15",7105,1980,6,15,32.7,20.2,2.7,0
"16",7106,1980,6,16,30.3,22.6,0.300000000000001,0
"17",7107,1980,6,17,28.9,23.3,0,0
"18",7108,1980,6,18,29.9,17.8,0,2.2
"19",7109,1980,6,19,21.3,16.7,0,3.3
"20",7110,1980,6,20,22.9,15.9,0,4.1
"21",7111,1980,6,21,26.8,16.2,0,3.8
"22",7112,1980,6,22,31.6,19.9,1.6,0.100000000000001
"23",7113,1980,6,23,32.5,21.2,2.5,0
"24",7114,1980,6,24,30.5,21.8,0.5,0
"25",7115,1980,6,25,25.2,19,0,1
"26",7116,1980,6,26,29.4,19.2,0,0.800000000000001
"27",7117,1980,6,27,28.7,18.1,0,1.9
"28",7118,1980,6,28,27,20.4,0,0
"29",7119,1980,6,29,25.2,18,0,2
"30",7120,1980,6,30,23,18.3,0,1.7
"31",7121,1980,7,1,19,17.3,1,2.7
"32",7122,1980,7,2,21,18.1,0,1.9
"33",7123,1980,7,3,23,17,0,3
"34",7124,1980,7,4,26,17.9,0,2.1
"35",7125,1980,7,5,27.6,20.4,0,0
"36",7126,1980,7,6,25.6,21.4,0,0
"37",7127,1980,7,7,30.3,19.9,0.300000000000001,0.100000000000001
"38",7128,1980,7,8,28.7,21.4,0,0
"39",7129,1980,7,9,25.2,20.6,0,0
"40",7130,1980,7,10,28,20.8,0,0
"41",7131,1980,7,11,23.2,17.8,0,2.2
"42",7132,1980,7,12,27.4,16.6,0,3.4
"43",7133,1980,7,13,25.2,19.4,0,0.600000000000001
"44",7134,1980,7,14,31.7,19.2,1.7,0.800000000000001
"45",7135,1980,7,15,21.6,19,0,1
"46",7136,1980,7,16,25.2,17,0,3
"47",7137,1980,7,17,23.8,18.9,0,1.1
"48",7138,1980,7,18,21.5,18.3,0,1.7
"49",7139,1980,7,19,29.7,19.1,0,0.899999999999999
"50",7140,1980,7,20,32.2,24.1,2.2,0
"51",7141,1980,7,21,34,23.2,4,0
"52",7142,1980,7,22,32.1,21.7,2.1,0
"53",7143,1980,7,23,29.7,21,0,0
"54",7144,1980,7,24,31.9,19.2,1.9,0.800000000000001
"55",7145,1980,7,25,27.7,21,0,0
"56",7146,1980,7,26,25.2,20,0,0
"57",7147,1980,7,27,26,20.5,0,0
"58",7148,1980,7,28,24,20.4,0,0
"59",7149,1980,7,29,21.1,19.4,0,0.600000000000001
"60",7150,1980,7,30,22.7,19.4,0,0.600000000000001
"61",7151,1980,7,31,24.2,17.6,0,2.4
"62",7456,1981,6,1,17.7,10.2,2.3,9.8
"63",7457,1981,6,2,25.6,9,0,11
"64",7458,1981,6,3,28.8,14.5,0,5.5
"65",7459,1981,6,4,27.1,17.8,0,2.2
"66",7460,1981,6,5,28.3,15,0,5
"67",7461,1981,6,6,28.6,16.4,0,3.6
"68",7462,1981,6,7,32.1,14.7,2.1,5.3
"69",7463,1981,6,8,34.5,16.1,4.5,3.9
"70",7464,1981,6,9,25.8,15.9,0,4.1
"71",7465,1981,6,10,19.5,15.9,0.5,4.1
"72",7466,1981,6,11,21.7,15.8,0,4.2
"73",7467,1981,6,12,17.3,14.5,2.7,5.5
"74",7468,1981,6,13,22.7,14,0,6
"75",7469,1981,6,14,21.6,16,0,4
"76",7470,1981,6,15,21.9,16.2,0,3.8
"77",7471,1981,6,16,32.2,15.8,2.2,4.2
"78",7472,1981,6,17,32.9,22.2,2.9,0
"79",7473,1981,6,18,26,18.8,0,1.2
"80",7474,1981,6,19,18.8,15.8,1.2,4.2
"81",7475,1981,6,20,20.7,15.2,0,4.8
"82",7476,1981,6,21,31.1,17.2,1.1,2.8
"83",7477,1981,6,22,29.4,16.2,0,3.8
"84",7478,1981,6,23,23.4,16.5,0,3.5
"85",7479,1981,6,24,26.2,19.3,0,0.699999999999999
"86",7480,1981,6,25,21.1,17.7,0,2.3
"87",7481,1981,6,26,23.7,18.5,0,1.5
