"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",2769,1980,8,1,28,15.8,8,0
"2",2770,1980,8,2,27.2,16.3,7.2,0
"3",2771,1980,8,3,25.7,19.1,5.7,0
"4",2772,1980,8,4,23.7,18.4,3.7,0
"5",2773,1980,8,5,23,18.1,3,0
"6",2774,1980,8,6,23.6,17.9,3.6,0
"7",2775,1980,8,7,21.5,16.4,1.5,0
"8",2776,1980,8,8,19.5,16.2,0,0
"9",2777,1980,8,9,22.1,17.7,2.1,0
"10",2778,1980,8,10,27.9,18.9,7.9,0
"11",2779,1980,8,11,28.8,20.5,8.8,0.5
"12",2780,1980,8,12,27.8,20.2,7.8,0.199999999999999
"13",2781,1980,8,13,23.1,20.3,3.1,0.300000000000001
"14",2782,1980,8,14,25.4,20,5.4,0
"15",2783,1980,8,15,25.2,20,5.2,0
"16",2784,1980,8,16,27.7,20.2,7.7,0.199999999999999
"17",2785,1980,8,17,25.5,19.7,5.5,0
"18",2786,1980,8,18,26,19.6,6,0
"19",2787,1980,8,19,29.7,20,9.7,0
"20",2788,1980,8,20,27.7,20.9,7.7,0.899999999999999
"21",2789,1980,8,21,25.2,20.1,5.2,0.100000000000001
"22",2790,1980,8,22,28.3,20.2,8.3,0.199999999999999
"23",2791,1980,8,23,30.2,19.1,10.2,0
"24",2792,1980,8,24,29.8,17.2,9.8,0
"25",2793,1980,8,25,21.5,19.5,1.5,0
"26",2794,1980,8,26,24.6,19.4,4.6,0
"27",2795,1980,8,27,27.3,20,7.3,0
"28",2796,1980,8,28,24.8,18.5,4.8,0
"29",2797,1980,8,29,21.3,18,1.3,0
"30",2798,1980,8,30,22.3,19.3,2.3,0
"31",2799,1980,8,31,28.1,19.5,8.1,0
"32",2800,1980,9,1,29.2,19.3,9.2,0
"33",2801,1980,9,2,28.4,18.7,8.4,0
"34",2802,1980,9,3,29.7,19.9,9.7,0
"35",2803,1980,9,4,28.6,19.4,8.6,0
"36",2804,1980,9,5,26.2,17.6,6.2,0
"37",2805,1980,9,6,23.6,15.9,3.6,0
"38",2806,1980,9,7,28.3,14.9,8.3,0.0999999999999996
"39",2807,1980,9,8,27.3,13.8,7.3,1.2
"40",2808,1980,9,9,26.2,14.4,6.2,0.6
"41",2809,1980,9,10,19,15.4,0,0
"42",2810,1980,9,11,18.7,14.9,0,0.0999999999999996
"43",2811,1980,9,12,24.9,12.1,4.9,2.9
"44",2812,1980,9,13,25.4,12.7,5.4,2.3
"45",2813,1980,9,14,27.9,11.2,7.9,3.8
"46",2814,1980,9,15,29.2,12.1,9.2,2.9
"47",2815,1980,9,16,25.6,13.9,5.6,1.1
"48",2816,1980,9,17,24.7,11.2,4.7,3.8
"49",2817,1980,9,18,24.7,9.6,4.7,5.4
"50",2818,1980,9,19,24.4,12.7,4.4,2.3
"51",2819,1980,9,20,27.7,12.3,7.7,2.7
"52",2820,1980,9,21,23.2,15,3.2,0
"53",2821,1980,9,22,19.7,9.6,0,5.4
"54",2822,1980,9,23,21.1,5.5,1.1,9.5
"55",2823,1980,9,24,23.7,8.6,3.7,6.4
"56",2824,1980,9,25,24.4,8.9,4.4,6.1
"57",2825,1980,9,26,25.3,8.3,5.3,6.7
"58",2826,1980,9,27,25.7,11.2,5.7,3.8
"59",2827,1980,9,28,26,8.6,6,6.4
"60",2828,1980,9,29,23.3,8,3.3,7
"61",2829,1980,9,30,22.7,7.1,2.7,7.9
"62",3134,1981,8,1,31.1,24.9,11.1,4.9
"63",3135,1981,8,2,33.3,23.7,13.3,3.7
"64",3136,1981,8,3,29.9,24.5,9.9,4.5
"65",3137,1981,8,4,29,20.5,9,0.5
"66",3138,1981,8,5,28.1,15.2,8.1,0
"67",3139,1981,8,6,29.2,16.8,9.2,0
"68",3140,1981,8,7,24.9,19.2,4.9,0
"69",3141,1981,8,8,30.9,20.3,10.9,0.300000000000001
"70",3142,1981,8,9,33.6,21.2,13.6,1.2
"71",3143,1981,8,10,31.6,20.5,11.6,0.5
"72",3144,1981,8,11,29.2,19.9,9.2,0
"73",3145,1981,8,12,29.5,18,9.5,0
"74",3146,1981,8,13,31.5,19.7,11.5,0
"75",3147,1981,8,14,31.2,18.5,11.2,0
"76",3148,1981,8,15,30.5,16.6,10.5,0
"77",3149,1981,8,16,31.2,16.6,11.2,0
"78",3150,1981,8,17,29.6,19,9.6,0
"79",3151,1981,8,18,30.2,23.1,10.2,3.1
"80",3152,1981,8,19,28.4,22.1,8.4,2.1
"81",3153,1981,8,20,29,21.6,9,1.6
"82",3154,1981,8,21,30.3,20.5,10.3,0.5
"83",3155,1981,8,22,29.2,19.6,9.2,0
"84",3156,1981,8,23,28.6,17.8,8.6,0
"85",3157,1981,8,24,30.9,15.5,10.9,0
"86",3158,1981,8,25,25.4,20,5.4,0
"87",3159,1981,8,26,26,19.2,6,0
"88",3160,1981,8,27,27.5,17.7,7.5,0
"89",3161,1981,8,28,29.1,16.2,9.1,0
"90",3162,1981,8,29,23.3,17.4,3.3,0
"91",3163,1981,8,30,25,19.4,5,0
"92",3164,1981,8,31,30.5,19.4,10.5,0
"93",3165,1981,9,1,26.7,20.4,6.7,0.399999999999999
"94",3166,1981,9,2,23.7,20.4,3.7,0.399999999999999
"95",3167,1981,9,3,22.9,19.3,2.9,0
"96",3168,1981,9,4,27.6,16,7.6,0
"97",3169,1981,9,5,28.1,14.7,8.1,0.300000000000001
"98",3170,1981,9,6,28,14.3,8,0.699999999999999
"99",3171,1981,9,7,27,12.2,7,2.8
"100",3172,1981,9,8,27.1,14.4,7.1,0.6
"101",3173,1981,9,9,25.2,15.3,5.2,0
"102",3174,1981,9,10,24.9,15.4,4.9,0
"103",3175,1981,9,11,26,13.5,6,1.5
"104",3176,1981,9,12,24.9,10.8,4.9,4.2
"105",3177,1981,9,13,22.7,8.9,2.7,6.1
"106",3178,1981,9,14,22.7,8.2,2.7,6.8
"107",3179,1981,9,15,24.8,6.7,4.8,8.3
"108",3180,1981,9,16,25,6.9,5,8.1
"109",3181,1981,9,17,26.4,8.1,6.4,6.9
"110",3182,1981,9,18,26.3,11.2,6.3,3.8
"111",3183,1981,9,19,27.8,12.8,7.8,2.2
"112",3184,1981,9,20,28.4,12.2,8.4,2.8
"113",3185,1981,9,21,28.5,12.5,8.5,2.5
"114",3186,1981,9,22,30.1,11.4,10.1,3.6
"115",3187,1981,9,23,28.5,12.9,8.5,2.1
"116",3188,1981,9,24,18.5,14.3,0,0.699999999999999
"117",3189,1981,9,25,19.8,14.9,0,0.0999999999999996
"118",3190,1981,9,26,27.9,13.5,7.9,1.5
"119",3191,1981,9,27,28.6,11,8.6,4
"120",3192,1981,9,28,20.1,11.4,0.100000000000001,3.6
"121",3193,1981,9,29,21.3,11.3,1.3,3.7
"122",3194,1981,9,30,21.9,11.5,1.9,3.5
"123",3499,1982,8,1,29.1,19.7,9.1,0
"124",3500,1982,8,2,27.4,16.9,7.4,0
"125",3501,1982,8,3,32.8,18,12.8,0
"126",3502,1982,8,4,34.4,20.7,14.4,0.699999999999999
"127",3503,1982,8,5,32.1,21.9,12.1,1.9
"128",3504,1982,8,6,33.8,23.3,13.8,3.3
"129",3505,1982,8,7,35.2,23.5,15.2,3.5
