"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",3318,1980,8,1,20.3,5.6,0.300000000000001,9.4
"2",3319,1980,8,2,17,12.7,0,2.3
"3",3320,1980,8,3,15.1,13.8,0,1.2
"4",3321,1980,8,4,15.6,13.2,0,1.8
"5",3322,1980,8,5,14.1,12.7,0.9,2.3
"6",3323,1980,8,6,15.6,12.4,0,2.6
"7",3324,1980,8,7,14.7,11.9,0.300000000000001,3.1
"8",3325,1980,8,8,15,11.5,0,3.5
"9",3326,1980,8,9,15.9,12.9,0,2.1
"10",3327,1980,8,10,16.8,13.4,0,1.6
"11",3328,1980,8,11,18.9,14.9,0,0.0999999999999996
"12",3329,1980,8,12,21.5,15.2,1.5,0
"13",3330,1980,8,13,20.4,16,0.399999999999999,0
"14",3331,1980,8,14,22.3,17.2,2.3,0
"15",3332,1980,8,15,21.8,16.7,1.8,0
"16",3333,1980,8,16,17.7,14.5,0,0.5
"17",3334,1980,8,17,16.7,13.9,0,1.1
"18",3335,1980,8,18,19.3,14.4,0,0.6
"19",3336,1980,8,19,22.6,16.1,2.6,0
"20",3337,1980,8,20,20,15.6,0,0
"21",3338,1980,8,21,21.7,14,1.7,1
"22",3339,1980,8,22,22.4,13.4,2.4,1.6
"23",3340,1980,8,23,25.4,16.8,5.4,0
"24",3341,1980,8,24,24.5,15.8,4.5,0
"25",3342,1980,8,25,18.9,15.1,0,0
"26",3343,1980,8,26,17.1,14.7,0,0.300000000000001
"27",3344,1980,8,27,16.3,14.3,0,0.699999999999999
"28",3345,1980,8,28,16.1,13.6,0,1.4
"29",3346,1980,8,29,15.7,13.2,0,1.8
"30",3347,1980,8,30,18.9,14.7,0,0.300000000000001
"31",3348,1980,8,31,19.6,15.6,0,0
"32",3349,1980,9,1,23,15.3,3,0
"33",3350,1980,9,2,20.3,13.6,0.300000000000001,1.4
"34",3351,1980,9,3,17.5,13.5,0,1.5
"35",3352,1980,9,4,21.3,13.6,1.3,1.4
"36",3353,1980,9,5,23.1,13.5,3.1,1.5
"37",3354,1980,9,6,20,13.2,0,1.8
"38",3355,1980,9,7,21.1,10.2,1.1,4.8
"39",3356,1980,9,8,16.9,8.7,0,6.3
"40",3357,1980,9,9,15.3,10.1,0,4.9
"41",3358,1980,9,10,12.2,10,2.8,5
"42",3359,1980,9,11,13.2,10.8,1.8,4.2
"43",3360,1980,9,12,18.7,11.3,0,3.7
"44",3361,1980,9,13,20.7,9.9,0.699999999999999,5.1
"45",3362,1980,9,14,22.5,11.8,2.5,3.2
"46",3363,1980,9,15,23.3,9.9,3.3,5.1
"47",3364,1980,9,16,20,10.9,0,4.1
"48",3365,1980,9,17,16.9,4.4,0,10.6
"49",3366,1980,9,18,17.7,1.5,0,13.5
"50",3367,1980,9,19,19.1,8.4,0,6.6
"51",3368,1980,9,20,19.8,5.7,0,9.3
"52",3369,1980,9,21,17.1,11.7,0,3.3
"53",3370,1980,9,22,15.5,4,0,11
"54",3371,1980,9,23,16,-2.3,0,17.3
"55",3372,1980,9,24,19.8,0.7,0,14.3
"56",3373,1980,9,25,20.1,5,0.100000000000001,10
"57",3374,1980,9,26,14.6,1.9,0.4,13.1
"58",3375,1980,9,27,16.5,7.2,0,7.8
"59",3376,1980,9,28,20.9,4.3,0.899999999999999,10.7
"60",3377,1980,9,29,16.1,3.1,0,11.9
"61",3378,1980,9,30,13.9,2.1,1.1,12.9
"62",3683,1981,8,1,26.6,20.6,6.6,0.600000000000001
"63",3684,1981,8,2,26.5,20.4,6.5,0.399999999999999
"64",3685,1981,8,3,25.8,21,5.8,1
"65",3686,1981,8,4,21,14.7,1,0.300000000000001
"66",3687,1981,8,5,18.4,11.6,0,3.4
"67",3688,1981,8,6,23.4,9.5,3.4,5.5
"68",3689,1981,8,7,19.1,14.8,0,0.199999999999999
"69",3690,1981,8,8,25.4,16,5.4,0
"70",3691,1981,8,9,26.4,18.3,6.4,0
"71",3692,1981,8,10,25.7,16.3,5.7,0
"72",3693,1981,8,11,23.2,15.8,3.2,0
"73",3694,1981,8,12,22.4,16.5,2.4,0
"74",3695,1981,8,13,23.2,13.9,3.2,1.1
"75",3696,1981,8,14,24.4,8.6,4.4,6.4
"76",3697,1981,8,15,24.8,6,4.8,9
"77",3698,1981,8,16,24.6,10.5,4.6,4.5
"78",3699,1981,8,17,23,13.4,3,1.6
"79",3700,1981,8,18,22.8,16.3,2.8,0
"80",3701,1981,8,19,23.9,12.5,3.9,2.5
"81",3702,1981,8,20,21.7,10,1.7,5
"82",3703,1981,8,21,24.6,16.2,4.6,0
"83",3704,1981,8,22,22.7,14.6,2.7,0.4
"84",3705,1981,8,23,23.5,10.9,3.5,4.1
"85",3706,1981,8,24,24.4,11.8,4.4,3.2
"86",3707,1981,8,25,19.6,13.6,0,1.4
"87",3708,1981,8,26,22.3,15.6,2.3,0
"88",3709,1981,8,27,23.4,11.3,3.4,3.7
"89",3710,1981,8,28,23,7.1,3,7.9
"90",3711,1981,8,29,22.5,6.1,2.5,8.9
"91",3712,1981,8,30,19.2,16.4,0,0
"92",3713,1981,8,31,17.6,14.6,0,0.4
"93",3714,1981,9,1,17.3,13.4,0,1.6
"94",3715,1981,9,2,17.2,14.8,0,0.199999999999999
"95",3716,1981,9,3,17.6,13.1,0,1.9
"96",3717,1981,9,4,16.3,7.8,0,7.2
"97",3718,1981,9,5,20.7,5.7,0.699999999999999,9.3
"98",3719,1981,9,6,19,6.7,0,8.3
"99",3720,1981,9,7,21.5,5.9,1.5,9.1
"100",3721,1981,9,8,20.9,8.5,0.899999999999999,6.5
"101",3722,1981,9,9,20.8,12.6,0.800000000000001,2.4
"102",3723,1981,9,10,17.8,9.2,0,5.8
"103",3724,1981,9,11,20.2,7.4,0.199999999999999,7.6
"104",3725,1981,9,12,18.4,6.8,0,8.2
"105",3726,1981,9,13,15.7,3.4,0,11.6
"106",3727,1981,9,14,16.6,-0.6,0,15.6
