"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",4230,1980,8,1,28.4,16.7,8.4,0
"2",4231,1980,8,2,27.6,18,7.6,0
"3",4232,1980,8,3,26.1,17.1,6.1,0
"4",4233,1980,8,4,27,18,7,0
"5",4234,1980,8,5,25.8,18.1,5.8,0
"6",4235,1980,8,6,24.8,19.6,4.8,0
"7",4236,1980,8,7,23.9,17,3.9,0
"8",4237,1980,8,8,22.7,18.1,2.7,0
"9",4238,1980,8,9,25.8,18.4,5.8,0
"10",4239,1980,8,10,27.9,19.1,7.9,0
"11",4240,1980,8,11,29.5,20.3,9.5,0.300000000000001
"12",4241,1980,8,12,27.7,20.4,7.7,0.399999999999999
"13",4242,1980,8,13,26,21.3,6,1.3
"14",4243,1980,8,14,26.4,21.4,6.4,1.4
"15",4244,1980,8,15,25.7,21,5.7,1
"16",4245,1980,8,16,28.2,20.7,8.2,0.699999999999999
"17",4246,1980,8,17,27.2,20.4,7.2,0.399999999999999
"18",4247,1980,8,18,26.7,20.8,6.7,0.800000000000001
"19",4248,1980,8,19,29,20.8,9,0.800000000000001
"20",4249,1980,8,20,25.9,21.1,5.9,1.1
"21",4250,1980,8,21,26,21,6,1
"22",4251,1980,8,22,28.4,19.9,8.4,0
"23",4252,1980,8,23,29.4,21.1,9.4,1.1
"24",4253,1980,8,24,28.4,19.5,8.4,0
"25",4254,1980,8,25,23.3,19.9,3.3,0
"26",4255,1980,8,26,26.8,20.2,6.8,0.199999999999999
"27",4256,1980,8,27,27.2,20.4,7.2,0.399999999999999
"28",4257,1980,8,28,25.8,19.7,5.8,0
"29",4258,1980,8,29,24.2,19.4,4.2,0
"30",4259,1980,8,30,22.5,19.9,2.5,0
"31",4260,1980,8,31,28.8,17.9,8.8,0
"32",4261,1980,9,1,28.3,19.2,8.3,0
"33",4262,1980,9,2,26.7,19.9,6.7,0
"34",4263,1980,9,3,28.6,20.3,8.6,0.300000000000001
"35",4264,1980,9,4,28.2,18,8.2,0
"36",4265,1980,9,5,26.9,19.4,6.9,0
"37",4266,1980,9,6,23.6,17.7,3.6,0
"38",4267,1980,9,7,27.7,17.2,7.7,0
"39",4268,1980,9,8,26.4,14.5,6.4,0.5
"40",4269,1980,9,9,26.2,15.8,6.2,0
"41",4270,1980,9,10,19.7,15.6,0,0
