"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",2769,1980,8,1,27.78004,16.4188,7.78004,0
"2",2770,1980,8,2,26.15042,15.7096,6.15042,0
"3",2771,1980,8,3,24.80838,19.16695,4.80838,0
"4",2772,1980,8,4,23.65806,20.40805,3.65806,0.408049999999999
"5",2773,1980,8,5,22.1243,19.4329,2.1243,0
"6",2774,1980,8,6,23.0829,17.6599,3.0829,0
"7",2775,1980,8,7,21.35742,17.4826,1.35742,0
"8",2776,1980,8,8,21.54914,17.6599,1.54914,0
"9",2777,1980,8,9,21.1657,18.98965,1.1657,0
"10",2778,1980,8,10,26.62972,19.6102,6.62972,0
"11",2779,1980,8,11,27.20488,19.69885,7.20488,0
"12",2780,1980,8,12,28.06762,18.98965,8.06762,0
"13",2781,1980,8,13,24.61666,20.93995,4.61666,0.93995
"14",2782,1980,8,14,25.9587,21.5605,5.9587,1.5605
"15",2783,1980,8,15,25.38354,20.93995,5.38354,0.93995
"16",2784,1980,8,16,25.19182,20.58535,5.19182,0.585349999999998
"17",2785,1980,8,17,25.0001,19.0783,5.0001,0
"18",2786,1980,8,18,25.38354,20.05345,5.38354,0.0534500000000016
"19",2787,1980,8,19,28.16348,19.7875,8.16348,0
"20",2788,1980,8,20,26.34214,20.93995,6.34214,0.93995
"21",2789,1980,8,21,23.27462,20.76265,3.27462,0.762650000000001
"22",2790,1980,8,22,27.49246,20.40805,7.49246,0.408049999999999
"23",2791,1980,8,23,29.21794,18.98965,9.21794,0
"24",2792,1980,8,24,28.16348,18.0145,8.16348,0
"25",2793,1980,8,25,21.54914,20.1421,1.54914,0.142099999999999
"26",2794,1980,8,26,25.76698,20.1421,5.76698,0.142099999999999
"27",2795,1980,8,27,25.4794,20.58535,5.4794,0.585349999999998
"28",2796,1980,8,28,24.23322,19.16695,4.23322,0
"29",2797,1980,8,29,22.31602,18.98965,2.31602,0
"30",2798,1980,8,30,22.41188,20.05345,2.41188,0.0534500000000016
"31",2799,1980,8,31,27.97176,19.6102,7.97176,0
"32",2800,1980,9,1,28.74746,19.23428,8.74746,0
"33",2801,1980,9,2,27.61634,19.1532,7.61634,0
"34",2802,1980,9,3,28.93598,19.47752,8.93598,0
"35",2803,1980,9,4,27.42782,19.1532,7.42782,0
"36",2804,1980,9,5,26.20244,18.18024,6.20244,0
"37",2805,1980,9,6,22.80908,15.58568,2.80908,0
"38",2806,1980,9,7,26.57948,15.42352,6.57948,0
"39",2807,1980,9,8,27.2393,14.93704,7.2393,0.0629600000000003
"40",2808,1980,9,9,25.25984,14.2884,5.25984,0.711600000000001
"41",2809,1980,9,10,18.85016,14.45056,0,0.549440000000001
"42",2810,1980,9,11,18.66164,16.07216,0,0
"43",2811,1980,9,12,24.78854,13.31544,4.78854,1.68456
"44",2812,1980,9,13,25.25984,11.93708,5.25984,3.06292
"45",2813,1980,9,14,26.768,11.53168,6.768,3.46832
"46",2814,1980,9,15,27.61634,12.58572,7.61634,2.41428
"47",2815,1980,9,16,25.63688,14.36948,5.63688,0.630520000000001
"48",2816,1980,9,17,23.75168,12.09924,3.75168,2.90076
"49",2817,1980,9,18,24.50576,10.96412,4.50576,4.03588
"50",2818,1980,9,19,24.12872,12.6668,4.12872,2.3332
"51",2819,1980,9,20,27.14504,13.31544,7.14504,1.68456
"52",2820,1980,9,21,22.9976,15.66676,2.9976,0
"53",2821,1980,9,22,19.79276,11.4506,0,3.5494
"54",2822,1980,9,23,20.1698,6.9912,0.169799999999999,8.0088
"55",2823,1980,9,24,22.90334,9.74792,2.90334,5.25208
"56",2824,1980,9,25,23.56316,9.829,3.56316,5.171
"57",2825,1980,9,26,24.8828,7.96416,4.8828,7.03584
"58",2826,1980,9,27,24.78854,11.93708,4.78854,3.06292
"59",2827,1980,9,28,25.44836,9.34252,5.44836,5.65748
"60",2828,1980,9,29,23.56316,9.58576,3.56316,5.41424
"61",2829,1980,9,30,22.80908,9.26144,2.80908,5.73856
"62",3134,1981,8,1,32.57304,26.08165,12.57304,6.08165
"63",3135,1981,8,2,32.76476,23.1562,12.76476,3.1562
