"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",3257,1980,8,1,29.4,13,9.4,2
"2",3258,1980,8,2,28,13.1,8,1.9
"3",3259,1980,8,3,26.6,13.1,6.6,1.9
"4",3260,1980,8,4,26.5,16.9,6.5,0
"5",3261,1980,8,5,26.7,17.2,6.7,0
"6",3262,1980,8,6,27.1,15.5,7.1,0
"7",3263,1980,8,7,22.3,16.3,2.3,0
"8",3264,1980,8,8,22.5,16.7,2.5,0
"9",3265,1980,8,9,25,17.4,5,0
"10",3266,1980,8,10,26.5,18.4,6.5,0
"11",3267,1980,8,11,28.7,19.1,8.7,0
"12",3268,1980,8,12,27.9,18.9,7.9,0
"13",3269,1980,8,13,25.2,20.6,5.2,0.600000000000001
"14",3270,1980,8,14,25.5,21,5.5,1
"15",3271,1980,8,15,27.2,19.3,7.2,0
"16",3272,1980,8,16,27.6,18.3,7.6,0
"17",3273,1980,8,17,25.2,19.2,5.2,0
"18",3274,1980,8,18,27.7,20.1,7.7,0.100000000000001
"19",3275,1980,8,19,29.2,20,9.2,0
"20",3276,1980,8,20,25.4,19.3,5.4,0
"21",3277,1980,8,21,26.8,19.2,6.8,0
"22",3278,1980,8,22,28.8,19.3,8.8,0
"23",3279,1980,8,23,29.1,18.9,9.1,0
"24",3280,1980,8,24,28.2,17.1,8.2,0
"25",3281,1980,8,25,24.4,19.2,4.4,0
"26",3282,1980,8,26,24.7,18.4,4.7,0
"27",3283,1980,8,27,25.4,19.1,5.4,0
"28",3284,1980,8,28,26.5,18.3,6.5,0
"29",3285,1980,8,29,21.7,17.6,1.7,0
"30",3286,1980,8,30,24.9,18.9,4.9,0
"31",3287,1980,8,31,28.5,16.8,8.5,0
"32",3288,1980,9,1,28,17.8,8,0
"33",3289,1980,9,2,26.3,18.3,6.3,0
"34",3290,1980,9,3,27.7,18,7.7,0
"35",3291,1980,9,4,27.3,16.2,7.3,0
"36",3292,1980,9,5,26,17,6,0
"37",3293,1980,9,6,23.9,15.8,3.9,0
"38",3294,1980,9,7,24.7,14.8,4.7,0.199999999999999
"39",3295,1980,9,8,26.7,12.6,6.7,2.4
"40",3296,1980,9,9,25.7,11.5,5.7,3.5
"41",3297,1980,9,10,18.1,14.9,0,0.0999999999999996
"42",3298,1980,9,11,18.9,14.3,0,0.699999999999999
"43",3299,1980,9,12,24.1,12,4.1,3
"44",3300,1980,9,13,25.3,10.8,5.3,4.2
"45",3301,1980,9,14,26.3,13.5,6.3,1.5
"46",3302,1980,9,15,26.9,12.1,6.9,2.9
"47",3303,1980,9,16,23.8,12,3.8,3
"48",3304,1980,9,17,23.6,8.3,3.6,6.7
"49",3305,1980,9,18,23.9,7.3,3.9,7.7
"50",3306,1980,9,19,24.5,9.6,4.5,5.4
"51",3307,1980,9,20,26.4,11.1,6.4,3.9
"52",3308,1980,9,21,22.2,14.5,2.2,0.5
"53",3309,1980,9,22,18,5.6,0,9.4
"54",3310,1980,9,23,19,2.4,0,12.6
"55",3311,1980,9,24,22.3,4.8,2.3,10.2
"56",3312,1980,9,25,23.2,5.3,3.2,9.7
"57",3313,1980,9,26,25.3,7.5,5.3,7.5
"58",3314,1980,9,27,24.6,8.5,4.6,6.5
"59",3315,1980,9,28,24.3,8.5,4.3,6.5
"60",3316,1980,9,29,21.8,10.2,1.8,4.8
"61",3317,1980,9,30,21.9,5.1,1.9,9.9
"62",3622,1981,8,1,30.1,25.8,10.1,5.8
"63",3623,1981,8,2,30.6,22.9,10.6,2.9
"64",3624,1981,8,3,30.4,24.7,10.4,4.7
"65",3625,1981,8,4,30.7,16.5,10.7,0
"66",3626,1981,8,5,28.7,13.3,8.7,1.7
"67",3627,1981,8,6,27.4,16,7.4,0
"68",3628,1981,8,7,24.4,19,4.4,0
"69",3629,1981,8,8,29.4,20.3,9.4,0.300000000000001
"70",3630,1981,8,9,31.4,20.6,11.4,0.600000000000001
"71",3631,1981,8,10,27.4,18.2,7.4,0
"72",3632,1981,8,11,31.7,20.3,11.7,0.300000000000001
"73",3633,1981,8,12,30.4,18.3,10.4,0
"74",3634,1981,8,13,31.7,19,11.7,0
"75",3635,1981,8,14,33.1,17.9,13.1,0
"76",3636,1981,8,15,32,13.7,12,1.3
"77",3637,1981,8,16,31.6,15.1,11.6,0
"78",3638,1981,8,17,26.3,19,6.3,0
"79",3639,1981,8,18,28.5,21,8.5,1
"80",3640,1981,8,19,30.9,20,10.9,0
"81",3641,1981,8,20,27.4,19.6,7.4,0
"82",3642,1981,8,21,28.6,19.9,8.6,0
"83",3643,1981,8,22,29.3,19.9,9.3,0
"84",3644,1981,8,23,28.7,18.2,8.7,0
"85",3645,1981,8,24,28.6,17,8.6,0
"86",3646,1981,8,25,24,19.4,4,0
"87",3647,1981,8,26,24.5,18.2,4.5,0
"88",3648,1981,8,27,29.2,16.5,9.2,0
"89",3649,1981,8,28,29.9,14.5,9.9,0.5
"90",3650,1981,8,29,29.2,13.7,9.2,1.3
"91",3651,1981,8,30,23.7,19.9,3.7,0
"92",3652,1981,8,31,21.1,17.6,1.1,0
"93",3653,1981,9,1,23.3,18,3.3,0
"94",3654,1981,9,2,25.7,18.5,5.7,0
