"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",7152,1980,8,1,29.1,17.2,9.1,0
"2",7153,1980,8,2,29.1,19.5,9.1,0
"3",7154,1980,8,3,27.7,19.4,7.7,0
"4",7155,1980,8,4,28.6,20.3,8.6,0.300000000000001
"5",7156,1980,8,5,28.7,18.4,8.7,0
"6",7157,1980,8,6,26.3,18,6.3,0
"7",7158,1980,8,7,22.6,18.3,2.6,0
"8",7159,1980,8,8,22.9,17.9,2.9,0
"9",7160,1980,8,9,26.9,19.4,6.9,0
"10",7161,1980,8,10,27.2,20.7,7.2,0.699999999999999
"11",7162,1980,8,11,27.5,20.7,7.5,0.699999999999999
"12",7163,1980,8,12,26.1,20.4,6.1,0.399999999999999
"13",7164,1980,8,13,23.5,20.1,3.5,0.100000000000001
"14",7165,1980,8,14,24,20.7,4,0.699999999999999
"15",7166,1980,8,15,28.4,20.5,8.4,0.5
"16",7167,1980,8,16,26.7,20,6.7,0
"17",7168,1980,8,17,21.1,19.3,1.1,0
"18",7169,1980,8,18,25.8,20.6,5.8,0.600000000000001
"19",7170,1980,8,19,27.1,20.7,7.1,0.699999999999999
"20",7171,1980,8,20,26.4,21.4,6.4,1.4
"21",7172,1980,8,21,26.8,20.7,6.8,0.699999999999999
"22",7173,1980,8,22,28.5,21.4,8.5,1.4
"23",7174,1980,8,23,26.4,22.1,6.4,2.1
"24",7175,1980,8,24,25.6,22.3,5.6,2.3
"25",7176,1980,8,25,23.2,19.5,3.2,0
"26",7177,1980,8,26,22.6,19.3,2.6,0
"27",7178,1980,8,27,23.9,19.5,3.9,0
"28",7179,1980,8,28,26.3,20.4,6.3,0.399999999999999
"29",7180,1980,8,29,22.5,19.8,2.5,0
"30",7181,1980,8,30,26.3,20,6.3,0
"31",7182,1980,8,31,27.2,20,7.2,0
"32",7183,1980,9,1,27.4,20.4,7.4,0.399999999999999
"33",7184,1980,9,2,24.8,20.8,4.8,0.800000000000001
"34",7185,1980,9,3,26.2,18.7,6.2,0
"35",7186,1980,9,4,24,19.2,4,0
"36",7187,1980,9,5,25.9,17.8,5.9,0
"37",7188,1980,9,6,25.2,18.9,5.2,0
"38",7189,1980,9,7,25.7,18,5.7,0
"39",7190,1980,9,8,26.1,15.8,6.1,0
"40",7191,1980,9,9,24.5,16.5,4.5,0
"41",7192,1980,9,10,19.1,14.3,0,0.699999999999999
"42",7193,1980,9,11,24.6,14.3,4.6,0.699999999999999
"43",7194,1980,9,12,24.6,17.7,4.6,0
"44",7195,1980,9,13,25.1,16.5,5.1,0
"45",7196,1980,9,14,25.4,18.8,5.4,0
"46",7197,1980,9,15,25.9,18.2,5.9,0
"47",7198,1980,9,16,23.3,16.8,3.3,0
"48",7199,1980,9,17,24,13,4,2
"49",7200,1980,9,18,22.6,12.8,2.6,2.2
"50",7201,1980,9,19,24.5,14.9,4.5,0.0999999999999996
"51",7202,1980,9,20,25.3,15,5.3,0
"52",7203,1980,9,21,20.1,14.3,0.100000000000001,0.699999999999999
"53",7204,1980,9,22,19,11.2,0,3.8
"54",7205,1980,9,23,20.2,10.3,0.199999999999999,4.7
"55",7206,1980,9,24,21.6,12.2,1.6,2.8
"56",7207,1980,9,25,23.5,14,3.5,1
"57",7208,1980,9,26,25.2,13.9,5.2,1.1
"58",7209,1980,9,27,24.2,14.6,4.2,0.4
"59",7210,1980,9,28,23.7,14.9,3.7,0.0999999999999996
"60",7211,1980,9,29,21.8,12.8,1.8,2.2
"61",7212,1980,9,30,21.2,9.8,1.2,5.2
"62",7517,1981,8,1,29.3,26.5,9.3,6.5
"63",7518,1981,8,2,27.9,24.5,7.9,4.5
"64",7519,1981,8,3,26.9,24,6.9,4
"65",7520,1981,8,4,31.2,22.9,11.2,2.9
"66",7521,1981,8,5,28.8,19.1,8.8,0
"67",7522,1981,8,6,26.7,21.3,6.7,1.3
"68",7523,1981,8,7,25.1,18.7,5.1,0
"69",7524,1981,8,8,26.7,22.2,6.7,2.2
"70",7525,1981,8,9,28.8,22.2,8.8,2.2
"71",7526,1981,8,10,27.1,22.6,7.1,2.6
"72",7527,1981,8,11,29.7,21.5,9.7,1.5
"73",7528,1981,8,12,28.5,21,8.5,1
"74",7529,1981,8,13,29.8,21.5,9.8,1.5
"75",7530,1981,8,14,30.7,22.2,10.7,2.2
"76",7531,1981,8,15,31.3,21.6,11.3,1.6
"77",7532,1981,8,16,29.9,21.4,9.9,1.4
"78",7533,1981,8,17,25.4,23.7,5.4,3.7
"79",7534,1981,8,18,26.3,23.6,6.3,3.6
"80",7535,1981,8,19,29.4,21.9,9.4,1.9
"81",7536,1981,8,20,25.7,22.8,5.7,2.8
"82",7537,1981,8,21,27,21.6,7,1.6
"83",7538,1981,8,22,27.2,20,7.2,0
"84",7539,1981,8,23,27.7,20.5,7.7,0.5
"85",7540,1981,8,24,26.6,20.6,6.6,0.600000000000001
"86",7541,1981,8,25,23.8,18.8,3.8,0
"87",7542,1981,8,26,25.3,19.6,5.3,0
"88",7543,1981,8,27,27.1,19.7,7.1,0
"89",7544,1981,8,28,28.8,19.5,8.8,0
"90",7545,1981,8,29,28.7,19.7,8.7,0
"91",7546,1981,8,30,24.8,21.6,4.8,1.6
"92",7547,1981,8,31,22.8,17.7,2.8,0
"93",7548,1981,9,1,18.8,17.7,0,0
"94",7549,1981,9,2,27.1,18.5,7.1,0
"95",7550,1981,9,3,23,17.5,3,0
"96",7551,1981,9,4,25,15.8,5,0
"97",7552,1981,9,5,26.2,15.8,6.2,0
"98",7553,1981,9,6,26.8,16.6,6.8,0
"99",7554,1981,9,7,26.3,17.6,6.3,0
"100",7555,1981,9,8,24.3,17.5,4.3,0
"101",7556,1981,9,9,23.5,17.5,3.5,0
"102",7557,1981,9,10,23.9,16.1,3.9,0
"103",7558,1981,9,11,22.6,16.8,2.6,0
"104",7559,1981,9,12,20.1,15.5,0.100000000000001,0
"105",7560,1981,9,13,21.9,13,1.9,2
"106",7561,1981,9,14,22.3,12.5,2.3,2.5
"107",7562,1981,9,15,22.6,12.6,2.6,2.4
"108",7563,1981,9,16,21.5,14.2,1.5,0.800000000000001
"109",7564,1981,9,17,23.2,16,3.2,0
"110",7565,1981,9,18,24.8,18,4.8,0
"111",7566,1981,9,19,24.5,16.5,4.5,0
"112",7567,1981,9,20,25.8,17.4,5.8,0
"113",7568,1981,9,21,26.6,18.3,6.6,0
"114",7569,1981,9,22,27.6,18.1,7.6,0
"115",7570,1981,9,23,28.1,17.9,8.1,0
"116",7571,1981,9,24,22.5,15.5,2.5,0
"117",7572,1981,9,25,25.3,16.6,5.3,0
"118",7573,1981,9,26,25.9,14.8,5.9,0.199999999999999
"119",7574,1981,9,27,23.5,17,3.5,0
"120",7575,1981,9,28,21.6,12,1.6,3
"121",7576,1981,9,29,22.1,13.7,2.1,1.3
"122",7577,1981,9,30,21.4,16.4,1.4,0
"123",7882,1982,8,1,31,22.9,11,2.9
"124",7883,1982,8,2,27.3,19.5,7.3,0
"125",7884,1982,8,3,28.4,22.2,8.4,2.2
"126",7885,1982,8,4,30.3,23.3,10.3,3.3
"127",7886,1982,8,5,29.7,23.7,9.7,3.7
"128",7887,1982,8,6,28.5,25.3,8.5,5.3
"129",7888,1982,8,7,29.6,24.9,9.6,4.9
"130",7889,1982,8,8,31.8,25,11.8,5
"131",7890,1982,8,9,31.3,24.4,11.3,4.4
"132",7891,1982,8,10,31.4,24,11.4,4
"133",7892,1982,8,11,33,24.2,13,4.2
"134",7893,1982,8,12,31.9,24.2,11.9,4.2
"135",7894,1982,8,13,27,23.5,7,3.5
"136",7895,1982,8,14,25,23.7,5,3.7
"137",7896,1982,8,15,25.2,23.5,5.2,3.5
"138",7897,1982,8,16,27.1,23.4,7.1,3.4
"139",7898,1982,8,17,29,24,9,4
"140",7899,1982,8,18,29.8,23.1,9.8,3.1
"141",7900,1982,8,19,29.3,23.9,9.3,3.9
"142",7901,1982,8,20,27.5,23.3,7.5,3.3
"143",7902,1982,8,21,28.2,19.9,8.2,0
"144",7903,1982,8,22,28.8,21.5,8.8,1.5
"145",7904,1982,8,23,27,21.9,7,1.9
"146",7905,1982,8,24,29.4,20.6,9.4,0.600000000000001
"147",7906,1982,8,25,22.7,20.3,2.7,0.300000000000001
"148",7907,1982,8,26,28.2,21.1,8.2,1.1
"149",7908,1982,8,27,24.7,20.4,4.7,0.399999999999999
"150",7909,1982,8,28,24.1,21.1,4.1,1.1
"151",7910,1982,8,29,26.3,21,6.3,1
"152",7911,1982,8,30,26.9,19.8,6.9,0
"153",7912,1982,8,31,27.2,20.2,7.2,0.199999999999999
"154",7913,1982,9,1,28.8,20.4,8.8,0.399999999999999
"155",7914,1982,9,2,27.6,21.2,7.6,1.2
"156",7915,1982,9,3,27.8,19.7,7.8,0
"157",7916,1982,9,4,23.8,16.7,3.8,0
"158",7917,1982,9,5,22.5,17.2,2.5,0
"159",7918,1982,9,6,25.8,18.3,5.8,0
"160",7919,1982,9,7,23.8,16.2,3.8,0
"161",7920,1982,9,8,26.1,18.2,6.1,0
"162",7921,1982,9,9,27.1,17.3,7.1,0
"163",7922,1982,9,10,25.5,17.6,5.5,0
"164",7923,1982,9,11,25.7,14.2,5.7,0.800000000000001
"165",7924,1982,9,12,25.8,13.6,5.8,1.4
"166",7925,1982,9,13,26.6,17.5,6.6,0
"167",7926,1982,9,14,27.3,15,7.3,0
"168",7927,1982,9,15,27,18.1,7,0
"169",7928,1982,9,16,27.3,17.7,7.3,0
"170",7929,1982,9,17,27,18,7,0
"171",7930,1982,9,18,26,19.4,6,0
"172",7931,1982,9,19,26.7,17.5,6.7,0
"173",7932,1982,9,20,25,17.4,5,0
"174",7933,1982,9,21,21.8,10.8,1.8,4.2
"175",7934,1982,9,22,24.8,10.7,4.8,4.3
"176",7935,1982,9,23,26.6,14.4,6.6,0.6
"177",7936,1982,9,24,28.1,12.8,8.1,2.2
"178",7937,1982,9,25,28.2,11.2,8.2,3.8
"179",7938,1982,9,26,24.6,14.4,4.6,0.6
"180",7939,1982,9,27,20.3,10.4,0.300000000000001,4.6
"181",7940,1982,9,28,22.3,13.6,2.3,1.4
"182",7941,1982,9,29,23.6,15.1,3.6,0
"183",7942,1982,9,30,23.4,15.8,3.4,0
"184",8247,1983,8,1,28.7,24.2,8.7,4.2
"185",8248,1983,8,2,28.2,25,8.2,5
"186",8249,1983,8,3,29.8,25.8,9.8,5.8
"187",8250,1983,8,4,31.2,25.5,11.2,5.5
"188",8251,1983,8,5,31.5,24.7,11.5,4.7
"189",8252,1983,8,6,30.2,24.4,10.2,4.4
"190",8253,1983,8,7,30.3,25,10.3,5
"191",8254,1983,8,8,30.8,24.8,10.8,4.8
"192",8255,1983,8,9,26.5,23,6.5,3
"193",8256,1983,8,10,30.3,22.6,10.3,2.6
"194",8257,1983,8,11,31,23.1,11,3.1
"195",8258,1983,8,12,30.9,24,10.9,4
"196",8259,1983,8,13,31.9,23.6,11.9,3.6
"197",8260,1983,8,14,32.1,24.5,12.1,4.5
"198",8261,1983,8,15,32.5,22.3,12.5,2.3
"199",8262,1983,8,16,33.4,20.3,13.4,0.300000000000001
"200",8263,1983,8,17,34,23,14,3
"201",8264,1983,8,18,32.5,24.3,12.5,4.3
"202",8265,1983,8,19,28.6,23,8.6,3
"203",8266,1983,8,20,24.1,21.1,4.1,1.1
"204",8267,1983,8,21,26.3,19.8,6.3,0
"205",8268,1983,8,22,27.8,19.9,7.8,0
"206",8269,1983,8,23,21.1,18.5,1.1,0
"207",8270,1983,8,24,21.7,18,1.7,0
"208",8271,1983,8,25,26,19.7,6,0
"209",8272,1983,8,26,27.7,19.4,7.7,0
"210",8273,1983,8,27,29.4,22.7,9.4,2.7
"211",8274,1983,8,28,24.9,23,4.9,3
"212",8275,1983,8,29,27,22.3,7,2.3
"213",8276,1983,8,30,27.3,23.2,7.3,3.2
"214",8277,1983,8,31,28.6,23.6,8.6,3.6
"215",8278,1983,9,1,30,23.3,10,3.3
"216",8279,1983,9,2,24.9,22.1,4.9,2.1
"217",8280,1983,9,3,25.6,21.6,5.6,1.6
"218",8281,1983,9,4,25.4,21.3,5.4,1.3
"219",8282,1983,9,5,22.6,19.9,2.6,0
"220",8283,1983,9,6,25.8,21.9,5.8,1.9
"221",8284,1983,9,7,26.5,20.1,6.5,0.100000000000001
"222",8285,1983,9,8,27.1,19.5,7.1,0
"223",8286,1983,9,9,22,19.4,2,0
"224",8287,1983,9,10,22.6,19.1,2.6,0
"225",8288,1983,9,11,21.6,19.3,1.6,0
"226",8289,1983,9,12,26.9,18.9,6.9,0
"227",8290,1983,9,13,26.5,20.7,6.5,0.699999999999999
"228",8291,1983,9,14,25.8,18.7,5.8,0
"229",8292,1983,9,15,25.7,19.4,5.7,0
"230",8293,1983,9,16,26.7,20.2,6.7,0.199999999999999
"231",8294,1983,9,17,26.7,18.7,6.7,0
"232",8295,1983,9,18,28.5,18.8,8.5,0
"233",8296,1983,9,19,28,19,8,0
"234",8297,1983,9,20,29.7,19.3,9.7,0
"235",8298,1983,9,21,26,20.3,6,0.300000000000001
"236",8299,1983,9,22,28,18.3,8,0
"237",8300,1983,9,23,22.3,19,2.3,0
"238",8301,1983,9,24,26.4,19.5,6.4,0
"239",8302,1983,9,25,26.9,14.5,6.9,0.5
"240",8303,1983,9,26,25.1,16.3,5.1,0
"241",8304,1983,9,27,24.7,15.4,4.7,0
"242",8305,1983,9,28,22.6,14.1,2.6,0.9
"243",8306,1983,9,29,21.3,11.2,1.3,3.8
"244",8307,1983,9,30,22.5,13.5,2.5,1.5
"245",8613,1984,8,1,31.7,24.8,11.7,4.8
"246",8614,1984,8,2,30.7,24.2,10.7,4.2
"247",8615,1984,8,3,29.7,24.2,9.7,4.2
"248",8616,1984,8,4,29.2,24.2,9.2,4.2
"249",8617,1984,8,5,30.1,24.2,10.1,4.2
"250",8618,1984,8,6,30,24.3,10,4.3
"251",8619,1984,8,7,30.4,24.2,10.4,4.2
"252",8620,1984,8,8,30.8,23.9,10.8,3.9
"253",8621,1984,8,9,32,25.7,12,5.7
"254",8622,1984,8,10,33.1,25.1,13.1,5.1
"255",8623,1984,8,11,30,25.2,10,5.2
"256",8624,1984,8,12,31.9,24.3,11.9,4.3
"257",8625,1984,8,13,31.9,25.3,11.9,5.3
"258",8626,1984,8,14,30.5,24.7,10.5,4.7
