"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",4961,1980,8,1,29.1,17,9.1,0
"2",4962,1980,8,2,28.1,17.1,8.1,0
"3",4963,1980,8,3,27.7,16.6,7.7,0
"4",4964,1980,8,4,27.4,18.3,7.4,0
"5",4965,1980,8,5,27.7,18.8,7.7,0
"6",4966,1980,8,6,26.3,19.1,6.3,0
"7",4967,1980,8,7,24.5,17,4.5,0
"8",4968,1980,8,8,24,17.7,4,0
"9",4969,1980,8,9,25.4,18.8,5.4,0
"10",4970,1980,8,10,29,19.1,9,0
"11",4971,1980,8,11,30.5,21,10.5,1
"12",4972,1980,8,12,27.9,20.7,7.9,0.699999999999999
"13",4973,1980,8,13,26.4,21.1,6.4,1.1
"14",4974,1980,8,14,28,21.6,8,1.6
"15",4975,1980,8,15,27.3,20.2,7.3,0.199999999999999
"16",4976,1980,8,16,29.4,21.1,9.4,1.1
"17",4977,1980,8,17,27.8,20.3,7.8,0.300000000000001
"18",4978,1980,8,18,28.2,20.5,8.2,0.5
"19",4979,1980,8,19,29.7,21.3,9.7,1.3
"20",4980,1980,8,20,27,20.2,7,0.199999999999999
"21",4981,1980,8,21,26.3,19.7,6.3,0
"22",4982,1980,8,22,29,19.3,9,0
"23",4983,1980,8,23,30,22,10,2
"24",4984,1980,8,24,28.7,20.4,8.7,0.399999999999999
"25",4985,1980,8,25,23.3,20.1,3.3,0.100000000000001
"26",4986,1980,8,26,27,20,7,0
"27",4987,1980,8,27,27.9,20.1,7.9,0.100000000000001
"28",4988,1980,8,28,26.4,20.6,6.4,0.600000000000001
"29",4989,1980,8,29,26.2,20,6.2,0
"30",4990,1980,8,30,23.4,19.6,3.4,0
"31",4991,1980,8,31,29.7,18,9.7,0
"32",4992,1980,9,1,28.7,18.9,8.7,0
"33",4993,1980,9,2,24.3,19.6,4.3,0
"34",4994,1980,9,3,28.4,19.1,8.4,0
"35",4995,1980,9,4,27.9,17.8,7.9,0
"36",4996,1980,9,5,26,18.7,6,0
"37",4997,1980,9,6,24.2,18,4.2,0
"38",4998,1980,9,7,28.1,16.9,8.1,0
"39",4999,1980,9,8,27,13.9,7,1.1
"40",5000,1980,9,9,26.6,14.7,6.6,0.300000000000001
"41",5001,1980,9,10,20.1,15.3,0.100000000000001,0
"42",5002,1980,9,11,21.3,14.7,1.3,0.300000000000001
"43",5003,1980,9,12,26.1,14.9,6.1,0.0999999999999996
"44",5004,1980,9,13,26.3,14,6.3,1
"45",5005,1980,9,14,27.6,12.3,7.6,2.7
"46",5006,1980,9,15,28.5,13.2,8.5,1.8
"47",5007,1980,9,16,24.7,14.8,4.7,0.199999999999999
"48",5008,1980,9,17,24.7,12.2,4.7,2.8
"49",5009,1980,9,18,24.8,9.8,4.8,5.2
"50",5010,1980,9,19,23.4,12.8,3.4,2.2
"51",5011,1980,9,20,26.9,11.6,6.9,3.4
"52",5012,1980,9,21,23.3,15,3.3,0
"53",5013,1980,9,22,19.1,9.6,0,5.4
"54",5014,1980,9,23,20.3,5.1,0.300000000000001,9.9
"55",5015,1980,9,24,24.2,7.3,4.2,7.7
"56",5016,1980,9,25,25.1,7.7,5.1,7.3
"57",5017,1980,9,26,25.8,8.9,5.8,6.1
