"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",5326,1980,8,1,30.2,14.2,10.2,0.800000000000001
"2",5327,1980,8,2,28.3,15.1,8.3,0
"3",5328,1980,8,3,25.6,15.4,5.6,0
"4",5329,1980,8,4,25.3,19.3,5.3,0
"5",5330,1980,8,5,25.9,17.6,5.9,0
"6",5331,1980,8,6,26.4,16.2,6.4,0
"7",5332,1980,8,7,24.2,16.6,4.2,0
"8",5333,1980,8,8,23.6,16.4,3.6,0
"9",5334,1980,8,9,26.5,17.8,6.5,0
"10",5335,1980,8,10,24.1,19.3,4.1,0
"11",5336,1980,8,11,29.5,18.8,9.5,0
"12",5337,1980,8,12,28.6,19.5,8.6,0
"13",5338,1980,8,13,22.9,19.8,2.9,0
"14",5339,1980,8,14,25.5,20.6,5.5,0.600000000000001
"15",5340,1980,8,15,29.4,19.9,9.4,0
"16",5341,1980,8,16,27,20.5,7,0.5
"17",5342,1980,8,17,21.8,18.5,1.8,0
"18",5343,1980,8,18,24.7,19.3,4.7,0
"19",5344,1980,8,19,29.8,20.8,9.8,0.800000000000001
"20",5345,1980,8,20,28.4,19.8,8.4,0
"21",5346,1980,8,21,30.7,20.4,10.7,0.399999999999999
"22",5347,1980,8,22,30.5,19.3,10.5,0
"23",5348,1980,8,23,29.2,20.3,9.2,0.300000000000001
"24",5349,1980,8,24,28.3,19.7,8.3,0
"25",5350,1980,8,25,26.7,19.3,6.7,0
"26",5351,1980,8,26,26.5,19.1,6.5,0
"27",5352,1980,8,27,24.2,20,4.2,0
"28",5353,1980,8,28,26.9,19,6.9,0
"29",5354,1980,8,29,23,18.1,3,0
"30",5355,1980,8,30,27.2,18.7,7.2,0
"31",5356,1980,8,31,28.1,19.5,8.1,0
"32",5357,1980,9,1,29.1,20,9.1,0
"33",5358,1980,9,2,21.4,16.2,1.4,0
"34",5359,1980,9,3,27.3,16.9,7.3,0
"35",5360,1980,9,4,25.9,16.8,5.9,0
"36",5361,1980,9,5,27.9,16.6,7.9,0
"37",5362,1980,9,6,26,14.8,6,0.199999999999999
"38",5363,1980,9,7,25.9,15.1,5.9,0
"39",5364,1980,9,8,26.5,14.7,6.5,0.300000000000001
"40",5365,1980,9,9,25.2,13.2,5.2,1.8
"41",5366,1980,9,10,18.4,14.4,0,0.6
"42",5367,1980,9,11,20.6,14.7,0.600000000000001,0.300000000000001
"43",5368,1980,9,12,25.3,10.7,5.3,4.3
"44",5369,1980,9,13,26.7,10.7,6.7,4.3
"45",5370,1980,9,14,27.4,14.5,7.4,0.5
"46",5371,1980,9,15,28,14,8,1
"47",5372,1980,9,16,24.2,12.6,4.2,2.4
"48",5373,1980,9,17,25,8.8,5,6.2
"49",5374,1980,9,18,22.9,9.4,2.9,5.6
"50",5375,1980,9,19,27.1,11.4,7.1,3.6
"51",5376,1980,9,20,27.5,11.4,7.5,3.6
"52",5377,1980,9,21,21.2,14.8,1.2,0.199999999999999
"53",5378,1980,9,22,20,7.3,0,7.7
"54",5379,1980,9,23,21,3.7,1,11.3
"55",5380,1980,9,24,23.5,6.8,3.5,8.2
"56",5381,1980,9,25,24.9,8.7,4.9,6.3
"57",5382,1980,9,26,24.8,9.9,4.8,5.1
"58",5383,1980,9,27,25.2,10.6,5.2,4.4
"59",5384,1980,9,28,24.8,10.7,4.8,4.3
"60",5385,1980,9,29,22.8,10,2.8,5
"61",5386,1980,9,30,23.1,6.9,3.1,8.1
"62",5691,1981,8,1,32.3,23.3,12.3,3.3
"63",5692,1981,8,2,29.1,23.6,9.1,3.6
"64",5693,1981,8,3,30.8,22.7,10.8,2.7
"65",5694,1981,8,4,29.7,18.2,9.7,0
"66",5695,1981,8,5,28.3,14.9,8.3,0.0999999999999996
"67",5696,1981,8,6,28.3,17.3,8.3,0
"68",5697,1981,8,7,24.4,18.3,4.4,0
"69",5698,1981,8,8,26.7,20.2,6.7,0.199999999999999
"70",5699,1981,8,9,31.7,20.4,11.7,0.399999999999999
"71",5700,1981,8,10,27.7,20.3,7.7,0.300000000000001
"72",5701,1981,8,11,31.7,20.9,11.7,0.899999999999999
"73",5702,1981,8,12,30,20.1,10,0.100000000000001
"74",5703,1981,8,13,31.8,18.2,11.8,0
"75",5704,1981,8,14,33.4,18.2,13.4,0
"76",5705,1981,8,15,32,17.1,12,0
"77",5706,1981,8,16,31.8,17,11.8,0
"78",5707,1981,8,17,24.1,20.6,4.1,0.600000000000001
"79",5708,1981,8,18,26.6,21,6.6,1
"80",5709,1981,8,19,31.4,18.8,11.4,0
"81",5710,1981,8,20,27.5,20.3,7.5,0.300000000000001
"82",5711,1981,8,21,28.1,20.2,8.1,0.199999999999999
"83",5712,1981,8,22,30.2,19.2,10.2,0
"84",5713,1981,8,23,29.4,18.2,9.4,0
"85",5714,1981,8,24,29.3,17.3,9.3,0
"86",5715,1981,8,25,22.3,18.8,2.3,0
"87",5716,1981,8,26,27.1,18.8,7.1,0
"88",5717,1981,8,27,30.3,17.5,10.3,0
"89",5718,1981,8,28,30.1,15.8,10.1,0
