"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",3319,1980,8,1,29.9,12.5,9.9,2.5
"2",3320,1980,8,2,28.7,12.4,8.7,2.6
"3",3321,1980,8,3,26.7,13.4,6.7,1.6
"4",3322,1980,8,4,26.6,17.9,6.6,0
"5",3323,1980,8,5,26.1,16.4,6.1,0
"6",3324,1980,8,6,27.4,15.2,7.4,0
"7",3325,1980,8,7,23.5,15.8,3.5,0
"8",3326,1980,8,8,24.4,15.8,4.4,0
"9",3327,1980,8,9,27.3,17.1,7.3,0
"10",3328,1980,8,10,26.9,18.8,6.9,0
"11",3329,1980,8,11,29.1,18.6,9.1,0
"12",3330,1980,8,12,27.9,17.7,7.9,0
"13",3331,1980,8,13,24,19.5,4,0
"14",3332,1980,8,14,25.3,20.5,5.3,0.5
"15",3333,1980,8,15,30.3,19.2,10.3,0
"16",3334,1980,8,16,28.4,19,8.4,0
"17",3335,1980,8,17,22,18.3,2,0
"18",3336,1980,8,18,26.6,18.6,6.6,0
"19",3337,1980,8,19,30.4,19.8,10.4,0
"20",3338,1980,8,20,26,19.5,6,0
"21",3339,1980,8,21,30,19.4,10,0
"22",3340,1980,8,22,30.7,18.8,10.7,0
"23",3341,1980,8,23,30.2,20,10.2,0
"24",3342,1980,8,24,28.8,18.6,8.8,0
"25",3343,1980,8,25,26.3,19,6.3,0
"26",3344,1980,8,26,25.7,18.9,5.7,0
"27",3345,1980,8,27,25.1,18.8,5.1,0
"28",3346,1980,8,28,28,18.5,8,0
"29",3347,1980,8,29,23.2,17.5,3.2,0
"30",3348,1980,8,30,25.6,17.8,5.6,0
"31",3349,1980,8,31,27.9,18,7.9,0
"32",3350,1980,9,1,29.3,18.6,9.3,0
"33",3351,1980,9,2,23,17.8,3,0
"34",3352,1980,9,3,28.8,17.4,8.8,0
"35",3353,1980,9,4,27.2,15.2,7.2,0
"36",3354,1980,9,5,28,15.1,8,0
"37",3355,1980,9,6,25.5,14.5,5.5,0.5
"38",3356,1980,9,7,23.8,15.3,3.8,0
"39",3357,1980,9,8,27.3,12.9,7.3,2.1
"40",3358,1980,9,9,26.5,12,6.5,3
"41",3359,1980,9,10,16.9,14.5,0,0.5
"42",3360,1980,9,11,20.1,14,0.100000000000001,1
"43",3361,1980,9,12,25.4,11.9,5.4,3.1
"44",3362,1980,9,13,26.8,11.8,6.8,3.2
"45",3363,1980,9,14,27.1,13.6,7.1,1.4
"46",3364,1980,9,15,28.1,13.4,8.1,1.6
"47",3365,1980,9,16,24.6,11.8,4.6,3.2
"48",3366,1980,9,17,24.6,9.6,4.6,5.4
"49",3367,1980,9,18,24,9.4,4,5.6
"50",3368,1980,9,19,26.4,11.5,6.4,3.5
"51",3369,1980,9,20,27.4,11.5,7.4,3.5
"52",3370,1980,9,21,22.6,14.5,2.6,0.5
"53",3371,1980,9,22,20.1,5.9,0.100000000000001,9.1
"54",3372,1980,9,23,20.8,3.7,0.800000000000001,11.3
"55",3373,1980,9,24,23.4,6.1,3.4,8.9
"56",3374,1980,9,25,24.8,7.6,4.8,7.4
"57",3375,1980,9,26,25.9,9.2,5.9,5.8
"58",3376,1980,9,27,25.9,10.1,5.9,4.9
"59",3377,1980,9,28,25.4,10.5,5.4,4.5
"60",3378,1980,9,29,23.8,10,3.8,5
"61",3379,1980,9,30,22.9,6.7,2.9,8.3
"62",3684,1981,8,1,31.9,22.2,11.9,2.2
"63",3685,1981,8,2,29.8,22.5,9.8,2.5
"64",3686,1981,8,3,31,22.2,11,2.2
"65",3687,1981,8,4,31,17.2,11,0
"66",3688,1981,8,5,29,13.6,9,1.4
"67",3689,1981,8,6,28.7,15.6,8.7,0
