"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",7030,1980,4,1,13.6,2.2,4.4,15.8
"2",7031,1980,4,2,11.5,1.6,6.5,16.4
"3",7032,1980,4,3,22,2.8,2,15.2
"4",7033,1980,4,4,24,8.9,4,9.1
"5",7034,1980,4,5,20.9,8.1,0.899999999999999,9.9
"6",7035,1980,4,6,8.1,2.1,9.9,15.9
"7",7036,1980,4,7,15.7,0.5,2.3,17.5
"8",7037,1980,4,8,18.8,7.5,0,10.5
"9",7038,1980,4,9,9.2,4,8.8,14
"10",7039,1980,4,10,13.5,3.2,4.5,14.8
"11",7040,1980,4,11,17.7,3,0.300000000000001,15
"12",7041,1980,4,12,16.4,5.7,1.6,12.3
"13",7042,1980,4,13,8.2,3.9,9.8,14.1
"14",7043,1980,4,14,6.1,0.2,11.9,17.8
"15",7044,1980,4,15,10.4,0.2,7.6,17.8
"16",7045,1980,4,16,9.8,2.8,8.2,15.2
"17",7046,1980,4,17,12.4,3.4,5.6,14.6
"18",7047,1980,4,18,22.6,4.3,2.6,13.7
"19",7048,1980,4,19,25.6,6.3,5.6,11.7
"20",7049,1980,4,20,16.2,7.7,1.8,10.3
"21",7050,1980,4,21,18.8,6.8,0,11.2
"22",7051,1980,4,22,18.8,6.6,0,11.4
"23",7052,1980,4,23,14.2,6.3,3.8,11.7
"24",7053,1980,4,24,14,5.5,4,12.5
"25",7054,1980,4,25,15,6.2,3,11.8
"26",7055,1980,4,26,21.9,10.9,1.9,7.1
"27",7056,1980,4,27,15.4,8.1,2.6,9.9
"28",7057,1980,4,28,16.6,7.8,1.4,10.2
"29",7058,1980,4,29,19.8,9.5,0,8.5
"30",7059,1980,4,30,21.8,10.5,1.8,7.5
"31",7395,1981,4,1,13.8,3.9,4.2,14.1
"32",7396,1981,4,2,10,3.5,8,14.5
"33",7397,1981,4,3,16.8,5.9,1.2,12.1
"34",7398,1981,4,4,19.4,7.7,0,10.3
"35",7399,1981,4,5,10.5,6.8,7.5,11.2
"36",7400,1981,4,6,19.6,7,0,11
"37",7401,1981,4,7,15.3,7,2.7,11
"38",7402,1981,4,8,20,3.8,0,14.2
"39",7403,1981,4,9,14.4,7.1,3.6,10.9
"40",7404,1981,4,10,15.4,6.8,2.6,11.2
"41",7405,1981,4,11,23.8,12.9,3.8,5.1
"42",7406,1981,4,12,15.7,5.8,2.3,12.2
"43",7407,1981,4,13,10.8,5,7.2,13
"44",7408,1981,4,14,20.3,7,0.300000000000001,11
"45",7409,1981,4,15,19.4,10,0,8
"46",7410,1981,4,16,12.5,7,5.5,11
"47",7411,1981,4,17,19.9,7.6,0,10.4
"48",7412,1981,4,18,16.5,6.2,1.5,11.8
"49",7413,1981,4,19,7.8,3.5,10.2,14.5
"50",7414,1981,4,20,14.3,1.2,3.7,16.8
"51",7415,1981,4,21,24.1,10.4,4.1,7.6
"52",7416,1981,4,22,27.4,15.8,7.4,2.2
"53",7417,1981,4,23,26.4,16.8,6.4,1.2
"54",7418,1981,4,24,20.2,10.2,0.199999999999999,7.8
"55",7419,1981,4,25,19.2,8.8,0,9.2
"56",7420,1981,4,26,27.2,13.8,7.2,4.2
"57",7421,1981,4,27,20.1,8.7,0.100000000000001,9.3
"58",7422,1981,4,28,16.6,6.4,1.4,11.6
"59",7423,1981,4,29,10.6,7.4,7.4,10.6
"60",7424,1981,4,30,26.7,7,6.7,11
"61",7760,1982,4,1,21.7,1.9,1.7,16.1
"62",7761,1982,4,2,16.3,7.5,1.7,10.5
"63",7762,1982,4,3,10.4,1.8,7.6,16.2
"64",7763,1982,4,4,11.8,1.4,6.2,16.6
"65",7764,1982,4,5,19.1,3.3,0,14.7
"66",7765,1982,4,6,23.2,9.5,3.2,8.5
"67",7766,1982,4,7,24.3,12.4,4.3,5.6
"68",7767,1982,4,8,17.7,2,0.300000000000001,16
"69",7768,1982,4,9,7.9,0.7,10.1,17.3
"70",7769,1982,4,10,13.8,3.6,4.2,14.4
"71",7770,1982,4,11,19.8,7.9,0,10.1
"72",7771,1982,4,12,20.6,11.7,0.600000000000001,6.3
"73",7772,1982,4,13,19.2,10.3,0,7.7
"74",7773,1982,4,14,11,7.2,7,10.8
"75",7774,1982,4,15,14.1,5.7,3.9,12.3
"76",7775,1982,4,16,14.7,4.3,3.3,13.7
"77",7776,1982,4,17,15.9,5.7,2.1,12.3
"78",7777,1982,4,18,16.4,6.5,1.6,11.5
"79",7778,1982,4,19,22.9,9.8,2.9,8.2
"80",7779,1982,4,20,19.3,9.5,0,8.5
"81",7780,1982,4,21,14.2,7.8,3.8,10.2
"82",7781,1982,4,22,21.8,5,1.8,13
"83",7782,1982,4,23,26.5,13.2,6.5,4.8
"84",7783,1982,4,24,21.2,11.3,1.2,6.7
"85",7784,1982,4,25,27.4,8.8,7.4,9.2
"86",7785,1982,4,26,23.3,12.8,3.3,5.2
"87",7786,1982,4,27,12.9,5.9,5.1,12.1
"88",7787,1982,4,28,9,5.8,9,12.2
"89",7788,1982,4,29,18,7.4,0,10.6
"90",7789,1982,4,30,16.2,9.3,1.8,8.7
"91",8125,1983,4,1,7.4,1.6,10.6,16.4
"92",8126,1983,4,2,14.7,0.5,3.3,17.5
"93",8127,1983,4,3,14.6,1.6,3.4,16.4
"94",8128,1983,4,4,15,3,3,15
"95",8129,1983,4,5,20.6,8.9,0.600000000000001,9.1
"96",8130,1983,4,6,26.5,16.2,6.5,1.8
"97",8131,1983,4,7,20,8,0,10
"98",8132,1983,4,8,14.3,4.2,3.7,13.8
"99",8133,1983,4,9,14.4,4.8,3.6,13.2
"100",8134,1983,4,10,12.5,6.5,5.5,11.5
"101",8135,1983,4,11,9.7,5.8,8.3,12.2
"102",8136,1983,4,12,20.5,4.1,0.5,13.9
"103",8137,1983,4,13,20.7,6.9,0.699999999999999,11.1
"104",8138,1983,4,14,10.3,7.6,7.7,10.4
"105",8139,1983,4,15,18,6.9,0,11.1
"106",8140,1983,4,16,15.5,5.7,2.5,12.3
"107",8141,1983,4,17,22.4,9.1,2.4,8.9
"108",8142,1983,4,18,25.5,11.6,5.5,6.4
"109",8143,1983,4,19,21.2,8.3,1.2,9.7
"110",8144,1983,4,20,16.7,7.4,1.3,10.6
"111",8145,1983,4,21,23.2,6.7,3.2,11.3
"112",8146,1983,4,22,19.3,10.9,0,7.1
"113",8147,1983,4,23,24.2,9.4,4.2,8.6
"114",8148,1983,4,24,28.3,16.9,8.3,1.1
"115",8149,1983,4,25,30.1,18.8,10.1,0
"116",8150,1983,4,26,28.1,17.1,8.1,0.899999999999999
"117",8151,1983,4,27,29,18,9,0
"118",8152,1983,4,28,20.7,11.4,0.699999999999999,6.6
"119",8153,1983,4,29,17.9,7.9,0.100000000000001,10.1
