"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",3376,1980,4,1,11.5,-0.3,6.5,18.3
"2",3377,1980,4,2,11.6,-2.4,6.4,20.4
"3",3378,1980,4,3,17,-1,1,19
"4",3379,1980,4,4,21.6,6.7,1.6,11.3
"5",3380,1980,4,5,18.4,9.8,0,8.2
"6",3381,1980,4,6,11,4.1,7,13.9
"7",3382,1980,4,7,12.2,0.7,5.8,17.3
"8",3383,1980,4,8,15,6.3,3,11.7
"9",3384,1980,4,9,14.9,4.4,3.1,13.6
"10",3385,1980,4,10,16.2,0.4,1.8,17.6
"11",3386,1980,4,11,16,1.1,2,16.9
"12",3387,1980,4,12,16.5,7.8,1.5,10.2
"13",3388,1980,4,13,14,6.3,4,11.7
"14",3389,1980,4,14,10.8,4,7.2,14
"15",3390,1980,4,15,10.4,2.1,7.6,15.9
"16",3391,1980,4,16,9.9,3.3,8.1,14.7
"17",3392,1980,4,17,11.2,1.2,6.8,16.8
"18",3393,1980,4,18,18.5,0.7,0,17.3
"19",3394,1980,4,19,21.2,7.8,1.2,10.2
"20",3395,1980,4,20,12.8,5.9,5.2,12.1
"21",3396,1980,4,21,14,1.3,4,16.7
"22",3397,1980,4,22,14.6,0.4,3.4,17.6
"23",3398,1980,4,23,13.6,4.3,4.4,13.7
"24",3399,1980,4,24,15,1,3,17
"25",3400,1980,4,25,16.8,0.7,1.2,17.3
"26",3401,1980,4,26,19.5,1.1,0,16.9
"27",3402,1980,4,27,14.2,8.5,3.8,9.5
"28",3403,1980,4,28,15,7.2,3,10.8
"29",3404,1980,4,29,17.2,6.3,0.800000000000001,11.7
"30",3405,1980,4,30,18.8,6.2,0,11.8
"31",3741,1981,4,1,9.1,4.8,8.9,13.2
"32",3742,1981,4,2,12.3,1.8,5.7,16.2
"33",3743,1981,4,3,10,-1.1,8,19.1
"34",3744,1981,4,4,17,0.8,1,17.2
"35",3745,1981,4,5,10,6.5,8,11.5
"36",3746,1981,4,6,17.6,2,0.399999999999999,16
"37",3747,1981,4,7,22,1.2,2,16.8
"38",3748,1981,4,8,21.9,7.5,1.9,10.5
"39",3749,1981,4,9,21.4,11.5,1.4,6.5
"40",3750,1981,4,10,17.2,5.9,0.800000000000001,12.1
"41",3751,1981,4,11,15.3,5.2,2.7,12.8
"42",3752,1981,4,12,15,5.8,3,12.2
"43",3753,1981,4,13,16,4.7,2,13.3
"44",3754,1981,4,14,17.3,1.2,0.699999999999999,16.8
"45",3755,1981,4,15,18.2,0.7,0,17.3
"46",3756,1981,4,16,11.2,6.4,6.8,11.6
"47",3757,1981,4,17,18,2.6,0,15.4
"48",3758,1981,4,18,17.5,5,0.5,13
"49",3759,1981,4,19,11.3,6.9,6.7,11.1
"50",3760,1981,4,20,17,3.6,1,14.4
"51",3761,1981,4,21,18,4.1,0,13.9
"52",3762,1981,4,22,19.5,3.4,0,14.6
"53",3763,1981,4,23,21.5,5.8,1.5,12.2
"54",3764,1981,4,24,14.8,9.2,3.2,8.8
"55",3765,1981,4,25,19.5,8.2,0,9.8
"56",3766,1981,4,26,20.6,6.4,0.600000000000001,11.6
"57",3767,1981,4,27,20,8.6,0,9.4
"58",3768,1981,4,28,24.2,5.6,4.2,12.4
"59",3769,1981,4,29,15,10.8,3,7.2
"60",3770,1981,4,30,16,8.5,2,9.5
"61",4106,1982,4,1,17.2,0.9,0.800000000000001,17.1
"62",4107,1982,4,2,11.3,5,6.7,13
"63",4108,1982,4,3,15.8,6.5,2.2,11.5
"64",4109,1982,4,4,15.4,1.2,2.6,16.8
"65",4110,1982,4,5,16.8,1.4,1.2,16.6
"66",4111,1982,4,6,17.6,0,0.399999999999999,18
"67",4112,1982,4,7,19.8,1.3,0,16.7
"68",4113,1982,4,8,12.4,2.6,5.6,15.4
"69",4114,1982,4,9,12,2.7,6,15.3
"70",4115,1982,4,10,14.6,-1.5,3.4,19.5
"71",4116,1982,4,11,15.8,0,2.2,18
"72",4117,1982,4,12,15.3,3.8,2.7,14.2
"73",4118,1982,4,13,15.4,5,2.6,13
"74",4119,1982,4,14,19.6,3.8,0,14.2
"75",4120,1982,4,15,15.6,4,2.4,14
"76",4121,1982,4,16,13,1.6,5,16.4
"77",4122,1982,4,17,13.2,2,4.8,16
"78",4123,1982,4,18,15,0.5,3,17.5
"79",4124,1982,4,19,16,3.4,2,14.6
"80",4125,1982,4,20,16,6,2,12
"81",4126,1982,4,21,21,7.6,1,10.4
"82",4127,1982,4,22,20.6,5.1,0.600000000000001,12.9
"83",4128,1982,4,23,19.4,6.5,0,11.5
"84",4129,1982,4,24,22.4,5.4,2.4,12.6
"85",4130,1982,4,25,26,5.2,6,12.8
"86",4131,1982,4,26,26,11.6,6,6.4
"87",4132,1982,4,27,20.4,12,0.399999999999999,6
"88",4133,1982,4,28,20.8,9.8,0.800000000000001,8.2
"89",4134,1982,4,29,20,10,0,8
"90",4135,1982,4,30,22,8,2,10
"91",4471,1983,4,1,14.4,1.6,3.6,16.4
"92",4472,1983,4,2,8.6,1.4,9.4,16.6
"93",4473,1983,4,3,5.4,-0.5,12.6,18.5
"94",4474,1983,4,4,9.6,-1.9,8.4,19.9
"95",4475,1983,4,5,16,5.2,2,12.8
