"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",2978,1980,4,1,13.11879,0.32738,4.88121,17.67262
"2",2979,1980,4,2,13.51827,-2.08678,4.48173,20.08678
"3",2980,1980,4,3,19.11099,-3.29386,0,21.29386
"4",2981,1980,4,4,20.80878,-1.7419,0.808779999999999,19.7419
"5",2982,1980,4,5,14.81658,12.4844,3.18342,5.5156
"6",2983,1980,4,6,15.91515,5.24192,2.08485,12.75808
"7",2984,1980,4,7,14.91645,4.55216,3.08355,13.44784
"8",2985,1980,4,8,17.31333,2.74154,0.686669999999999,15.25846
"9",2986,1980,4,9,19.01112,3.08642,0,14.91358
"10",2987,1980,4,10,15.71541,1.96556,2.28459,16.03444
"11",2988,1980,4,11,19.90995,-0.8797,0,18.8797
"12",2989,1980,4,12,12.81918,7.48364,5.18082,10.51636
"13",2990,1980,4,13,11.421,6.449,6.579,11.551
"14",2991,1980,4,14,6.92685,2.82776,11.07315,15.17224
"15",2992,1980,4,15,11.22126,1.53446,6.77874,16.46554
"16",2993,1980,4,16,9.62334,2.05178,8.37666,15.94822
"17",2994,1980,4,17,12.61944,0.32738,5.38056,17.67262
"18",2995,1980,4,18,18.01242,0.15494,0,17.84506
"19",2996,1980,4,19,21.00852,5.84546,1.00852,12.15454
"20",2997,1980,4,20,15.81528,4.2935,2.18472,13.7065
"21",2998,1980,4,21,16.51437,-0.27616,1.48563,18.27616
"22",2999,1980,4,22,16.91385,-0.79348,1.08615,18.79348
"23",3000,1980,4,23,13.51827,1.01714,4.48173,16.98286
"24",3001,1980,4,24,13.71801,-1.22458,4.28199,19.22458
"25",3002,1980,4,25,16.71411,-0.36238,1.28589,18.36238
"26",3003,1980,4,26,22.30683,-0.8797,2.30683,18.8797
"27",3004,1980,4,27,10.22256,5.06948,7.77744,12.93052
"28",3005,1980,4,28,15.31593,2.91398,2.68407,15.08602
"29",3006,1980,4,29,19.01112,1.01714,0,16.98286
"30",3007,1980,4,30,21.408,6.70766,1.408,11.29234
"31",3343,1981,4,1,12.02022,1.87934,5.97978,16.12066
"32",3344,1981,4,2,13.61814,-0.0175000000000001,4.38186,18.0175
"33",3345,1981,4,3,13.61814,-4.06984,4.38186,22.06984
"34",3346,1981,4,4,17.81268,4.03484,0.18732,13.96516
"35",3347,1981,4,5,11.52087,3.25886,6.47913,14.74114
"36",3348,1981,4,6,21.10839,3.77618,1.10839,14.22382
"37",3349,1981,4,7,23.30553,0.67226,3.30553,17.32774
"38",3350,1981,4,8,21.20826,0.4136,1.20826,17.5864
"39",3351,1981,4,9,17.91255,6.53522,0.0874500000000005,11.46478
"40",3352,1981,4,10,19.51047,6.96632,0,11.03368
"41",3353,1981,4,11,21.30813,4.55216,1.30813,13.44784
"42",3354,1981,4,12,21.30813,3.51752,1.30813,14.48248
"43",3355,1981,4,13,15.51567,3.68996,2.48433,14.31004
"44",3356,1981,4,14,19.90995,-0.79348,0,18.79348
"45",3357,1981,4,15,19.61034,2.138,0,15.862
"46",3358,1981,4,16,12.61944,3.51752,5.38056,14.48248
"47",3359,1981,4,17,19.01112,0.93092,0,17.06908
"48",3360,1981,4,18,19.90995,2.31044,0,15.68956
"49",3361,1981,4,19,14.31723,5.75924,3.68277,12.24076
"50",3362,1981,4,20,15.31593,0.4136,2.68407,17.5864
"51",3363,1981,4,21,20.70891,-0.18994,0.708909999999999,18.18994
"52",3364,1981,4,22,22.10709,0.4136,2.10709,17.5864
"53",3365,1981,4,23,24.20436,1.87934,4.20436,16.12066
"54",3366,1981,4,24,18.31203,4.12106,0,13.87894
"55",3367,1981,4,25,18.91125,0.49982,0,17.50018
"56",3368,1981,4,26,26.50137,-0.18994,6.50137,18.18994
"57",3369,1981,4,27,24.70371,2.65532,4.70371,15.34468
"58",3370,1981,4,28,25.90215,2.05178,5.90215,15.94822
"59",3371,1981,4,29,15.31593,10.67378,2.68407,7.32622
"60",3372,1981,4,30,20.4093,7.91474,0.409300000000002,10.08526
"61",3708,1982,4,1,20.4093,-0.96592,0.409300000000002,18.96592
