"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",2647,1980,4,1,13.31561,5.30616,4.68439,12.69384
"2",2648,1980,4,2,13.51319,1.68345,4.48681,16.31655
"3",2649,1980,4,3,19.83575,-0.17435,0,18.17435
"4",2650,1980,4,4,21.81155,1.03322,1.81155,16.96678
"5",2651,1980,4,5,20.3297,12.3658,0.329699999999999,5.6342
"6",2652,1980,4,6,20.62607,6.23506,0.626069999999999,11.76494
"7",2653,1980,4,7,16.27931,6.32795,1.72069,11.67205
"8",2654,1980,4,8,16.47689,5.95639,1.52311,12.04361
"9",2655,1980,4,9,17.46479,5.8635,0.535209999999999,12.1365
"10",2656,1980,4,10,16.27931,6.23506,1.72069,11.76494
"11",2657,1980,4,11,20.62607,1.77634,0.626069999999999,16.22366
"12",2658,1980,4,12,12.4265,9.5791,5.5735,8.4209
"13",2659,1980,4,13,11.33981,7.99997,6.66019,10.00003
"14",2660,1980,4,14,7.98095,3.26258,10.01905,14.73742
"15",2661,1980,4,15,11.33981,1.68345,6.66019,16.31655
"16",2662,1980,4,16,10.35191,3.26258,7.64809,14.73742
"17",2663,1980,4,17,13.11803,3.54125,4.88197,14.45875
"18",2664,1980,4,18,17.56358,4.0057,0.436419999999998,13.9943
"19",2665,1980,4,19,21.81155,7.90708,1.81155,10.09292
"20",2666,1980,4,20,16.47689,7.07107,1.52311,10.92893
"21",2667,1980,4,21,16.67447,4.37726,1.32553,13.62274
"22",2668,1980,4,22,17.85995,1.68345,0.140049999999999,16.31655
"23",2669,1980,4,23,14.79746,5.77061,3.20254,12.22939
"24",2670,1980,4,24,14.69867,1.03322,3.30133,16.96678
"25",2671,1980,4,25,17.85995,3.0768,0.140049999999999,14.9232
"26",2672,1980,4,26,22.00913,2.51946,2.00913,15.48054
"27",2673,1980,4,27,11.73497,7.44263,6.26503,10.55737
"28",2674,1980,4,28,16.87205,5.95639,1.12795,12.04361
"29",2675,1980,4,29,21.41639,4.28437,1.41639,13.71563
"30",2676,1980,4,30,22.00913,8.27864,2.00913,9.72136
"31",3012,1981,4,1,12.52529,4.47015,5.47471,13.52985
"32",3013,1981,4,2,13.80956,6.04928,4.19044,11.95072
"33",3014,1981,4,3,13.31561,-0.54591,4.68439,18.54591
"34",3015,1981,4,4,17.66237,5.39905,0.337630000000001,12.60095
"35",3016,1981,4,5,11.83376,6.42084,6.16624,11.57916
"36",3017,1981,4,6,20.72486,5.95639,0.72486,12.04361
"37",3018,1981,4,7,22.70066,4.37726,2.70066,13.62274
"38",3019,1981,4,8,20.92244,3.44836,0.922440000000002,14.55164
"39",3020,1981,4,9,15.3902,9.67199,2.6098,8.32801
"40",3021,1981,4,10,19.53938,10.78667,0,7.21333
"41",3022,1981,4,11,22.60187,8.83598,2.60187,9.16402
"42",3023,1981,4,12,22.50308,7.34974,2.50308,10.65026
"43",3024,1981,4,13,17.56358,8.46442,0.436419999999998,9.53558
"44",3025,1981,4,14,19.14422,2.79813,0,15.20187
"45",3026,1981,4,15,19.14422,5.02749,0,12.97251
"46",3027,1981,4,16,14.00714,5.67772,3.99286,12.32228
"47",3028,1981,4,17,20.23091,2.42657,0.230910000000002,15.57343
"48",3029,1981,4,18,20.13212,5.58483,0.13212,12.41517
"49",3030,1981,4,19,13.51319,8.37153,4.48681,9.62847
"50",3031,1981,4,20,15.58778,6.32795,2.41222,11.67205
"51",3032,1981,4,21,21.81155,3.0768,1.81155,14.9232
"52",3033,1981,4,22,23.2934,5.95639,3.2934,12.04361
"53",3034,1981,4,23,24.67646,6.04928,4.67646,11.95072
"54",3035,1981,4,24,24.08372,8.37153,4.08372,9.62847
"55",3036,1981,4,25,20.52728,4.47015,0.527280000000001,13.52985
"56",3037,1981,4,26,26.84984,4.47015,6.84984,13.52985
"57",3038,1981,4,27,24.87404,8.18575,4.87404,9.81425
"58",3039,1981,4,28,26.2571,5.77061,6.2571,12.22939
"59",3040,1981,4,29,19.93454,11.52979,0,6.47021
"60",3041,1981,4,30,22.10792,10.41511,2.10792,7.58489
"61",3377,1982,4,1,20.82365,1.12611,0.823650000000001,16.87389
"62",3378,1982,4,2,13.61198,3.91281,4.38802,14.08719
"63",3379,1982,4,3,11.83376,1.68345,6.16624,16.31655
"64",3380,1982,4,4,15.09383,0.0114300000000001,2.90617,17.98857
"65",3381,1982,4,5,17.56358,2.70524,0.436419999999998,15.29476
"66",3382,1982,4,6,20.62607,1.68345,0.626069999999999,16.31655
"67",3383,1982,4,7,20.42849,8.09286,0.42849,9.90714
"68",3384,1982,4,8,22.40429,4.84171,2.40429,13.15829
"69",3385,1982,4,9,10.64828,2.70524,7.35172,15.29476
"70",3386,1982,4,10,16.97084,-0.82458,1.02916,18.82458
"71",3387,1982,4,11,19.3418,0.84744,0,17.15256
"72",3388,1982,4,12,20.23091,6.04928,0.230910000000002,11.95072
"73",3389,1982,4,13,19.63817,6.04928,0,11.95072
"74",3390,1982,4,14,19.63817,7.62841,0,10.37159
"75",3391,1982,4,15,17.26721,4.84171,0.732790000000001,13.15829
"76",3392,1982,4,16,15.3902,5.95639,2.6098,12.04361
"77",3393,1982,4,17,15.19262,4.47015,2.80738,13.52985
"78",3394,1982,4,18,17.366,0.2901,0.634,17.7099
"79",3395,1982,4,19,21.02123,1.49767,1.02123,16.50233
"80",3396,1982,4,20,16.67447,5.21327,1.32553,12.78673
"81",3397,1982,4,21,19.83575,7.25685,0,10.74315
"82",3398,1982,4,22,23.2934,3.72703,3.2934,14.27297
"83",3399,1982,4,23,24.77525,6.69951,4.77525,11.30049
"84",3400,1982,4,24,26.55347,8.46442,6.55347,9.53558
"85",3401,1982,4,25,27.73895,6.88529,7.73895,11.11471
"86",3402,1982,4,26,23.49098,10.87956,3.49098,7.12044
"87",3403,1982,4,27,16.3781,11.52979,1.6219,6.47021
"88",3404,1982,4,28,14.30351,9.20754,3.69649,8.79246
"89",3405,1982,4,29,22.40429,12.18002,2.40429,5.81998
"90",3406,1982,4,30,21.51518,11.25112,1.51518,6.74888
"91",3742,1983,4,1,15.4,3.9,2.6,14.1
"92",3743,1983,4,2,13.4,0.1,4.6,17.9
"93",3744,1983,4,3,10.8,-3.2,7.2,21.2
"94",3745,1983,4,4,14.5,1.1,3.5,16.9
"95",3746,1983,4,5,21.7,0.5,1.7,17.5
"96",3747,1983,4,6,25.3,2.7,5.3,15.3
"97",3748,1983,4,7,20.9,9.1,0.899999999999999,8.9
"98",3749,1983,4,8,24.4,6.9,4.4,11.1
"99",3750,1983,4,9,20.5,6.6,0.5,11.4
"100",3751,1983,4,10,19.8,12.8,0,5.2
"101",3752,1983,4,11,18.2,9.6,0,8.4
"102",3753,1983,4,12,22.2,10,2.2,8
"103",3754,1983,4,13,20.7,6.5,0.699999999999999,11.5
"104",3755,1983,4,14,15.9,12.2,2.1,5.8
"105",3756,1983,4,15,16.6,7.4,1.4,10.6
"106",3757,1983,4,16,14.3,2.5,3.7,15.5
"107",3758,1983,4,17,22.5,1.2,2.5,16.8
"108",3759,1983,4,18,23.9,3.2,3.9,14.8
