"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",3348,1980,4,1,13.3,5.3,4.7,12.7
"2",3349,1980,4,2,13.3,4.6,4.7,13.4
"3",3350,1980,4,3,15.7,3.3,2.3,14.7
"4",3351,1980,4,4,18.7,7.9,0,10.1
"5",3352,1980,4,5,19.8,14.9,0,3.1
"6",3353,1980,4,6,19.3,5.4,0,12.6
"7",3354,1980,4,7,13.6,3.3,4.4,14.7
"8",3355,1980,4,8,16.1,8.9,1.9,9.1
"9",3356,1980,4,9,19.8,10.9,0,7.1
"10",3357,1980,4,10,12.7,8.3,5.3,9.7
"11",3358,1980,4,11,15.5,8.9,2.5,9.1
"12",3359,1980,4,12,15.3,13.2,2.7,4.8
"13",3360,1980,4,13,14.8,6.3,3.2,11.7
"14",3361,1980,4,14,10.2,3.7,7.8,14.3
"15",3362,1980,4,15,11.4,1.5,6.6,16.5
"16",3363,1980,4,16,10.8,4.2,7.2,13.8
"17",3364,1980,4,17,13,3.2,5,14.8
"18",3365,1980,4,18,17.5,5.5,0.5,12.5
"19",3366,1980,4,19,18.4,13.7,0,4.3
"20",3367,1980,4,20,18.8,9.2,0,8.8
"21",3368,1980,4,21,18.2,5.5,0,12.5
"22",3369,1980,4,22,17.5,7.4,0.5,10.6
"23",3370,1980,4,23,16.7,7.2,1.3,10.8
"24",3371,1980,4,24,14.5,4.7,3.5,13.3
"25",3372,1980,4,25,17.9,6.9,0.100000000000001,11.1
"26",3373,1980,4,26,16.8,5.7,1.2,12.3
"27",3374,1980,4,27,16.7,8.9,1.3,9.1
"28",3375,1980,4,28,16.9,7.9,1.1,10.1
"29",3376,1980,4,29,16.7,7.4,1.3,10.6
"30",3377,1980,4,30,23,10.3,3,7.7
"31",3713,1981,4,1,10.3,7.4,7.7,10.6
"32",3714,1981,4,2,13,3.4,5,14.6
"33",3715,1981,4,3,11.1,0.6,6.9,17.4
"34",3716,1981,4,4,12.8,3.9,5.2,14.1
"35",3717,1981,4,5,14.3,6.6,3.7,11.4
"36",3718,1981,4,6,19.2,4.4,0,13.6
"37",3719,1981,4,7,19.1,6.6,0,11.4
"38",3720,1981,4,8,16.1,10,1.9,8
"39",3721,1981,4,9,12.2,9.5,5.8,8.5
"40",3722,1981,4,10,18.6,8.4,0,9.6
"41",3723,1981,4,11,19.8,6.9,0,11.1
"42",3724,1981,4,12,16.8,9.5,1.2,8.5
"43",3725,1981,4,13,16.1,7.4,1.9,10.6
"44",3726,1981,4,14,15.6,4.3,2.4,13.7
"45",3727,1981,4,15,12.4,8.9,5.6,9.1
"46",3728,1981,4,16,15.9,8.6,2.1,9.4
"47",3729,1981,4,17,17.7,7.2,0.300000000000001,10.8
"48",3730,1981,4,18,14.7,7.6,3.3,10.4
"49",3731,1981,4,19,14.7,7.9,3.3,10.1
"50",3732,1981,4,20,17.6,6.8,0.399999999999999,11.2
"51",3733,1981,4,21,18.4,5.6,0,12.4
"52",3734,1981,4,22,21.2,7.4,1.2,10.6
"53",3735,1981,4,23,21,11.9,1,6.1
"54",3736,1981,4,24,18.8,10.4,0,7.6
"55",3737,1981,4,25,20.2,6.4,0.199999999999999,11.6
"56",3738,1981,4,26,20.7,7.5,0.699999999999999,10.5
"57",3739,1981,4,27,21.5,7.9,1.5,10.1
"58",3740,1981,4,28,19.1,8.9,0,9.1
"59",3741,1981,4,29,16.5,12.2,1.5,5.8
"60",3742,1981,4,30,21.8,9,1.8,9
"61",4078,1982,4,1,15.1,7.6,2.9,10.4
"62",4079,1982,4,2,15.7,7.4,2.3,10.6
"63",4080,1982,4,3,12.3,8.2,5.7,9.8
"64",4081,1982,4,4,11.8,7.3,6.2,10.7
"65",4082,1982,4,5,14.2,4.2,3.8,13.8
"66",4083,1982,4,6,15.2,8.2,2.8,9.8
"67",4084,1982,4,7,18.4,9.7,0,8.3
"68",4085,1982,4,8,18.8,6.4,0,11.6
"69",4086,1982,4,9,11,2.5,7,15.5
"70",4087,1982,4,10,16,3.9,2,14.1
"71",4088,1982,4,11,14.6,3.4,3.4,14.6
"72",4089,1982,4,12,18.1,6,0,12
"73",4090,1982,4,13,16.5,7.5,1.5,10.5
"74",4091,1982,4,14,20.9,10.1,0.899999999999999,7.9
"75",4092,1982,4,15,18.8,6.1,0,11.9
"76",4093,1982,4,16,16.8,7.8,1.2,10.2
"77",4094,1982,4,17,16.1,6.6,1.9,11.4
"78",4095,1982,4,18,17.7,5.9,0.300000000000001,12.1
"79",4096,1982,4,19,19.8,4.2,0,13.8
"80",4097,1982,4,20,15.6,5.2,2.4,12.8
"81",4098,1982,4,21,17.2,8.8,0.800000000000001,9.2
"82",4099,1982,4,22,18.4,7.3,0,10.7
"83",4100,1982,4,23,19.8,7.7,0,10.3
"84",4101,1982,4,24,21.5,10.8,1.5,7.2
"85",4102,1982,4,25,20.2,11.4,0.199999999999999,6.6
"86",4103,1982,4,26,17.9,13.8,0.100000000000001,4.2
"87",4104,1982,4,27,16.3,13.4,1.7,4.6
"88",4105,1982,4,28,17.2,13.1,0.800000000000001,4.9
"89",4106,1982,4,29,20.5,12.1,0.5,5.9
"90",4107,1982,4,30,15.6,11.7,2.4,6.3
"91",4443,1983,4,1,13.7,7.8,4.3,10.2
"92",4444,1983,4,2,11.6,5.4,6.4,12.6
"93",4445,1983,4,3,15.9,3.5,2.1,14.5
"94",4446,1983,4,4,13.4,4.7,4.6,13.3
"95",4447,1983,4,5,16.1,6.1,1.9,11.9
"96",4448,1983,4,6,16.3,9,1.7,9
