"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",3376,1980,4,1,12.3,2.3,5.7,15.7
"2",3377,1980,4,2,13.4,0.9,4.6,17.1
"3",3378,1980,4,3,20.3,-0.5,0.300000000000001,18.5
"4",3379,1980,4,4,22.6,2.3,2.6,15.7
"5",3380,1980,4,5,17.8,13.4,0.199999999999999,4.6
"6",3381,1980,4,6,13.1,5,4.9,13
"7",3382,1980,4,7,15.2,4.2,2.8,13.8
"8",3383,1980,4,8,16.4,6.6,1.6,11.4
"9",3384,1980,4,9,18.1,5,0,13
"10",3385,1980,4,10,17.8,1.1,0.199999999999999,16.9
"11",3386,1980,4,11,19.3,3.2,0,14.8
"12",3387,1980,4,12,13.8,8,4.2,10
"13",3388,1980,4,13,11.9,6.7,6.1,11.3
"14",3389,1980,4,14,9.5,3,8.5,15
"15",3390,1980,4,15,11.7,2.5,6.3,15.5
"16",3391,1980,4,16,10.9,1.9,7.1,16.1
"17",3392,1980,4,17,12.3,4.2,5.7,13.8
"18",3393,1980,4,18,19.2,2.3,0,15.7
"19",3394,1980,4,19,19.8,3,0,15
"20",3395,1980,4,20,13.3,3,4.7,15
"21",3396,1980,4,21,14.8,2.1,3.2,15.9
"22",3397,1980,4,22,16,0.5,2,17.5
"23",3398,1980,4,23,13.6,4.2,4.4,13.8
"24",3399,1980,4,24,14,0.3,4,17.7
"25",3400,1980,4,25,17.6,0.5,0.399999999999999,17.5
"26",3401,1980,4,26,19.8,1.3,0,16.7
"27",3402,1980,4,27,10.4,6.2,7.6,11.8
"28",3403,1980,4,28,16,4.2,2,13.8
"29",3404,1980,4,29,18.2,3,0,15
"30",3405,1980,4,30,20.6,8,0.600000000000001,10
"31",3741,1981,4,1,10.4,5.9,7.6,12.1
"32",3742,1981,4,2,13.6,1.4,4.4,16.6
"33",3743,1981,4,3,12.4,-2.1,5.6,20.1
"34",3744,1981,4,4,17.8,3.9,0.199999999999999,14.1
"35",3745,1981,4,5,12,7.3,6,10.7
"36",3746,1981,4,6,19.6,4.1,0,13.9
"37",3747,1981,4,7,23.6,2.7,3.6,15.3
"38",3748,1981,4,8,22.8,6.1,2.8,11.9
"39",3749,1981,4,9,21.2,10,1.2,8
"40",3750,1981,4,10,20,7.8,0,10.2
"41",3751,1981,4,11,19.2,5.1,0,12.9
"42",3752,1981,4,12,20.3,6,0.300000000000001,12
"43",3753,1981,4,13,16.4,5.1,1.6,12.9
"44",3754,1981,4,14,19.2,1.1,0,16.9
"45",3755,1981,4,15,20.6,2.9,0.600000000000001,15.1
"46",3756,1981,4,16,13,4.8,5,13.2
"47",3757,1981,4,17,19,4.1,0,13.9
"48",3758,1981,4,18,21,4.9,1,13.1
"49",3759,1981,4,19,11,6,7,12
"50",3760,1981,4,20,16.3,4.1,1.7,13.9
"51",3761,1981,4,21,20.8,1.7,0.800000000000001,16.3
"52",3762,1981,4,22,22.8,3.1,2.8,14.9
"53",3763,1981,4,23,23.6,5.7,3.6,12.3
"54",3764,1981,4,24,13.8,5.3,4.2,12.7
"55",3765,1981,4,25,20,3.5,0,14.5
"56",3766,1981,4,26,25.8,2.6,5.8,15.4
"57",3767,1981,4,27,23.8,4.9,3.8,13.1
"58",3768,1981,4,28,26,4.7,6,13.3
"59",3769,1981,4,29,14.2,9.2,3.8,8.8
"60",3770,1981,4,30,19.4,7.8,0,10.2
"61",4106,1982,4,1,20,1,0,17
"62",4107,1982,4,2,10.6,4.5,7.4,13.5
"63",4108,1982,4,3,14.8,6.7,3.2,11.3
"64",4109,1982,4,4,15.2,1.1,2.8,16.9
"65",4110,1982,4,5,18.2,1.9,0,16.1
"66",4111,1982,4,6,19.9,0,0,18
"67",4112,1982,4,7,20.4,1.3,0.399999999999999,16.7
"68",4113,1982,4,8,15,2.5,3,15.5
"69",4114,1982,4,9,12,2.9,6,15.1
"70",4115,1982,4,10,15.4,-0.9,2.6,18.9
"71",4116,1982,4,11,19,-1,0,19
"72",4117,1982,4,12,17.2,5.1,0.800000000000001,12.9
"73",4118,1982,4,13,17.4,4.9,0.600000000000001,13.1
"74",4119,1982,4,14,22,4.5,2,13.5
"75",4120,1982,4,15,16.4,5.3,1.6,12.7
"76",4121,1982,4,16,13.8,0.7,4.2,17.3
"77",4122,1982,4,17,14,3.1,4,14.9
"78",4123,1982,4,18,16.4,0,1.6,18
"79",4124,1982,4,19,19.8,0.3,0,17.7
"80",4125,1982,4,20,16,3.9,2,14.1
"81",4126,1982,4,21,22.4,5.9,2.4,12.1
"82",4127,1982,4,22,23,4.9,3,13.1
"83",4128,1982,4,23,23,6.2,3,11.8
"84",4129,1982,4,24,26.2,5.5,6.2,12.5
"85",4130,1982,4,25,27.6,6.1,7.6,11.9
"86",4131,1982,4,26,25.8,12.1,5.8,5.9
"87",4132,1982,4,27,19.4,10.4,0,7.6
"88",4133,1982,4,28,18,7.7,0,10.3
"89",4134,1982,4,29,21,10,1,8
"90",4135,1982,4,30,23.8,8.4,3.8,9.6
"91",4471,1983,4,1,18.6,1.4,0,16.6
"92",4472,1983,4,2,10.2,1.4,7.8,16.6
"93",4473,1983,4,3,2.2,-3.6,15.8,21.6
"94",4474,1983,4,4,12.8,-1.2,5.2,19.2
"95",4475,1983,4,5,19.2,0.2,0,17.8
"96",4476,1983,4,6,23.8,2,3.8,16
"97",4477,1983,4,7,23,6.6,3,11.4
"98",4478,1983,4,8,24.8,5.2,4.8,12.8
"99",4479,1983,4,9,23,8.2,3,9.8
"100",4480,1983,4,10,25.4,13.5,5.4,4.5
"101",4481,1983,4,11,23,9.4,3,8.6
"102",4482,1983,4,12,23.2,11,3.2,7
"103",4483,1983,4,13,23.9,8.2,3.9,9.8
"104",4484,1983,4,14,16.6,13,1.4,5
"105",4485,1983,4,15,14.6,4.2,3.4,13.8
"106",4486,1983,4,16,18.2,1.6,0,16.4
"107",4487,1983,4,17,21.4,0.6,1.4,17.4
"108",4488,1983,4,18,23.8,3,3.8,15
"109",4489,1983,4,19,22.8,9.6,2.8,8.4
"110",4490,1983,4,20,21.8,7,1.8,11
"111",4491,1983,4,21,19.2,3.6,0,14.4
"112",4492,1983,4,22,16.4,5.6,1.6,12.4
"113",4493,1983,4,23,22.6,1.4,2.6,16.6
"114",4494,1983,4,24,24.2,7,4.2,11
"115",4495,1983,4,25,26,6.8,6,11.2
"116",4496,1983,4,26,25,16,5,2
"117",4497,1983,4,27,24.2,10.6,4.2,7.4
"118",4498,1983,4,28,18,13,0,5
"119",4499,1983,4,29,15,4.2,3,13.8
"120",4500,1983,4,30,17.4,1.4,0.600000000000001,16.6
"121",4837,1984,4,1,14.2,2,3.8,16
"122",4838,1984,4,2,14,-0.6,4,18.6
"123",4839,1984,4,3,19.6,4.2,0,13.8
"124",4840,1984,4,4,20.4,8.2,0.399999999999999,9.8
"125",4841,1984,4,5,12,4,6,14
"126",4842,1984,4,6,10.4,0.2,7.6,17.8
"127",4843,1984,4,7,15.4,-2.5,2.6,20.5
"128",4844,1984,4,8,16.8,-0.8,1.2,18.8
"129",4845,1984,4,9,11.7,2.6,6.3,15.4
"130",4846,1984,4,10,18.8,0.2,0,17.8
"131",4847,1984,4,11,19.4,2,0,16
"132",4848,1984,4,12,21.4,0.8,1.4,17.2
"133",4849,1984,4,13,22,3,2,15
"134",4850,1984,4,14,21.2,3,1.2,15
"135",4851,1984,4,15,20.1,9,0.100000000000001,9
"136",4852,1984,4,16,24.6,11.4,4.6,6.6
"137",4853,1984,4,17,19.9,12.8,0,5.2
"138",4854,1984,4,18,13.2,6,4.8,12
"139",4855,1984,4,19,15.4,5.2,2.6,12.8
"140",4856,1984,4,20,18.4,0,0,18
"141",4857,1984,4,21,19.6,4.8,0,13.2
"142",4858,1984,4,22,20.8,4,0.800000000000001,14
"143",4859,1984,4,23,23.2,5,3.2,13
"144",4860,1984,4,24,25.2,4.2,5.2,13.8
"145",4861,1984,4,25,23.8,10,3.8,8
"146",4862,1984,4,26,16.2,11.6,1.8,6.4
"147",4863,1984,4,27,21.4,11.3,1.4,6.7
"148",4864,1984,4,28,20.2,12.2,0.199999999999999,5.8
"149",4865,1984,4,29,20.6,11.6,0.600000000000001,6.4
"150",4866,1984,4,30,23,10.6,3,7.4
"151",5202,1985,4,1,14.8,-2.8,3.2,20.8
"152",5203,1985,4,2,16.4,-0.4,1.6,18.4
"153",5204,1985,4,3,9,6.1,9,11.9
"154",5205,1985,4,4,9,2.2,9,15.8
"155",5206,1985,4,5,15.6,-0.2,2.4,18.2
"156",5207,1985,4,6,16.6,-0.3,1.4,18.3
"157",5208,1985,4,7,21.2,3.4,1.2,14.6
"158",5209,1985,4,8,23.4,4.2,3.4,13.8
"159",5210,1985,4,9,26.6,4.6,6.6,13.4
"160",5211,1985,4,10,20.4,7,0.399999999999999,11
