"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",3133,1980,4,1,10.8,-0.8,7.2,18.8
"2",3134,1980,4,2,12,-3.6,6,21.6
"3",3135,1980,4,3,19.2,-2,0,20
"4",3136,1980,4,4,21.2,7.6,1.2,10.4
"5",3137,1980,4,5,17.5,7.4,0.5,10.6
"6",3138,1980,4,6,7.4,2,10.6,16
"7",3139,1980,4,7,13.5,-0.7,4.5,18.7
"8",3140,1980,4,8,14.9,4.3,3.1,13.7
"9",3141,1980,4,9,12.3,1.3,5.7,16.7
"10",3142,1980,4,10,17.4,-1.7,0.600000000000001,19.7
"11",3143,1980,4,11,18.5,2,0,16
"12",3144,1980,4,12,11.7,3.6,6.3,14.4
"13",3145,1980,4,13,6.8,1.6,11.2,16.4
"14",3146,1980,4,14,5,0.3,13,17.7
"15",3147,1980,4,15,10.5,-3.3,7.5,21.3
"16",3148,1980,4,16,8.2,0.3,9.8,17.7
"17",3149,1980,4,17,11,1.3,7,16.7
"18",3150,1980,4,18,19,-1,0,19
"19",3151,1980,4,19,19.9,3.5,0,14.5
"20",3152,1980,4,20,12.9,4.2,5.1,13.8
"21",3153,1980,4,21,15.5,2.2,2.5,15.8
"22",3154,1980,4,22,14.8,-0.8,3.2,18.8
"23",3155,1980,4,23,13.1,0.5,4.9,17.5
"24",3156,1980,4,24,14.7,-1.5,3.3,19.5
"25",3157,1980,4,25,17.2,0.5,0.800000000000001,17.5
"26",3158,1980,4,26,20.4,0,0.399999999999999,18
"27",3159,1980,4,27,11.2,6.2,6.8,11.8
"28",3160,1980,4,28,13.4,5.6,4.6,12.4
"29",3161,1980,4,29,18.6,2.4,0,15.6
"30",3162,1980,4,30,20.4,3.3,0.399999999999999,14.7
"31",3498,1981,4,1,9.8,3.5,8.2,14.5
"32",3499,1981,4,2,13.3,0.2,4.7,17.8
"33",3500,1981,4,3,13.1,-1.7,4.9,19.7
"34",3501,1981,4,4,21,1,1,17
"35",3502,1981,4,5,16.2,5.8,1.8,12.2
"36",3503,1981,4,6,20.9,6.1,0.899999999999999,11.9
"37",3504,1981,4,7,21.3,3,1.3,15
"38",3505,1981,4,8,24.2,2.4,4.2,15.6
"39",3506,1981,4,9,23.5,9.3,3.5,8.7
"40",3507,1981,4,10,19.7,7.7,0,10.3
"41",3508,1981,4,11,20.5,8.3,0.5,9.7
"42",3509,1981,4,12,14.8,4.1,3.2,13.9
"43",3510,1981,4,13,16.5,4.6,1.5,13.4
"44",3511,1981,4,14,19.4,1,0,17
"45",3512,1981,4,15,21.4,4.1,1.4,13.9
"46",3513,1981,4,16,14.1,5.1,3.9,12.9
"47",3514,1981,4,17,19.1,5.2,0,12.8
"48",3515,1981,4,18,21.8,4.3,1.8,13.7
"49",3516,1981,4,19,15.3,3.5,2.7,14.5
"50",3517,1981,4,20,14.2,3.4,3.8,14.6
"51",3518,1981,4,21,21,1.7,1,16.3
"52",3519,1981,4,22,23.9,2.2,3.9,15.8
"53",3520,1981,4,23,23.3,1.6,3.3,16.4
"54",3521,1981,4,24,18.9,7.2,0,10.8
"55",3522,1981,4,25,20,2.9,0,15.1
"56",3523,1981,4,26,25.3,3.4,5.3,14.6
"57",3524,1981,4,27,24.2,8,4.2,10
"58",3525,1981,4,28,27.3,4.6,7.3,13.4
"59",3526,1981,4,29,14.1,10.7,3.9,7.3
"60",3527,1981,4,30,19,10.6,0,7.4
"61",3863,1982,4,1,20.7,-0.7,0.699999999999999,18.7
"62",3864,1982,4,2,13.4,2.6,4.6,15.4
"63",3865,1982,4,3,12.1,2,5.9,16
"64",3866,1982,4,4,15.4,-3.2,2.6,21.2
"65",3867,1982,4,5,20,-2,0,20
"66",3868,1982,4,6,21.6,-1.7,1.6,19.7
"67",3869,1982,4,7,22.4,-0.1,2.4,18.1
"68",3870,1982,4,8,15.3,1,2.7,17
"69",3871,1982,4,9,9.5,-0.9,8.5,18.9
"70",3872,1982,4,10,15.8,-3.2,2.2,21.2
"71",3873,1982,4,11,19.2,-1.1,0,19.1
"72",3874,1982,4,12,18.3,4.6,0,13.4
"73",3875,1982,4,13,15.3,1.9,2.7,16.1
"74",3876,1982,4,14,19,3.1,0,14.9
"75",3877,1982,4,15,17.9,1.6,0.100000000000001,16.4
"76",3878,1982,4,16,12.6,-2.1,5.4,20.1
"77",3879,1982,4,17,13.2,1.1,4.8,16.9
"78",3880,1982,4,18,18,-2.4,0,20.4
"79",3881,1982,4,19,20.2,-0.6,0.199999999999999,18.6
"80",3882,1982,4,20,16,1.9,2,16.1
"81",3883,1982,4,21,21.8,3.8,1.8,14.2
"82",3884,1982,4,22,23.5,1.8,3.5,16.2
"83",3885,1982,4,23,22.5,6.7,2.5,11.3
"84",3886,1982,4,24,26.9,4.5,6.9,13.5
"85",3887,1982,4,25,29.2,6.2,9.2,11.8
"86",3888,1982,4,26,28.6,10.5,8.6,7.5
"87",3889,1982,4,27,17.4,6,0.600000000000001,12
"88",3890,1982,4,28,12.7,5.1,5.3,12.9
"89",3891,1982,4,29,22.3,9.3,2.3,8.7
"90",3892,1982,4,30,24.7,7.2,4.7,10.8
"91",4228,1983,4,1,14.4,0.4,3.6,17.6
"92",4229,1983,4,2,11.8,-2.4,6.2,20.4
"93",4230,1983,4,3,6.5,-4.1,11.5,22.1
"94",4231,1983,4,4,10.6,-1.5,7.4,19.5
"95",4232,1983,4,5,17.4,1.8,0.600000000000001,16.2
"96",4233,1983,4,6,22.7,1.8,2.7,16.2
"97",4234,1983,4,7,22.6,7.5,2.6,10.5
"98",4235,1983,4,8,24.9,3,4.9,15
"99",4236,1983,4,9,24.1,4.5,4.1,13.5
"100",4237,1983,4,10,22.5,9.5,2.5,8.5
"101",4238,1983,4,11,15,5.8,3,12.2
"102",4239,1983,4,12,23.3,3.8,3.3,14.2
"103",4240,1983,4,13,24.9,3.7,4.9,14.3
