"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",4504,1980,5,1,17.7,7,0.300000000000001,11
"2",4505,1980,5,2,22.6,8.6,0,9.4
"3",4506,1980,5,3,22.7,13.1,0,4.9
"4",4507,1980,5,4,17.6,12.4,0.399999999999999,5.6
"5",4508,1980,5,5,22,8.8,0,9.2
"6",4509,1980,5,6,14.5,8.7,3.5,9.3
"7",4510,1980,5,7,18.6,8.3,0,9.7
"8",4511,1980,5,8,16.5,11.3,1.5,6.7
"9",4512,1980,5,9,17.4,9.7,0.600000000000001,8.3
"10",4513,1980,5,10,20.3,7.8,0,10.2
"11",4514,1980,5,11,23.9,11.2,0,6.8
"12",4515,1980,5,12,18.7,12.2,0,5.8
"13",4516,1980,5,13,18.5,12,0,6
"14",4517,1980,5,14,24.6,10.9,0.600000000000001,7.1
"15",4518,1980,5,15,18.8,12,0,6
"16",4519,1980,5,16,14,10.4,4,7.6
"17",4520,1980,5,17,18.1,7.4,0,10.6
"18",4521,1980,5,18,23.9,8.9,0,9.1
"19",4522,1980,5,19,22,13.8,0,4.2
"20",4523,1980,5,20,18.8,13.7,0,4.3
"21",4524,1980,5,21,19.9,12.4,0,5.6
"22",4525,1980,5,22,22,11,0,7
"23",4526,1980,5,23,24.6,13.5,0.600000000000001,4.5
"24",4527,1980,5,24,26.6,14.2,2.6,3.8
"25",4528,1980,5,25,21.9,14.8,0,3.2
"26",4529,1980,5,26,15,11.3,3,6.7
"27",4530,1980,5,27,21.4,10.4,0,7.6
"28",4531,1980,5,28,23.8,14.2,0,3.8
"29",4532,1980,5,29,23.9,13.3,0,4.7
"30",4533,1980,5,30,26.2,16.3,2.2,1.7
"31",4534,1980,5,31,23.3,15.3,0,2.7
"32",4535,1980,6,1,26.2,15.1,2.2,2.9
"33",4536,1980,6,2,19,14.4,0,3.6
"34",4537,1980,6,3,23.2,13.7,0,4.3
"35",4538,1980,6,4,24.6,16.8,0.600000000000001,1.2
"36",4539,1980,6,5,24.8,14.6,0.800000000000001,3.4
"37",4540,1980,6,6,30.5,16.2,6.5,1.8
"38",4541,1980,6,7,29.1,18.3,5.1,0
"39",4542,1980,6,8,22.3,15.6,0,2.4
"40",4543,1980,6,9,20.3,15.3,0,2.7
"41",4544,1980,6,10,25.1,16,1.1,2
"42",4545,1980,6,11,23.9,16,0,2
"43",4546,1980,6,12,23,17.3,0,0.699999999999999
"44",4547,1980,6,13,26.4,17.6,2.4,0.399999999999999
"45",4548,1980,6,14,28.3,17.8,4.3,0.199999999999999
"46",4549,1980,6,15,26.2,20.2,2.2,0
"47",4550,1980,6,16,27.8,19.2,3.8,0
"48",4551,1980,6,17,22.4,17.8,0,0.199999999999999
"49",4552,1980,6,18,22.7,16.4,0,1.6
"50",4553,1980,6,19,25.7,17.9,1.7,0.100000000000001
"51",4554,1980,6,20,23.4,18.4,0,0
"52",4555,1980,6,21,24.7,17.1,0.699999999999999,0.899999999999999
