"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",3378,1980,5,1,20.7,6.2,0,11.8
"2",3379,1980,5,2,18.6,7.9,0,10.1
"3",3380,1980,5,3,18.5,13.2,0,4.8
"4",3381,1980,5,4,23.9,14.9,0,3.1
"5",3382,1980,5,5,23.3,10.5,0,7.5
"6",3383,1980,5,6,19.7,10.4,0,7.6
"7",3384,1980,5,7,17.5,11.3,0.5,6.7
"8",3385,1980,5,8,13.4,10,4.6,8
"9",3386,1980,5,9,19.4,10.5,0,7.5
"10",3387,1980,5,10,21.8,8.5,0,9.5
"11",3388,1980,5,11,26.2,10.2,2.2,7.8
"12",3389,1980,5,12,18.2,13.9,0,4.1
"13",3390,1980,5,13,21.3,13.9,0,4.1
"14",3391,1980,5,14,19.2,11.5,0,6.5
"15",3392,1980,5,15,23.3,12.8,0,5.2
"16",3393,1980,5,16,18.8,8.3,0,9.7
"17",3394,1980,5,17,21,7.2,0,10.8
"18",3395,1980,5,18,21.4,8.9,0,9.1
"19",3396,1980,5,19,19.4,11.8,0,6.2
"20",3397,1980,5,20,16.7,12.8,1.3,5.2
"21",3398,1980,5,21,25.5,13.8,1.5,4.2
"22",3399,1980,5,22,25.1,11.9,1.1,6.1
"23",3400,1980,5,23,20.8,12.4,0,5.6
"24",3401,1980,5,24,21.5,13.2,0,4.8
"25",3402,1980,5,25,21.5,17.1,0,0.899999999999999
"26",3403,1980,5,26,18.8,12.8,0,5.2
"27",3404,1980,5,27,20.6,11.8,0,6.2
"28",3405,1980,5,28,22.1,13,0,5
"29",3406,1980,5,29,21.9,13.3,0,4.7
"30",3407,1980,5,30,28.1,16.9,4.1,1.1
"31",3408,1980,5,31,24.2,16.4,0.199999999999999,1.6
"32",3409,1980,6,1,20.7,16.4,0,1.6
"33",3410,1980,6,2,19.4,15,0,3
"34",3411,1980,6,3,21.9,13.4,0,4.6
"35",3412,1980,6,4,26.1,16.4,2.1,1.6
"36",3413,1980,6,5,27.7,13.5,3.7,4.5
"37",3414,1980,6,6,26.4,13.6,2.4,4.4
"38",3415,1980,6,7,23.2,15.4,0,2.6
"39",3416,1980,6,8,22.8,16.6,0,1.4
"40",3417,1980,6,9,24.4,15.4,0.399999999999999,2.6
"41",3418,1980,6,10,23.3,17.3,0,0.699999999999999
"42",3419,1980,6,11,27.6,17,3.6,1
"43",3420,1980,6,12,24,18,0,0
"44",3421,1980,6,13,27.1,16.9,3.1,1.1
"45",3422,1980,6,14,21.6,18.8,0,0
"46",3423,1980,6,15,27,18.9,3,0
"47",3424,1980,6,16,27.2,19,3.2,0
"48",3425,1980,6,17,23.3,18.1,0,0
"49",3426,1980,6,18,25,17.8,1,0.199999999999999
"50",3427,1980,6,19,21.1,16.9,0,1.1
"51",3428,1980,6,20,19.8,16.5,0,1.5
"52",3429,1980,6,21,24.6,16.4,0.600000000000001,1.6
"53",3430,1980,6,22,25.1,17.4,1.1,0.600000000000001
"54",3431,1980,6,23,22.9,18.9,0,0
"55",3432,1980,6,24,23.3,19.4,0,0
"56",3433,1980,6,25,24.1,18.9,0.100000000000001,0
"57",3434,1980,6,26,24.3,18.5,0.300000000000001,0
"58",3435,1980,6,27,27,18.8,3,0
"59",3436,1980,6,28,26.2,18.9,2.2,0
"60",3437,1980,6,29,26.1,19.4,2.1,0
"61",3438,1980,6,30,20.2,17.9,0,0.100000000000001
"62",3439,1980,7,1,21,18.2,0,0
"63",3440,1980,7,2,24,19.1,0,0
"64",3441,1980,7,3,21.9,18.7,0,0
"65",3442,1980,7,4,21.9,17.4,0,0.600000000000001
"66",3443,1980,7,5,23.6,18.4,0,0
"67",3444,1980,7,6,23.7,18.8,0,0
"68",3445,1980,7,7,26.8,17.4,2.8,0.600000000000001
"69",3446,1980,7,8,25.5,19.4,1.5,0
"70",3447,1980,7,9,23.1,20,0,0
"71",3448,1980,7,10,22.2,20.3,0,0
"72",3449,1980,7,11,25.3,18.7,1.3,0
"73",3450,1980,7,12,24.2,18.9,0.199999999999999,0
"74",3451,1980,7,13,21.6,19.4,0,0
"75",3452,1980,7,14,25.5,19.6,1.5,0
"76",3453,1980,7,15,27.7,19.6,3.7,0
"77",3454,1980,7,16,23.5,19.6,0,0
"78",3455,1980,7,17,20.5,18.9,0,0
"79",3456,1980,7,18,24,19.9,0,0
"80",3457,1980,7,19,25.2,21.4,1.2,0
"81",3458,1980,7,20,28,23.3,4,0
"82",3459,1980,7,21,30.4,21.8,6.4,0
"83",3460,1980,7,22,29.5,24.2,5.5,0.199999999999999
"84",3461,1980,7,23,27,19.8,3,0
"85",3462,1980,7,24,30.8,17.6,6.8,0.399999999999999
"86",3463,1980,7,25,25.1,20.2,1.1,0
"87",3464,1980,7,26,27.8,21.8,3.8,0
"88",3465,1980,7,27,26.4,20.1,2.4,0
"89",3466,1980,7,28,25.6,22.3,1.6,0
"90",3467,1980,7,29,23.5,21.8,0,0
"91",3468,1980,7,30,24.5,20.4,0.5,0
"92",3469,1980,7,31,24.3,19.8,0.300000000000001,0
"93",3743,1981,5,1,21,9.2,0,8.8
"94",3744,1981,5,2,16.6,11,1.4,7
"95",3745,1981,5,3,18,9.9,0,8.1
"96",3746,1981,5,4,19,8.3,0,9.7
"97",3747,1981,5,5,20.7,10.3,0,7.7
"98",3748,1981,5,6,18.8,11.4,0,6.6
"99",3749,1981,5,7,20.7,12.1,0,5.9
"100",3750,1981,5,8,18.2,11.2,0,6.8
"101",3751,1981,5,9,20.8,15.5,0,2.5
"102",3752,1981,5,10,20,15.9,0,2.1
"103",3753,1981,5,11,19.2,11.8,0,6.2
"104",3754,1981,5,12,20.4,9.8,0,8.2
"105",3755,1981,5,13,22.5,8.6,0,9.4
"106",3756,1981,5,14,23.6,9.4,0,8.6
"107",3757,1981,5,15,16.5,13.1,1.5,4.9
"108",3758,1981,5,16,15.1,12.2,2.9,5.8
"109",3759,1981,5,17,17.2,9.7,0.800000000000001,8.3
"110",3760,1981,5,18,18.3,9.8,0,8.2
"111",3761,1981,5,19,18.5,8.2,0,9.8
"112",3762,1981,5,20,22.9,8.6,0,9.4
"113",3763,1981,5,21,24,9.9,0,8.1
"114",3764,1981,5,22,23.7,9.2,0,8.8
"115",3765,1981,5,23,23.3,13.3,0,4.7
"116",3766,1981,5,24,24.3,12.9,0.300000000000001,5.1
"117",3767,1981,5,25,27.5,14,3.5,4
"118",3768,1981,5,26,28.5,14.8,4.5,3.2
"119",3769,1981,5,27,18.3,14.8,0,3.2
"120",3770,1981,5,28,22.4,14.9,0,3.1
"121",3771,1981,5,29,27.5,13,3.5,5
"122",3772,1981,5,30,18.3,12.5,0,5.5
"123",3773,1981,5,31,23.3,12.7,0,5.3
"124",3774,1981,6,1,19.9,11.8,0,6.2
"125",3775,1981,6,2,22.7,9.9,0,8.1
"126",3776,1981,6,3,24,11.9,0,6.1
"127",3777,1981,6,4,26.2,12.4,2.2,5.6
"128",3778,1981,6,5,25.9,11.7,1.9,6.3
"129",3779,1981,6,6,28,12,4,6
"130",3780,1981,6,7,28.7,12,4.7,6
"131",3781,1981,6,8,29.3,14.5,5.3,3.5
"132",3782,1981,6,9,24.8,17.2,0.800000000000001,0.800000000000001
"133",3783,1981,6,10,19.6,16.4,0,1.6
"134",3784,1981,6,11,18.8,16.5,0,1.5
"135",3785,1981,6,12,19.8,15.9,0,2.1
"136",3786,1981,6,13,21,15.9,0,2.1
"137",3787,1981,6,14,19.2,14.8,0,3.2
"138",3788,1981,6,15,22.9,14.5,0,3.5
"139",3789,1981,6,16,23.4,14.8,0,3.2
"140",3790,1981,6,17,27.7,16.1,3.7,1.9
"141",3791,1981,6,18,30.5,18.5,6.5,0
"142",3792,1981,6,19,22.1,18.5,0,0
"143",3793,1981,6,20,22.6,18.4,0,0
"144",3794,1981,6,21,27.6,19.4,3.6,0
"145",3795,1981,6,22,25.4,21.8,1.4,0
"146",3796,1981,6,23,26.8,18.7,2.8,0
"147",3797,1981,6,24,23.1,17.1,0,0.899999999999999
"148",3798,1981,6,25,21.1,16.9,0,1.1
"149",3799,1981,6,26,22.9,19.2,0,0
"150",3800,1981,6,27,22.5,19.8,0,0
"151",3801,1981,6,28,22.2,19.9,0,0
"152",3802,1981,6,29,24.3,19,0.300000000000001,0
"153",3803,1981,6,30,23,18.9,0,0
"154",3804,1981,7,1,24.6,20.1,0.600000000000001,0
"155",3805,1981,7,2,25.8,21.6,1.8,0
"156",3806,1981,7,3,24.8,22.4,0.800000000000001,0
"157",3807,1981,7,4,26.8,21,2.8,0
"158",3808,1981,7,5,28.4,20.1,4.4,0
"159",3809,1981,7,6,25.2,21,1.2,0
"160",3810,1981,7,7,28,20.7,4,0
"161",3811,1981,7,8,29.6,21.2,5.6,0
"162",3812,1981,7,9,25.7,22.2,1.7,0
"163",3813,1981,7,10,22.8,19,0,0
"164",3814,1981,7,11,24.9,18.9,0.899999999999999,0
"165",3815,1981,7,12,26.2,22.4,2.2,0
"166",3816,1981,7,13,29.8,22.5,5.8,0
"167",3817,1981,7,14,30.8,23.5,6.8,0
"168",3818,1981,7,15,29.6,22.8,5.6,0
"169",3819,1981,7,16,29.4,24.2,5.4,0.199999999999999
"170",3820,1981,7,17,29.7,23.6,5.7,0
"171",3821,1981,7,18,32.3,24.1,8.3,0.100000000000001
"172",3822,1981,7,19,33.5,22.9,9.5,0
"173",3823,1981,7,20,32.8,22.6,8.8,0
"174",3824,1981,7,21,32.5,21.8,8.5,0
"175",3825,1981,7,22,33.1,21.5,9.1,0
"176",3826,1981,7,23,29.3,22.3,5.3,0
"177",3827,1981,7,24,29.7,22.9,5.7,0
"178",3828,1981,7,25,29.4,23.6,5.4,0
"179",3829,1981,7,26,30.2,23.6,6.2,0
"180",3830,1981,7,27,30.6,24.1,6.6,0.100000000000001
"181",3831,1981,7,28,32.2,25.3,8.2,1.3
"182",3832,1981,7,29,30.8,24.8,6.8,0.800000000000001
"183",3833,1981,7,30,31.1,24.2,7.1,0.199999999999999
"184",3834,1981,7,31,31.4,21.4,7.4,0
"185",4108,1982,5,1,14.3,10,3.7,8
"186",4109,1982,5,2,20.1,11.6,0,6.4
"187",4110,1982,5,3,17.8,11.9,0.199999999999999,6.1
"188",4111,1982,5,4,19.9,11.7,0,6.3
"189",4112,1982,5,5,20.4,14.7,0,3.3
"190",4113,1982,5,6,20,12.1,0,5.9
"191",4114,1982,5,7,23.2,9,0,9
"192",4115,1982,5,8,22.2,8.8,0,9.2
"193",4116,1982,5,9,23.4,14.3,0,3.7
"194",4117,1982,5,10,21.1,16,0,2
"195",4118,1982,5,11,20.9,16.6,0,1.4
"196",4119,1982,5,12,20,18.5,0,0
"197",4120,1982,5,13,21.2,11.7,0,6.3
"198",4121,1982,5,14,22.7,10.8,0,7.2
"199",4122,1982,5,15,22.7,9.2,0,8.8
"200",4123,1982,5,16,21.9,10.8,0,7.2
"201",4124,1982,5,17,22.4,9.1,0,8.9
"202",4125,1982,5,18,25.2,14.3,1.2,3.7
"203",4126,1982,5,19,19.9,14.2,0,3.8
"204",4127,1982,5,20,21.3,10.7,0,7.3
"205",4128,1982,5,21,19.9,10.9,0,7.1
"206",4129,1982,5,22,19.8,12.7,0,5.3
"207",4130,1982,5,23,24.7,12.1,0.699999999999999,5.9
"208",4131,1982,5,24,26.5,12.1,2.5,5.9
"209",4132,1982,5,25,24.2,15.3,0.199999999999999,2.7
"210",4133,1982,5,26,24.8,16.2,0.800000000000001,1.8
"211",4134,1982,5,27,27.1,16.3,3.1,1.7
"212",4135,1982,5,28,24.5,15.6,0.5,2.4
"213",4136,1982,5,29,24.5,19.6,0.5,0
"214",4137,1982,5,30,19.9,17.8,0,0.199999999999999
"215",4138,1982,5,31,20.6,17.3,0,0.699999999999999
"216",4139,1982,6,1,17.6,15,0.399999999999999,3
"217",4140,1982,6,2,21.5,13.8,0,4.2
"218",4141,1982,6,3,24.8,12,0.800000000000001,6
"219",4142,1982,6,4,25.1,12.7,1.1,5.3
"220",4143,1982,6,5,24.4,15.5,0.399999999999999,2.5
"221",4144,1982,6,6,22.5,17.3,0,0.699999999999999
"222",4145,1982,6,7,27.9,16.3,3.9,1.7
"223",4146,1982,6,8,27.2,15,3.2,3
"224",4147,1982,6,9,25.2,15.5,1.2,2.5
"225",4148,1982,6,10,28.8,15.6,4.8,2.4
"226",4149,1982,6,11,30,18.3,6,0
"227",4150,1982,6,12,27.6,16.1,3.6,1.9
"228",4151,1982,6,13,23.1,17.5,0,0.5
"229",4152,1982,6,14,25.9,16.9,1.9,1.1
"230",4153,1982,6,15,24.9,15.3,0.899999999999999,2.7
"231",4154,1982,6,16,25.1,16.9,1.1,1.1
"232",4155,1982,6,17,26.3,16.7,2.3,1.3
"233",4156,1982,6,18,23.8,15.9,0,2.1
"234",4157,1982,6,19,23.6,16.7,0,1.3
"235",4158,1982,6,20,25.4,19.9,1.4,0
"236",4159,1982,6,21,24.3,19.3,0.300000000000001,0
"237",4160,1982,6,22,21.7,19.5,0,0
"238",4161,1982,6,23,27.6,19.1,3.6,0
"239",4162,1982,6,24,29.2,16.1,5.2,1.9
"240",4163,1982,6,25,24.6,18.8,0.600000000000001,0
"241",4164,1982,6,26,25,17.1,1,0.899999999999999
"242",4165,1982,6,27,23.6,16.2,0,1.8
"243",4166,1982,6,28,25.7,16.3,1.7,1.7
"244",4167,1982,6,29,25,18.9,1,0
"245",4168,1982,6,30,27.4,17,3.4,1
"246",4169,1982,7,1,26.8,18,2.8,0
"247",4170,1982,7,2,25,16.7,1,1.3
"248",4171,1982,7,3,25.9,17.8,1.9,0.199999999999999
"249",4172,1982,7,4,25.8,18.1,1.8,0
"250",4173,1982,7,5,23.6,19.6,0,0
"251",4174,1982,7,6,24.6,21.5,0.600000000000001,0
"252",4175,1982,7,7,28.8,21.5,4.8,0
"253",4176,1982,7,8,29.9,20.5,5.9,0
"254",4177,1982,7,9,30.6,20.3,6.6,0
"255",4178,1982,7,10,28.8,23.4,4.8,0
"256",4179,1982,7,11,28,23,4,0
"257",4180,1982,7,12,27.3,19.8,3.3,0
"258",4181,1982,7,13,23.2,20,0,0
"259",4182,1982,7,14,26.6,20.8,2.6,0
"260",4183,1982,7,15,25.4,21.7,1.4,0
"261",4184,1982,7,16,27,20.4,3,0
"262",4185,1982,7,17,28.3,19.1,4.3,0
"263",4186,1982,7,18,25.1,19.1,1.1,0
"264",4187,1982,7,19,27.5,18.4,3.5,0
"265",4188,1982,7,20,27.3,20.4,3.3,0
"266",4189,1982,7,21,31,19.2,7,0
"267",4190,1982,7,22,26.9,21,2.9,0
"268",4191,1982,7,23,23.2,19.4,0,0
"269",4192,1982,7,24,24.4,20.9,0.399999999999999,0
"270",4193,1982,7,25,23.1,21.1,0,0
"271",4194,1982,7,26,27.3,21.7,3.3,0
"272",4195,1982,7,27,27.6,21.5,3.6,0
"273",4196,1982,7,28,26.2,23,2.2,0
"274",4197,1982,7,29,24.2,20.1,0.199999999999999,0
"275",4198,1982,7,30,27.6,20.1,3.6,0
"276",4199,1982,7,31,28.8,20.5,4.8,0
"277",4473,1983,5,1,12.9,9.4,5.1,8.6
"278",4474,1983,5,2,19.5,9.1,0,8.9
"279",4475,1983,5,3,19.6,11.9,0,6.1
"280",4476,1983,5,4,17.4,12.1,0.600000000000001,5.9
"281",4477,1983,5,5,18,14.5,0,3.5
"282",4478,1983,5,6,16.3,12.9,1.7,5.1
"283",4479,1983,5,7,18.1,10.8,0,7.2
"284",4480,1983,5,8,21.4,11.6,0,6.4
