"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",3165,1980,5,1,21.1,3.7,0,14.3
"2",3166,1980,5,2,23.9,4.5,0,13.5
"3",3167,1980,5,3,21.4,6.1,0,11.9
"4",3168,1980,5,4,21.6,8.8,0,9.2
"5",3169,1980,5,5,21.1,3.3,0,14.7
"6",3170,1980,5,6,19.6,6.6,0,11.4
"7",3171,1980,5,7,22.1,4.8,0,13.2
"8",3172,1980,5,8,20.2,6.8,0,11.2
"9",3173,1980,5,9,18.3,6.1,0,11.9
"10",3174,1980,5,10,24.3,5,0.300000000000001,13
"11",3175,1980,5,11,26.9,6.3,2.9,11.7
"12",3176,1980,5,12,17.4,12.8,0.600000000000001,5.2
"13",3177,1980,5,13,20.3,13.3,0,4.7
"14",3178,1980,5,14,22.1,11.6,0,6.4
"15",3179,1980,5,15,23.3,12.2,0,5.8
"16",3180,1980,5,16,17.4,7.4,0.600000000000001,10.6
"17",3181,1980,5,17,20.6,2.2,0,15.8
"18",3182,1980,5,18,23.3,4.7,0,13.3
"19",3183,1980,5,19,17.7,8.8,0.300000000000001,9.2
"20",3184,1980,5,20,22.7,10.5,0,7.5
"21",3185,1980,5,21,27.1,9.2,3.1,8.8
"22",3186,1980,5,22,28.2,10.2,4.2,7.8
"23",3187,1980,5,23,25.9,12.6,1.9,5.4
"24",3188,1980,5,24,27.3,9.8,3.3,8.2
"25",3189,1980,5,25,19.7,16.4,0,1.6
"26",3190,1980,5,26,18.5,10.1,0,7.9
"27",3191,1980,5,27,23.4,6.9,0,11.1
"28",3192,1980,5,28,26.3,15.4,2.3,2.6
"29",3193,1980,5,29,26.9,9.8,2.9,8.2
"30",3194,1980,5,30,30,13.1,6,4.9
"31",3195,1980,5,31,29.4,15.5,5.4,2.5
"32",3196,1980,6,1,25.1,18.7,1.1,0
"33",3197,1980,6,2,22.7,12.1,0,5.9
"34",3198,1980,6,3,22.6,11.6,0,6.4
"35",3199,1980,6,4,26.5,13.5,2.5,4.5
"36",3200,1980,6,5,27.5,12.2,3.5,5.8
"37",3201,1980,6,6,29.1,12.5,5.1,5.5
"38",3202,1980,6,7,30.6,13.4,6.6,4.6
"39",3203,1980,6,8,26.1,17.5,2.1,0.5
"40",3204,1980,6,9,21.3,15.9,0,2.1
"41",3205,1980,6,10,26.1,17.3,2.1,0.699999999999999
"42",3206,1980,6,11,26.7,17.5,2.7,0.5
"43",3207,1980,6,12,26.4,15.7,2.4,2.3
"44",3208,1980,6,13,30.4,18.4,6.4,0
"45",3209,1980,6,14,31.5,17.4,7.5,0.600000000000001
"46",3210,1980,6,15,30.2,17.6,6.2,0.399999999999999
"47",3211,1980,6,16,26.1,21.9,2.1,0
"48",3212,1980,6,17,27.8,20.9,3.8,0
"49",3213,1980,6,18,27.2,19.1,3.2,0
"50",3214,1980,6,19,28,16.6,4,1.4
"51",3215,1980,6,20,25.8,19.3,1.8,0
"52",3216,1980,6,21,27.4,17.4,3.4,0.600000000000001
"53",3217,1980,6,22,28.6,15.2,4.6,2.8
"54",3218,1980,6,23,28.1,18.7,4.1,0
"55",3219,1980,6,24,29.8,17.3,5.8,0.699999999999999
"56",3220,1980,6,25,22.7,19.2,0,0
"57",3221,1980,6,26,21.5,18.2,0,0
"58",3222,1980,6,27,21.3,18,0,0
"59",3223,1980,6,28,27,17.9,3,0.100000000000001
"60",3224,1980,6,29,29.8,18.5,5.8,0
"61",3225,1980,6,30,24.5,18.1,0.5,0
"62",3226,1980,7,1,22.1,16.4,0,1.6
"63",3227,1980,7,2,24.2,16.3,0.199999999999999,1.7
"64",3228,1980,7,3,28.1,15.9,4.1,2.1
"65",3229,1980,7,4,23.5,18.9,0,0
"66",3230,1980,7,5,23.3,18.7,0,0
"67",3231,1980,7,6,28.3,19,4.3,0
"68",3232,1980,7,7,28.8,20.1,4.8,0
"69",3233,1980,7,8,27.3,18.5,3.3,0
"70",3234,1980,7,9,30,19.9,6,0
"71",3235,1980,7,10,28.2,19.4,4.2,0
"72",3236,1980,7,11,28,20,4,0
"73",3237,1980,7,12,29.2,17.7,5.2,0.300000000000001
"74",3238,1980,7,13,29.4,18.6,5.4,0
"75",3239,1980,7,14,22.1,18.7,0,0
"76",3240,1980,7,15,28,18.3,4,0
"77",3241,1980,7,16,29.6,16.3,5.6,1.7
"78",3242,1980,7,17,30.3,18,6.3,0
"79",3243,1980,7,18,23.2,19,0,0
"80",3244,1980,7,19,30,20.2,6,0
"81",3245,1980,7,20,29.9,22.2,5.9,0
"82",3246,1980,7,21,26.6,21.8,2.6,0
"83",3247,1980,7,22,26.3,21.6,2.3,0
"84",3248,1980,7,23,28.8,20.3,4.8,0
"85",3249,1980,7,24,28.7,18.7,4.7,0
"86",3250,1980,7,25,23.8,18.9,0,0
"87",3251,1980,7,26,28.6,20.4,4.6,0
"88",3252,1980,7,27,28.5,20.5,4.5,0
"89",3253,1980,7,28,24.2,20.8,0.199999999999999,0
"90",3254,1980,7,29,24.9,19.3,0.899999999999999,0
"91",3255,1980,7,30,28.2,17.9,4.2,0.100000000000001
"92",3256,1980,7,31,28.5,13.9,4.5,4.1
"93",3530,1981,5,1,28.2,6.5,4.2,11.5
"94",3531,1981,5,2,18.5,9.4,0,8.6
"95",3532,1981,5,3,15.9,6.1,2.1,11.9
"96",3533,1981,5,4,18.8,1.5,0,16.5
"97",3534,1981,5,5,22.6,3.8,0,14.2
"98",3535,1981,5,6,24.2,4.6,0.199999999999999,13.4
"99",3536,1981,5,7,25.4,9.2,1.4,8.8
"100",3537,1981,5,8,25.7,9.8,1.7,8.2
"101",3538,1981,5,9,23.7,15.2,0,2.8
"102",3539,1981,5,10,21.3,14.8,0,3.2
"103",3540,1981,5,11,19.3,8.6,0,9.4
"104",3541,1981,5,12,17,7.2,1,10.8
"105",3542,1981,5,13,20.7,3.8,0,14.2
"106",3543,1981,5,14,23.2,5.3,0,12.7
"107",3544,1981,5,15,23.3,12,0,6
"108",3545,1981,5,16,15,9.8,3,8.2
"109",3546,1981,5,17,13.4,4.6,4.6,13.4
"110",3547,1981,5,18,13.8,1.7,4.2,16.3
"111",3548,1981,5,19,17.9,7,0.100000000000001,11
"112",3549,1981,5,20,20.4,6.4,0,11.6
"113",3550,1981,5,21,23.4,6.2,0,11.8
"114",3551,1981,5,22,25.7,6.5,1.7,11.5
"115",3552,1981,5,23,27.3,10.3,3.3,7.7
"116",3553,1981,5,24,25.1,15.2,1.1,2.8
"117",3554,1981,5,25,26.6,10.6,2.6,7.4
"118",3555,1981,5,26,29.5,11.4,5.5,6.6
"119",3556,1981,5,27,29.6,12.1,5.6,5.9
"120",3557,1981,5,28,21.2,15.4,0,2.6
"121",3558,1981,5,29,26.6,9.4,2.6,8.6
"122",3559,1981,5,30,25.4,10,1.4,8
"123",3560,1981,5,31,20.8,8.7,0,9.3
"124",3561,1981,6,1,22.9,5.5,0,12.5
"125",3562,1981,6,2,25.2,8.3,1.2,9.7
"126",3563,1981,6,3,23.2,10.3,0,7.7
"127",3564,1981,6,4,24,13.3,0,4.7
"128",3565,1981,6,5,27.4,8.7,3.4,9.3
"129",3566,1981,6,6,27.5,12.3,3.5,5.7
"130",3567,1981,6,7,29.2,11.6,5.2,6.4
"131",3568,1981,6,8,28.4,11.2,4.4,6.8
"132",3569,1981,6,9,25.7,14.4,1.7,3.6
"133",3570,1981,6,10,21.4,15.6,0,2.4
"134",3571,1981,6,11,23.4,15.4,0,2.6
"135",3572,1981,6,12,26.8,16.4,2.8,1.6
"136",3573,1981,6,13,28.1,14.9,4.1,3.1
"137",3574,1981,6,14,28.5,14.8,4.5,3.2
"138",3575,1981,6,15,30.5,13.8,6.5,4.2
"139",3576,1981,6,16,31.5,16,7.5,2
"140",3577,1981,6,17,30.2,18.7,6.2,0
"141",3578,1981,6,18,30.5,19.4,6.5,0
"142",3579,1981,6,19,28.7,20.9,4.7,0
"143",3580,1981,6,20,28.9,21,4.9,0
"144",3581,1981,6,21,28.2,22.3,4.2,0
"145",3582,1981,6,22,27.3,19,3.3,0
"146",3583,1981,6,23,27.6,14.9,3.6,3.1
"147",3584,1981,6,24,24.7,11.3,0.699999999999999,6.7
"148",3585,1981,6,25,25.6,16.8,1.6,1.2
"149",3586,1981,6,26,29,14.9,5,3.1
"150",3587,1981,6,27,26.4,20.6,2.4,0
"151",3588,1981,6,28,27.3,22,3.3,0
"152",3589,1981,6,29,30.3,20.3,6.3,0
"153",3590,1981,6,30,30.7,19.1,6.7,0
"154",3591,1981,7,1,24.5,22.2,0.5,0
"155",3592,1981,7,2,26.3,22.1,2.3,0
"156",3593,1981,7,3,26.2,20.1,2.2,0
"157",3594,1981,7,4,26.1,19.3,2.1,0
"158",3595,1981,7,5,26.9,22.8,2.9,0
"159",3596,1981,7,6,28,21.8,4,0
"160",3597,1981,7,7,26.9,19.6,2.9,0
"161",3598,1981,7,8,28.6,18.6,4.6,0
"162",3599,1981,7,9,28,20.9,4,0
"163",3600,1981,7,10,27.8,18.6,3.8,0
"164",3601,1981,7,11,26.5,19,2.5,0
"165",3602,1981,7,12,27.6,19.2,3.6,0
"166",3603,1981,7,13,27.3,20.3,3.3,0
"167",3604,1981,7,14,31.3,22.5,7.3,0
"168",3605,1981,7,15,31.9,22.6,7.9,0
"169",3606,1981,7,16,33,22.8,9,0
"170",3607,1981,7,17,32.2,23.8,8.2,0
"171",3608,1981,7,18,32.5,23,8.5,0
"172",3609,1981,7,19,32.3,21.6,8.3,0
"173",3610,1981,7,20,31.9,20.8,7.9,0
"174",3611,1981,7,21,30.8,23.6,6.8,0
"175",3612,1981,7,22,31.3,23.8,7.3,0
"176",3613,1981,7,23,31.1,23.7,7.1,0
"177",3614,1981,7,24,33.4,24.1,9.4,0.100000000000001
"178",3615,1981,7,25,34.1,23.9,10.1,0
"179",3616,1981,7,26,34.4,23.6,10.4,0
"180",3617,1981,7,27,27,23.5,3,0
"181",3618,1981,7,28,32,22.5,8,0
"182",3619,1981,7,29,34.3,23.9,10.3,0
"183",3620,1981,7,30,34.4,22.7,10.4,0
"184",3621,1981,7,31,34.9,21.8,10.9,0
