"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",4079,1980,5,1,23,8.6,0,9.4
"2",4080,1980,5,2,23.5,6.8,0,11.2
"3",4081,1980,5,3,21.3,14.1,0,3.9
"4",4082,1980,5,4,27.8,15,3.8,3
"5",4083,1980,5,5,24.5,11.8,0.5,6.2
"6",4084,1980,5,6,22.8,9.9,0,8.1
"7",4085,1980,5,7,21.3,7.5,0,10.5
"8",4086,1980,5,8,12.4,9,5.6,9
"9",4087,1980,5,9,22.6,7.1,0,10.9
"10",4088,1980,5,10,28.1,6.3,4.1,11.7
"11",4089,1980,5,11,29.8,8.9,5.8,9.1
"12",4090,1980,5,12,17.5,14,0.5,4
"13",4091,1980,5,13,26.8,15.4,2.8,2.6
"14",4092,1980,5,14,23.4,13.1,0,4.9
"15",4093,1980,5,15,25.1,16.5,1.1,1.5
"16",4094,1980,5,16,20.3,10.8,0,7.2
"17",4095,1980,5,17,22.2,6.2,0,11.8
"18",4096,1980,5,18,24.8,7.8,0.800000000000001,10.2
"19",4097,1980,5,19,22.8,11.1,0,6.9
"20",4098,1980,5,20,16.7,12.8,1.3,5.2
"21",4099,1980,5,21,27.8,13,3.8,5
"22",4100,1980,5,22,29.3,12.4,5.3,5.6
"23",4101,1980,5,23,25.3,14.2,1.3,3.8
"24",4102,1980,5,24,26.7,11.8,2.7,6.2
"25",4103,1980,5,25,22.2,16.7,0,1.3
"26",4104,1980,5,26,21.8,12.7,0,5.3
"27",4105,1980,5,27,23.8,7.8,0,10.2
"28",4106,1980,5,28,24.6,13.9,0.600000000000001,4.1
"29",4107,1980,5,29,28.4,10.1,4.4,7.9
"30",4108,1980,5,30,30.9,17.3,6.9,0.699999999999999
"31",4109,1980,5,31,28.2,17,4.2,1
"32",4110,1980,6,1,21.7,17.3,0,0.699999999999999
"33",4111,1980,6,2,24.6,16.8,0.600000000000001,1.2
"34",4112,1980,6,3,24.9,13.6,0.899999999999999,4.4
"35",4113,1980,6,4,28.1,15.8,4.1,2.2
"36",4114,1980,6,5,30.5,13.2,6.5,4.8
"37",4115,1980,6,6,31.2,15.3,7.2,2.7
"38",4116,1980,6,7,29,13.2,5,4.8
"39",4117,1980,6,8,23.4,20,0,0
"40",4118,1980,6,9,27.7,17.5,3.7,0.5
"41",4119,1980,6,10,27.6,19.5,3.6,0
"42",4120,1980,6,11,30,17.7,6,0.300000000000001
"43",4121,1980,6,12,29.6,19.8,5.6,0
"44",4122,1980,6,13,31.9,18.4,7.9,0
"45",4123,1980,6,14,28.4,19.8,4.4,0
"46",4124,1980,6,15,30.1,19.8,6.1,0
"47",4125,1980,6,16,28.8,20.3,4.8,0
"48",4126,1980,6,17,25.5,22.6,1.5,0
"49",4127,1980,6,18,31.2,20.4,7.2,0
"50",4128,1980,6,19,23.5,17.3,0,0.699999999999999
"51",4129,1980,6,20,24.2,16.8,0.199999999999999,1.2
"52",4130,1980,6,21,28.3,17.4,4.3,0.600000000000001
"53",4131,1980,6,22,28.8,19.2,4.8,0
"54",4132,1980,6,23,27.8,19,3.8,0
"55",4133,1980,6,24,29,20.6,5,0
"56",4134,1980,6,25,24.6,20.7,0.600000000000001,0
"57",4135,1980,6,26,26.5,20,2.5,0
"58",4136,1980,6,27,29.8,18.6,5.8,0
"59",4137,1980,6,28,27.3,20.6,3.3,0
"60",4138,1980,6,29,29.2,20.6,5.2,0
"61",4139,1980,6,30,22.7,18.5,0,0
"62",4140,1980,7,1,24.1,18,0.100000000000001,0
"63",4141,1980,7,2,25.1,19.7,1.1,0
"64",4142,1980,7,3,24,19.2,0,0
"65",4143,1980,7,4,24.4,19.2,0.399999999999999,0
"66",4144,1980,7,5,25.9,19.8,1.9,0
"67",4145,1980,7,6,24.8,20.1,0.800000000000001,0
"68",4146,1980,7,7,29.7,19.5,5.7,0
"69",4147,1980,7,8,30,20.5,6,0
"70",4148,1980,7,9,27.9,20.8,3.9,0
"71",4149,1980,7,10,26.5,20.5,2.5,0
"72",4150,1980,7,11,22.2,19.9,0,0
"73",4151,1980,7,12,27.3,17.7,3.3,0.300000000000001
"74",4152,1980,7,13,26.9,20,2.9,0
"75",4153,1980,7,14,27.9,20.2,3.9,0
"76",4154,1980,7,15,29.3,20.1,5.3,0
"77",4155,1980,7,16,26.6,20.4,2.6,0
"78",4156,1980,7,17,22.7,19.4,0,0
"79",4157,1980,7,18,24.6,19.2,0.600000000000001,0
"80",4158,1980,7,19,27,21.4,3,0
"81",4159,1980,7,20,30.7,23.8,6.7,0
"82",4160,1980,7,21,31.6,24.2,7.6,0.199999999999999
"83",4161,1980,7,22,30,24.9,6,0.899999999999999
"84",4162,1980,7,23,28.8,23.3,4.8,0
"85",4163,1980,7,24,31.7,19.1,7.7,0
"86",4164,1980,7,25,26,20.8,2,0
"87",4165,1980,7,26,31.4,20.8,7.4,0
"88",4166,1980,7,27,30.4,22.2,6.4,0
"89",4167,1980,7,28,26.8,23,2.8,0
"90",4168,1980,7,29,23.6,21.2,0,0
"91",4169,1980,7,30,23.7,20.3,0,0
"92",4170,1980,7,31,27.1,17.8,3.1,0.199999999999999
"93",4444,1981,5,1,27.8,7,3.8,11
"94",4445,1981,5,2,18.9,11.4,0,6.6
"95",4446,1981,5,3,18.8,10.4,0,7.6
"96",4447,1981,5,4,19.8,3.6,0,14.4
"97",4448,1981,5,5,22.4,7.3,0,10.7
"98",4449,1981,5,6,23.5,5.9,0,12.1
"99",4450,1981,5,7,25.9,7.3,1.9,10.7
"100",4451,1981,5,8,23.4,9.6,0,8.4
"101",4452,1981,5,9,27.5,18.4,3.5,0
"102",4453,1981,5,10,25.2,17.2,1.2,0.800000000000001
"103",4454,1981,5,11,23.2,11,0,7
"104",4455,1981,5,12,22.7,6.4,0,11.6
"105",4456,1981,5,13,24.1,6.1,0.100000000000001,11.9
"106",4457,1981,5,14,28.8,5,4.8,13
"107",4458,1981,5,15,19.4,13.7,0,4.3
"108",4459,1981,5,16,15.4,11.6,2.6,6.4
"109",4460,1981,5,17,14.7,10,3.3,8
"110",4461,1981,5,18,16.3,9.5,1.7,8.5
"111",4462,1981,5,19,18.1,7.6,0,10.4
"112",4463,1981,5,20,23.7,8.9,0,9.1
"113",4464,1981,5,21,25.7,9.4,1.7,8.6
"114",4465,1981,5,22,27.4,7.6,3.4,10.4
"115",4466,1981,5,23,26.2,10.7,2.2,7.3
"116",4467,1981,5,24,25,13.7,1,4.3
"117",4468,1981,5,25,27.4,11.3,3.4,6.7
"118",4469,1981,5,26,31.6,13.8,7.6,4.2
"119",4470,1981,5,27,21.8,13.3,0,4.7
"120",4471,1981,5,28,25.1,15.1,1.1,2.9
"121",4472,1981,5,29,29,10.5,5,7.5
"122",4473,1981,5,30,21.5,11.5,0,6.5
"123",4474,1981,5,31,26.1,13,2.1,5
"124",4475,1981,6,1,24,8.8,0,9.2
"125",4476,1981,6,2,26.1,11.3,2.1,6.7
"126",4477,1981,6,3,26.9,10.2,2.9,7.8
"127",4478,1981,6,4,27.5,10.7,3.5,7.3
"128",4479,1981,6,5,30.2,9.8,6.2,8.2
"129",4480,1981,6,6,31.4,11.6,7.4,6.4
"130",4481,1981,6,7,31.5,12.6,7.5,5.4
"131",4482,1981,6,8,32.4,12.8,8.4,5.2
"132",4483,1981,6,9,26.5,17,2.5,1
"133",4484,1981,6,10,20.7,16.4,0,1.6
"134",4485,1981,6,11,22.2,16.2,0,1.8
"135",4486,1981,6,12,21.2,16.3,0,1.7
"136",4487,1981,6,13,26.2,13.9,2.2,4.1
"137",4488,1981,6,14,25.5,15.3,1.5,2.7
"138",4489,1981,6,15,29.4,16.3,5.4,1.7
"139",4490,1981,6,16,29.8,16.7,5.8,1.3
"140",4491,1981,6,17,32.2,16.4,8.2,1.6
"141",4492,1981,6,18,33.1,22.1,9.1,0
"142",4493,1981,6,19,24.5,20,0.5,0
"143",4494,1981,6,20,28.6,19.2,4.6,0
"144",4495,1981,6,21,27.7,21.4,3.7,0
"145",4496,1981,6,22,25.8,22.4,1.8,0
"146",4497,1981,6,23,28.5,18.3,4.5,0
"147",4498,1981,6,24,26.3,17.3,2.3,0.699999999999999
"148",4499,1981,6,25,18.8,16.5,0,1.5
"149",4500,1981,6,26,25,18,1,0
"150",4501,1981,6,27,27.3,20.4,3.3,0
"151",4502,1981,6,28,22.9,20.2,0,0
"152",4503,1981,6,29,25.9,19.4,1.9,0
"153",4504,1981,6,30,24.3,20,0.300000000000001,0
"154",4505,1981,7,1,24.8,21.4,0.800000000000001,0
"155",4506,1981,7,2,26.5,23.9,2.5,0
"156",4507,1981,7,3,26.5,23.1,2.5,0
"157",4508,1981,7,4,26.1,19.8,2.1,0
"158",4509,1981,7,5,26.5,22.7,2.5,0
"159",4510,1981,7,6,25.1,21.7,1.1,0
"160",4511,1981,7,7,30,20.8,6,0
"161",4512,1981,7,8,29.6,20.4,5.6,0
"162",4513,1981,7,9,25.7,22.4,1.7,0
"163",4514,1981,7,10,25.3,20.8,1.3,0
"164",4515,1981,7,11,22.8,20.1,0,0
"165",4516,1981,7,12,29.6,21.6,5.6,0
"166",4517,1981,7,13,29.5,24.1,5.5,0.100000000000001
