"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",3401,1980,5,1,24,8.2,0,9.8
"2",3402,1980,5,2,22.7,6.1,0,11.9
"3",3403,1980,5,3,20,14.1,0,3.9
"4",3404,1980,5,4,23.1,12.3,0,5.7
"5",3405,1980,5,5,24.9,9.3,0.899999999999999,8.7
"6",3406,1980,5,6,19.2,9.8,0,8.2
"7",3407,1980,5,7,19.7,8.3,0,9.7
"8",3408,1980,5,8,13,10,5,8
"9",3409,1980,5,9,18.8,8.6,0,9.4
"10",3410,1980,5,10,23.9,5.6,0,12.4
"11",3411,1980,5,11,28.3,8.1,4.3,9.9
"12",3412,1980,5,12,19.4,13.9,0,4.1
"13",3413,1980,5,13,22.8,13.7,0,4.3
"14",3414,1980,5,14,23.2,12.8,0,5.2
"15",3415,1980,5,15,23.8,12.8,0,5.2
"16",3416,1980,5,16,17.7,8.3,0.300000000000001,9.7
"17",3417,1980,5,17,20.1,5.7,0,12.3
"18",3418,1980,5,18,23.9,6.5,0,11.5
"19",3419,1980,5,19,21.7,12,0,6
"20",3420,1980,5,20,17.1,12.8,0.899999999999999,5.2
"21",3421,1980,5,21,23.3,11.7,0,6.3
"22",3422,1980,5,22,26.8,9,2.8,9
"23",3423,1980,5,23,24.6,12.5,0.600000000000001,5.5
"24",3424,1980,5,24,24.1,12,0.100000000000001,6
"25",3425,1980,5,25,21.2,17.2,0,0.800000000000001
"26",3426,1980,5,26,17.6,12.4,0.399999999999999,5.6
"27",3427,1980,5,27,20.9,7.5,0,10.5
"28",3428,1980,5,28,24.7,13.4,0.699999999999999,4.6
"29",3429,1980,5,29,26.6,12.8,2.6,5.2
"30",3430,1980,5,30,28.8,16,4.8,2
"31",3431,1980,5,31,26.9,15.4,2.9,2.6
"32",3432,1980,6,1,23.4,17.4,0,0.600000000000001
"33",3433,1980,6,2,20.2,14.5,0,3.5
"34",3434,1980,6,3,22.3,11.6,0,6.4
"35",3435,1980,6,4,28.2,14.2,4.2,3.8
"36",3436,1980,6,5,28.5,12.6,4.5,5.4
"37",3437,1980,6,6,29.9,13.2,5.9,4.8
"38",3438,1980,6,7,26.4,18.3,2.4,0
"39",3439,1980,6,8,22.1,18.4,0,0
"40",3440,1980,6,9,23.4,16.2,0,1.8
"41",3441,1980,6,10,24.8,17,0.800000000000001,1
"42",3442,1980,6,11,27.7,16.7,3.7,1.3
"43",3443,1980,6,12,24.3,17.8,0.300000000000001,0.199999999999999
"44",3444,1980,6,13,29.4,15.1,5.4,2.9
"45",3445,1980,6,14,25.3,17.9,1.3,0.100000000000001
"46",3446,1980,6,15,27.4,20.2,3.4,0
"47",3447,1980,6,16,26.4,20.5,2.4,0
"48",3448,1980,6,17,22.8,18.9,0,0
"49",3449,1980,6,18,27.1,18.2,3.1,0
"50",3450,1980,6,19,20.9,16.5,0,1.5
"51",3451,1980,6,20,21.5,16.2,0,1.8
"52",3452,1980,6,21,26.9,16.3,2.9,1.7
"53",3453,1980,6,22,27.8,17.2,3.8,0.800000000000001
"54",3454,1980,6,23,27.2,19.4,3.2,0
"55",3455,1980,6,24,27.2,20.6,3.2,0
"56",3456,1980,6,25,24.2,19.9,0.199999999999999,0
"57",3457,1980,6,26,23.4,19.2,0,0
"58",3458,1980,6,27,27.8,18.8,3.8,0
"59",3459,1980,6,28,26.9,20.1,2.9,0
"60",3460,1980,6,29,30.3,19.6,6.3,0
"61",3461,1980,6,30,21,17.9,0,0.100000000000001
