"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",3166,1980,9,1,30.5,19.4,10.5,0
"2",3167,1980,9,2,30.1,19.8,10.1,0
"3",3168,1980,9,3,30.9,18.4,10.9,0
"4",3169,1980,9,4,29.6,16.2,9.6,0
"5",3170,1980,9,5,27,19.9,7,0
"6",3171,1980,9,6,24.4,17.4,4.4,0
"7",3172,1980,9,7,27.1,16.5,7.1,0
"8",3173,1980,9,8,27.8,14.6,7.8,0.4
"9",3174,1980,9,9,26.4,17.5,6.4,0
"10",3175,1980,9,10,22.7,18.6,2.7,0
"11",3176,1980,9,11,24.6,17.4,4.6,0
"12",3177,1980,9,12,27,16.1,7,0
"13",3178,1980,9,13,28.4,13.8,8.4,1.2
"14",3179,1980,9,14,28.9,12.8,8.9,2.2
"15",3180,1980,9,15,29.5,12.2,9.5,2.8
"16",3181,1980,9,16,28.8,15.6,8.8,0
"17",3182,1980,9,17,25.6,11.7,5.6,3.3
"18",3183,1980,9,18,25.9,11.5,5.9,3.5
"19",3184,1980,9,19,23.6,14.3,3.6,0.699999999999999
"20",3185,1980,9,20,26.3,16.3,6.3,0
"21",3186,1980,9,21,23.4,17.1,3.4,0
"22",3187,1980,9,22,21.1,13,1.1,2
"23",3188,1980,9,23,23.5,9.2,3.5,5.8
"24",3189,1980,9,24,21.5,12.6,1.5,2.4
"25",3190,1980,9,25,22.7,9.8,2.7,5.2
"26",3191,1980,9,26,24.6,7.5,4.6,7.5
"27",3192,1980,9,27,25.4,12.7,5.4,2.3
"28",3193,1980,9,28,26,10.7,6,4.3
"29",3194,1980,9,29,26.1,10.2,6.1,4.8
"30",3195,1980,9,30,24.8,10.4,4.8,4.6
"31",3531,1981,9,1,27.6,24.9,7.6,4.9
"32",3532,1981,9,2,26.7,23,6.7,3
"33",3533,1981,9,3,26,22.5,6,2.5
"34",3534,1981,9,4,28.6,19.2,8.6,0
"35",3535,1981,9,5,28.1,18.1,8.1,0
"36",3536,1981,9,6,27.4,16,7.4,0
"37",3537,1981,9,7,28,14.9,8,0.0999999999999996
"38",3538,1981,9,8,28.4,16.2,8.4,0
"39",3539,1981,9,9,26.9,15.9,6.9,0
"40",3540,1981,9,10,25.9,17.2,5.9,0
"41",3541,1981,9,11,25.9,16.2,5.9,0
"42",3542,1981,9,12,26.4,14.9,6.4,0.0999999999999996
"43",3543,1981,9,13,26,11,6,4
"44",3544,1981,9,14,24.2,11.8,4.2,3.2
"45",3545,1981,9,15,25.7,10.5,5.7,4.5
"46",3546,1981,9,16,27.5,9.6,7.5,5.4
"47",3547,1981,9,17,27.6,10.4,7.6,4.6
"48",3548,1981,9,18,23.8,14,3.8,1
"49",3549,1981,9,19,27.9,12.6,7.9,2.4
"50",3550,1981,9,20,27.7,14.4,7.7,0.6
"51",3551,1981,9,21,27.7,14.8,7.7,0.199999999999999
"52",3552,1981,9,22,28.6,15.7,8.6,0
"53",3553,1981,9,23,28.6,14.9,8.6,0.0999999999999996
"54",3554,1981,9,24,25.4,19.6,5.4,0
"55",3555,1981,9,25,24.1,19.1,4.1,0
"56",3556,1981,9,26,27.7,16.2,7.7,0
"57",3557,1981,9,27,29.7,13.5,9.7,1.5
"58",3558,1981,9,28,23.8,15.5,3.8,0
"59",3559,1981,9,29,23.2,13.3,3.2,1.7
"60",3560,1981,9,30,25.1,12.7,5.1,2.3
"61",3896,1982,9,1,31.1,18,11.1,0
"62",3897,1982,9,2,30.5,17.7,10.5,0
"63",3898,1982,9,3,28.9,19.6,8.9,0
"64",3899,1982,9,4,24.9,15.4,4.9,0
"65",3900,1982,9,5,26.8,13.2,6.8,1.8
"66",3901,1982,9,6,30.2,15.2,10.2,0
"67",3902,1982,9,7,30.5,13.8,10.5,1.2
"68",3903,1982,9,8,23.6,14.6,3.6,0.4
"69",3904,1982,9,9,22.2,15,2.2,0
"70",3905,1982,9,10,29.8,12.7,9.8,2.3
"71",3906,1982,9,11,27.8,13.6,7.8,1.4
"72",3907,1982,9,12,28.4,10.7,8.4,4.3
"73",3908,1982,9,13,30.7,10.8,10.7,4.2
"74",3909,1982,9,14,27.9,13.2,7.9,1.8
"75",3910,1982,9,15,27.3,14.6,7.3,0.4
"76",3911,1982,9,16,29.1,15.1,9.1,0
"77",3912,1982,9,17,27,15.6,7,0
"78",3913,1982,9,18,24.4,18.2,4.4,0
"79",3914,1982,9,19,23.6,18.2,3.6,0
"80",3915,1982,9,20,27.7,19.1,7.7,0
"81",3916,1982,9,21,27.4,14.8,7.4,0.199999999999999
"82",3917,1982,9,22,25.5,11.7,5.5,3.3
"83",3918,1982,9,23,26.1,15.4,6.1,0
"84",3919,1982,9,24,25.1,13.8,5.1,1.2
"85",3920,1982,9,25,27.8,13.4,7.8,1.6
"86",3921,1982,9,26,28.9,11.1,8.9,3.9
"87",3922,1982,9,27,24.4,14.2,4.4,0.800000000000001
"88",3923,1982,9,28,26.2,11.4,6.2,3.6
"89",3924,1982,9,29,22.1,15.1,2.1,0
"90",3925,1982,9,30,17.1,15.3,0,0
"91",4261,1983,9,1,30.5,21.5,10.5,1.5
"92",4262,1983,9,2,32.5,24.3,12.5,4.3
"93",4263,1983,9,3,31.6,21.1,11.6,1.1
"94",4264,1983,9,4,25.2,20.9,5.2,0.899999999999999
"95",4265,1983,9,5,29.7,22.5,9.7,2.5
"96",4266,1983,9,6,30.8,19.1,10.8,0
"97",4267,1983,9,7,31.3,17.1,11.3,0
"98",4268,1983,9,8,28.9,17.2,8.9,0
