"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",2800,1980,9,1,29.2,19.3,9.2,0
"2",2801,1980,9,2,28.4,18.7,8.4,0
"3",2802,1980,9,3,29.7,19.9,9.7,0
"4",2803,1980,9,4,28.6,19.4,8.6,0
"5",2804,1980,9,5,26.2,17.6,6.2,0
"6",2805,1980,9,6,23.6,15.9,3.6,0
"7",2806,1980,9,7,28.3,14.9,8.3,0.0999999999999996
"8",2807,1980,9,8,27.3,13.8,7.3,1.2
"9",2808,1980,9,9,26.2,14.4,6.2,0.6
"10",2809,1980,9,10,19,15.4,0,0
"11",2810,1980,9,11,18.7,14.9,0,0.0999999999999996
"12",2811,1980,9,12,24.9,12.1,4.9,2.9
"13",2812,1980,9,13,25.4,12.7,5.4,2.3
"14",2813,1980,9,14,27.9,11.2,7.9,3.8
"15",2814,1980,9,15,29.2,12.1,9.2,2.9
"16",2815,1980,9,16,25.6,13.9,5.6,1.1
"17",2816,1980,9,17,24.7,11.2,4.7,3.8
"18",2817,1980,9,18,24.7,9.6,4.7,5.4
"19",2818,1980,9,19,24.4,12.7,4.4,2.3
"20",2819,1980,9,20,27.7,12.3,7.7,2.7
"21",2820,1980,9,21,23.2,15,3.2,0
"22",2821,1980,9,22,19.7,9.6,0,5.4
"23",2822,1980,9,23,21.1,5.5,1.1,9.5
"24",2823,1980,9,24,23.7,8.6,3.7,6.4
"25",2824,1980,9,25,24.4,8.9,4.4,6.1
"26",2825,1980,9,26,25.3,8.3,5.3,6.7
"27",2826,1980,9,27,25.7,11.2,5.7,3.8
"28",2827,1980,9,28,26,8.6,6,6.4
"29",2828,1980,9,29,23.3,8,3.3,7
"30",2829,1980,9,30,22.7,7.1,2.7,7.9
"31",3165,1981,9,1,26.7,20.4,6.7,0.399999999999999
"32",3166,1981,9,2,23.7,20.4,3.7,0.399999999999999
"33",3167,1981,9,3,22.9,19.3,2.9,0
"34",3168,1981,9,4,27.6,16,7.6,0
"35",3169,1981,9,5,28.1,14.7,8.1,0.300000000000001
"36",3170,1981,9,6,28,14.3,8,0.699999999999999
"37",3171,1981,9,7,27,12.2,7,2.8
"38",3172,1981,9,8,27.1,14.4,7.1,0.6
"39",3173,1981,9,9,25.2,15.3,5.2,0
"40",3174,1981,9,10,24.9,15.4,4.9,0
"41",3175,1981,9,11,26,13.5,6,1.5
"42",3176,1981,9,12,24.9,10.8,4.9,4.2
"43",3177,1981,9,13,22.7,8.9,2.7,6.1
"44",3178,1981,9,14,22.7,8.2,2.7,6.8
"45",3179,1981,9,15,24.8,6.7,4.8,8.3
"46",3180,1981,9,16,25,6.9,5,8.1
"47",3181,1981,9,17,26.4,8.1,6.4,6.9
"48",3182,1981,9,18,26.3,11.2,6.3,3.8
"49",3183,1981,9,19,27.8,12.8,7.8,2.2
"50",3184,1981,9,20,28.4,12.2,8.4,2.8
"51",3185,1981,9,21,28.5,12.5,8.5,2.5
"52",3186,1981,9,22,30.1,11.4,10.1,3.6
"53",3187,1981,9,23,28.5,12.9,8.5,2.1
"54",3188,1981,9,24,18.5,14.3,0,0.699999999999999
"55",3189,1981,9,25,19.8,14.9,0,0.0999999999999996
"56",3190,1981,9,26,27.9,13.5,7.9,1.5
"57",3191,1981,9,27,28.6,11,8.6,4
"58",3192,1981,9,28,20.1,11.4,0.100000000000001,3.6
"59",3193,1981,9,29,21.3,11.3,1.3,3.7
"60",3194,1981,9,30,21.9,11.5,1.9,3.5
"61",3530,1982,9,1,30.4,16.7,10.4,0
"62",3531,1982,9,2,28.6,16.1,8.6,0
"63",3532,1982,9,3,27.7,15.3,7.7,0
"64",3533,1982,9,4,24.9,13.5,4.9,1.5
"65",3534,1982,9,5,23.2,11.8,3.2,3.2
"66",3535,1982,9,6,27.8,14.1,7.8,0.9
"67",3536,1982,9,7,26.7,12.1,6.7,2.9
"68",3537,1982,9,8,24.1,14.1,4.1,0.9
"69",3538,1982,9,9,22.7,14,2.7,1
"70",3539,1982,9,10,27.7,13.8,7.7,1.2
"71",3540,1982,9,11,26.8,11,6.8,4
"72",3541,1982,9,12,26.8,9.8,6.8,5.2
"73",3542,1982,9,13,28.6,10.2,8.6,4.8
"74",3543,1982,9,14,28.9,14,8.9,1
"75",3544,1982,9,15,27.1,12.7,7.1,2.3
"76",3545,1982,9,16,28.7,13.9,8.7,1.1
"77",3546,1982,9,17,27.6,11.8,7.6,3.2
"78",3547,1982,9,18,25.3,14.5,5.3,0.5
"79",3548,1982,9,19,20.5,18,0.5,0
"80",3549,1982,9,20,26.8,17.1,6.8,0
"81",3550,1982,9,21,24.7,12.5,4.7,2.5
"82",3551,1982,9,22,25.4,8.5,5.4,6.5
"83",3552,1982,9,23,25,11.7,5,3.3
"84",3553,1982,9,24,25,8.9,5,6.1
"85",3554,1982,9,25,25.7,14.2,5.7,0.800000000000001
"86",3555,1982,9,26,27,8.5,7,6.5
"87",3556,1982,9,27,21,13,1,2
"88",3557,1982,9,28,23.8,9.1,3.8,5.9
"89",3558,1982,9,29,23.3,11.2,3.3,3.8
"90",3559,1982,9,30,23.2,11.4,3.2,3.6
"91",3895,1983,9,1,32.2,20.4,12.2,0.399999999999999
"92",3896,1983,9,2,32.4,22.3,12.4,2.3
"93",3897,1983,9,3,28.8,21.5,8.8,1.5
"94",3898,1983,9,4,22.4,19.6,2.4,0
"95",3899,1983,9,5,26.7,20,6.7,0
"96",3900,1983,9,6,29.6,20.2,9.6,0.199999999999999
"97",3901,1983,9,7,28.5,17.8,8.5,0
"98",3902,1983,9,8,28.7,16,8.7,0
"99",3903,1983,9,9,22.3,19,2.3,0
"100",3904,1983,9,10,22.4,18.8,2.4,0
"101",3905,1983,9,11,21.3,19.4,1.3,0
"102",3906,1983,9,12,27,18.6,7,0
"103",3907,1983,9,13,28.1,17.3,8.1,0
"104",3908,1983,9,14,26.7,17.9,6.7,0
"105",3909,1983,9,15,27.5,15.8,7.5,0
"106",3910,1983,9,16,28.1,13.7,8.1,1.3
"107",3911,1983,9,17,27.2,16.3,7.2,0
"108",3912,1983,9,18,27.8,13.9,7.8,1.1
"109",3913,1983,9,19,25,14.4,5,0.6
"110",3914,1983,9,20,27.1,20.4,7.1,0.399999999999999
"111",3915,1983,9,21,22,18.1,2,0
"112",3916,1983,9,22,27.8,15.5,7.8,0
"113",3917,1983,9,23,25.4,15.4,5.4,0
"114",3918,1983,9,24,26.4,16.8,6.4,0
"115",3919,1983,9,25,27.9,14.9,7.9,0.0999999999999996
"116",3920,1983,9,26,26.8,13,6.8,2
"117",3921,1983,9,27,20.7,15.3,0.699999999999999,0
