"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",3465,1980,9,1,27.3,20.9,7.3,0.899999999999999
"2",3466,1980,9,2,28.9,18,8.9,0
"3",3467,1980,9,3,29.1,19.2,9.1,0
"4",3468,1980,9,4,29.3,20.8,9.3,0.800000000000001
"5",3469,1980,9,5,26.8,21.7,6.8,1.7
"6",3470,1980,9,6,25.1,19.5,5.1,0
"7",3471,1980,9,7,24.1,18.5,4.1,0
"8",3472,1980,9,8,25.7,18.9,5.7,0
"9",3473,1980,9,9,23.9,22,3.9,2
"10",3474,1980,9,10,23,19.6,3,0
"11",3475,1980,9,11,22.7,19,2.7,0
"12",3476,1980,9,12,25.4,14.9,5.4,0.0999999999999996
"13",3477,1980,9,13,26.2,15.1,6.2,0
"14",3478,1980,9,14,26.6,13.9,6.6,1.1
"15",3479,1980,9,15,26.6,15,6.6,0
"16",3480,1980,9,16,27.7,16.8,7.7,0
"17",3481,1980,9,17,23.9,16,3.9,0
"18",3482,1980,9,18,24.7,17.5,4.7,0
"19",3483,1980,9,19,22.7,20.2,2.7,0.199999999999999
"20",3484,1980,9,20,24.8,18.9,4.8,0
"21",3485,1980,9,21,22.4,16.6,2.4,0
"22",3486,1980,9,22,19.7,15.7,0,0
"23",3487,1980,9,23,20.4,15.5,0.399999999999999,0
"24",3488,1980,9,24,20.1,13.7,0.100000000000001,1.3
"25",3489,1980,9,25,21.9,11.6,1.9,3.4
"26",3490,1980,9,26,23.8,10.9,3.8,4.1
"27",3491,1980,9,27,23.7,18.8,3.7,0
"28",3492,1980,9,28,23.2,17.7,3.2,0
"29",3493,1980,9,29,24.7,16.4,4.7,0
"30",3494,1980,9,30,22.1,13.8,2.1,1.2
"31",3830,1981,9,1,28.1,22.7,8.1,2.7
"32",3831,1981,9,2,27.5,23.6,7.5,3.6
"33",3832,1981,9,3,27.1,22.3,7.1,2.3
"34",3833,1981,9,4,25.9,20.3,5.9,0.300000000000001
"35",3834,1981,9,5,26.3,17.6,6.3,0
"36",3835,1981,9,6,26.9,17.8,6.9,0
"37",3836,1981,9,7,25.9,21.4,5.9,1.4
"38",3837,1981,9,8,26.5,17.6,6.5,0
"39",3838,1981,9,9,28.3,17,8.3,0
"40",3839,1981,9,10,24.8,17.6,4.8,0
"41",3840,1981,9,11,23.5,16.4,3.5,0
"42",3841,1981,9,12,25,16.6,5,0
"43",3842,1981,9,13,23.9,16.6,3.9,0
"44",3843,1981,9,14,22.6,16.2,2.6,0
"45",3844,1981,9,15,23.3,13.6,3.3,1.4
"46",3845,1981,9,16,24.5,12.5,4.5,2.5
"47",3846,1981,9,17,25.7,15.4,5.7,0
"48",3847,1981,9,18,23.3,15.2,3.3,0
"49",3848,1981,9,19,24.4,16.5,4.4,0
"50",3849,1981,9,20,25.4,21,5.4,1
"51",3850,1981,9,21,25.1,21.4,5.1,1.4
"52",3851,1981,9,22,25.7,22,5.7,2
"53",3852,1981,9,23,25.6,21.9,5.6,1.9
"54",3853,1981,9,24,26,23.6,6,3.6
"55",3854,1981,9,25,25.3,19.9,5.3,0
"56",3855,1981,9,26,25.8,16.3,5.8,0
"57",3856,1981,9,27,28.4,13.4,8.4,1.6
"58",3857,1981,9,28,23.4,18.4,3.4,0
"59",3858,1981,9,29,22.8,19.3,2.8,0
"60",3859,1981,9,30,23.8,16.1,3.8,0
"61",4195,1982,9,1,28.5,18.4,8.5,0
"62",4196,1982,9,2,26.7,23.6,6.7,3.6
"63",4197,1982,9,3,26.4,23.2,6.4,3.2
"64",4198,1982,9,4,25.9,21.6,5.9,1.6
"65",4199,1982,9,5,26.2,20.7,6.2,0.699999999999999
"66",4200,1982,9,6,26.6,20.1,6.6,0.100000000000001
"67",4201,1982,9,7,27.9,16.6,7.9,0
"68",4202,1982,9,8,25.7,17.2,5.7,0
"69",4203,1982,9,9,23.4,15.7,3.4,0
"70",4204,1982,9,10,26,15.5,6,0
"71",4205,1982,9,11,25.9,17.6,5.9,0
"72",4206,1982,9,12,25.9,17.7,5.9,0
"73",4207,1982,9,13,28.1,16.3,8.1,0
"74",4208,1982,9,14,27.3,16.8,7.3,0
"75",4209,1982,9,15,25.7,22.2,5.7,2.2
"76",4210,1982,9,16,25.5,21.8,5.5,1.8
