"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",7183,1980,9,1,28.4,19.5,8.4,0
"2",7184,1980,9,2,31.1,19.1,11.1,0
"3",7185,1980,9,3,26.1,20,6.1,0
"4",7186,1980,9,4,27.9,19.5,7.9,0
"5",7187,1980,9,5,29.8,18.6,9.8,0
"6",7188,1980,9,6,23.7,17.9,3.7,0
"7",7189,1980,9,7,25.9,16.5,5.9,0
"8",7190,1980,9,8,25.2,17.5,5.2,0
"9",7191,1980,9,9,24.1,18,4.1,0
"10",7192,1980,9,10,20.1,17.2,0.100000000000001,0
"11",7193,1980,9,11,19.1,16.5,0,0
"12",7194,1980,9,12,27.3,13.7,7.3,1.3
"13",7195,1980,9,13,27.6,13.7,7.6,1.3
"14",7196,1980,9,14,28.5,14.1,8.5,0.9
"15",7197,1980,9,15,28.5,14.1,8.5,0.9
"16",7198,1980,9,16,29,16.3,9,0
"17",7199,1980,9,17,24.4,15.2,4.4,0
"18",7200,1980,9,18,25,14.3,5,0.699999999999999
"19",7201,1980,9,19,24.2,15.4,4.2,0
"20",7202,1980,9,20,25.4,15.7,5.4,0
"21",7203,1980,9,21,24.6,16.1,4.6,0
"22",7204,1980,9,22,20.7,15.2,0.699999999999999,0
"23",7205,1980,9,23,22.8,11.6,2.8,3.4
"24",7206,1980,9,24,21.8,13,1.8,2
"25",7207,1980,9,25,22.2,12,2.2,3
"26",7208,1980,9,26,23.8,9.9,3.8,5.1
"27",7209,1980,9,27,23,14.9,3,0.0999999999999996
"28",7210,1980,9,28,24.8,12.2,4.8,2.8
"29",7211,1980,9,29,25.8,12.6,5.8,2.4
"30",7212,1980,9,30,21.6,12.2,1.6,2.8
"31",7548,1981,9,1,24.4,22,4.4,2
"32",7549,1981,9,2,24,22,4,2
"33",7550,1981,9,3,24.8,20.8,4.8,0.800000000000001
"34",7551,1981,9,4,24.7,17.8,4.7,0
"35",7552,1981,9,5,26.6,14.7,6.6,0.300000000000001
"36",7553,1981,9,6,25.4,14.6,5.4,0.4
"37",7554,1981,9,7,25.5,14.5,5.5,0.5
"38",7555,1981,9,8,27.6,15.1,7.6,0
"39",7556,1981,9,9,28.6,17.9,8.6,0
"40",7557,1981,9,10,24,16.8,4,0
"41",7558,1981,9,11,23.5,16.4,3.5,0
"42",7559,1981,9,12,26.7,17,6.7,0
"43",7560,1981,9,13,25.6,13.5,5.6,1.5
"44",7561,1981,9,14,24.6,13.1,4.6,1.9
"45",7562,1981,9,15,24.2,11.1,4.2,3.9
"46",7563,1981,9,16,25.8,10.3,5.8,4.7
"47",7564,1981,9,17,27.2,12.1,7.2,2.9
"48",7565,1981,9,18,24.6,14.5,4.6,0.5
"49",7566,1981,9,19,26.7,14.7,6.7,0.300000000000001
"50",7567,1981,9,20,25.2,16.4,5.2,0
"51",7568,1981,9,21,27.2,14.9,7.2,0.0999999999999996
"52",7569,1981,9,22,28.8,14.5,8.8,0.5
"53",7570,1981,9,23,27.5,14.4,7.5,0.6
"54",7571,1981,9,24,22.7,18.6,2.7,0
"55",7572,1981,9,25,20.4,17.4,0.399999999999999,0
"56",7573,1981,9,26,27.3,16.2,7.3,0
"57",7574,1981,9,27,28.5,14.9,8.5,0.0999999999999996
"58",7575,1981,9,28,18.5,13.8,0,1.2
"59",7576,1981,9,29,21.5,12.4,1.5,2.6
"60",7577,1981,9,30,22.6,12.4,2.6,2.6
"61",7913,1982,9,1,28.2,18.5,8.2,0
"62",7914,1982,9,2,26.8,19.5,6.8,0
"63",7915,1982,9,3,26,20.1,6,0.100000000000001
"64",7916,1982,9,4,23.8,18,3.8,0
"65",7917,1982,9,5,25,15.3,5,0
"66",7918,1982,9,6,28.4,17.2,8.4,0
"67",7919,1982,9,7,28.9,17.4,8.9,0
"68",7920,1982,9,8,25.7,16.6,5.7,0
"69",7921,1982,9,9,22.9,17.2,2.9,0
