"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",3288,1980,9,1,28,17.8,8,0
"2",3289,1980,9,2,26.3,18.3,6.3,0
"3",3290,1980,9,3,27.7,18,7.7,0
"4",3291,1980,9,4,27.3,16.2,7.3,0
"5",3292,1980,9,5,26,17,6,0
"6",3293,1980,9,6,23.9,15.8,3.9,0
"7",3294,1980,9,7,24.7,14.8,4.7,0.199999999999999
"8",3295,1980,9,8,26.7,12.6,6.7,2.4
"9",3296,1980,9,9,25.7,11.5,5.7,3.5
"10",3297,1980,9,10,18.1,14.9,0,0.0999999999999996
"11",3298,1980,9,11,18.9,14.3,0,0.699999999999999
"12",3299,1980,9,12,24.1,12,4.1,3
"13",3300,1980,9,13,25.3,10.8,5.3,4.2
"14",3301,1980,9,14,26.3,13.5,6.3,1.5
"15",3302,1980,9,15,26.9,12.1,6.9,2.9
"16",3303,1980,9,16,23.8,12,3.8,3
"17",3304,1980,9,17,23.6,8.3,3.6,6.7
"18",3305,1980,9,18,23.9,7.3,3.9,7.7
"19",3306,1980,9,19,24.5,9.6,4.5,5.4
"20",3307,1980,9,20,26.4,11.1,6.4,3.9
"21",3308,1980,9,21,22.2,14.5,2.2,0.5
"22",3309,1980,9,22,18,5.6,0,9.4
"23",3310,1980,9,23,19,2.4,0,12.6
"24",3311,1980,9,24,22.3,4.8,2.3,10.2
"25",3312,1980,9,25,23.2,5.3,3.2,9.7
"26",3313,1980,9,26,25.3,7.5,5.3,7.5
"27",3314,1980,9,27,24.6,8.5,4.6,6.5
"28",3315,1980,9,28,24.3,8.5,4.3,6.5
"29",3316,1980,9,29,21.8,10.2,1.8,4.8
"30",3317,1980,9,30,21.9,5.1,1.9,9.9
"31",3653,1981,9,1,23.3,18,3.3,0
"32",3654,1981,9,2,25.7,18.5,5.7,0
"33",3655,1981,9,3,22.1,17.5,2.1,0
"34",3656,1981,9,4,25.9,13.5,5.9,1.5
"35",3657,1981,9,5,26.9,12.9,6.9,2.1
"36",3658,1981,9,6,28.6,11.9,8.6,3.1
"37",3659,1981,9,7,28.3,11.7,8.3,3.3
"38",3660,1981,9,8,25.9,15.4,5.9,0
"39",3661,1981,9,9,24.9,14.7,4.9,0.300000000000001
"40",3662,1981,9,10,24.7,13.2,4.7,1.8
"41",3663,1981,9,11,23.9,12.2,3.9,2.8
"42",3664,1981,9,12,22.7,8.9,2.7,6.1
"43",3665,1981,9,13,22,6.3,2,8.7
"44",3666,1981,9,14,21.6,5.5,1.6,9.5
"45",3667,1981,9,15,22.6,6,2.6,9
"46",3668,1981,9,16,23.5,5.8,3.5,9.2
"47",3669,1981,9,17,23.6,8.9,3.6,6.1
"48",3670,1981,9,18,26,12.5,6,2.5
"49",3671,1981,9,19,24.7,12.1,4.7,2.9
"50",3672,1981,9,20,27.2,13.3,7.2,1.7
"51",3673,1981,9,21,28.4,12.3,8.4,2.7
"52",3674,1981,9,22,28.8,12.2,8.8,2.8
"53",3675,1981,9,23,28,13.4,8,1.6
"54",3676,1981,9,24,20,15.2,0,0
"55",3677,1981,9,25,23.4,12.2,3.4,2.8
"56",3678,1981,9,26,26.2,8.7,6.2,6.3
"57",3679,1981,9,27,24.7,11.7,4.7,3.3
"58",3680,1981,9,28,21.5,11,1.5,4
"59",3681,1981,9,29,20.6,9,0.600000000000001,6
"60",3682,1981,9,30,20.3,12,0.300000000000001,3
"61",4018,1982,9,1,30,15.9,10,0
"62",4019,1982,9,2,28.2,16.1,8.2,0
"63",4020,1982,9,3,28.3,14.2,8.3,0.800000000000001
"64",4021,1982,9,4,23.2,10.4,3.2,4.6
"65",4022,1982,9,5,22.6,9.9,2.6,5.1
"66",4023,1982,9,6,26.4,16.1,6.4,0
"67",4024,1982,9,7,25.4,12.1,5.4,2.9
"68",4025,1982,9,8,25.7,12.9,5.7,2.1
"69",4026,1982,9,9,24.9,12.2,4.9,2.8
"70",4027,1982,9,10,25.5,12.5,5.5,2.5
"71",4028,1982,9,11,25,9.3,5,5.7
"72",4029,1982,9,12,25.9,6,5.9,9
"73",4030,1982,9,13,26.2,9,6.2,6
"74",4031,1982,9,14,28.2,11.6,8.2,3.4
"75",4032,1982,9,15,27.2,13,7.2,2
"76",4033,1982,9,16,28.6,12,8.6,3
"77",4034,1982,9,17,26.5,11.2,6.5,3.8
"78",4035,1982,9,18,25.7,12.7,5.7,2.3
"79",4036,1982,9,19,27.8,14.2,7.8,0.800000000000001
"80",4037,1982,9,20,25.9,14.8,5.9,0.199999999999999
"81",4038,1982,9,21,22.5,9.2,2.5,5.8
"82",4039,1982,9,22,25.1,5,5.1,10
"83",4040,1982,9,23,25.6,10.1,5.6,4.9
"84",4041,1982,9,24,26,5.3,6,9.7
"85",4042,1982,9,25,24.4,8,4.4,7
"86",4043,1982,9,26,24.4,4,4.4,11
"87",4044,1982,9,27,19.2,7.2,0,7.8
"88",4045,1982,9,28,21.2,4.8,1.2,10.2
"89",4046,1982,9,29,22.2,8.2,2.2,6.8
"90",4047,1982,9,30,22.7,9.2,2.7,5.8
"91",4383,1983,9,1,32.1,21.1,12.1,1.1
"92",4384,1983,9,2,30,22.7,10,2.7
"93",4385,1983,9,3,28.4,21.6,8.4,1.6
"94",4386,1983,9,4,23.2,19.8,3.2,0
"95",4387,1983,9,5,26.2,19,6.2,0
"96",4388,1983,9,6,28.7,18.6,8.7,0
"97",4389,1983,9,7,28,16.6,8,0
"98",4390,1983,9,8,27.9,16.5,7.9,0
"99",4391,1983,9,9,22.6,17.2,2.6,0
"100",4392,1983,9,10,25,17.8,5,0
"101",4393,1983,9,11,21.8,18.7,1.8,0
"102",4394,1983,9,12,27.9,17,7.9,0
"103",4395,1983,9,13,28,15.7,8,0
"104",4396,1983,9,14,25.4,16.2,5.4,0
"105",4397,1983,9,15,26.6,14.9,6.6,0.0999999999999996
"106",4398,1983,9,16,26.4,14.3,6.4,0.699999999999999
"107",4399,1983,9,17,28.1,14,8.1,1
"108",4400,1983,9,18,28.8,14.4,8.8,0.6
"109",4401,1983,9,19,28.7,11.7,8.7,3.3
"110",4402,1983,9,20,30,18.2,10,0
"111",4403,1983,9,21,24.3,14.8,4.3,0.199999999999999
"112",4404,1983,9,22,29.4,14.1,9.4,0.9
"113",4405,1983,9,23,23.4,14.9,3.4,0.0999999999999996
"114",4406,1983,9,24,26.7,17.9,6.7,0
"115",4407,1983,9,25,27.3,12.9,7.3,2.1
"116",4408,1983,9,26,26.3,11.6,6.3,3.4
"117",4409,1983,9,27,24,10.8,4,4.2
"118",4410,1983,9,28,21.6,8.6,1.6,6.4
"119",4411,1983,9,29,19.9,5.9,0,9.1
"120",4412,1983,9,30,22.8,8,2.8,7
"121",4749,1984,9,1,26,21.3,6,1.3
"122",4750,1984,9,2,26.4,17.6,6.4,0
"123",4751,1984,9,3,21.7,17.3,1.7,0
"124",4752,1984,9,4,24.3,16.3,4.3,0
"125",4753,1984,9,5,27.4,15.8,7.4,0
"126",4754,1984,9,6,26.3,15.4,6.3,0
"127",4755,1984,9,7,28,17.1,8,0
"128",4756,1984,9,8,27.1,15.1,7.1,0
"129",4757,1984,9,9,28.2,15.6,8.2,0
"130",4758,1984,9,10,24.1,12.5,4.1,2.5
"131",4759,1984,9,11,23.9,10.6,3.9,4.4
"132",4760,1984,9,12,24.1,10,4.1,5
"133",4761,1984,9,13,25.3,12.5,5.3,2.5
"134",4762,1984,9,14,25.6,11.3,5.6,3.7
"135",4763,1984,9,15,27.3,10.5,7.3,4.5
"136",4764,1984,9,16,27.4,10.5,7.4,4.5
"137",4765,1984,9,17,25.5,9.9,5.5,5.1
"138",4766,1984,9,18,26.7,13.6,6.7,1.4
"139",4767,1984,9,19,24.5,12.3,4.5,2.7
"140",4768,1984,9,20,25.6,14.4,5.6,0.6
"141",4769,1984,9,21,27.7,12.5,7.7,2.5
"142",4770,1984,9,22,28.1,10.3,8.1,4.7
"143",4771,1984,9,23,25.2,11,5.2,4
"144",4772,1984,9,24,22,12.6,2,2.4
"145",4773,1984,9,25,23.5,8.2,3.5,6.8
"146",4774,1984,9,26,25.3,6,5.3,9
"147",4775,1984,9,27,20.7,11.5,0.699999999999999,3.5
