"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",3286,1980,9,1,27.6,17.1,7.6,0
"2",3287,1980,9,2,20.9,16,0.899999999999999,0
"3",3288,1980,9,3,26.6,14.8,6.6,0.199999999999999
"4",3289,1980,9,4,25.7,14,5.7,1
"5",3290,1980,9,5,27.2,14.2,7.2,0.800000000000001
"6",3291,1980,9,6,23.4,12.7,3.4,2.3
"7",3292,1980,9,7,24.8,13.6,4.8,1.4
"8",3293,1980,9,8,23,12.3,3,2.7
"9",3294,1980,9,9,23.2,10.3,3.2,4.7
"10",3295,1980,9,10,16.2,13.3,0,1.7
"11",3296,1980,9,11,16.5,13.2,0,1.8
"12",3297,1980,9,12,23.1,12,3.1,3
"13",3298,1980,9,13,25.4,11.4,5.4,3.6
"14",3299,1980,9,14,25.2,12.2,5.2,2.8
"15",3300,1980,9,15,26.8,12.5,6.8,2.5
"16",3301,1980,9,16,23.4,10.8,3.4,4.2
"17",3302,1980,9,17,23.8,6.7,3.8,8.3
"18",3303,1980,9,18,23.4,8.4,3.4,6.6
"19",3304,1980,9,19,25.7,11.5,5.7,3.5
"20",3305,1980,9,20,25.7,11.1,5.7,3.9
"21",3306,1980,9,21,21.3,13.5,1.3,1.5
"22",3307,1980,9,22,18.7,5.6,0,9.4
"23",3308,1980,9,23,18.8,1.7,0,13.3
"24",3309,1980,9,24,21.5,4.7,1.5,10.3
"25",3310,1980,9,25,22.6,7.4,2.6,7.6
"26",3311,1980,9,26,18.7,7.7,0,7.3
"27",3312,1980,9,27,24.7,8.3,4.7,6.7
"28",3313,1980,9,28,22.8,10.2,2.8,4.8
"29",3314,1980,9,29,21.2,8.6,1.2,6.4
"30",3315,1980,9,30,21.5,5.5,1.5,9.5
"31",3651,1981,9,1,18.3,13.9,0,1.1
"32",3652,1981,9,2,23.3,15.3,3.3,0
"33",3653,1981,9,3,20.1,16.8,0.100000000000001,0
"34",3654,1981,9,4,24.9,12.8,4.9,2.2
"35",3655,1981,9,5,26,11.2,6,3.8
"36",3656,1981,9,6,26.9,10.2,6.9,4.8
"37",3657,1981,9,7,27.5,11.6,7.5,3.4
"38",3658,1981,9,8,25.7,12.8,5.7,2.2
"39",3659,1981,9,9,23.9,14,3.9,1
"40",3660,1981,9,10,24.8,11.8,4.8,3.2
"41",3661,1981,9,11,23.6,12.5,3.6,2.5
"42",3662,1981,9,12,22.8,10,2.8,5
"43",3663,1981,9,13,20.6,6.6,0.600000000000001,8.4
"44",3664,1981,9,14,21.2,5.1,1.2,9.9
"45",3665,1981,9,15,22.7,7.4,2.7,7.6
"46",3666,1981,9,16,22.7,7,2.7,8
"47",3667,1981,9,17,22.5,9.2,2.5,5.8
"48",3668,1981,9,18,24.3,12,4.3,3
"49",3669,1981,9,19,27.1,12.6,7.1,2.4
"50",3670,1981,9,20,27.2,11,7.2,4
"51",3671,1981,9,21,27.1,14,7.1,1
"52",3672,1981,9,22,27.1,12.9,7.1,2.1
"53",3673,1981,9,23,27.2,13.3,7.2,1.7
"54",3674,1981,9,24,19.4,13.8,0,1.2
"55",3675,1981,9,25,20.9,11.6,0.899999999999999,3.4
"56",3676,1981,9,26,26.8,8,6.8,7
"57",3677,1981,9,27,25.3,12.3,5.3,2.7
"58",3678,1981,9,28,15.4,6.3,0,8.7
"59",3679,1981,9,29,19.5,4.9,0,10.1
