"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",3893,1980,9,1,28.1,15.5,8.1,0
"2",3894,1980,9,2,28.3,16.9,8.3,0
"3",3895,1980,9,3,27.9,16.7,7.9,0
"4",3896,1980,9,4,27.2,14.3,7.2,0.699999999999999
"5",3897,1980,9,5,24.8,16.3,4.8,0
"6",3898,1980,9,6,22.3,13.2,2.3,1.8
"7",3899,1980,9,7,26.4,11.8,6.4,3.2
"8",3900,1980,9,8,26.1,9.4,6.1,5.6
"9",3901,1980,9,9,26.6,10.1,6.6,4.9
"10",3902,1980,9,10,18.2,14,0,1
"11",3903,1980,9,11,18.9,12,0,3
"12",3904,1980,9,12,24.2,9.4,4.2,5.6
"13",3905,1980,9,13,24.2,9,4.2,6
"14",3906,1980,9,14,27.2,7.4,7.2,7.6
"15",3907,1980,9,15,27.7,8.7,7.7,6.3
"16",3908,1980,9,16,24.8,10.3,4.8,4.7
"17",3909,1980,9,17,22.6,8.4,2.6,6.6
"18",3910,1980,9,18,24.4,7.5,4.4,7.5
"19",3911,1980,9,19,24.5,9.4,4.5,5.6
"20",3912,1980,9,20,25.6,11,5.6,4
"21",3913,1980,9,21,22.6,11.7,2.6,3.3
"22",3914,1980,9,22,16.7,7.6,0,7.4
"23",3915,1980,9,23,19.9,3.8,0,11.2
"24",3916,1980,9,24,21.8,6.7,1.8,8.3
"25",3917,1980,9,25,23.4,6.7,3.4,8.3
"26",3918,1980,9,26,25,3.4,5,11.6
"27",3919,1980,9,27,25.4,4.8,5.4,10.2
"28",3920,1980,9,28,25,5.5,5,9.5
"29",3921,1980,9,29,21.5,7.4,1.5,7.6
"30",3922,1980,9,30,22.4,4.8,2.4,10.2
"31",4258,1981,9,1,27.8,20.2,7.8,0.199999999999999
"32",4259,1981,9,2,25.2,21.4,5.2,1.4
"33",4260,1981,9,3,25.7,19.6,5.7,0
"34",4261,1981,9,4,25.9,12.8,5.9,2.2
"35",4262,1981,9,5,26.2,12.2,6.2,2.8
"36",4263,1981,9,6,27.2,11.5,7.2,3.5
"37",4264,1981,9,7,26.8,10.3,6.8,4.7
"38",4265,1981,9,8,26.5,13.5,6.5,1.5
"39",4266,1981,9,9,23.8,13.2,3.8,1.8
"40",4267,1981,9,10,25.4,14.2,5.4,0.800000000000001
"41",4268,1981,9,11,24.3,13.7,4.3,1.3
"42",4269,1981,9,12,23,8.7,3,6.3
"43",4270,1981,9,13,22.4,4.2,2.4,10.8
"44",4271,1981,9,14,21,4.6,1,10.4
"45",4272,1981,9,15,23.1,4.4,3.1,10.6
"46",4273,1981,9,16,24.5,4.9,4.5,10.1
"47",4274,1981,9,17,25.6,5.4,5.6,9.6
"48",4275,1981,9,18,24.3,10.6,4.3,4.4
"49",4276,1981,9,19,27.4,10.9,7.4,4.1
"50",4277,1981,9,20,28,12.6,8,2.4
"51",4278,1981,9,21,28.8,11.2,8.8,3.8
"52",4279,1981,9,22,29.3,8.4,9.3,6.6
"53",4280,1981,9,23,28.9,10.9,8.9,4.1
"54",4281,1981,9,24,21.5,14.2,1.5,0.800000000000001
"55",4282,1981,9,25,22,17.1,2,0
"56",4283,1981,9,26,26.8,10.8,6.8,4.2
"57",4284,1981,9,27,26.7,10.2,6.7,4.8
"58",4285,1981,9,28,24.4,14,4.4,1
"59",4286,1981,9,29,22.8,11.9,2.8,3.1
"60",4287,1981,9,30,22,10.6,2,4.4
