"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",7183,1980,9,1,27,21.1,7,1.1
"2",7184,1980,9,2,28.7,19.3,8.7,0
"3",7185,1980,9,3,28.2,20.9,8.2,0.899999999999999
"4",7186,1980,9,4,27.8,21.8,7.8,1.8
"5",7187,1980,9,5,28.2,22,8.2,2
"6",7188,1980,9,6,24.4,18.7,4.4,0
"7",7189,1980,9,7,24.4,18.7,4.4,0
"8",7190,1980,9,8,23.8,17.7,3.8,0
"9",7191,1980,9,9,23.3,20.2,3.3,0.199999999999999
"10",7192,1980,9,10,21.6,19.5,1.6,0
"11",7193,1980,9,11,22,19.2,2,0
"12",7194,1980,9,12,25.3,19.8,5.3,0
"13",7195,1980,9,13,24.6,17,4.6,0
"14",7196,1980,9,14,26,15.6,6,0
"15",7197,1980,9,15,26.4,16.2,6.4,0
"16",7198,1980,9,16,26,18.9,6,0
"17",7199,1980,9,17,23.9,16.1,3.9,0
"18",7200,1980,9,18,23.8,16,3.8,0
"19",7201,1980,9,19,22.1,19.7,2.1,0
"20",7202,1980,9,20,23.7,17.9,3.7,0
"21",7203,1980,9,21,21.2,16.7,1.2,0
"22",7204,1980,9,22,20.2,16.9,0.199999999999999,0
"23",7205,1980,9,23,20.1,15,0.100000000000001,0
"24",7206,1980,9,24,20.1,15.2,0.100000000000001,0
"25",7207,1980,9,25,21,14.4,1,0.6
"26",7208,1980,9,26,22.8,14.3,2.8,0.699999999999999
"27",7209,1980,9,27,22.9,15.6,2.9,0
"28",7210,1980,9,28,22.3,15.5,2.3,0
"29",7211,1980,9,29,23.7,14.9,3.7,0.0999999999999996
"30",7212,1980,9,30,21.6,14,1.6,1
"31",7548,1981,9,1,28,23.8,8,3.8
"32",7549,1981,9,2,27.2,24.2,7.2,4.2
"33",7550,1981,9,3,27.9,22.3,7.9,2.3
"34",7551,1981,9,4,25.3,21.3,5.3,1.3
"35",7552,1981,9,5,25,19.8,5,0
"36",7553,1981,9,6,25.5,19.5,5.5,0
"37",7554,1981,9,7,25.4,18.1,5.4,0
"38",7555,1981,9,8,25.4,18.5,5.4,0
"39",7556,1981,9,9,25.6,20.6,5.6,0.600000000000001
"40",7557,1981,9,10,23.6,17.8,3.6,0
"41",7558,1981,9,11,22.6,17.4,2.6,0
"42",7559,1981,9,12,24.5,18.6,4.5,0
"43",7560,1981,9,13,23.2,16.3,3.2,0
"44",7561,1981,9,14,22.9,18.2,2.9,0
"45",7562,1981,9,15,22.8,15.5,2.8,0
"46",7563,1981,9,16,23.2,14.4,3.2,0.6
"47",7564,1981,9,17,24.4,14.7,4.4,0.300000000000001
"48",7565,1981,9,18,23.1,17.7,3.1,0
"49",7566,1981,9,19,23.4,16.2,3.4,0
"50",7567,1981,9,20,24.5,18.8,4.5,0
"51",7568,1981,9,21,24,20.3,4,0.300000000000001
"52",7569,1981,9,22,24.6,20.8,4.6,0.800000000000001
"53",7570,1981,9,23,26.8,20.6,6.8,0.600000000000001
"54",7571,1981,9,24,29.5,23.5,9.5,3.5
"55",7572,1981,9,25,25.8,19.8,5.8,0
"56",7573,1981,9,26,25.8,19.2,5.8,0
"57",7574,1981,9,27,25.4,16.9,5.4,0
"58",7575,1981,9,28,23.4,18.8,3.4,0
"59",7576,1981,9,29,23,18.3,3,0
"60",7577,1981,9,30,23.3,17,3.3,0
"61",7913,1982,9,1,27.8,21,7.8,1
"62",7914,1982,9,2,26.5,22.2,6.5,2.2
"63",7915,1982,9,3,25.7,21.3,5.7,1.3
"64",7916,1982,9,4,25.6,19.4,5.6,0
"65",7917,1982,9,5,25.2,18.3,5.2,0
"66",7918,1982,9,6,26.7,19.4,6.7,0
"67",7919,1982,9,7,27.2,17.3,7.2,0
"68",7920,1982,9,8,24.8,17.8,4.8,0
"69",7921,1982,9,9,21.6,16.2,1.6,0
"70",7922,1982,9,10,25,15.7,5,0
"71",7923,1982,9,11,24.8,19.3,4.8,0
"72",7924,1982,9,12,24.3,18.5,4.3,0
"73",7925,1982,9,13,26,16.3,6,0
"74",7926,1982,9,14,26.6,18.5,6.6,0
"75",7927,1982,9,15,24.6,19.7,4.6,0
"76",7928,1982,9,16,24.6,20.3,4.6,0.300000000000001
"77",7929,1982,9,17,25,19.7,5,0
"78",7930,1982,9,18,23.2,19.5,3.2,0
"79",7931,1982,9,19,22,19.3,2,0
"80",7932,1982,9,20,23.8,20,3.8,0
"81",7933,1982,9,21,23.2,16.6,3.2,0
"82",7934,1982,9,22,24.2,15.5,4.2,0
"83",7935,1982,9,23,22.2,19.5,2.2,0
"84",7936,1982,9,24,22.8,18.6,2.8,0
"85",7937,1982,9,25,24.2,17.4,4.2,0
"86",7938,1982,9,26,25.9,17,5.9,0
"87",7939,1982,9,27,21.9,18.3,1.9,0
"88",7940,1982,9,28,23,17,3,0
"89",7941,1982,9,29,19.5,16.7,0,0
"90",7942,1982,9,30,23.4,18.4,3.4,0
"91",8278,1983,9,1,29.8,22.4,9.8,2.4
"92",8279,1983,9,2,32.3,24.5,12.3,4.5
"93",8280,1983,9,3,28.2,24.4,8.2,4.4
"94",8281,1983,9,4,28,22.6,8,2.6
"95",8282,1983,9,5,28,22.4,8,2.4
"96",8283,1983,9,6,27.8,20.4,7.8,0.399999999999999
"97",8284,1983,9,7,27.6,20.6,7.6,0.600000000000001
"98",8285,1983,9,8,27.6,19.1,7.6,0
"99",8286,1983,9,9,27,22.3,7,2.3
"100",8287,1983,9,10,27.6,23.8,7.6,3.8
"101",8288,1983,9,11,28.9,22.9,8.9,2.9
"102",8289,1983,9,12,26.9,21.7,6.9,1.7
"103",8290,1983,9,13,26.3,19.8,6.3,0
"104",8291,1983,9,14,24,19.5,4,0
"105",8292,1983,9,15,27,18.7,7,0
"106",8293,1983,9,16,26.2,19.1,6.2,0
"107",8294,1983,9,17,28,19.9,8,0
"108",8295,1983,9,18,27.6,21.6,7.6,1.6
"109",8296,1983,9,19,25.8,22.4,5.8,2.4
"110",8297,1983,9,20,26.4,22.8,6.4,2.8
"111",8298,1983,9,21,24.8,21.2,4.8,1.2
"112",8299,1983,9,22,25.3,20.5,5.3,0.5
"113",8300,1983,9,23,26.2,21.4,6.2,1.4
"114",8301,1983,9,24,25.6,21.3,5.6,1.3
"115",8302,1983,9,25,26.4,18.9,6.4,0
"116",8303,1983,9,26,24.1,21.9,4.1,1.9
"117",8304,1983,9,27,22.6,18.8,2.6,0
"118",8305,1983,9,28,21.8,18.4,1.8,0
"119",8306,1983,9,29,24.8,18.5,4.8,0
"120",8307,1983,9,30,25,18.8,5,0
"121",8644,1984,9,1,32.2,27,12.2,7
"122",8645,1984,9,2,31.9,27,11.9,7
"123",8646,1984,9,3,28.6,21.3,8.6,1.3
"124",8647,1984,9,4,27.9,20.7,7.9,0.699999999999999
"125",8648,1984,9,5,26.6,21.4,6.6,1.4
"126",8649,1984,9,6,26.6,20,6.6,0
"127",8650,1984,9,7,23.1,20.2,3.1,0.199999999999999
"128",8651,1984,9,8,25.7,21.4,5.7,1.4
"129",8652,1984,9,9,27,22.5,7,2.5
"130",8653,1984,9,10,24.4,19.4,4.4,0
"131",8654,1984,9,11,23.8,18.3,3.8,0
"132",8655,1984,9,12,25.7,19.2,5.7,0
"133",8656,1984,9,13,24.1,18.4,4.1,0
"134",8657,1984,9,14,24.1,16,4.1,0
"135",8658,1984,9,15,24.6,15.8,4.6,0
"136",8659,1984,9,16,23.8,17.6,3.8,0
"137",8660,1984,9,17,23.6,17.8,3.6,0
"138",8661,1984,9,18,25.4,17.4,5.4,0
"139",8662,1984,9,19,25.4,18.6,5.4,0
"140",8663,1984,9,20,25.6,18,5.6,0
"141",8664,1984,9,21,25.1,19.7,5.1,0
"142",8665,1984,9,22,24.8,20.4,4.8,0.399999999999999
"143",8666,1984,9,23,24.8,17.1,4.8,0
"144",8667,1984,9,24,25.3,16.3,5.3,0
"145",8668,1984,9,25,24.6,18,4.6,0
"146",8669,1984,9,26,24.4,14.2,4.4,0.800000000000001
"147",8670,1984,9,27,24.4,19.3,4.4,0
"148",8671,1984,9,28,27,19.2,7,0
"149",8672,1984,9,29,25.2,16.8,5.2,0
"150",8673,1984,9,30,23.9,14.9,3.9,0.0999999999999996
"151",9009,1985,9,1,29.8,24,9.8,4
"152",9010,1985,9,2,27.9,23.8,7.9,3.8
"153",9011,1985,9,3,30.2,25.1,10.2,5.1
"154",9012,1985,9,4,29,23.1,9,3.1
"155",9013,1985,9,5,29.8,22.5,9.8,2.5
"156",9014,1985,9,6,30.2,23.3,10.2,3.3
"157",9015,1985,9,7,28.8,22,8.8,2
"158",9016,1985,9,8,28.7,19.2,8.7,0
"159",9017,1985,9,9,28.8,20.5,8.8,0.5
"160",9018,1985,9,10,31.9,23.9,11.9,3.9
