"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",7183,1980,9,1,27.7,17.6,7.7,0
"2",7184,1980,9,2,27.5,18,7.5,0
"3",7185,1980,9,3,28.2,18.8,8.2,0
"4",7186,1980,9,4,27.6,18.6,7.6,0
"5",7187,1980,9,5,23.9,18.7,3.9,0
"6",7188,1980,9,6,22.2,16.9,2.2,0
"7",7189,1980,9,7,27.3,17.6,7.3,0
"8",7190,1980,9,8,24.9,13.6,4.9,1.4
"9",7191,1980,9,9,24.2,14.4,4.2,0.6
"10",7192,1980,9,10,17.6,14.8,0,0.199999999999999
"11",7193,1980,9,11,18.4,13.8,0,1.2
"12",7194,1980,9,12,23.6,14.9,3.6,0.0999999999999996
"13",7195,1980,9,13,24.2,14.2,4.2,0.800000000000001
"14",7196,1980,9,14,25.7,12.9,5.7,2.1
"15",7197,1980,9,15,27.3,12.8,7.3,2.2
"16",7198,1980,9,16,23.9,16.2,3.9,0
"17",7199,1980,9,17,22.9,11.7,2.9,3.3
"18",7200,1980,9,18,23.1,9.2,3.1,5.8
"19",7201,1980,9,19,24.5,12.2,4.5,2.8
"20",7202,1980,9,20,27.2,12.5,7.2,2.5
"21",7203,1980,9,21,22,14.9,2,0.0999999999999996
"22",7204,1980,9,22,17.1,10.8,0,4.2
"23",7205,1980,9,23,19.2,5.7,0,9.3
"24",7206,1980,9,24,22,8.9,2,6.1
"25",7207,1980,9,25,23.8,9.2,3.8,5.8
"26",7208,1980,9,26,24.1,8,4.1,7
"27",7209,1980,9,27,24.3,11,4.3,4
"28",7210,1980,9,28,24.2,8.3,4.2,6.7
"29",7211,1980,9,29,21.3,10.8,1.3,4.2
"30",7212,1980,9,30,22.4,7.1,2.4,7.9
"31",7548,1981,9,1,23.3,19.4,3.3,0
"32",7549,1981,9,2,22.1,19.2,2.1,0
"33",7550,1981,9,3,21.8,18.9,1.8,0
"34",7551,1981,9,4,24.9,15.6,4.9,0
"35",7552,1981,9,5,26.5,13.8,6.5,1.2
"36",7553,1981,9,6,25.4,13.3,5.4,1.7
"37",7554,1981,9,7,26.7,11.4,6.7,3.6
"38",7555,1981,9,8,26.2,14.2,6.2,0.800000000000001
"39",7556,1981,9,9,23.7,17.1,3.7,0
"40",7557,1981,9,10,22.4,15.5,2.4,0
"41",7558,1981,9,11,23.9,14.8,3.9,0.199999999999999
"42",7559,1981,9,12,22.7,12.5,2.7,2.5
"43",7560,1981,9,13,21.6,10,1.6,5
"44",7561,1981,9,14,20.6,9.4,0.600000000000001,5.6
"45",7562,1981,9,15,23.7,8.2,3.7,6.8
"46",7563,1981,9,16,23.3,7.2,3.3,7.8
"47",7564,1981,9,17,24.6,9.2,4.6,5.8
"48",7565,1981,9,18,24.9,12.9,4.9,2.1
"49",7566,1981,9,19,27.1,12.1,7.1,2.9
"50",7567,1981,9,20,26.1,12.3,6.1,2.7
"51",7568,1981,9,21,27.8,12.4,7.8,2.6
"52",7569,1981,9,22,29.2,11.9,9.2,3.1
"53",7570,1981,9,23,27.3,14,7.3,1
"54",7571,1981,9,24,19.4,16.3,0,0
"55",7572,1981,9,25,19.2,13.9,0,1.1
"56",7573,1981,9,26,25.2,12.1,5.2,2.9
"57",7574,1981,9,27,26.1,13,6.1,2
"58",7575,1981,9,28,19.4,12.4,0,2.6
"59",7576,1981,9,29,20.6,10.5,0.600000000000001,4.5
"60",7577,1981,9,30,21,11.3,1,3.7
"61",7913,1982,9,1,28.8,15.5,8.8,0
"62",7914,1982,9,2,27.4,16,7.4,0
"63",7915,1982,9,3,26.3,16.6,6.3,0
"64",7916,1982,9,4,23.2,14.4,3.2,0.6
"65",7917,1982,9,5,21.9,11.4,1.9,3.6
"66",7918,1982,9,6,26.5,14.5,6.5,0.5
"67",7919,1982,9,7,25.5,14.4,5.5,0.6
"68",7920,1982,9,8,23.1,14.6,3.1,0.4
"69",7921,1982,9,9,22.3,14.4,2.3,0.6
"70",7922,1982,9,10,25.2,13.7,5.2,1.3
"71",7923,1982,9,11,24.5,12,4.5,3
"72",7924,1982,9,12,25.2,9.2,5.2,5.8
"73",7925,1982,9,13,26.7,13.1,6.7,1.9
"74",7926,1982,9,14,26.4,13.9,6.4,1.1
"75",7927,1982,9,15,26.4,13.4,6.4,1.6
"76",7928,1982,9,16,28.2,12.8,8.2,2.2
"77",7929,1982,9,17,25.2,13.5,5.2,1.5
"78",7930,1982,9,18,23.1,15.1,3.1,0
"79",7931,1982,9,19,19.6,17.3,0,0
"80",7932,1982,9,20,25.3,17.2,5.3,0
"81",7933,1982,9,21,22.8,13,2.8,2
"82",7934,1982,9,22,25.2,7.2,5.2,7.8
"83",7935,1982,9,23,24.2,13,4.2,2
"84",7936,1982,9,24,24.4,12.1,4.4,2.9
"85",7937,1982,9,25,22.8,14.1,2.8,0.9
"86",7938,1982,9,26,25.6,11.3,5.6,3.7
"87",7939,1982,9,27,19.3,13,0,2
"88",7940,1982,9,28,22.5,10.4,2.5,4.6
"89",7941,1982,9,29,21.5,11.3,1.5,3.7
"90",7942,1982,9,30,22.6,11,2.6,4
"91",8278,1983,9,1,31,19.7,11,0
"92",8279,1983,9,2,31.4,21.1,11.4,1.1
"93",8280,1983,9,3,27.7,21,7.7,1
"94",8281,1983,9,4,21.5,18.3,1.5,0
"95",8282,1983,9,5,25.2,18.8,5.2,0
"96",8283,1983,9,6,28.4,19.8,8.4,0
"97",8284,1983,9,7,27.2,17.7,7.2,0
"98",8285,1983,9,8,27.4,16,7.4,0
"99",8286,1983,9,9,20.4,17.7,0.399999999999999,0
"100",8287,1983,9,10,21.7,17.7,1.7,0
"101",8288,1983,9,11,20.9,18.7,0.899999999999999,0
"102",8289,1983,9,12,25.6,17.7,5.6,0
"103",8290,1983,9,13,27,17.1,7,0
"104",8291,1983,9,14,26.5,17.4,6.5,0
"105",8292,1983,9,15,26.6,16,6.6,0
"106",8293,1983,9,16,25.6,16,5.6,0
"107",8294,1983,9,17,25.6,17.7,5.6,0
"108",8295,1983,9,18,26.2,14.2,6.2,0.800000000000001
"109",8296,1983,9,19,23.2,16.5,3.2,0
"110",8297,1983,9,20,27,19.8,7,0
"111",8298,1983,9,21,21.6,17.5,1.6,0
"112",8299,1983,9,22,25.9,14.9,5.9,0.0999999999999996
"113",8300,1983,9,23,24,16.1,4,0
"114",8301,1983,9,24,24.8,18.2,4.8,0
"115",8302,1983,9,25,26.8,15.5,6.8,0
"116",8303,1983,9,26,24.9,13.6,4.9,1.4
"117",8304,1983,9,27,20.1,16.1,0.100000000000001,0
"118",8305,1983,9,28,20.5,12.1,0.5,2.9
"119",8306,1983,9,29,19.8,10,0,5
"120",8307,1983,9,30,23.6,11,3.6,4
"121",8644,1984,9,1,26.4,22.1,6.4,2.1
"122",8645,1984,9,2,24.7,18.4,4.7,0
"123",8646,1984,9,3,19,17.6,0,0
"124",8647,1984,9,4,20.3,16.7,0.300000000000001,0
"125",8648,1984,9,5,26.2,17.2,6.2,0
"126",8649,1984,9,6,25.8,15.3,5.8,0
"127",8650,1984,9,7,24.8,18.6,4.8,0
"128",8651,1984,9,8,25.5,18.3,5.5,0
"129",8652,1984,9,9,23,18.3,3,0
"130",8653,1984,9,10,21.8,14.4,1.8,0.6
"131",8654,1984,9,11,22.8,14.2,2.8,0.800000000000001
"132",8655,1984,9,12,23.4,13.2,3.4,1.8
"133",8656,1984,9,13,24.3,12.3,4.3,2.7
"134",8657,1984,9,14,25.4,12.4,5.4,2.6
"135",8658,1984,9,15,25.6,13.2,5.6,1.8
"136",8659,1984,9,16,27.6,14.4,7.6,0.6
"137",8660,1984,9,17,23.5,13.6,3.5,1.4
"138",8661,1984,9,18,25.5,14.2,5.5,0.800000000000001
"139",8662,1984,9,19,23.9,13.6,3.9,1.4
"140",8663,1984,9,20,24.6,15,4.6,0
"141",8664,1984,9,21,25.8,12.6,5.8,2.4
"142",8665,1984,9,22,25.1,14.2,5.1,0.800000000000001
"143",8666,1984,9,23,25.5,11.8,5.5,3.2
"144",8667,1984,9,24,24.1,12.1,4.1,2.9
"145",8668,1984,9,25,23.2,12.4,3.2,2.6
"146",8669,1984,9,26,21.5,6.5,1.5,8.5
"147",8670,1984,9,27,18.8,12.4,0,2.6
"148",8671,1984,9,28,23.2,12.9,3.2,2.1
"149",8672,1984,9,29,23.7,12.6,3.7,2.4
"150",8673,1984,9,30,25.5,12.6,5.5,2.4
"151",9009,1985,9,1,27.1,20.9,7.1,0.899999999999999
"152",9010,1985,9,2,22.6,20.2,2.6,0.199999999999999
"153",9011,1985,9,3,30.6,21.6,10.6,1.6
"154",9012,1985,9,4,29.2,20.5,9.2,0.5
"155",9013,1985,9,5,31,18.8,11,0
"156",9014,1985,9,6,30,20.4,10,0.399999999999999
"157",9015,1985,9,7,27.6,17.3,7.6,0
"158",9016,1985,9,8,29.6,14.3,9.6,0.699999999999999
"159",9017,1985,9,9,28.1,16.1,8.1,0
"160",9018,1985,9,10,24.1,17,4.1,0
"161",9019,1985,9,11,24.7,21.9,4.7,1.9
"162",9020,1985,9,12,26,17.8,6,0
"163",9021,1985,9,13,26.6,13.9,6.6,1.1
"164",9022,1985,9,14,23.9,17.5,3.9,0
"165",9023,1985,9,15,17.9,16.3,0,0
"166",9024,1985,9,16,18.9,16.1,0,0
"167",9025,1985,9,17,21.4,16.9,1.4,0
"168",9026,1985,9,18,22.8,18,2.8,0
"169",9027,1985,9,19,19.4,16.5,0,0
"170",9028,1985,9,20,24.1,16.1,4.1,0
"171",9029,1985,9,21,25.4,16,5.4,0
