"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",5357,1980,9,1,29.1,20,9.1,0
"2",5358,1980,9,2,21.4,16.2,1.4,0
"3",5359,1980,9,3,27.3,16.9,7.3,0
"4",5360,1980,9,4,25.9,16.8,5.9,0
"5",5361,1980,9,5,27.9,16.6,7.9,0
"6",5362,1980,9,6,26,14.8,6,0.199999999999999
"7",5363,1980,9,7,25.9,15.1,5.9,0
"8",5364,1980,9,8,26.5,14.7,6.5,0.300000000000001
"9",5365,1980,9,9,25.2,13.2,5.2,1.8
"10",5366,1980,9,10,18.4,14.4,0,0.6
"11",5367,1980,9,11,20.6,14.7,0.600000000000001,0.300000000000001
"12",5368,1980,9,12,25.3,10.7,5.3,4.3
"13",5369,1980,9,13,26.7,10.7,6.7,4.3
"14",5370,1980,9,14,27.4,14.5,7.4,0.5
"15",5371,1980,9,15,28,14,8,1
"16",5372,1980,9,16,24.2,12.6,4.2,2.4
"17",5373,1980,9,17,25,8.8,5,6.2
"18",5374,1980,9,18,22.9,9.4,2.9,5.6
"19",5375,1980,9,19,27.1,11.4,7.1,3.6
"20",5376,1980,9,20,27.5,11.4,7.5,3.6
"21",5377,1980,9,21,21.2,14.8,1.2,0.199999999999999
"22",5378,1980,9,22,20,7.3,0,7.7
"23",5379,1980,9,23,21,3.7,1,11.3
"24",5380,1980,9,24,23.5,6.8,3.5,8.2
"25",5381,1980,9,25,24.9,8.7,4.9,6.3
"26",5382,1980,9,26,24.8,9.9,4.8,5.1
"27",5383,1980,9,27,25.2,10.6,5.2,4.4
"28",5384,1980,9,28,24.8,10.7,4.8,4.3
"29",5385,1980,9,29,22.8,10,2.8,5
"30",5386,1980,9,30,23.1,6.9,3.1,8.1
"31",5722,1981,9,1,18.8,16.7,0,0
"32",5723,1981,9,2,24.9,18.1,4.9,0
"33",5724,1981,9,3,22.2,19.6,2.2,0
"34",5725,1981,9,4,26.6,15.6,6.6,0
"35",5726,1981,9,5,27.8,13.8,7.8,1.2
"36",5727,1981,9,6,28.4,13.6,8.4,1.4
"37",5728,1981,9,7,28.6,13.5,8.6,1.5
"38",5729,1981,9,8,26.7,16.4,6.7,0
"39",5730,1981,9,9,24.8,15.7,4.8,0
"40",5731,1981,9,10,26.5,14.7,6.5,0.300000000000001
"41",5732,1981,9,11,25.3,15,5.3,0
"42",5733,1981,9,12,23.3,10.6,3.3,4.4
"43",5734,1981,9,13,22.4,8,2.4,7
"44",5735,1981,9,14,23,6.5,3,8.5
"45",5736,1981,9,15,24.3,8.7,4.3,6.3
"46",5737,1981,9,16,24.3,9.2,4.3,5.8
"47",5738,1981,9,17,24.7,11.8,4.7,3.2
"48",5739,1981,9,18,26.4,15,6.4,0
"49",5740,1981,9,19,27.4,15.5,7.4,0
