"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",7183,1980,9,1,29.1,19,9.1,0
"2",7184,1980,9,2,31,19.3,11,0
"3",7185,1980,9,3,24.2,19.3,4.2,0
"4",7186,1980,9,4,26.2,20.2,6.2,0.199999999999999
"5",7187,1980,9,5,26.4,20,6.4,0
"6",7188,1980,9,6,22.5,18.6,2.5,0
"7",7189,1980,9,7,26,17.6,6,0
"8",7190,1980,9,8,25.4,16,5.4,0
"9",7191,1980,9,9,24,19.8,4,0
"10",7192,1980,9,10,21.1,16.8,1.1,0
"11",7193,1980,9,11,18.7,16.2,0,0
"12",7194,1980,9,12,26.6,15.4,6.6,0
"13",7195,1980,9,13,27.6,15.4,7.6,0
"14",7196,1980,9,14,27.4,16,7.4,0
"15",7197,1980,9,15,29.6,15.6,9.6,0
"16",7198,1980,9,16,28.4,19.2,8.4,0
"17",7199,1980,9,17,24.2,14.4,4.2,0.6
"18",7200,1980,9,18,24.2,13.5,4.2,1.5
"19",7201,1980,9,19,24.9,15,4.9,0
"20",7202,1980,9,20,25,15,5,0
"21",7203,1980,9,21,24.5,15.7,4.5,0
"22",7204,1980,9,22,22.3,14.5,2.3,0.5
"23",7205,1980,9,23,21.7,11.4,1.7,3.6
"24",7206,1980,9,24,23.6,12.6,3.6,2.4
"25",7207,1980,9,25,23.4,11.2,3.4,3.8
"26",7208,1980,9,26,23.6,9.6,3.6,5.4
"27",7209,1980,9,27,22.8,15.2,2.8,0
"28",7210,1980,9,28,23.8,12,3.8,3
"29",7211,1980,9,29,23.9,13,3.9,2
"30",7212,1980,9,30,21.9,12.8,1.9,2.2
"31",7548,1981,9,1,21.5,19.8,1.5,0
"32",7549,1981,9,2,21.7,19.7,1.7,0
"33",7550,1981,9,3,24,20.5,4,0.5
"34",7551,1981,9,4,22.3,17.1,2.3,0
"35",7552,1981,9,5,25,14.2,5,0.800000000000001
"36",7553,1981,9,6,23.6,14.2,3.6,0.800000000000001
"37",7554,1981,9,7,24.2,14.1,4.2,0.9
"38",7555,1981,9,8,26.9,14.6,6.9,0.4
"39",7556,1981,9,9,28.1,18.7,8.1,0
"40",7557,1981,9,10,23,15.6,3,0
"41",7558,1981,9,11,23.4,14.2,3.4,0.800000000000001
"42",7559,1981,9,12,26.6,16.8,6.6,0
"43",7560,1981,9,13,24.9,13.3,4.9,1.7
"44",7561,1981,9,14,22.8,13.3,2.8,1.7
"45",7562,1981,9,15,22.8,12,2.8,3
"46",7563,1981,9,16,24.2,11.2,4.2,3.8
"47",7564,1981,9,17,27.4,13.1,7.4,1.9
"48",7565,1981,9,18,25.4,16.4,5.4,0
"49",7566,1981,9,19,26.9,16,6.9,0
"50",7567,1981,9,20,23.7,16.2,3.7,0
"51",7568,1981,9,21,24.2,14,4.2,1
"52",7569,1981,9,22,26.8,14.4,6.8,0.6
"53",7570,1981,9,23,24.8,15,4.8,0
"54",7571,1981,9,24,21.4,17.7,1.4,0
"55",7572,1981,9,25,20.5,17,0.5,0
"56",7573,1981,9,26,23.7,15.8,3.7,0
"57",7574,1981,9,27,27.4,15.6,7.4,0
"58",7575,1981,9,28,18.1,13.5,0,1.5
"59",7576,1981,9,29,19.8,12,0,3
"60",7577,1981,9,30,22.1,12.1,2.1,2.9
"61",7913,1982,9,1,27.1,19.1,7.1,0
"62",7914,1982,9,2,26.2,20.2,6.2,0.199999999999999
"63",7915,1982,9,3,25.6,18.9,5.6,0
"64",7916,1982,9,4,24,19.7,4,0
"65",7917,1982,9,5,24.4,15.6,4.4,0
"66",7918,1982,9,6,29.2,16.2,9.2,0
"67",7919,1982,9,7,27.4,15.9,7.4,0
"68",7920,1982,9,8,24.6,16.6,4.6,0
"69",7921,1982,9,9,22.5,17.6,2.5,0
"70",7922,1982,9,10,26.9,14.9,6.9,0.0999999999999996
"71",7923,1982,9,11,25.6,16,5.6,0
"72",7924,1982,9,12,24.9,14.9,4.9,0.0999999999999996
"73",7925,1982,9,13,28.3,14.8,8.3,0.199999999999999
"74",7926,1982,9,14,25.6,14.2,5.6,0.800000000000001
"75",7927,1982,9,15,26.1,16.4,6.1,0
"76",7928,1982,9,16,25.9,15.8,5.9,0
"77",7929,1982,9,17,25.6,14.7,5.6,0.300000000000001
"78",7930,1982,9,18,25.1,16.8,5.1,0
"79",7931,1982,9,19,21.1,18.2,1.1,0
"80",7932,1982,9,20,27.2,19.2,7.2,0
"81",7933,1982,9,21,23.3,15.4,3.3,0
"82",7934,1982,9,22,24,13.6,4,1.4
"83",7935,1982,9,23,22.9,19.8,2.9,0
"84",7936,1982,9,24,22.5,19.5,2.5,0
"85",7937,1982,9,25,22.5,16.9,2.5,0
"86",7938,1982,9,26,28.6,15.6,8.6,0
"87",7939,1982,9,27,22.8,16,2.8,0
"88",7940,1982,9,28,25.1,13.8,5.1,1.2
"89",7941,1982,9,29,24.2,14.6,4.2,0.4
"90",7942,1982,9,30,22.3,15.6,2.3,0
"91",8278,1983,9,1,29.7,23.5,9.7,3.5
"92",8279,1983,9,2,33.6,23.8,13.6,3.8
"93",8280,1983,9,3,31.5,22,11.5,2
"94",8281,1983,9,4,24.6,20.2,4.6,0.199999999999999
"95",8282,1983,9,5,25,20.6,5,0.600000000000001
"96",8283,1983,9,6,26.7,21,6.7,1
"97",8284,1983,9,7,30.2,21.1,10.2,1.1
"98",8285,1983,9,8,25.8,19.3,5.8,0
"99",8286,1983,9,9,23,18.9,3,0
"100",8287,1983,9,10,22.7,19.3,2.7,0
"101",8288,1983,9,11,21.4,19.6,1.4,0
"102",8289,1983,9,12,25.1,18.8,5.1,0
"103",8290,1983,9,13,28.1,17.8,8.1,0
"104",8291,1983,9,14,27.1,20.5,7.1,0.5
"105",8292,1983,9,15,30.4,18.5,10.4,0
"106",8293,1983,9,16,28.9,18.2,8.9,0
"107",8294,1983,9,17,24.7,18.4,4.7,0
"108",8295,1983,9,18,25.4,15.6,5.4,0
"109",8296,1983,9,19,23.7,19,3.7,0
"110",8297,1983,9,20,23.8,21.5,3.8,1.5
"111",8298,1983,9,21,22.5,18.6,2.5,0
"112",8299,1983,9,22,24.8,18.9,4.8,0
"113",8300,1983,9,23,23.9,17.7,3.9,0
"114",8301,1983,9,24,26,20.1,6,0.100000000000001
"115",8302,1983,9,25,24.8,17,4.8,0
"116",8303,1983,9,26,24.6,15.4,4.6,0
