"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",3528,1980,9,1,29.6,18.7,9.6,0
"2",3529,1980,9,2,29,19.3,9,0
"3",3530,1980,9,3,30.4,21.5,10.4,1.5
"4",3531,1980,9,4,28.8,21.1,8.8,1.1
"5",3532,1980,9,5,29,18,9,0
"6",3533,1980,9,6,23.1,16.5,3.1,0
"7",3534,1980,9,7,26.1,14.9,6.1,0.0999999999999996
"8",3535,1980,9,8,27.3,16.7,7.3,0
"9",3536,1980,9,9,24,15.1,4,0
"10",3537,1980,9,10,20,16.7,0,0
"11",3538,1980,9,11,20.2,16.5,0.199999999999999,0
"12",3539,1980,9,12,26.7,13,6.7,2
"13",3540,1980,9,13,26.5,12,6.5,3
"14",3541,1980,9,14,27.8,11.6,7.8,3.4
"15",3542,1980,9,15,28.7,13.2,8.7,1.8
"16",3543,1980,9,16,28.3,14.5,8.3,0.5
"17",3544,1980,9,17,24.4,10.9,4.4,4.1
"18",3545,1980,9,18,23.6,10.4,3.6,4.6
"19",3546,1980,9,19,23.1,12.6,3.1,2.4
"20",3547,1980,9,20,26.8,14.1,6.8,0.9
"21",3548,1980,9,21,23.8,14.7,3.8,0.300000000000001
"22",3549,1980,9,22,22.6,9.2,2.6,5.8
"23",3550,1980,9,23,21.2,8.1,1.2,6.9
"24",3551,1980,9,24,22.5,10.4,2.5,4.6
"25",3552,1980,9,25,22.9,10.5,2.9,4.5
"26",3553,1980,9,26,24.2,8.1,4.2,6.9
"27",3554,1980,9,27,24.3,10.5,4.3,4.5
"28",3555,1980,9,28,25.5,8,5.5,7
"29",3556,1980,9,29,24.9,9.2,4.9,5.8
"30",3557,1980,9,30,22.3,8.6,2.3,6.4
"31",3893,1981,9,1,25.6,21.7,5.6,1.7
"32",3894,1981,9,2,22.6,21.7,2.6,1.7
"33",3895,1981,9,3,23,20.8,3,0.800000000000001
"34",3896,1981,9,4,26.7,17.3,6.7,0
"35",3897,1981,9,5,27.3,15.9,7.3,0
"36",3898,1981,9,6,26.7,15.1,6.7,0
"37",3899,1981,9,7,25.9,12.1,5.9,2.9
"38",3900,1981,9,8,27.1,14.7,7.1,0.300000000000001
"39",3901,1981,9,9,28.3,15.8,8.3,0
"40",3902,1981,9,10,26.7,17.9,6.7,0
"41",3903,1981,9,11,24.9,15.8,4.9,0
"42",3904,1981,9,12,25.8,13,5.8,2
"43",3905,1981,9,13,24.7,8.4,4.7,6.6
"44",3906,1981,9,14,23.2,8.2,3.2,6.8
"45",3907,1981,9,15,24,7.7,4,7.3
"46",3908,1981,9,16,24.9,8.9,4.9,6.1
"47",3909,1981,9,17,26.9,9.2,6.9,5.8
"48",3910,1981,9,18,23.7,12.8,3.7,2.2
"49",3911,1981,9,19,27.8,13.9,7.8,1.1
"50",3912,1981,9,20,26.4,14.6,6.4,0.4
"51",3913,1981,9,21,26.7,13.1,6.7,1.9
"52",3914,1981,9,22,29.5,11.3,9.5,3.7
"53",3915,1981,9,23,27.8,13.3,7.8,1.7
"54",3916,1981,9,24,20.3,17,0.300000000000001,0
"55",3917,1981,9,25,19.7,17.8,0,0
"56",3918,1981,9,26,27.1,14.8,7.1,0.199999999999999
"57",3919,1981,9,27,28.9,11.8,8.9,3.2
"58",3920,1981,9,28,18.5,14.3,0,0.699999999999999
"59",3921,1981,9,29,21,12.5,1,2.5
"60",3922,1981,9,30,22.3,11.7,2.3,3.3
"61",4258,1982,9,1,29.4,18.8,9.4,0
"62",4259,1982,9,2,27.8,16.7,7.8,0
"63",4260,1982,9,3,25.8,16.8,5.8,0
"64",4261,1982,9,4,23.4,13.7,3.4,1.3
"65",4262,1982,9,5,23.9,11,3.9,4
"66",4263,1982,9,6,29.8,16,9.8,0
"67",4264,1982,9,7,28.2,11.1,8.2,3.9
"68",4265,1982,9,8,22.2,15.4,2.2,0
"69",4266,1982,9,9,21.5,15,1.5,0
"70",4267,1982,9,10,26.9,14.3,6.9,0.699999999999999
"71",4268,1982,9,11,25.6,13,5.6,2
"72",4269,1982,9,12,25.3,10.2,5.3,4.8
"73",4270,1982,9,13,28.6,9,8.6,6
"74",4271,1982,9,14,27.1,12.2,7.1,2.8
"75",4272,1982,9,15,26,13.7,6,1.3
"76",4273,1982,9,16,27.9,14.6,7.9,0.4
"77",4274,1982,9,17,26,14.3,6,0.699999999999999
"78",4275,1982,9,18,24,15.3,4,0
"79",4276,1982,9,19,19.7,18.2,0,0
"80",4277,1982,9,20,27.3,17.1,7.3,0
"81",4278,1982,9,21,25.1,12.5,5.1,2.5
"82",4279,1982,9,22,23.3,11.4,3.3,3.6
"83",4280,1982,9,23,24.1,12.9,4.1,2.1
"84",4281,1982,9,24,24.1,11.3,4.1,3.7
"85",4282,1982,9,25,26.6,17.7,6.6,0
"86",4283,1982,9,26,28.8,9.9,8.8,5.1
"87",4284,1982,9,27,23.5,12.2,3.5,2.8
"88",4285,1982,9,28,26.2,10.1,6.2,4.9
"89",4286,1982,9,29,24,12.2,4,2.8
"90",4287,1982,9,30,22.9,14.2,2.9,0.800000000000001
"91",4623,1983,9,1,32,22,12,2
"92",4624,1983,9,2,31.1,23.8,11.1,3.8
"93",4625,1983,9,3,28.7,21.1,8.7,1.1
"94",4626,1983,9,4,22,19.8,2,0
"95",4627,1983,9,5,26.1,20.4,6.1,0.399999999999999
"96",4628,1983,9,6,30.1,20,10.1,0
"97",4629,1983,9,7,30.1,18.8,10.1,0
"98",4630,1983,9,8,27.7,17.8,7.7,0
"99",4631,1983,9,9,22.6,19.3,2.6,0
"100",4632,1983,9,10,23,19.2,3,0
"101",4633,1983,9,11,21.9,20,1.9,0
"102",4634,1983,9,12,28.9,17.5,8.9,0
"103",4635,1983,9,13,28.6,18.2,8.6,0
"104",4636,1983,9,14,25.6,18.6,5.6,0
"105",4637,1983,9,15,29.4,16.4,9.4,0
"106",4638,1983,9,16,26.9,15.1,6.9,0
"107",4639,1983,9,17,28.1,17.6,8.1,0
"108",4640,1983,9,18,27.3,15.9,7.3,0
"109",4641,1983,9,19,23.4,15.3,3.4,0
"110",4642,1983,9,20,27.5,20.9,7.5,0.899999999999999
"111",4643,1983,9,21,22.5,19,2.5,0
"112",4644,1983,9,22,27,16.3,7,0
"113",4645,1983,9,23,25.7,17.1,5.7,0
"114",4646,1983,9,24,25.9,18.4,5.9,0
"115",4647,1983,9,25,27.8,16.2,7.8,0
"116",4648,1983,9,26,25.5,12.8,5.5,2.2
"117",4649,1983,9,27,20.2,16.4,0.199999999999999,0
"118",4650,1983,9,28,22.1,14.2,2.1,0.800000000000001
"119",4651,1983,9,29,22.1,13.1,2.1,1.9
"120",4652,1983,9,30,27,13.4,7,1.6
"121",4989,1984,9,1,28.6,24.5,8.6,4.5
"122",4990,1984,9,2,28.8,22,8.8,2
"123",4991,1984,9,3,22,19.5,2,0
"124",4992,1984,9,4,23.4,19.4,3.4,0
"125",4993,1984,9,5,27.1,19,7.1,0
"126",4994,1984,9,6,27.5,18.9,7.5,0
"127",4995,1984,9,7,22.8,18.5,2.8,0
"128",4996,1984,9,8,26.4,18.5,6.4,0
"129",4997,1984,9,9,27.6,20.6,7.6,0.600000000000001
"130",4998,1984,9,10,24.3,15.4,4.3,0
"131",4999,1984,9,11,25.4,13.4,5.4,1.6
"132",5000,1984,9,12,26.7,12.7,6.7,2.3
"133",5001,1984,9,13,24.9,13.4,4.9,1.6
"134",5002,1984,9,14,26.7,14.1,6.7,0.9
"135",5003,1984,9,15,27.7,15.6,7.7,0
"136",5004,1984,9,16,26.9,16.9,6.9,0
"137",5005,1984,9,17,26.1,16.4,6.1,0
"138",5006,1984,9,18,27.7,16,7.7,0
"139",5007,1984,9,19,25.3,17.3,5.3,0
"140",5008,1984,9,20,25.5,16,5.5,0
"141",5009,1984,9,21,27.2,15.4,7.2,0
"142",5010,1984,9,22,26.5,16.5,6.5,0
"143",5011,1984,9,23,27,15.4,7,0
"144",5012,1984,9,24,27.4,14.3,7.4,0.699999999999999
"145",5013,1984,9,25,26.6,14.2,6.6,0.800000000000001
"146",5014,1984,9,26,23.5,10.9,3.5,4.1
"147",5015,1984,9,27,21.3,13.9,1.3,1.1
"148",5016,1984,9,28,25,12.3,5,2.7
"149",5017,1984,9,29,26.7,13.2,6.7,1.8
"150",5018,1984,9,30,26.2,11,6.2,4
"151",5354,1985,9,1,26.3,22.9,6.3,2.9
"152",5355,1985,9,2,24.7,22,4.7,2
"153",5356,1985,9,3,30.2,22.6,10.2,2.6
"154",5357,1985,9,4,31.6,22.4,11.6,2.4
"155",5358,1985,9,5,31.5,21.8,11.5,1.8
"156",5359,1985,9,6,30.4,22.2,10.4,2.2
"157",5360,1985,9,7,31.5,20.4,11.5,0.399999999999999
"158",5361,1985,9,8,30.7,18.1,10.7,0
"159",5362,1985,9,9,32.8,18.8,12.8,0
"160",5363,1985,9,10,29.2,18.3,9.2,0
"161",5364,1985,9,11,31,23.8,11,3.8
"162",5365,1985,9,12,30.6,17.9,10.6,0
"163",5366,1985,9,13,28.1,16.1,8.1,0
"164",5367,1985,9,14,24.8,19.6,4.8,0
"165",5368,1985,9,15,20.5,18.2,0.5,0
"166",5369,1985,9,16,21.5,18.1,1.5,0
"167",5370,1985,9,17,21.4,18.6,1.4,0
"168",5371,1985,9,18,23.4,19.5,3.4,0
"169",5372,1985,9,19,23.3,18.6,3.3,0
"170",5373,1985,9,20,26.9,17.8,6.9,0
"171",5374,1985,9,21,25.6,16.1,5.6,0
"172",5375,1985,9,22,22.6,15.8,2.6,0
"173",5376,1985,9,23,22.3,14,2.3,1
"174",5377,1985,9,24,19.4,15.7,0,0
"175",5378,1985,9,25,25.2,13.3,5.2,1.7
"176",5379,1985,9,26,22.8,10.8,2.8,4.2
"177",5380,1985,9,27,23.5,13,3.5,2
"178",5381,1985,9,28,18.8,14.9,0,0.0999999999999996
"179",5382,1985,9,29,24.7,10.8,4.7,4.2
"180",5383,1985,9,30,23.9,7,3.9,8
"181",5719,1986,9,1,30.3,19.9,10.3,0
"182",5720,1986,9,2,23.7,20.8,3.7,0.800000000000001
"183",5721,1986,9,3,30.6,21.6,10.6,1.6
"184",5722,1986,9,4,29.5,20.9,9.5,0.899999999999999
"185",5723,1986,9,5,27.6,19.9,7.6,0
"186",5724,1986,9,6,27.8,18.9,7.8,0
"187",5725,1986,9,7,26.4,18.1,6.4,0
"188",5726,1986,9,8,24.9,18.9,4.9,0
"189",5727,1986,9,9,22.1,18.6,2.1,0
"190",5728,1986,9,10,26.8,19.5,6.8,0
"191",5729,1986,9,11,25,19.1,5,0
"192",5730,1986,9,12,27.7,16.4,7.7,0
"193",5731,1986,9,13,26.7,15.8,6.7,0
"194",5732,1986,9,14,24,11.5,4,3.5
"195",5733,1986,9,15,26.7,12.9,6.7,2.1
"196",5734,1986,9,16,23.2,13.8,3.2,1.2
"197",5735,1986,9,17,26.5,9.7,6.5,5.3
"198",5736,1986,9,18,25.3,7.1,5.3,7.9
"199",5737,1986,9,19,17.7,9.1,0,5.9
"200",5738,1986,9,20,17.1,15.2,0,0
"201",5739,1986,9,21,23.1,16,3.1,0
"202",5740,1986,9,22,27.3,11.7,7.3,3.3
"203",5741,1986,9,23,27.5,12.1,7.5,2.9
"204",5742,1986,9,24,26.1,13.6,6.1,1.4
"205",5743,1986,9,25,25.8,10.5,5.8,4.5
"206",5744,1986,9,26,25.8,10,5.8,5
"207",5745,1986,9,27,26.1,10.5,6.1,4.5
"208",5746,1986,9,28,23.1,11.5,3.1,3.5
"209",5747,1986,9,29,21.7,8.7,1.7,6.3
"210",5748,1986,9,30,19.9,8.3,0,6.7
"211",6084,1987,9,1,30,17.1,10,0
"212",6085,1987,9,2,29.9,17.1,9.9,0
"213",6086,1987,9,3,27.4,16.7,7.4,0
"214",6087,1987,9,4,25,13.5,5,1.5
"215",6088,1987,9,5,21.3,19,1.3,0
"216",6089,1987,9,6,24.9,19.3,4.9,0
"217",6090,1987,9,7,27.3,16.7,7.3,0
"218",6091,1987,9,8,25.5,17,5.5,0
"219",6092,1987,9,9,25.6,16.9,5.6,0
"220",6093,1987,9,10,22.5,18.1,2.5,0
"221",6094,1987,9,11,24.2,17.9,4.2,0
"222",6095,1987,9,12,23.8,16.5,3.8,0
"223",6096,1987,9,13,23.2,14,3.2,1
