"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",3524,1980,9,1,28.9,19.3,8.9,0
"2",3525,1980,9,2,28.4,20.5,8.4,0.5
"3",3526,1980,9,3,29.2,18.2,9.2,0
"4",3527,1980,9,4,28.7,15.8,8.7,0
"5",3528,1980,9,5,26.3,19.2,6.3,0
"6",3529,1980,9,6,24.2,17.7,4.2,0
"7",3530,1980,9,7,26,16.2,6,0
"8",3531,1980,9,8,26.8,14.2,6.8,0.800000000000001
"9",3532,1980,9,9,25.4,15.8,5.4,0
"10",3533,1980,9,10,23.7,18.3,3.7,0
"11",3534,1980,9,11,22.9,16.7,2.9,0
"12",3535,1980,9,12,25.9,16,5.9,0
"13",3536,1980,9,13,26.9,14.6,6.9,0.4
"14",3537,1980,9,14,27.8,12.2,7.8,2.8
"15",3538,1980,9,15,28.4,13,8.4,2
"16",3539,1980,9,16,26.1,16.9,6.1,0
"17",3540,1980,9,17,25,13,5,2
"18",3541,1980,9,18,25.5,11.2,5.5,3.8
"19",3542,1980,9,19,24.2,13,4.2,2
"20",3543,1980,9,20,25.2,15.3,5.2,0
"21",3544,1980,9,21,21.7,17,1.7,0
"22",3545,1980,9,22,18,13.6,0,1.4
"23",3546,1980,9,23,22.3,11.7,2.3,3.3
"24",3547,1980,9,24,21.2,12.2,1.2,2.8
"25",3548,1980,9,25,23.1,10.1,3.1,4.9
"26",3549,1980,9,26,24.9,8.7,4.9,6.3
"27",3550,1980,9,27,25.4,10,5.4,5
"28",3551,1980,9,28,25.3,11.8,5.3,3.2
"29",3552,1980,9,29,24.2,10.6,4.2,4.4
"30",3553,1980,9,30,24.2,10.1,4.2,4.9
"31",3889,1981,9,1,28,23.4,8,3.4
"32",3890,1981,9,2,26.3,22.5,6.3,2.5
"33",3891,1981,9,3,26.4,20.5,6.4,0.5
"34",3892,1981,9,4,27.1,18.1,7.1,0
"35",3893,1981,9,5,28.7,17,8.7,0
"36",3894,1981,9,6,27,15,7,0
"37",3895,1981,9,7,26.7,16,6.7,0
"38",3896,1981,9,8,27.3,17,7.3,0
"39",3897,1981,9,9,24.7,16.4,4.7,0
"40",3898,1981,9,10,26,17.3,6,0
"41",3899,1981,9,11,24.6,15.5,4.6,0
"42",3900,1981,9,12,24.7,15,4.7,0
"43",3901,1981,9,13,24.7,13.7,4.7,1.3
"44",3902,1981,9,14,23.5,11.8,3.5,3.2
"45",3903,1981,9,15,25.2,11.9,5.2,3.1
"46",3904,1981,9,16,26.2,10.2,6.2,4.8
"47",3905,1981,9,17,28,10.4,8,4.6
"48",3906,1981,9,18,24.1,14,4.1,1
"49",3907,1981,9,19,28.4,12.6,8.4,2.4
"50",3908,1981,9,20,28.8,14,8.8,1
"51",3909,1981,9,21,27.6,15,7.6,0
"52",3910,1981,9,22,27.2,14.1,7.2,0.9
"53",3911,1981,9,23,26.7,14.3,6.7,0.699999999999999
"54",3912,1981,9,24,25.5,19.2,5.5,0
"55",3913,1981,9,25,23.5,18.9,3.5,0
"56",3914,1981,9,26,27.6,15.7,7.6,0
"57",3915,1981,9,27,27.6,12.6,7.6,2.4
"58",3916,1981,9,28,24.8,16.7,4.8,0
"59",3917,1981,9,29,22.9,14,2.9,1
"60",3918,1981,9,30,25.5,13.3,5.5,1.7
"61",4254,1982,9,1,31,17.4,11,0
"62",4255,1982,9,2,30,19.5,10,0
"63",4256,1982,9,3,25.9,19,5.9,0
"64",4257,1982,9,4,26.4,16.6,6.4,0
"65",4258,1982,9,5,26.3,16.8,6.3,0
"66",4259,1982,9,6,29.2,16.8,9.2,0
"67",4260,1982,9,7,29,14.8,9,0.199999999999999
"68",4261,1982,9,8,23.4,16.2,3.4,0
"69",4262,1982,9,9,22.4,15.2,2.4,0
"70",4263,1982,9,10,28.5,14.2,8.5,0.800000000000001
"71",4264,1982,9,11,26,14,6,1
"72",4265,1982,9,12,28.2,10.1,8.2,4.9
"73",4266,1982,9,13,29.7,11.3,9.7,3.7
"74",4267,1982,9,14,28.9,15.8,8.9,0
"75",4268,1982,9,15,26.4,15,6.4,0
"76",4269,1982,9,16,29,15.8,9,0
"77",4270,1982,9,17,27.7,16.4,7.7,0
"78",4271,1982,9,18,24.2,18,4.2,0
"79",4272,1982,9,19,23.7,17.9,3.7,0
"80",4273,1982,9,20,26.7,18.7,6.7,0
"81",4274,1982,9,21,25.8,13.5,5.8,1.5
"82",4275,1982,9,22,25.2,10.2,5.2,4.8
"83",4276,1982,9,23,27.4,14.3,7.4,0.699999999999999
"84",4277,1982,9,24,28.2,12.8,8.2,2.2
"85",4278,1982,9,25,27.8,10.6,7.8,4.4
"86",4279,1982,9,26,27.4,11.6,7.4,3.4
"87",4280,1982,9,27,22.8,14,2.8,1
"88",4281,1982,9,28,25.2,12.1,5.2,2.9
"89",4282,1982,9,29,20.5,14.3,0.5,0.699999999999999
"90",4283,1982,9,30,18.8,15.2,0,0
"91",4619,1983,9,1,30.7,21.4,10.7,1.4
"92",4620,1983,9,2,30.8,24.8,10.8,4.8
"93",4621,1983,9,3,27.8,21.5,7.8,1.5
"94",4622,1983,9,4,24.5,20.8,4.5,0.800000000000001
"95",4623,1983,9,5,28.2,21.3,8.2,1.3
"96",4624,1983,9,6,29.9,18.9,9.9,0
"97",4625,1983,9,7,29.8,17.2,9.8,0
"98",4626,1983,9,8,28.9,16.2,8.9,0
"99",4627,1983,9,9,23.8,21.3,3.8,1.3
"100",4628,1983,9,10,26.7,21.4,6.7,1.4
"101",4629,1983,9,11,26.9,21.3,6.9,1.3
"102",4630,1983,9,12,28.5,20,8.5,0
"103",4631,1983,9,13,29.6,17,9.6,0
"104",4632,1983,9,14,28.2,17.8,8.2,0
"105",4633,1983,9,15,29.4,15.2,9.4,0
"106",4634,1983,9,16,27.8,16.1,7.8,0
"107",4635,1983,9,17,28.4,16.2,8.4,0
"108",4636,1983,9,18,27.4,19.5,7.4,0
"109",4637,1983,9,19,25.9,20.1,5.9,0.100000000000001
"110",4638,1983,9,20,27.6,22.6,7.6,2.6
"111",4639,1983,9,21,26.9,20.6,6.9,0.600000000000001
"112",4640,1983,9,22,28,18.3,8,0
"113",4641,1983,9,23,27.8,19.7,7.8,0
"114",4642,1983,9,24,24,18.2,4,0
"115",4643,1983,9,25,28.9,15.7,8.9,0
"116",4644,1983,9,26,26.1,17,6.1,0
"117",4645,1983,9,27,22.2,17.8,2.2,0
"118",4646,1983,9,28,23.9,17.6,3.9,0
"119",4647,1983,9,29,23.5,16.4,3.5,0
"120",4648,1983,9,30,26.3,15.4,6.3,0
"121",4985,1984,9,1,29.8,25.7,9.8,5.7
"122",4986,1984,9,2,28.9,21.5,8.9,1.5
"123",4987,1984,9,3,24.8,20.6,4.8,0.600000000000001
"124",4988,1984,9,4,28.1,19.8,8.1,0
"125",4989,1984,9,5,28.9,19.2,8.9,0
"126",4990,1984,9,6,28.3,17,8.3,0
"127",4991,1984,9,7,23.8,16.6,3.8,0
"128",4992,1984,9,8,26.9,19.3,6.9,0
"129",4993,1984,9,9,26.6,19.5,6.6,0
"130",4994,1984,9,10,22.8,15,2.8,0
"131",4995,1984,9,11,25.6,13.4,5.6,1.6
"132",4996,1984,9,12,25.4,14.3,5.4,0.699999999999999
"133",4997,1984,9,13,24.8,14.2,4.8,0.800000000000001
