"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",3043,1980,5,1,22.7,5.5,2.7,9.5
"2",3044,1980,5,2,25.5,3.6,5.5,11.4
"3",3045,1980,5,3,19.9,6.3,0,8.7
"4",3046,1980,5,4,24.8,12.7,4.8,2.3
"5",3047,1980,5,5,24.8,4.8,4.8,10.2
"6",3048,1980,5,6,19.6,8,0,7
"7",3049,1980,5,7,19.9,4.5,0,10.5
"8",3050,1980,5,8,11.8,5.7,3.2,9.3
"9",3051,1980,5,9,20.4,4.8,0.399999999999999,10.2
"10",3052,1980,5,10,27.2,2,7.2,13
"11",3053,1980,5,11,29.3,5.5,9.3,9.5
"12",3054,1980,5,12,16.8,11.8,0,3.2
"13",3055,1980,5,13,27.3,15.5,7.3,0
"14",3056,1980,5,14,24.2,13.5,4.2,1.5
"15",3057,1980,5,15,24.3,12.8,4.3,2.2
"16",3058,1980,5,16,17.9,7.9,0,7.1
"17",3059,1980,5,17,19.9,1.7,0,13.3
"18",3060,1980,5,18,23.5,4.3,3.5,10.7
"19",3061,1980,5,19,22.6,10.4,2.6,4.6
"20",3062,1980,5,20,16.3,11.5,0,3.5
"21",3063,1980,5,21,26.9,10.9,6.9,4.1
"22",3064,1980,5,22,29.3,8.9,9.3,6.1
"23",3065,1980,5,23,26.4,11.9,6.4,3.1
"24",3066,1980,5,24,25.1,9.7,5.1,5.3
"25",3067,1980,5,25,24.4,14.3,4.4,0.699999999999999
"26",3068,1980,5,26,21.3,10.5,1.3,4.5
"27",3069,1980,5,27,23.3,6.2,3.3,8.8
"28",3070,1980,5,28,27.1,9.7,7.1,5.3
"29",3071,1980,5,29,27.7,8.4,7.7,6.6
"30",3072,1980,5,30,29.6,13.9,9.6,1.1
"31",3073,1980,5,31,27.3,13.7,7.3,1.3
"32",3074,1980,6,1,21,16.5,1,0
"33",3075,1980,6,2,22.8,14.9,2.8,0.0999999999999996
"34",3076,1980,6,3,24.1,13,4.1,2
"35",3077,1980,6,4,24.4,11.8,4.4,3.2
"36",3078,1980,6,5,30.4,7.6,10.4,7.4
"37",3079,1980,6,6,30.7,10.9,10.7,4.1
"38",3080,1980,6,7,28.1,9.8,8.1,5.2
"39",3081,1980,6,8,25.5,18,5.5,0
"40",3082,1980,6,9,26.7,15.7,6.7,0
"41",3083,1980,6,10,28.9,16.2,8.9,0
"42",3084,1980,6,11,30.1,15.9,10.1,0
"43",3085,1980,6,12,28.5,17.6,8.5,0
"44",3086,1980,6,13,31.1,14.9,11.1,0.0999999999999996
"45",3087,1980,6,14,28.7,15.8,8.7,0
"46",3088,1980,6,15,31.1,17.6,11.1,0
"47",3089,1980,6,16,29.7,19.2,9.7,0
"48",3090,1980,6,17,25.7,20.9,5.7,0.899999999999999
"49",3091,1980,6,18,29.9,17.9,9.9,0
"50",3092,1980,6,19,21.2,17,1.2,0
"51",3093,1980,6,20,25.9,15.9,5.9,0
"52",3094,1980,6,21,28.5,15,8.5,0
"53",3095,1980,6,22,30.5,16.9,10.5,0
"54",3096,1980,6,23,29.7,17,9.7,0
"55",3097,1980,6,24,30.5,18.2,10.5,0
"56",3098,1980,6,25,22.8,19,2.8,0
"57",3099,1980,6,26,22.1,17.9,2.1,0
"58",3100,1980,6,27,29.2,15.4,9.2,0
"59",3101,1980,6,28,27.1,16.1,7.1,0
"60",3102,1980,6,29,29.7,16.7,9.7,0
"61",3103,1980,6,30,21.2,17,1.2,0
"62",3408,1981,5,1,27.9,4.6,7.9,10.4
"63",3409,1981,5,2,22.2,10.4,2.2,4.6
"64",3410,1981,5,3,17.3,8.1,0,6.9
"65",3411,1981,5,4,20.1,5,0.100000000000001,10
"66",3412,1981,5,5,24.3,6.3,4.3,8.7
"67",3413,1981,5,6,24.1,4,4.1,11
"68",3414,1981,5,7,27.7,7.5,7.7,7.5
"69",3415,1981,5,8,28.1,7.8,8.1,7.2
"70",3416,1981,5,9,28.3,12.7,8.3,2.3
"71",3417,1981,5,10,27.4,17.5,7.4,0
"72",3418,1981,5,11,20.3,9,0.300000000000001,6
"73",3419,1981,5,12,20.2,4.1,0.199999999999999,10.9
"74",3420,1981,5,13,24.8,3.6,4.8,11.4
"75",3421,1981,5,14,28.2,3.8,8.2,11.2
"76",3422,1981,5,15,17.8,13.7,0,1.3
"77",3423,1981,5,16,13.7,10.2,1.3,4.8
"78",3424,1981,5,17,12.3,9,2.7,6
"79",3425,1981,5,18,17.3,8.5,0,6.5
"80",3426,1981,5,19,15.2,8,0,7
"81",3427,1981,5,20,23.5,4.8,3.5,10.2
"82",3428,1981,5,21,26.1,7.4,6.1,7.6
"83",3429,1981,5,22,27.7,5.3,7.7,9.7
"84",3430,1981,5,23,27.9,8.9,7.9,6.1
"85",3431,1981,5,24,26.5,14.7,6.5,0.300000000000001
"86",3432,1981,5,25,30.4,9.2,10.4,5.8
"87",3433,1981,5,26,32,12.2,12,2.8
"88",3434,1981,5,27,23.2,11.4,3.2,3.6
"89",3435,1981,5,28,22.2,14.7,2.2,0.300000000000001
"90",3436,1981,5,29,27.9,12,7.9,3
"91",3437,1981,5,30,23.4,10.2,3.4,4.8
"92",3438,1981,5,31,23.4,8.3,3.4,6.7
"93",3439,1981,6,1,23.1,6.7,3.1,8.3
"94",3440,1981,6,2,26.8,6.6,6.8,8.4
"95",3441,1981,6,3,26.2,7.1,6.2,7.9
"96",3442,1981,6,4,27.9,9,7.9,6
"97",3443,1981,6,5,30,7,10,8
"98",3444,1981,6,6,32,9.8,12,5.2
"99",3445,1981,6,7,33.9,10.1,13.9,4.9
"100",3446,1981,6,8,31.7,10.8,11.7,4.2
"101",3447,1981,6,9,27.8,15.7,7.8,0
"102",3448,1981,6,10,19.9,15.5,0,0
"103",3449,1981,6,11,20.7,15.2,0.699999999999999,0
"104",3450,1981,6,12,22.5,15,2.5,0
"105",3451,1981,6,13,23,13.2,3,1.8
"106",3452,1981,6,14,27.3,14.1,7.3,0.9
"107",3453,1981,6,15,31,15.8,11,0
"108",3454,1981,6,16,32,15.4,12,0
"109",3455,1981,6,17,31.7,17.4,11.7,0
"110",3456,1981,6,18,31.3,19.4,11.3,0
"111",3457,1981,6,19,25.4,19.8,5.4,0
"112",3458,1981,6,20,27.4,19.1,7.4,0
"113",3459,1981,6,21,28.1,21.1,8.1,1.1
"114",3460,1981,6,22,25.6,18,5.6,0
"115",3461,1981,6,23,29.1,16.6,9.1,0
"116",3462,1981,6,24,23.4,15.3,3.4,0
"117",3463,1981,6,25,19.1,15.1,0,0
"118",3464,1981,6,26,26.1,18.1,6.1,0
"119",3465,1981,6,27,28,19.7,8,0
"120",3466,1981,6,28,24.1,19.1,4.1,0
"121",3467,1981,6,29,26.8,18,6.8,0
"122",3468,1981,6,30,23.6,20,3.6,0
"123",3773,1982,5,1,16.8,9.9,0,5.1
"124",3774,1982,5,2,23.6,10.9,3.6,4.1
"125",3775,1982,5,3,20,9.1,0,5.9
"126",3776,1982,5,4,21.1,5.1,1.1,9.9
"127",3777,1982,5,5,25.6,6.9,5.6,8.1
"128",3778,1982,5,6,16.8,8.1,0,6.9
"129",3779,1982,5,7,24.6,4.2,4.6,10.8
"130",3780,1982,5,8,25.1,4.6,5.1,10.4
"131",3781,1982,5,9,28,12,8,3
"132",3782,1982,5,10,29,13.7,9,1.3
"133",3783,1982,5,11,27.7,12,7.7,3
