"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",4504,1980,5,1,19.5,6.1,0,8.9
"2",4505,1980,5,2,22.5,8.2,2.5,6.8
"3",4506,1980,5,3,21.4,11,1.4,4
"4",4507,1980,5,4,21.1,10,1.1,5
"5",4508,1980,5,5,18.2,8,0,7
"6",4509,1980,5,6,18.5,7.7,0,7.3
"7",4510,1980,5,7,19.6,7.5,0,7.5
"8",4511,1980,5,8,20.3,9.2,0.300000000000001,5.8
"9",4512,1980,5,9,19.5,8.8,0,6.2
"10",4513,1980,5,10,20.4,9.4,0.399999999999999,5.6
"11",4514,1980,5,11,26.8,10.8,6.8,4.2
"12",4515,1980,5,12,17,12.8,0,2.2
"13",4516,1980,5,13,19.6,12.3,0,2.7
"14",4517,1980,5,14,22.1,10.8,2.1,4.2
"15",4518,1980,5,15,21.6,10.6,1.6,4.4
"16",4519,1980,5,16,16.7,9.5,0,5.5
"17",4520,1980,5,17,19,6.1,0,8.9
"18",4521,1980,5,18,23.8,7.6,3.8,7.4
"19",4522,1980,5,19,17.4,11.8,0,3.2
"20",4523,1980,5,20,22.7,12.2,2.7,2.8
"21",4524,1980,5,21,23.6,9.6,3.6,5.4
"22",4525,1980,5,22,24.6,10.6,4.6,4.4
"23",4526,1980,5,23,25.6,12.6,5.6,2.4
"24",4527,1980,5,24,25.5,12.4,5.5,2.6
"25",4528,1980,5,25,19.7,14.7,0,0.300000000000001
"26",4529,1980,5,26,15.7,10,0,5
"27",4530,1980,5,27,19.4,9.7,0,5.3
"28",4531,1980,5,28,22.4,14.5,2.4,0.5
"29",4532,1980,5,29,23.9,11.9,3.9,3.1
"30",4533,1980,5,30,28.2,13.6,8.2,1.4
"31",4534,1980,5,31,30.2,13.7,10.2,1.3
"32",4535,1980,6,1,24.7,15.4,4.7,0
"33",4536,1980,6,2,19.7,13.1,0,1.9
"34",4537,1980,6,3,22.3,11.4,2.3,3.6
"35",4538,1980,6,4,24,16,4,0
"36",4539,1980,6,5,26,15.6,6,0
"37",4540,1980,6,6,29.9,14.2,9.9,0.800000000000001
"38",4541,1980,6,7,28.3,15.2,8.3,0
"39",4542,1980,6,8,21.5,14.8,1.5,0.199999999999999
"40",4543,1980,6,9,22.2,14.2,2.2,0.800000000000001
"41",4544,1980,6,10,25.6,15.8,5.6,0
"42",4545,1980,6,11,25.3,15.6,5.3,0
"43",4546,1980,6,12,23.8,17.5,3.8,0
"44",4547,1980,6,13,28.7,18.2,8.7,0
"45",4548,1980,6,14,31.3,17.4,11.3,0
"46",4549,1980,6,15,27,20.2,7,0.199999999999999
"47",4550,1980,6,16,24,18.9,4,0
"48",4551,1980,6,17,26.4,17.8,6.4,0
"49",4552,1980,6,18,26.1,16.6,6.1,0
"50",4553,1980,6,19,25,18.4,5,0
"51",4554,1980,6,20,25.5,17.2,5.5,0
"52",4555,1980,6,21,26.4,15,6.4,0
