"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",4504,1980,5,1,16.2,8.5,0,6.5
"2",4505,1980,5,2,26.9,13.8,6.9,1.2
"3",4506,1980,5,3,19.3,14.6,0,0.4
"4",4507,1980,5,4,26.2,16.1,6.2,0
"5",4508,1980,5,5,22.1,13.1,2.1,1.9
"6",4509,1980,5,6,17.3,10.4,0,4.6
"7",4510,1980,5,7,18.5,9.6,0,5.4
"8",4511,1980,5,8,18.7,12.1,0,2.9
"9",4512,1980,5,9,18.6,13.2,0,1.8
"10",4513,1980,5,10,29.3,18,9.3,0
"11",4514,1980,5,11,31.7,21.6,11.7,1.6
"12",4515,1980,5,12,21.7,13.1,1.7,1.9
"13",4516,1980,5,13,22.8,12.9,2.8,2.1
"14",4517,1980,5,14,24.3,14.6,4.3,0.4
"15",4518,1980,5,15,16.5,11.6,0,3.4
"16",4519,1980,5,16,17.5,12.2,0,2.8
"17",4520,1980,5,17,19.1,12.3,0,2.7
"18",4521,1980,5,18,20.5,13.4,0.5,1.6
"19",4522,1980,5,19,21.4,15.6,1.4,0
"20",4523,1980,5,20,17.2,12.1,0,2.9
"21",4524,1980,5,21,20,11.6,0,3.4
"22",4525,1980,5,22,22,12.9,2,2.1
"23",4526,1980,5,23,31.9,18.1,11.9,0
"24",4527,1980,5,24,24.9,16.6,4.9,0
"25",4528,1980,5,25,18.2,14.2,0,0.800000000000001
"26",4529,1980,5,26,20.5,13.4,0.5,1.6
"27",4530,1980,5,27,26.8,13.5,6.8,1.5
"28",4531,1980,5,28,28.3,20.4,8.3,0.399999999999999
"29",4532,1980,5,29,25.8,17,5.8,0
"30",4533,1980,5,30,24.9,15.5,4.9,0
"31",4534,1980,5,31,18.5,12.7,0,2.3
"32",4535,1980,6,1,19.1,14.7,0,0.300000000000001
"33",4536,1980,6,2,20,14.5,0,0.5
"34",4537,1980,6,3,27,16.1,7,0
"35",4538,1980,6,4,30,16.5,10,0
"36",4539,1980,6,5,32.8,22.6,12.8,2.6
"37",4540,1980,6,6,28.2,18.7,8.2,0
"38",4541,1980,6,7,28.1,17.3,8.1,0
"39",4542,1980,6,8,18.8,14.4,0,0.6
"40",4543,1980,6,9,20.1,14.4,0.100000000000001,0.6
"41",4544,1980,6,10,24.8,15.9,4.8,0
"42",4545,1980,6,11,26.6,17.4,6.6,0
"43",4546,1980,6,12,31.8,23.3,11.8,3.3
"44",4547,1980,6,13,29.9,22,9.9,2
"45",4548,1980,6,14,28.3,20.5,8.3,0.5
"46",4549,1980,6,15,26.4,18.9,6.4,0
"47",4550,1980,6,16,24.6,17.4,4.6,0
"48",4551,1980,6,17,25.1,18.6,5.1,0
"49",4552,1980,6,18,27.7,18.3,7.7,0
"50",4553,1980,6,19,20.5,17.1,0.5,0
"51",4554,1980,6,20,20.7,16.8,0.699999999999999,0
"52",4555,1980,6,21,24.8,16.6,4.8,0
"53",4556,1980,6,22,27,19.4,7,0
"54",4557,1980,6,23,28,20.7,8,0.699999999999999
"55",4558,1980,6,24,30,21.8,10,1.8
"56",4559,1980,6,25,21.8,18.7,1.8,0
"57",4560,1980,6,26,22.3,18.6,2.3,0
"58",4561,1980,6,27,26.3,18.5,6.3,0
"59",4562,1980,6,28,27.2,20.1,7.2,0.100000000000001
"60",4563,1980,6,29,23.2,19.1,3.2,0
"61",4564,1980,6,30,20.8,18.2,0.800000000000001,0
"62",4869,1981,5,1,25.4,10.4,5.4,4.6
"63",4870,1981,5,2,21.4,10.2,1.4,4.8
"64",4871,1981,5,3,18.4,8.8,0,6.2
"65",4872,1981,5,4,21.2,6.4,1.2,8.6
"66",4873,1981,5,5,25,11.8,5,3.2
"67",4874,1981,5,6,21.2,10.5,1.2,4.5
"68",4875,1981,5,7,19.6,9.6,0,5.4
"69",4876,1981,5,8,24.6,15.2,4.6,0
"70",4877,1981,5,9,25.2,8,5.2,7
"71",4878,1981,5,10,9.8,7.5,5.2,7.5
"72",4879,1981,5,11,15.5,6.9,0,8.1
"73",4880,1981,5,12,19.8,10.7,0,4.3
"74",4881,1981,5,13,25.4,11.9,5.4,3.1
"75",4882,1981,5,14,24.9,9.9,4.9,5.1
"76",4883,1981,5,15,15.6,9.6,0,5.4
"77",4884,1981,5,16,11.1,8,3.9,7
"78",4885,1981,5,17,9.2,6.8,5.8,8.2
"79",4886,1981,5,18,11.3,6.5,3.7,8.5
"80",4887,1981,5,19,14,7.9,1,7.1
"81",4888,1981,5,20,22.4,11.2,2.4,3.8
