"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",3405,1980,5,1,22.3,4.1,2.3,10.9
"2",3406,1980,5,2,26,4.1,6,10.9
"3",3407,1980,5,3,22.9,7.5,2.9,7.5
"4",3408,1980,5,4,25.7,13.2,5.7,1.8
"5",3409,1980,5,5,25.3,4.6,5.3,10.4
"6",3410,1980,5,6,20.3,6.8,0.300000000000001,8.2
"7",3411,1980,5,7,22,4.8,2,10.2
"8",3412,1980,5,8,15.9,6.3,0,8.7
"9",3413,1980,5,9,20.9,6,0.899999999999999,9
"10",3414,1980,5,10,26.9,3.9,6.9,11.1
"11",3415,1980,5,11,29.6,5.2,9.6,9.8
"12",3416,1980,5,12,17.5,13,0,2
"13",3417,1980,5,13,25.5,14.2,5.5,0.800000000000001
"14",3418,1980,5,14,26.9,11,6.9,4
"15",3419,1980,5,15,22.6,10.8,2.6,4.2
"16",3420,1980,5,16,18.4,5.7,0,9.3
"17",3421,1980,5,17,21.2,1.2,1.2,13.8
"18",3422,1980,5,18,24.5,4.4,4.5,10.6
"19",3423,1980,5,19,24.4,10.3,4.4,4.7
"20",3424,1980,5,20,16.5,12.6,0,2.4
"21",3425,1980,5,21,27.3,11.4,7.3,3.6
"22",3426,1980,5,22,30,9.7,10,5.3
"23",3427,1980,5,23,26.9,11.4,6.9,3.6
"24",3428,1980,5,24,27.1,9.6,7.1,5.4
"25",3429,1980,5,25,22.5,15.9,2.5,0
"26",3430,1980,5,26,21.3,10,1.3,5
"27",3431,1980,5,27,25.1,5.2,5.1,9.8
"28",3432,1980,5,28,28.4,8.2,8.4,6.8
"29",3433,1980,5,29,28.6,9,8.6,6
"30",3434,1980,5,30,31.8,11.6,11.8,3.4
"31",3435,1980,5,31,27.8,12.5,7.8,2.5
"32",3436,1980,6,1,21.5,17.9,1.5,0
"33",3437,1980,6,2,23.7,16.1,3.7,0
"34",3438,1980,6,3,24.1,12.8,4.1,2.2
"35",3439,1980,6,4,27.3,12,7.3,3
"36",3440,1980,6,5,29.6,9.4,9.6,5.6
"37",3441,1980,6,6,31.6,9.5,11.6,5.5
"38",3442,1980,6,7,31.2,9.8,11.2,5.2
"39",3443,1980,6,8,25.5,17.4,5.5,0
"40",3444,1980,6,9,25.3,15.6,5.3,0
"41",3445,1980,6,10,28,15.2,8,0
"42",3446,1980,6,11,31.6,15.2,11.6,0
"43",3447,1980,6,12,29.4,17.6,9.4,0
"44",3448,1980,6,13,33.5,15.6,13.5,0
"45",3449,1980,6,14,33.5,15,13.5,0
"46",3450,1980,6,15,33.7,18.1,13.7,0
"47",3451,1980,6,16,29.1,21.7,9.1,1.7
"48",3452,1980,6,17,26.7,19.9,6.7,0
"49",3453,1980,6,18,29.4,17.9,9.4,0
"50",3454,1980,6,19,26,17.3,6,0
"51",3455,1980,6,20,27.3,16.8,7.3,0
"52",3456,1980,6,21,29.6,15.2,9.6,0
"53",3457,1980,6,22,30.8,17.9,10.8,0
"54",3458,1980,6,23,30.4,18.5,10.4,0
"55",3459,1980,6,24,33.1,16.8,13.1,0
"56",3460,1980,6,25,23.1,20.1,3.1,0.100000000000001
"57",3461,1980,6,26,25.7,20,5.7,0
"58",3462,1980,6,27,28.4,19,8.4,0
"59",3463,1980,6,28,26.4,18,6.4,0
"60",3464,1980,6,29,30.6,18.3,10.6,0
"61",3465,1980,6,30,23.5,17.6,3.5,0
"62",3770,1981,5,1,29.6,5.4,9.6,9.6
"63",3771,1981,5,2,20.4,12.5,0.399999999999999,2.5
"64",3772,1981,5,3,18.2,9.2,0,5.8
"65",3773,1981,5,4,21,3.1,1,11.9
"66",3774,1981,5,5,25.1,4.1,5.1,10.9
"67",3775,1981,5,6,26,3.7,6,11.3
"68",3776,1981,5,7,27.1,8.8,7.1,6.2
"69",3777,1981,5,8,29.5,8.1,9.5,6.9
"70",3778,1981,5,9,30.8,12.5,10.8,2.5
"71",3779,1981,5,10,29.4,16.1,9.4,0
"72",3780,1981,5,11,20.5,10.5,0.5,4.5
"73",3781,1981,5,12,21.4,4.1,1.4,10.9
"74",3782,1981,5,13,24.5,3.5,4.5,11.5
"75",3783,1981,5,14,28.1,4,8.1,11
"76",3784,1981,5,15,22.5,13.8,2.5,1.2
"77",3785,1981,5,16,16.4,10,0,5
"78",3786,1981,5,17,15.5,9.1,0,5.9
"79",3787,1981,5,18,17,7.1,0,7.9
"80",3788,1981,5,19,17.1,7.1,0,7.9
"81",3789,1981,5,20,24.5,3.8,4.5,11.2
"82",3790,1981,5,21,25.9,6.4,5.9,8.6
"83",3791,1981,5,22,27.9,5.9,7.9,9.1
"84",3792,1981,5,23,29.3,8.9,9.3,6.1
"85",3793,1981,5,24,26.6,14.5,6.6,0.5
"86",3794,1981,5,25,29.8,10.1,9.8,4.9
"87",3795,1981,5,26,31.6,12.9,11.6,2.1
"88",3796,1981,5,27,27.1,10.6,7.1,4.4
"89",3797,1981,5,28,24.3,15.7,4.3,0
"90",3798,1981,5,29,28.2,8.3,8.2,6.7
"91",3799,1981,5,30,24.8,9.5,4.8,5.5
"92",3800,1981,5,31,24.5,10.6,4.5,4.4
"93",3801,1981,6,1,23.8,8.1,3.8,6.9
"94",3802,1981,6,2,27.1,6,7.1,9
"95",3803,1981,6,3,27,7.3,7,7.7
"96",3804,1981,6,4,27,9.8,7,5.2
"97",3805,1981,6,5,29.2,7.5,9.2,7.5
"98",3806,1981,6,6,30.9,9.6,10.9,5.4
"99",3807,1981,6,7,33,10.3,13,4.7
"100",3808,1981,6,8,31.9,10.6,11.9,4.4
"101",3809,1981,6,9,30.8,14.4,10.8,0.6
"102",3810,1981,6,10,22,16.2,2,0
"103",3811,1981,6,11,25.2,14.7,5.2,0.300000000000001
"104",3812,1981,6,12,24.4,15.1,4.4,0
"105",3813,1981,6,13,28.7,12.2,8.7,2.8
"106",3814,1981,6,14,29.5,13.3,9.5,1.7
"107",3815,1981,6,15,31.8,14.2,11.8,0.800000000000001
"108",3816,1981,6,16,33.2,15.2,13.2,0
"109",3817,1981,6,17,33.5,18,13.5,0
"110",3818,1981,6,18,34.6,19.8,14.6,0
"111",3819,1981,6,19,25.4,19.1,5.4,0
"112",3820,1981,6,20,29.7,18.9,9.7,0
"113",3821,1981,6,21,29.4,21.1,9.4,1.1
"114",3822,1981,6,22,29.2,19.8,9.2,0
"115",3823,1981,6,23,28.9,18.9,8.9,0
"116",3824,1981,6,24,26.6,14.5,6.6,0.5
"117",3825,1981,6,25,21.6,16.2,1.6,0
"118",3826,1981,6,26,26.7,18.1,6.7,0
"119",3827,1981,6,27,29.4,20.9,9.4,0.899999999999999
"120",3828,1981,6,28,26.2,21.3,6.2,1.3
"121",3829,1981,6,29,28.4,20.7,8.4,0.699999999999999
"122",3830,1981,6,30,27.3,19.3,7.3,0
"123",4135,1982,5,1,19,8.9,0,6.1
"124",4136,1982,5,2,24.7,10.4,4.7,4.6
"125",4137,1982,5,3,22.3,9.3,2.3,5.7
"126",4138,1982,5,4,21.6,5,1.6,10
"127",4139,1982,5,5,27.6,1.7,7.6,13.3
"128",4140,1982,5,6,21.7,8.9,1.7,6.1
"129",4141,1982,5,7,25,6.7,5,8.3
"130",4142,1982,5,8,26.8,4.4,6.8,10.6
"131",4143,1982,5,9,27.6,12.4,7.6,2.6
"132",4144,1982,5,10,31.4,14.7,11.4,0.300000000000001
"133",4145,1982,5,11,29.4,12.5,9.4,2.5
"134",4146,1982,5,12,28.9,15.8,8.9,0
"135",4147,1982,5,13,24.3,14,4.3,1
"136",4148,1982,5,14,22,8.1,2,6.9
"137",4149,1982,5,15,24.8,4.4,4.8,10.6
"138",4150,1982,5,16,25.9,6.9,5.9,8.1
"139",4151,1982,5,17,27.5,4.8,7.5,10.2
"140",4152,1982,5,18,28.2,11.4,8.2,3.6
"141",4153,1982,5,19,20.8,12.3,0.800000000000001,2.7
"142",4154,1982,5,20,19.8,8.2,0,6.8
"143",4155,1982,5,21,25.2,5.8,5.2,9.2
"144",4156,1982,5,22,26.2,8.1,6.2,6.9
"145",4157,1982,5,23,29.2,8.8,9.2,6.2
"146",4158,1982,5,24,30.8,9.6,10.8,5.4
"147",4159,1982,5,25,24.4,13.7,4.4,1.3
"148",4160,1982,5,26,23.6,12,3.6,3
"149",4161,1982,5,27,29,14.4,9,0.6
"150",4162,1982,5,28,29.5,13.5,9.5,1.5
"151",4163,1982,5,29,31.2,14,11.2,1
"152",4164,1982,5,30,23.5,18.2,3.5,0
"153",4165,1982,5,31,19.6,13.9,0,1.1
"154",4166,1982,6,1,16.5,13.2,0,1.8
"155",4167,1982,6,2,23.4,10.8,3.4,4.2
"156",4168,1982,6,3,26.6,14.3,6.6,0.699999999999999
"157",4169,1982,6,4,30.9,10.2,10.9,4.8
"158",4170,1982,6,5,31.1,11.9,11.1,3.1
"159",4171,1982,6,6,30.4,8.5,10.4,6.5
"160",4172,1982,6,7,31.4,16,11.4,0
"161",4173,1982,6,8,31.4,11.6,11.4,3.4
"162",4174,1982,6,9,31.3,11.1,11.3,3.9
"163",4175,1982,6,10,31.4,13.4,11.4,1.6
"164",4176,1982,6,11,31.3,14.3,11.3,0.699999999999999
"165",4177,1982,6,12,31.5,12.5,11.5,2.5
"166",4178,1982,6,13,23.6,16.9,3.6,0
