"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",4004,1980,5,1,22.4,6.3,2.4,8.7
"2",4005,1980,5,2,26,6,6,9
"3",4006,1980,5,3,24.1,12.2,4.1,2.8
"4",4007,1980,5,4,21.8,12.1,1.8,2.9
"5",4008,1980,5,5,25.4,5.8,5.4,9.2
"6",4009,1980,5,6,18.8,4.6,0,10.4
"7",4010,1980,5,7,22,6.2,2,8.8
"8",4011,1980,5,8,15.4,9.3,0,5.7
"9",4012,1980,5,9,18.8,7.2,0,7.8
"10",4013,1980,5,10,23.2,6.2,3.2,8.8
"11",4014,1980,5,11,29.1,9,9.1,6
"12",4015,1980,5,12,19.4,13.8,0,1.2
"13",4016,1980,5,13,21,14.1,1,0.9
"14",4017,1980,5,14,25.8,13.4,5.8,1.6
"15",4018,1980,5,15,22.8,9.9,2.8,5.1
"16",4019,1980,5,16,17.8,7.9,0,7.1
"17",4020,1980,5,17,20.2,4.6,0.199999999999999,10.4
"18",4021,1980,5,18,24.4,6,4.4,9
"19",4022,1980,5,19,22.8,12,2.8,3
"20",4023,1980,5,20,18,12.6,0,2.4
"21",4024,1980,5,21,23.4,10.2,3.4,4.8
"22",4025,1980,5,22,26.6,8,6.6,7
"23",4026,1980,5,23,27.2,11.6,7.2,3.4
"24",4027,1980,5,24,28.4,11.1,8.4,3.9
"25",4028,1980,5,25,23.6,16.8,3.6,0
"26",4029,1980,5,26,18.7,10.4,0,4.6
"27",4030,1980,5,27,24.1,8.6,4.1,6.4
"28",4031,1980,5,28,26.8,13.3,6.8,1.7
"29",4032,1980,5,29,26.4,10.4,6.4,4.6
"30",4033,1980,5,30,29.2,15.5,9.2,0
"31",4034,1980,5,31,29,14.2,9,0.800000000000001
"32",4035,1980,6,1,28.2,17.4,8.2,0
"33",4036,1980,6,2,21.2,13.9,1.2,1.1
"34",4037,1980,6,3,25,10.4,5,4.6
"35",4038,1980,6,4,26.4,12.3,6.4,2.7
"36",4039,1980,6,5,28.3,10.4,8.3,4.6
"37",4040,1980,6,6,32.2,12.8,12.2,2.2
"38",4041,1980,6,7,31.8,16.2,11.8,0
"39",4042,1980,6,8,25,17.6,5,0
"40",4043,1980,6,9,22.9,16.4,2.9,0
"41",4044,1980,6,10,28.2,17,8.2,0
"42",4045,1980,6,11,28.2,16.9,8.2,0
"43",4046,1980,6,12,25.9,17.5,5.9,0
"44",4047,1980,6,13,30,15.4,10,0
"45",4048,1980,6,14,30.6,17.4,10.6,0
"46",4049,1980,6,15,29.5,19,9.5,0
"47",4050,1980,6,16,30.9,19.9,10.9,0
"48",4051,1980,6,17,25.6,19.5,5.6,0
"49",4052,1980,6,18,28.4,18,8.4,0
"50",4053,1980,6,19,27.6,18.2,7.6,0
"51",4054,1980,6,20,25.4,17.8,5.4,0
"52",4055,1980,6,21,27.9,17.2,7.9,0
"53",4056,1980,6,22,28.4,17.3,8.4,0
"54",4057,1980,6,23,30.9,17.7,10.9,0
"55",4058,1980,6,24,31.6,20.4,11.6,0.399999999999999
"56",4059,1980,6,25,26.2,20.3,6.2,0.300000000000001
"57",4060,1980,6,26,20.7,17,0.699999999999999,0
"58",4061,1980,6,27,27.2,16.8,7.2,0
"59",4062,1980,6,28,28.4,19.2,8.4,0
"60",4063,1980,6,29,29,20.5,9,0.5
"61",4064,1980,6,30,23.4,18.7,3.4,0
"62",4369,1981,5,1,29.2,7.2,9.2,7.8
"63",4370,1981,5,2,19.3,11.3,0,3.7
"64",4371,1981,5,3,17.7,7.9,0,7.1
"65",4372,1981,5,4,21,3.6,1,11.4
"66",4373,1981,5,5,24.2,9.2,4.2,5.8
"67",4374,1981,5,6,26.2,10.3,6.2,4.7
"68",4375,1981,5,7,25.9,10.5,5.9,4.5
"69",4376,1981,5,8,26.9,11.8,6.9,3.2
"70",4377,1981,5,9,30.1,19.9,10.1,0
"71",4378,1981,5,10,30.2,19,10.2,0
"72",4379,1981,5,11,21.7,5.3,1.7,9.7
"73",4380,1981,5,12,20.2,5.4,0.199999999999999,9.6
"74",4381,1981,5,13,23,5.2,3,9.8
"75",4382,1981,5,14,26.2,5.1,6.2,9.9
"76",4383,1981,5,15,18.4,14.8,0,0.199999999999999
"77",4384,1981,5,16,16.6,12.4,0,2.6
"78",4385,1981,5,17,14.2,10.4,0.800000000000001,4.6
"79",4386,1981,5,18,17.7,8.7,0,6.3
"80",4387,1981,5,19,18.2,10.3,0,4.7
"81",4388,1981,5,20,21.1,10,1.1,5
"82",4389,1981,5,21,25,5.3,5,9.7
"83",4390,1981,5,22,27.2,9.5,7.2,5.5
"84",4391,1981,5,23,25.7,9.8,5.7,5.2
"85",4392,1981,5,24,27,14,7,1
"86",4393,1981,5,25,29.6,11.6,9.6,3.4
"87",4394,1981,5,26,32.3,13.6,12.3,1.4
"88",4395,1981,5,27,24.8,15.5,4.8,0
"89",4396,1981,5,28,21.6,12.9,1.6,2.1
"90",4397,1981,5,29,29.1,9.8,9.1,5.2
"91",4398,1981,5,30,27.4,11.8,7.4,3.2
"92",4399,1981,5,31,21.7,10.2,1.7,4.8
"93",4400,1981,6,1,23.4,9.2,3.4,5.8
"94",4401,1981,6,2,27,8.5,7,6.5
"95",4402,1981,6,3,24.1,10.9,4.1,4.1
"96",4403,1981,6,4,28.4,11.9,8.4,3.1
"97",4404,1981,6,5,28.4,11.6,8.4,3.4
"98",4405,1981,6,6,30.8,11.3,10.8,3.7
"99",4406,1981,6,7,30.3,12.7,10.3,2.3
"100",4407,1981,6,8,31.6,12.8,11.6,2.2
"101",4408,1981,6,9,27.2,16.3,7.2,0
"102",4409,1981,6,10,26.3,16.8,6.3,0
"103",4410,1981,6,11,20.6,17.4,0.600000000000001,0
"104",4411,1981,6,12,25.4,16.4,5.4,0
"105",4412,1981,6,13,27.6,17.2,7.6,0
"106",4413,1981,6,14,28.5,15.5,8.5,0
"107",4414,1981,6,15,29.8,14.7,9.8,0.300000000000001
"108",4415,1981,6,16,33.2,16.3,13.2,0
"109",4416,1981,6,17,32.2,18.2,12.2,0
"110",4417,1981,6,18,29.5,17.3,9.5,0
"111",4418,1981,6,19,30.3,17.2,10.3,0
"112",4419,1981,6,20,31.1,22,11.1,2
"113",4420,1981,6,21,30.4,24.4,10.4,4.4
"114",4421,1981,6,22,27.4,20,7.4,0
"115",4422,1981,6,23,27.6,16.6,7.6,0
"116",4423,1981,6,24,25.2,16.3,5.2,0
"117",4424,1981,6,25,21.2,15.7,1.2,0
"118",4425,1981,6,26,24.5,20,4.5,0
"119",4426,1981,6,27,29.2,21,9.2,1
"120",4427,1981,6,28,24.2,21.3,4.2,1.3
"121",4428,1981,6,29,28.6,20.3,8.6,0.300000000000001
"122",4429,1981,6,30,29,21.2,9,1.2
"123",4734,1982,5,1,15.4,9.2,0,5.8
"124",4735,1982,5,2,23.2,7.7,3.2,7.3
"125",4736,1982,5,3,20.9,11.7,0.899999999999999,3.3
"126",4737,1982,5,4,22.4,9.2,2.4,5.8
"127",4738,1982,5,5,29.7,9.6,9.7,5.4
"128",4739,1982,5,6,17.7,8.5,0,6.5
"129",4740,1982,5,7,24.2,6.8,4.2,8.2
"130",4741,1982,5,8,25.2,7.3,5.2,7.7
"131",4742,1982,5,9,27,15.7,7,0
"132",4743,1982,5,10,27,16,7,0
"133",4744,1982,5,11,30.4,15.4,10.4,0
"134",4745,1982,5,12,29.2,18.6,9.2,0
"135",4746,1982,5,13,25.4,10.7,5.4,4.3
"136",4747,1982,5,14,21.3,8.2,1.3,6.8
