"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",4079,1980,5,1,23,8.6,3,6.4
"2",4080,1980,5,2,23.5,6.8,3.5,8.2
"3",4081,1980,5,3,21.3,14.1,1.3,0.9
"4",4082,1980,5,4,27.8,15,7.8,0
"5",4083,1980,5,5,24.5,11.8,4.5,3.2
"6",4084,1980,5,6,22.8,9.9,2.8,5.1
"7",4085,1980,5,7,21.3,7.5,1.3,7.5
"8",4086,1980,5,8,12.4,9,2.6,6
"9",4087,1980,5,9,22.6,7.1,2.6,7.9
"10",4088,1980,5,10,28.1,6.3,8.1,8.7
"11",4089,1980,5,11,29.8,8.9,9.8,6.1
"12",4090,1980,5,12,17.5,14,0,1
"13",4091,1980,5,13,26.8,15.4,6.8,0
"14",4092,1980,5,14,23.4,13.1,3.4,1.9
"15",4093,1980,5,15,25.1,16.5,5.1,0
"16",4094,1980,5,16,20.3,10.8,0.300000000000001,4.2
"17",4095,1980,5,17,22.2,6.2,2.2,8.8
"18",4096,1980,5,18,24.8,7.8,4.8,7.2
"19",4097,1980,5,19,22.8,11.1,2.8,3.9
"20",4098,1980,5,20,16.7,12.8,0,2.2
"21",4099,1980,5,21,27.8,13,7.8,2
"22",4100,1980,5,22,29.3,12.4,9.3,2.6
"23",4101,1980,5,23,25.3,14.2,5.3,0.800000000000001
"24",4102,1980,5,24,26.7,11.8,6.7,3.2
"25",4103,1980,5,25,22.2,16.7,2.2,0
"26",4104,1980,5,26,21.8,12.7,1.8,2.3
"27",4105,1980,5,27,23.8,7.8,3.8,7.2
"28",4106,1980,5,28,24.6,13.9,4.6,1.1
"29",4107,1980,5,29,28.4,10.1,8.4,4.9
"30",4108,1980,5,30,30.9,17.3,10.9,0
"31",4109,1980,5,31,28.2,17,8.2,0
"32",4110,1980,6,1,21.7,17.3,1.7,0
"33",4111,1980,6,2,24.6,16.8,4.6,0
"34",4112,1980,6,3,24.9,13.6,4.9,1.4
"35",4113,1980,6,4,28.1,15.8,8.1,0
"36",4114,1980,6,5,30.5,13.2,10.5,1.8
"37",4115,1980,6,6,31.2,15.3,11.2,0
"38",4116,1980,6,7,29,13.2,9,1.8
"39",4117,1980,6,8,23.4,20,3.4,0
"40",4118,1980,6,9,27.7,17.5,7.7,0
"41",4119,1980,6,10,27.6,19.5,7.6,0
"42",4120,1980,6,11,30,17.7,10,0
"43",4121,1980,6,12,29.6,19.8,9.6,0
"44",4122,1980,6,13,31.9,18.4,11.9,0
"45",4123,1980,6,14,28.4,19.8,8.4,0
"46",4124,1980,6,15,30.1,19.8,10.1,0
"47",4125,1980,6,16,28.8,20.3,8.8,0.300000000000001
"48",4126,1980,6,17,25.5,22.6,5.5,2.6
"49",4127,1980,6,18,31.2,20.4,11.2,0.399999999999999
"50",4128,1980,6,19,23.5,17.3,3.5,0
"51",4129,1980,6,20,24.2,16.8,4.2,0
"52",4130,1980,6,21,28.3,17.4,8.3,0
"53",4131,1980,6,22,28.8,19.2,8.8,0
"54",4132,1980,6,23,27.8,19,7.8,0
"55",4133,1980,6,24,29,20.6,9,0.600000000000001
"56",4134,1980,6,25,24.6,20.7,4.6,0.699999999999999
"57",4135,1980,6,26,26.5,20,6.5,0
"58",4136,1980,6,27,29.8,18.6,9.8,0
"59",4137,1980,6,28,27.3,20.6,7.3,0.600000000000001
"60",4138,1980,6,29,29.2,20.6,9.2,0.600000000000001
"61",4139,1980,6,30,22.7,18.5,2.7,0
"62",4444,1981,5,1,27.8,7,7.8,8
"63",4445,1981,5,2,18.9,11.4,0,3.6
"64",4446,1981,5,3,18.8,10.4,0,4.6
"65",4447,1981,5,4,19.8,3.6,0,11.4
"66",4448,1981,5,5,22.4,7.3,2.4,7.7
"67",4449,1981,5,6,23.5,5.9,3.5,9.1
"68",4450,1981,5,7,25.9,7.3,5.9,7.7
"69",4451,1981,5,8,23.4,9.6,3.4,5.4
"70",4452,1981,5,9,27.5,18.4,7.5,0
"71",4453,1981,5,10,25.2,17.2,5.2,0
"72",4454,1981,5,11,23.2,11,3.2,4
"73",4455,1981,5,12,22.7,6.4,2.7,8.6
"74",4456,1981,5,13,24.1,6.1,4.1,8.9
"75",4457,1981,5,14,28.8,5,8.8,10
"76",4458,1981,5,15,19.4,13.7,0,1.3
"77",4459,1981,5,16,15.4,11.6,0,3.4
"78",4460,1981,5,17,14.7,10,0.300000000000001,5
"79",4461,1981,5,18,16.3,9.5,0,5.5
"80",4462,1981,5,19,18.1,7.6,0,7.4
"81",4463,1981,5,20,23.7,8.9,3.7,6.1
"82",4464,1981,5,21,25.7,9.4,5.7,5.6
"83",4465,1981,5,22,27.4,7.6,7.4,7.4
"84",4466,1981,5,23,26.2,10.7,6.2,4.3
"85",4467,1981,5,24,25,13.7,5,1.3
"86",4468,1981,5,25,27.4,11.3,7.4,3.7
"87",4469,1981,5,26,31.6,13.8,11.6,1.2
"88",4470,1981,5,27,21.8,13.3,1.8,1.7
"89",4471,1981,5,28,25.1,15.1,5.1,0
"90",4472,1981,5,29,29,10.5,9,4.5
"91",4473,1981,5,30,21.5,11.5,1.5,3.5
"92",4474,1981,5,31,26.1,13,6.1,2
"93",4475,1981,6,1,24,8.8,4,6.2
"94",4476,1981,6,2,26.1,11.3,6.1,3.7
"95",4477,1981,6,3,26.9,10.2,6.9,4.8
"96",4478,1981,6,4,27.5,10.7,7.5,4.3
"97",4479,1981,6,5,30.2,9.8,10.2,5.2
"98",4480,1981,6,6,31.4,11.6,11.4,3.4
"99",4481,1981,6,7,31.5,12.6,11.5,2.4
"100",4482,1981,6,8,32.4,12.8,12.4,2.2
"101",4483,1981,6,9,26.5,17,6.5,0
"102",4484,1981,6,10,20.7,16.4,0.699999999999999,0
"103",4485,1981,6,11,22.2,16.2,2.2,0
"104",4486,1981,6,12,21.2,16.3,1.2,0
"105",4487,1981,6,13,26.2,13.9,6.2,1.1
"106",4488,1981,6,14,25.5,15.3,5.5,0
"107",4489,1981,6,15,29.4,16.3,9.4,0
"108",4490,1981,6,16,29.8,16.7,9.8,0
"109",4491,1981,6,17,32.2,16.4,12.2,0
"110",4492,1981,6,18,33.1,22.1,13.1,2.1
"111",4493,1981,6,19,24.5,20,4.5,0
"112",4494,1981,6,20,28.6,19.2,8.6,0
"113",4495,1981,6,21,27.7,21.4,7.7,1.4
"114",4496,1981,6,22,25.8,22.4,5.8,2.4
"115",4497,1981,6,23,28.5,18.3,8.5,0
"116",4498,1981,6,24,26.3,17.3,6.3,0
"117",4499,1981,6,25,18.8,16.5,0,0
"118",4500,1981,6,26,25,18,5,0
"119",4501,1981,6,27,27.3,20.4,7.3,0.399999999999999
"120",4502,1981,6,28,22.9,20.2,2.9,0.199999999999999
"121",4503,1981,6,29,25.9,19.4,5.9,0
"122",4504,1981,6,30,24.3,20,4.3,0
"123",4809,1982,5,1,16.9,12,0,3
"124",4810,1982,5,2,23,13.1,3,1.9
"125",4811,1982,5,3,21,11.6,1,3.4
"126",4812,1982,5,4,23,10,3,5
"127",4813,1982,5,5,24.5,9.8,4.5,5.2
