"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",4869,1980,5,1,22.2,5.7,2.2,9.3
"2",4870,1980,5,2,25.6,7,5.6,8
"3",4871,1980,5,3,24.2,9.8,4.2,5.2
"4",4872,1980,5,4,21.8,12.2,1.8,2.8
"5",4873,1980,5,5,22.9,6.8,2.9,8.2
"6",4874,1980,5,6,18.5,7.6,0,7.4
"7",4875,1980,5,7,22.1,6.8,2.1,8.2
"8",4876,1980,5,8,19.7,9.3,0,5.7
"9",4877,1980,5,9,17.4,7.2,0,7.8
"10",4878,1980,5,10,24.1,6.4,4.1,8.6
"11",4879,1980,5,11,28.7,9.2,8.7,5.8
"12",4880,1980,5,12,18.5,13.3,0,1.7
"13",4881,1980,5,13,20.9,14.9,0.899999999999999,0.0999999999999996
"14",4882,1980,5,14,23.6,13.9,3.6,1.1
"15",4883,1980,5,15,23.7,11.7,3.7,3.3
"16",4884,1980,5,16,17.2,8.1,0,6.9
"17",4885,1980,5,17,21.4,4.6,1.4,10.4
"18",4886,1980,5,18,24.7,6.7,4.7,8.3
"19",4887,1980,5,19,22.2,12.4,2.2,2.6
"20",4888,1980,5,20,21.8,12.9,1.8,2.1
"21",4889,1980,5,21,25.8,10.5,5.8,4.5
"22",4890,1980,5,22,29,11,9,4
"23",4891,1980,5,23,26.6,13.1,6.6,1.9
"24",4892,1980,5,24,26.8,12.4,6.8,2.6
"25",4893,1980,5,25,21.9,16.7,1.9,0
"26",4894,1980,5,26,18.9,10.2,0,4.8
"27",4895,1980,5,27,22.8,7.6,2.8,7.4
"28",4896,1980,5,28,26.6,12.2,6.6,2.8
"29",4897,1980,5,29,27.4,11.3,7.4,3.7
"30",4898,1980,5,30,29.6,15,9.6,0
"31",4899,1980,5,31,28.5,15.3,8.5,0
"32",4900,1980,6,1,23.2,18.3,3.2,0
"33",4901,1980,6,2,20.5,13.4,0.5,1.6
"34",4902,1980,6,3,23.6,11.4,3.6,3.6
"35",4903,1980,6,4,27.4,14.5,7.4,0.5
"36",4904,1980,6,5,29,14.3,9,0.699999999999999
"37",4905,1980,6,6,30.9,14,10.9,1
"38",4906,1980,6,7,30.4,15.2,10.4,0
"39",4907,1980,6,8,25.4,19.1,5.4,0
"40",4908,1980,6,9,22.5,15.8,2.5,0
"41",4909,1980,6,10,27.4,18,7.4,0
"42",4910,1980,6,11,30.1,16.4,10.1,0
"43",4911,1980,6,12,27.6,17.8,7.6,0
"44",4912,1980,6,13,31.7,17.2,11.7,0
"45",4913,1980,6,14,32.8,19.2,12.8,0
"46",4914,1980,6,15,30.7,19.5,10.7,0
"47",4915,1980,6,16,27.7,21.5,7.7,1.5
"48",4916,1980,6,17,25.6,21.1,5.6,1.1
"49",4917,1980,6,18,28.5,18.5,8.5,0
"50",4918,1980,6,19,26.1,19.9,6.1,0
"51",4919,1980,6,20,25.2,17.8,5.2,0
"52",4920,1980,6,21,27.7,15.6,7.7,0
"53",4921,1980,6,22,29.7,17.9,9.7,0
"54",4922,1980,6,23,29.3,19.2,9.3,0
"55",4923,1980,6,24,30.5,18.2,10.5,0
"56",4924,1980,6,25,23.8,20.3,3.8,0.300000000000001
"57",4925,1980,6,26,22.2,19,2.2,0
"58",4926,1980,6,27,25.4,18.3,5.4,0
"59",4927,1980,6,28,27.5,17.4,7.5,0
"60",4928,1980,6,29,30.1,18.9,10.1,0
"61",4929,1980,6,30,23.9,18.2,3.9,0
"62",5234,1981,5,1,28.3,7.6,8.3,7.4
"63",5235,1981,5,2,18.7,11.2,0,3.8
"64",5236,1981,5,3,18.2,7.3,0,7.7
"65",5237,1981,5,4,20.5,2.8,0.5,12.2
"66",5238,1981,5,5,23.6,7.4,3.6,7.6
"67",5239,1981,5,6,26,7.1,6,7.9
"68",5240,1981,5,7,26.6,11.7,6.6,3.3
"69",5241,1981,5,8,27,11.6,7,3.4
"70",5242,1981,5,9,26.2,18.8,6.2,0
"71",5243,1981,5,10,28.8,16.8,8.8,0
"72",5244,1981,5,11,21.1,8.5,1.1,6.5
"73",5245,1981,5,12,19.1,6.6,0,8.4
"74",5246,1981,5,13,23.6,5.3,3.6,9.7
"75",5247,1981,5,14,25,5.6,5,9.4
"76",5248,1981,5,15,21.7,14.1,1.7,0.9
"77",5249,1981,5,16,17.4,11.4,0,3.6
"78",5250,1981,5,17,11.8,9.4,3.2,5.6
"79",5251,1981,5,18,15.4,4.7,0,10.3
"80",5252,1981,5,19,17.2,9,0,6
"81",5253,1981,5,20,22,8,2,7
"82",5254,1981,5,21,25.4,7.5,5.4,7.5
"83",5255,1981,5,22,27.2,8.7,7.2,6.3
"84",5256,1981,5,23,27.3,13,7.3,2
"85",5257,1981,5,24,27.7,15.4,7.7,0
"86",5258,1981,5,25,28.7,11.5,8.7,3.5
"87",5259,1981,5,26,31.7,13,11.7,2
"88",5260,1981,5,27,29.1,14,9.1,1
"89",5261,1981,5,28,22.4,15.8,2.4,0
"90",5262,1981,5,29,28.9,11.2,8.9,3.8
"91",5263,1981,5,30,26.9,11.9,6.9,3.1
"92",5264,1981,5,31,22.7,12.4,2.7,2.6
"93",5265,1981,6,1,23.8,8.7,3.8,6.3
"94",5266,1981,6,2,27.7,8.8,7.7,6.2
"95",5267,1981,6,3,24.4,11.3,4.4,3.7
"96",5268,1981,6,4,27.6,12.8,7.6,2.2
"97",5269,1981,6,5,30.3,10.5,10.3,4.5
"98",5270,1981,6,6,30.4,11.9,10.4,3.1
"99",5271,1981,6,7,32.1,13.6,12.1,1.4
"100",5272,1981,6,8,30.3,13.1,10.3,1.9
"101",5273,1981,6,9,27,16.5,7,0
"102",5274,1981,6,10,22.3,16.4,2.3,0
"103",5275,1981,6,11,23.4,16.4,3.4,0
"104",5276,1981,6,12,27.2,16,7.2,0
"105",5277,1981,6,13,29.5,16,9.5,0
"106",5278,1981,6,14,31.5,15.5,11.5,0
"107",5279,1981,6,15,32,14.9,12,0.0999999999999996
"108",5280,1981,6,16,33.7,17.8,13.7,0
"109",5281,1981,6,17,32.2,18.4,12.2,0
"110",5282,1981,6,18,32.7,19.9,12.7,0
"111",5283,1981,6,19,29.5,21.3,9.5,1.3
"112",5284,1981,6,20,30.3,21.2,10.3,1.2
"113",5285,1981,6,21,28.9,23.3,8.9,3.3
"114",5286,1981,6,22,25.9,21.2,5.9,1.2
"115",5287,1981,6,23,29.1,17.2,9.1,0
"116",5288,1981,6,24,24.8,14.4,4.8,0.6
"117",5289,1981,6,25,23.3,16,3.3,0
"118",5290,1981,6,26,27.9,16.9,7.9,0
"119",5291,1981,6,27,28.4,20.5,8.4,0.5
"120",5292,1981,6,28,26.5,21.7,6.5,1.7
"121",5293,1981,6,29,30.5,21.1,10.5,1.1
"122",5294,1981,6,30,29.7,22,9.7,2
"123",5599,1982,5,1,20.6,7.2,0.600000000000001,7.8
"124",5600,1982,5,2,26.5,6,6.5,9
"125",5601,1982,5,3,24.1,11.1,4.1,3.9
"126",5602,1982,5,4,20.1,9.6,0.100000000000001,5.4
"127",5603,1982,5,5,28.7,7,8.7,8
"128",5604,1982,5,6,21.7,8.9,1.7,6.1
"129",5605,1982,5,7,24,7.8,4,7.2
"130",5606,1982,5,8,24.8,6.3,4.8,8.7
"131",5607,1982,5,9,25.8,17,5.8,0
"132",5608,1982,5,10,29.7,15.6,9.7,0
"133",5609,1982,5,11,27.4,17,7.4,0
"134",5610,1982,5,12,29.5,20.2,9.5,0.199999999999999
"135",5611,1982,5,13,22.8,11.9,2.8,3.1
"136",5612,1982,5,14,22.1,10.7,2.1,4.3
"137",5613,1982,5,15,23.6,8.2,3.6,6.8
"138",5614,1982,5,16,22.3,11.5,2.3,3.5
"139",5615,1982,5,17,25,7.1,5,7.9
"140",5616,1982,5,18,26.2,14.3,6.2,0.699999999999999
"141",5617,1982,5,19,19.9,13.5,0,1.5
"142",5618,1982,5,20,19.2,9.3,0,5.7
"143",5619,1982,5,21,23.7,10,3.7,5
"144",5620,1982,5,22,27.4,12.6,7.4,2.4
"145",5621,1982,5,23,27.4,13.8,7.4,1.2
"146",5622,1982,5,24,28.6,12.4,8.6,2.6
"147",5623,1982,5,25,23.6,17.4,3.6,0
"148",5624,1982,5,26,24.2,15.5,4.2,0
"149",5625,1982,5,27,27.4,16.9,7.4,0
"150",5626,1982,5,28,28,16.8,8,0
"151",5627,1982,5,29,30.4,18.5,10.4,0
"152",5628,1982,5,30,25.9,20,5.9,0
"153",5629,1982,5,31,21.1,14.1,1.1,0.9
"154",5630,1982,6,1,16.9,13.2,0,1.8
"155",5631,1982,6,2,21.7,12.4,1.7,2.6
"156",5632,1982,6,3,25.1,11.1,5.1,3.9
"157",5633,1982,6,4,27.4,12.7,7.4,2.3
"158",5634,1982,6,5,29.7,16.3,9.7,0
"159",5635,1982,6,6,28.8,15.8,8.8,0
"160",5636,1982,6,7,28.2,15.7,8.2,0
"161",5637,1982,6,8,29.7,15.4,9.7,0
"162",5638,1982,6,9,30.7,15.5,10.7,0
"163",5639,1982,6,10,29.7,16.6,9.7,0
"164",5640,1982,6,11,29.3,15.6,9.3,0
"165",5641,1982,6,12,28.7,15.8,8.7,0
"166",5642,1982,6,13,21.6,18.8,1.6,0
"167",5643,1982,6,14,27.4,17.5,7.4,0
"168",5644,1982,6,15,28.8,14.9,8.8,0.0999999999999996
"169",5645,1982,6,16,27.8,16.2,7.8,0
"170",5646,1982,6,17,28.9,13.3,8.9,1.7
"171",5647,1982,6,18,29.1,17.2,9.1,0
"172",5648,1982,6,19,28.6,18.9,8.6,0
"173",5649,1982,6,20,30.4,19.2,10.4,0
"174",5650,1982,6,21,30.7,18.8,10.7,0
"175",5651,1982,6,22,29.5,20.5,9.5,0.5
"176",5652,1982,6,23,32.1,19.4,12.1,0
"177",5653,1982,6,24,29.1,15.3,9.1,0
"178",5654,1982,6,25,28.9,17.2,8.9,0
"179",5655,1982,6,26,28.9,16.2,8.9,0
"180",5656,1982,6,27,28.1,15,8.1,0
"181",5657,1982,6,28,29,17,9,0
"182",5658,1982,6,29,30.6,18.4,10.6,0
"183",5659,1982,6,30,29,17.1,9,0
"184",5964,1983,5,1,15.1,7.6,0,7.4
"185",5965,1983,5,2,22.6,4.3,2.6,10.7
"186",5966,1983,5,3,25,7.8,5,7.2
"187",5967,1983,5,4,27.7,9.3,7.7,5.7
"188",5968,1983,5,5,28.2,10.3,8.2,4.7
